DATE,DO_INFLATION
2012-09-30,2.6
2012-10-31,2.82
2012-11-30,3.37
2012-12-31,3.91
2013-01-31,4.76
2013-02-28,4.73
2013-03-31,4.97
2013-04-30,4.9
2013-05-31,4.99
2013-06-30,4.8
2013-07-31,5.67
2013-08-31,5.3
2013-09-30,5.13
2013-10-31,4.74
2013-11-30,4.14
2013-12-31,3.88
2014-01-31,2.82
2014-02-28,2.84
2014-03-31,2.99
2014-04-30,3.49
2014-05-31,3.7
2014-06-30,3.68
2014-07-31,3.41
2014-08-31,3.13
2014-09-30,2.83
2014-10-31,2.88
2014-11-30,2.68
2014-12-31,1.58
2015-01-31,1.16
2015-02-28,1.02
2015-03-31,0.64
2015-04-30,-0.04
2015-05-31,0.23
2015-06-30,0.62
2015-07-31,0.5
2015-08-31,0.43
2015-09-30,0.39
2015-10-31,1.23
2015-11-30,1.54
2015-12-31,2.34
2016-01-31,2.53
2016-02-29,1.74
2016-03-31,1.59
2016-04-30,1.75
2016-05-31,1.71
2016-06-30,1.91
2016-07-31,1.85
2016-08-31,1.47
2016-09-30,1.35
2016-10-31,0.91
2016-11-30,0.88
2016-12-31,1.7
2017-01-31,2.33
2017-02-28,3.34
2017-03-31,3.14
2017-04-30,3.51
2017-05-31,3.11
2017-06-30,2.55
2017-07-31,2.54
2017-08-31,3.18
2017-09-30,3.8
2017-10-31,3.48
2017-11-30,4.14
2017-12-31,4.2
2018-01-31,3.86
2018-02-28,3.32
2018-03-31,3.91
2018-04-30,4.05
2018-05-31,4.47
2018-06-30,4.63
2018-07-31,4.43
2018-08-31,3.87
2018-09-30,3.29
2018-10-31,3.52
2018-11-30,2.37
2018-12-31,1.17
2019-01-31,0.71
2019-02-28,1.19
2019-03-31,1.47
2019-04-30,1.61
2019-05-31,1.31
2019-06-30,0.92
2019-07-31,1.4
2019-08-31,1.72
2019-09-30,2.02
2019-10-31,2.48
2019-11-30,3.23
2019-12-31,3.66
2020-01-31,4.17
2020-02-29,3.66
2020-03-31,2.45
2020-04-30,1.07
2020-05-31,0.99
2020-06-30,2.9
2020-07-31,4.35
2020-08-31,4.8
2020-09-30,5.03
2020-10-31,5.03
2020-11-30,5.26
2020-12-31,5.55
2021-01-31,6.23
2021-02-28,7.09
2021-03-31,8.3
2021-04-30,9.65
2021-05-31,10.48
2021-06-30,9.32
2021-07-31,7.88
2021-08-31,7.9
2021-09-30,7.74
2021-10-31,7.72
2021-11-30,8.23
2021-12-31,8.5
2022-01-31,8.73
2022-02-28,8.98
2022-03-31,9.05
2022-04-30,9.64
2022-05-31,9.47
2022-06-30,9.48
2022-07-31,9.43
2022-08-31,8.8
2022-09-30,8.63
2022-10-31,8.24
2022-11-30,7.58
2022-12-31,7.83
2023-01-31,7.24
2023-02-28,6.38
2023-03-31,5.9
2023-04-30,5.15
2023-05-31,4.43
2023-06-30,4.0
2023-07-31,3.95
2023-08-31,4.27
2023-09-30,4.41
2023-10-31,4.35
2023-11-30,4.0
2023-12-31,3.57
2024-01-31,3.32
2024-02-29,3.3
2024-03-31,3.38
2024-04-30,3.03
2024-05-31,3.2
2024-06-30,3.46
2024-07-31,3.54
2024-08-31,3.42
2024-09-30,3.29
2024-10-31,3.16
2024-11-30,3.18
2024-12-31,3.35
2025-01-31,3.32
2025-02-28,3.56
2025-03-31,3.58
