watershed_desc,begin_code,location_desc,domain_desc,state_ansi,Value,region_desc,zip_5,short_desc,congr_district_code,end_code,agg_level_desc,sector_desc,commodity_desc,state_name,county_ansi,CV (%),reference_period_desc,country_name,country_code,group_desc,unit_desc,asd_code,watershed_code,util_practice_desc,prodn_practice_desc,week_ending,asd_desc,source_desc,domaincat_desc,class_desc,county_code,county_name,freq_desc,state_fips_code,load_time,state_alpha,year,statisticcat_desc,Year,Eggs Set,Date,YoY_Growth,YoY_Growth_Rolling_Avg
,1,US TOTAL,TOTAL,,"215,425,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,1,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #01,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-01-09,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,215425000.0,2025-01-01,,
,2,US TOTAL,TOTAL,,"216,218,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,2,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #02,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-01-16,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,216218000.0,2025-01-01,,
,3,US TOTAL,TOTAL,,"216,805,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,3,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #03,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-01-23,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,216805000.0,2025-01-01,-13.148765362859937,
,4,US TOTAL,TOTAL,,"216,748,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,4,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #04,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-01-30,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,216748000.0,2025-01-01,-2.528657064095585,
,5,US TOTAL,TOTAL,,"215,559,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,5,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #05,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-02-06,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,215559000.0,2025-01-01,-5.366511109257499,
,6,US TOTAL,TOTAL,,"216,728,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,6,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #06,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-02-13,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,216728000.0,2025-01-01,-4.313503871998869,
,7,US TOTAL,TOTAL,,"215,826,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,7,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #07,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-02-20,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,215826000.0,2025-01-01,-6.954306186060344,
,0,US TOTAL,TOTAL,,"11,247,222,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,0,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,YEAR,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,,,SURVEY,NOT SPECIFIED,BROILERS,,,ANNUAL,99,2019-05-07 15:07:35.000,US,2016,EGGS SET,2016,11247222000.0,2025-01-01,4981.170629452769,
,8,US TOTAL,TOTAL,,"217,125,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,8,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #08,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-02-27,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,217125000.0,2025-01-01,-5.071592523773094,
,43,US TOTAL,TOTAL,,"219,762,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,43,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #43,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-10-28,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2020-04-07 15:20:11.000,US,2017,EGGS SET,2017,219762000.0,2025-01-01,-3.462847855213158,
,41,US TOTAL,TOTAL,,"216,079,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,41,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #41,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-10-14,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2020-04-07 15:20:11.000,US,2017,EGGS SET,2017,216079000.0,2025-01-01,0.1353186243842286,
,25,US TOTAL,TOTAL,,"224,653,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,25,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #25,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-06-24,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2017,EGGS SET,2017,224653000.0,2025-01-01,-0.328315431268944,
,26,US TOTAL,TOTAL,,"223,738,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,26,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #26,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-07-01,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2017,EGGS SET,2017,223738000.0,2025-01-01,3.8588836021817396,
,27,US TOTAL,TOTAL,,"226,145,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,27,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #27,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-07-08,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2017,EGGS SET,2017,226145000.0,2025-01-01,4.591199622603104,412.38179432478427
,28,US TOTAL,TOTAL,,"226,235,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,28,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #28,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-07-15,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2017,EGGS SET,2017,226235000.0,2025-01-01,4.3495306842554315,413.83998566204383
,29,US TOTAL,TOTAL,,"227,110,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,29,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #29,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-07-22,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2017,EGGS SET,2017,227110000.0,2025-01-01,4.780666949637369,414.44909599652163
,30,US TOTAL,TOTAL,,"226,684,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,30,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #30,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-07-29,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2017,EGGS SET,2017,226684000.0,2025-01-01,5.161000004639105,415.3263885893464
,31,US TOTAL,TOTAL,,"228,007,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,31,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #31,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-08-05,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2017,EGGS SET,2017,228007000.0,2025-01-01,5.204219113358688,416.11953217145947
,42,US TOTAL,TOTAL,,"216,058,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,42,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #42,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-10-21,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2020-04-07 15:20:11.000,US,2017,EGGS SET,2017,216058000.0,2025-01-01,0.10749399979612662,416.70801552028087
,32,US TOTAL,TOTAL,,"224,807,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,32,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #32,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-08-12,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2017,EGGS SET,2017,224807000.0,2025-01-01,-98.00122199063911,-6.556305433336543
,34,US TOTAL,TOTAL,,"225,190,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,34,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #34,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-08-26,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2017,EGGS SET,2017,225190000.0,2025-01-01,3.714450201496833,-5.824135206230715
,35,US TOTAL,TOTAL,,"220,421,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,35,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #35,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-09-02,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2017,EGGS SET,2017,220421000.0,2025-01-01,0.29986985921133247,-5.510575396695342
,36,US TOTAL,TOTAL,,"215,715,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,36,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #36,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-09-09,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2017,EGGS SET,2017,215715000.0,2025-01-01,-0.16845690696458693,-5.535890024307743
,37,US TOTAL,TOTAL,,"215,674,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,37,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #37,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-09-16,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2017,EGGS SET,2017,215674000.0,2025-01-01,-3.996830667740914,-5.8415996273470725
,38,US TOTAL,TOTAL,,"220,677,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,38,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #38,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-09-23,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2017,EGGS SET,2017,220677000.0,2025-01-01,-1.3681180666672677,-6.277183099751157
,39,US TOTAL,TOTAL,,"213,777,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,39,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #39,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-09-30,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2017,EGGS SET,2017,213777000.0,2025-01-01,-5.469057463132065,-7.115537856895755
,40,US TOTAL,TOTAL,,"215,287,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,40,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #40,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-10-07,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2020-04-07 15:20:11.000,US,2017,EGGS SET,2017,215287000.0,2025-01-01,-4.839215859614998,-7.881266735551623
,33,US TOTAL,TOTAL,,"226,122,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,33,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #33,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2017-08-19,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2017,EGGS SET,2017,226122000.0,2025-01-01,-0.4350314825415036,-8.31590827156653
,9,US TOTAL,TOTAL,,"217,683,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,9,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #09,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-03-05,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,217683000.0,2025-01-01,-3.970725768029504,-9.076885419288914
,10,US TOTAL,TOTAL,,"218,643,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,10,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #10,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-03-12,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,218643000.0,2025-01-01,-4.1068914550869025,-9.852811299992712
,11,US TOTAL,TOTAL,,"218,010,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,11,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #11,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-03-19,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,218010000.0,2025-01-01,0.9034611076655263,-9.786480707670263
,33,US TOTAL,TOTAL,,"215,641,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,33,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #33,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-08-20,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,215641000.0,2025-01-01,-4.077275173815764,-1.9594851396016513
,34,US TOTAL,TOTAL,,"217,245,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,34,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #34,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-08-27,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,217245000.0,2025-01-01,-3.5281317998134942,-2.563033639710845
,35,US TOTAL,TOTAL,,"213,701,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,35,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #35,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-09-03,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,213701000.0,2025-01-01,-3.0487113296827406,-2.8420820721186844
,36,US TOTAL,TOTAL,,"208,700,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,36,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #36,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-09-10,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,208700000.0,2025-01-01,-3.2519759868344766,-3.099041995441175
,37,US TOTAL,TOTAL,,"206,580,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,37,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #37,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-09-17,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,206580000.0,2025-01-01,-4.216549050882346,-3.117351860702961
,38,US TOTAL,TOTAL,,"213,981,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,38,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #38,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-09-24,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,213981000.0,2025-01-01,-3.0342989980831736,-3.256200271654287
,39,US TOTAL,TOTAL,,"207,899,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,39,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #39,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-10-01,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2016,EGGS SET,2016,207899000.0,2025-01-01,-2.7495942033053167,-3.0295783333353907
,32,US TOTAL,TOTAL,,"217,802,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,32,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #32,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-08-13,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2018-04-10 15:00:02.000,US,2016,EGGS SET,2016,217802000.0,2025-01-01,1.168208019991912,-2.528959676701482
,40,US TOTAL,TOTAL,,"210,916,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,40,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #40,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-10-08,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2016,EGGS SET,2016,210916000.0,2025-01-01,-6.724688442522176,-3.0530977566998714
,42,US TOTAL,TOTAL,,"209,688,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,42,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #42,UNITED STATES,9000,POULTRY,EGGS,,0,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2016-10-22,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2019-05-07 15:07:35.000,US,2016,EGGS SET,2016,209688000.0,2025-01-01,-3.6727718746985327,-3.0282682655889572
