Year,Month,Pullet Placements,Unit,Date,YoY_Growth,YoY_Growth_LTM
2019,OCT,7531000,HEAD,2019-10-01,3.60434722795433,3.984160464531977
2019,NOV,8141000,HEAD,2019-11-01,3.037590178458416,4.281356935087762
2019,DEC,8627000,HEAD,2019-12-01,0.3723094822571271,3.2151696464959554
2020,JAN,7482000,HEAD,2020-01-01,0.05349023803156161,2.8165709487516586
2020,FEB,8135000,HEAD,2020-02-01,3.2098452169500025,2.750900641535051
2020,MAR,8547000,HEAD,2020-03-01,3.952809535392854,2.9422368136651347
2020,APR,8161000,HEAD,2020-04-01,11.20043602670664,4.253901661190723
2020,MAY,8188000,HEAD,2020-05-01,-6.604311623132197,3.2155362415781
2020,JUN,8074000,HEAD,2020-06-01,-7.376390960192724,2.2021512554234817
2020,JUL,8235000,HEAD,2020-07-01,-3.2314923619271463,0.7764750162883555
2020,AUG,8211000,HEAD,2020-08-01,1.4455151964418045,1.1456461106580262
2020,SEP,9708000,HEAD,2020-09-01,12.687173534532793,1.8626101409561215
2020,OCT,8072000,HEAD,2020-10-01,7.183640950736958,2.160884617854674
2020,NOV,7796000,HEAD,2020-11-01,-4.237808623019291,1.5546013843981983
2020,DEC,7801000,HEAD,2020-12-01,-9.574591399095866,0.7256929776187823
2021,JAN,8095000,HEAD,2021-01-01,8.192996524993323,1.403985168198929
2021,FEB,8245000,HEAD,2021-02-01,1.3521819299323834,1.249179894280794
2021,MAR,8232000,HEAD,2021-03-01,-3.6855036855036882,0.6126537925394154
2021,APR,8110000,HEAD,2021-04-01,-0.6249234162480133,-0.3727928277068056
2021,MAY,8708000,HEAD,2021-05-01,6.350757205666824,0.7067962413597795
2021,JUN,9546000,HEAD,2021-06-01,18.231359920733215,2.8407754814369413
2021,JUL,8623000,HEAD,2021-07-01,4.711596842744381,3.502699581826235
2021,AUG,8737000,HEAD,2021-08-01,6.406040677140412,3.9160767052177854
2021,SEP,9618000,HEAD,2021-09-01,-0.9270704573547617,2.7815563725604897
2021,OCT,8566000,HEAD,2021-10-01,6.119920713577809,2.692913019463894
2021,NOV,7986000,HEAD,2021-11-01,2.4371472550025697,3.249159342632382
2021,DEC,8986000,HEAD,2021-12-01,15.190360210229459,5.312905310076159
2022,JAN,7880000,HEAD,2022-01-01,-2.6559604694255667,4.408825560541252
2022,FEB,8499000,HEAD,2022-02-01,3.080654942389316,4.552864978245997
2022,MAR,9296000,HEAD,2022-03-01,12.925170068027203,5.937087791040237
2022,APR,7935000,HEAD,2022-04-01,-2.157829839704073,5.8093455890855665
2022,MAY,8468000,HEAD,2022-05-01,-2.7560863573725336,5.050441958832286
2022,JUN,8709000,HEAD,2022-06-01,-8.768070395977368,2.8004894324397367
2022,JUL,7536000,HEAD,2022-07-01,-12.60582163980053,1.3573712255609944
2022,AUG,7680000,HEAD,2022-08-01,-12.09797413299759,-0.18463000861717246
2022,SEP,8143000,HEAD,2022-09-01,-15.335828654605944,-1.3853598583881042
2022,OCT,7302000,HEAD,2022-10-01,-14.756012141022644,-3.1250209296048084
2022,NOV,7662000,HEAD,2022-11-01,-4.057099924868524,-3.6662081945940663
2022,DEC,9158000,HEAD,2022-12-01,1.9140885822390485,-4.772564163593267
2023,JAN,8010000,HEAD,2023-01-01,1.6497461928933976,-4.413755275066687
2023,FEB,7706000,HEAD,2023-02-01,-9.330509471702552,-5.448018976241009
2023,MAR,8991000,HEAD,2023-03-01,-3.2809810671256434,-6.79853157083708
2023,APR,8117000,HEAD,2023-04-01,2.2936357908002414,-6.427576101628386
2023,MAY,8643000,HEAD,2023-05-01,2.066603684459145,-6.025685264809081
2023,JUN,9710000,HEAD,2023-06-01,11.493856929613045,-4.33719132100988
2023,JUL,8519000,HEAD,2023-07-01,13.044055201698512,-2.1997015842182925
2023,AUG,8242000,HEAD,2023-08-01,7.317708333333339,-0.5817280453573818
2023,SEP,8910000,HEAD,2023-09-01,9.4191329976667,1.4811854256653387
2023,OCT,8011000,HEAD,2023-10-01,9.709668583949593,3.5199921527463585
2023,NOV,8207000,HEAD,2023-11-01,7.113025319759858,4.450835923132057
2023,DEC,9649000,HEAD,2023-12-01,5.361432627211182,4.738114593546402
2024,JAN,7436000,HEAD,2024-01-01,-7.166042446941323,4.003465540226841
2024,FEB,8197000,HEAD,2024-02-01,6.371658447962636,5.3119795335322735
2024,MAR,9419000,HEAD,2024-03-01,4.760315871426979,5.9820876117449915
2024,APR,8152000,HEAD,2024-04-01,0.43119379080940323,5.8268841117457555
2024,MAY,8232000,HEAD,2024-05-01,-4.75529330093718,5.258392696296062
2024,JUN,9784000,HEAD,2024-06-01,0.7621009268795165,4.364079696068268
2024,JUL,7767000,HEAD,2024-07-01,-8.827327151074071,2.541464500003886
2024,AUG,8701000,HEAD,2024-08-01,5.569036641591851,2.3957418590254287
2024,SEP,9840000,HEAD,2024-09-01,10.437710437710447,2.4806233123624075
2024,OCT,8058000,HEAD,2024-10-01,0.5866932967170113,1.7203753717596924
2024,NOV,8263000,HEAD,2024-11-01,0.6823443401973828,1.184485290129486
2024,DEC,9137000,HEAD,2024-12-01,-5.30624935226448,0.2955117918398476
2025,JAN,7774000,HEAD,2025-01-01,4.545454545454541,1.271469874539503
2025,FEB,8223000,HEAD,2025-02-01,0.3171892155666711,0.7669307718398392
