DATE,US_BEEF_CUTOUT_CHOICE
2004-11-03,70.6
2004-11-04,69.71
2004-11-05,69.74
2004-11-08,69.96
2004-11-09,71.01
2004-11-10,72.69
2004-11-11,73.09
2004-11-12,73.69
2004-11-15,74.14
2004-11-16,75.34
2004-11-17,75.63
2004-11-18,75.83
2004-11-19,75.8
2004-11-22,75.42
2004-11-23,74.96
2004-11-24,75.8
2004-11-26,77.05
2004-11-29,78.16
2004-11-30,84.27
2004-12-01,85.55
2004-12-02,86.76
2004-12-03,86.43
2004-12-06,86.09
2004-12-07,86.19
2004-12-08,82.14
2004-12-09,81.3
2004-12-10,79.35
2004-12-13,78.33
2004-12-14,76.9
2004-12-15,75.23
2004-12-16,74.76
2004-12-17,73.83
2004-12-20,71.31
2004-12-21,71.86
2004-12-22,72.5
2004-12-23,73.54
2004-12-27,75.08
2004-12-28,75.48
2004-12-29,75.61
2004-12-30,76.1
2005-01-03,76.91
2005-01-04,76.58
2005-01-05,78.71
2005-01-06,80.88
2005-01-07,82.48
2005-01-10,86.14
2005-01-11,90.58
2005-01-12,91.77
2005-01-13,92.15
2005-01-14,92.15
2005-01-17,91.17
2005-01-18,88.85
2005-01-19,82.57
2005-01-20,81.79
2005-01-21,80.74
2005-01-24,79.62
2005-01-25,78.78
2005-01-26,78.21
2005-01-27,77.04
2005-01-28,76.65
2005-01-31,75.72
2005-02-01,75.62
2005-02-02,75.63
2005-02-03,75.77
2005-02-04,75.81
2005-02-07,76.87
2005-02-08,77.23
2005-02-09,78.56
2005-02-10,79.1
2005-02-11,78.8
2005-02-14,78.94
2005-02-15,79.1
2005-02-16,79.64
2005-02-17,79.93
2005-02-18,79.56
2005-02-21,79.27
2005-02-22,79.85
2005-02-23,81.34
2005-02-24,81.74
2005-02-25,81.8
2005-02-28,82.1
2005-03-01,82.42
2005-03-02,82.32
2005-03-03,83.45
2005-03-04,84.17
2005-03-07,86.46
2005-03-08,88.72
2005-03-09,88.91
2005-03-10,90.05
2005-03-11,91.1
2005-03-14,91.86
2005-03-15,91.67
2005-03-16,91.68
2005-03-17,90.02
2005-03-18,89.8
2005-03-21,88.84
2005-03-22,87.49
2005-03-23,86.22
2005-03-24,85.93
2005-03-25,85.92
2005-03-28,86.25
2005-03-29,86.9
2005-03-30,87.53
2005-03-31,88.44
2005-04-01,88.67
2005-04-04,91.5
2005-04-05,93.81
2005-04-06,93.57
2005-04-07,94.13
2005-04-08,94.64
2005-04-11,96.42
2005-04-12,96.08
2005-04-13,96.59
2005-04-14,97.31
2005-04-15,98.92
2005-04-18,100.62
2005-04-19,101.93
2005-04-20,103.27
2005-04-21,104.5
2005-04-22,105.07
2005-04-25,105.54
2005-04-26,107.19
2005-04-27,107.93
2005-04-28,108.13
2005-04-29,108.04
2005-05-02,109.94
2005-05-03,109.5
2005-05-04,106.99
2005-05-05,106.36
2005-05-06,105.26
2005-05-09,106.17
2005-05-10,104.81
2005-05-11,103.72
2005-05-12,101.61
2005-05-13,101.12
2005-05-16,103.52
2005-05-17,104.52
2005-05-18,105.47
2005-05-19,105.2
2005-05-20,103.91
2005-05-23,103.59
2005-05-24,104.15
2005-05-25,103.03
2005-05-26,99.69
2005-05-27,97.81
2005-05-31,98.16
2005-06-01,97.06
2005-06-02,96.3
2005-06-03,96.59
2005-06-06,96.19
2005-06-07,96.3
2005-06-08,96.22
2005-06-09,96.31
2005-06-10,95.21
2005-06-13,93.94
2005-06-14,93.91
2005-06-15,92.36
2005-06-16,92.21
2005-06-17,91.98
2005-06-20,91.77
2005-06-21,91.66
2005-06-22,90.63
2005-06-23,89.72
2005-06-24,89.47
2005-06-27,89.36
2005-06-28,89.94
2005-06-29,89.34
2005-06-30,88.4
2005-07-01,87.99
2005-07-05,88.22
2005-07-06,88.13
2005-07-07,87.63
2005-07-08,87.91
2005-07-11,87.35
2005-07-12,86.03
2005-07-13,82.73
2005-07-14,82.56
2005-07-15,82.38
2005-07-18,82.86
2005-07-19,82.61
2005-07-20,81.12
2005-07-21,80.99
2005-07-22,80.11
2005-07-25,78.42
2005-07-26,77.48
2005-07-27,76.43
2005-07-28,75.42
2005-07-29,74.35
2005-08-01,73.66
2005-08-02,75.18
2005-08-03,76.37
2005-08-04,77.83
2005-08-05,79.15
2005-08-08,79.7
2005-08-09,80.78
2005-08-10,81.62
2005-08-11,82.16
2005-08-12,82.0
2005-08-15,81.68
2005-08-16,81.16
2005-08-17,79.73
2005-08-18,78.52
2005-08-19,77.81
2005-08-22,77.3
2005-08-23,76.78
2005-08-24,75.43
2005-08-25,74.89
2005-08-26,74.44
2005-08-29,74.33
2005-08-30,74.72
2005-08-31,75.15
2005-09-01,74.84
2005-09-02,74.74
2005-09-06,76.04
2005-09-07,75.68
2005-09-08,75.54
2005-09-09,75.95
2005-09-12,76.03
2005-09-13,76.25
2005-09-14,76.31
2005-09-15,76.65
2005-09-16,76.79
2005-09-19,77.71
2005-09-20,78.13
2005-09-21,77.29
2005-09-22,76.21
2005-09-23,76.1
2005-09-26,76.13
2005-09-27,75.62
2005-09-28,75.07
2005-09-29,75.09
2005-09-30,75.52
2005-10-03,74.9
2005-10-04,75.6
2005-10-05,75.91
2005-10-06,75.59
2005-10-07,75.8
2005-10-10,76.69
2005-10-11,77.37
2005-10-12,77.97
2005-10-13,78.4
2005-10-14,78.12
2005-10-17,78.43
2005-10-18,79.72
2005-10-19,80.29
2005-10-20,81.03
2005-10-21,81.36
2005-10-24,80.97
2005-10-25,81.07
2005-10-26,80.78
2005-10-27,80.4
2005-10-28,79.98
2005-10-31,80.67
2005-11-01,80.89
2005-11-02,81.12
2005-11-03,81.12
2005-11-04,80.99
2005-11-07,81.13
2005-11-08,82.41
2005-11-09,83.07
2005-11-10,84.13
2005-11-11,84.49
2005-11-14,86.31
2005-11-15,89.21
2005-11-16,89.27
2005-11-17,89.13
2005-11-18,88.65
2005-11-21,87.54
2005-11-22,87.8
2005-11-23,88.11
2005-11-25,87.08
2005-11-28,87.28
2005-11-29,86.95
2005-11-30,86.85
2005-12-01,86.7
2005-12-02,87.48
2005-12-05,88.75
2005-12-06,88.12
2005-12-07,87.93
2005-12-08,88.06
2005-12-09,88.79
2005-12-12,89.19
2005-12-13,89.45
2005-12-14,89.52
2005-12-15,88.87
2005-12-16,88.1
2005-12-19,87.86
2005-12-20,87.45
2005-12-21,88.22
2005-12-22,88.05
2005-12-23,87.92
2005-12-27,87.58
2005-12-28,87.49
2005-12-29,87.99
2005-12-30,87.81
2006-01-03,90.12
2006-01-04,90.51
2006-01-05,90.01
2006-01-06,89.95
2006-01-09,91.33
2006-01-10,92.68
2006-01-11,93.42
2006-01-12,93.07
2006-01-13,93.02
2006-01-16,93.49
2006-01-17,94.52
2006-01-18,95.25
2006-01-19,96.56
2006-01-20,96.09
2006-01-23,96.14
2006-01-24,96.3
2006-01-25,96.23
2006-01-26,94.85
2006-01-27,93.82
2006-01-30,92.69
2006-01-31,91.99
2006-02-01,90.27
2006-02-02,89.47
2006-02-03,89.12
2006-02-06,89.16
2006-02-07,89.65
2006-02-08,89.93
2006-02-09,90.23
2006-02-10,90.2
2006-02-13,90.77
2006-02-14,92.02
2006-02-15,92.69
2006-02-16,93.82
2006-02-17,94.6
2006-02-20,94.66
2006-02-21,95.57
2006-02-22,96.0
2006-02-23,96.22
2006-02-24,96.11
2006-02-27,95.88
2006-02-28,95.03
2006-03-01,91.77
2006-03-02,89.83
2006-03-03,88.61
2006-03-06,89.3
2006-03-07,90.03
2006-03-08,89.79
2006-03-09,89.75
2006-03-10,89.04
2006-03-13,86.86
2006-03-14,86.44
2006-03-15,85.5
2006-03-16,84.44
2006-03-17,82.95
2006-03-20,82.77
2006-03-21,83.96
2006-03-22,83.94
2006-03-23,83.88
2006-03-24,83.66
2006-03-27,83.27
2006-03-28,83.74
2006-03-29,83.99
2006-03-30,83.75
2006-03-31,83.15
2006-04-03,83.84
2006-04-04,84.94
2006-04-05,84.99
2006-04-06,84.94
2006-04-07,84.56
2006-04-10,84.7
2006-04-11,84.69
2006-04-12,85.12
2006-04-13,85.19
2006-04-14,85.38
2006-04-17,85.7
2006-04-18,85.77
2006-04-19,85.64
2006-04-20,85.87
2006-04-21,86.75
2006-04-24,86.99
2006-04-25,88.41
2006-04-26,90.6
2006-04-27,92.45
2006-04-28,92.78
2006-05-01,93.52
2006-05-02,93.92
2006-05-03,94.16
2006-05-04,93.79
2006-05-05,93.44
2006-05-08,91.27
2006-05-09,88.9
2006-05-10,87.51
2006-05-11,88.35
2006-05-12,87.82
2006-05-15,87.34
2006-05-16,87.36
2006-05-17,86.34
2006-05-18,84.4
2006-05-19,83.23
2006-05-22,82.7
2006-05-23,83.52
2006-05-24,83.59
2006-05-25,83.91
2006-05-26,84.42
2006-05-30,85.47
2006-05-31,84.83
2006-06-01,85.21
2006-06-02,86.22
2006-06-05,85.55
2006-06-06,85.51
2006-06-07,85.26
2006-06-08,84.65
2006-06-09,84.26
2006-06-12,83.54
2006-06-13,83.16
2006-06-14,83.16
2006-06-15,83.12
2006-06-16,83.12
2006-06-19,83.74
2006-06-20,84.25
2006-06-21,84.29
2006-06-22,84.21
2006-06-23,83.43
2006-06-26,83.94
2006-06-27,84.52
2006-06-28,84.36
2006-06-29,84.37
2006-06-30,84.89
2006-07-03,85.14
2006-07-05,85.5
2006-07-06,85.34
2006-07-07,85.3
2006-07-10,84.64
2006-07-11,83.51
2006-07-12,82.49
2006-07-13,81.68
2006-07-14,80.57
2006-07-17,80.91
2006-07-18,81.12
2006-07-19,81.03
2006-07-20,79.97
2006-07-21,79.93
2006-07-24,80.17
2006-07-25,80.62
2006-07-26,80.67
2006-07-27,80.84
2006-07-28,80.33
2006-07-31,79.1
2006-08-01,79.62
2006-08-02,81.53
2006-08-03,82.85
2006-08-04,84.9
2006-08-07,87.39
2006-08-08,90.26
2006-08-09,91.92
2006-08-10,92.2
2006-08-11,91.96
2006-08-14,93.13
2006-08-15,93.43
2006-08-16,92.52
2006-08-17,91.67
2006-08-18,90.85
2006-08-21,90.51
2006-08-22,88.65
2006-08-23,87.58
2006-08-24,85.86
2006-08-25,84.75
2006-08-28,83.97
2006-08-29,83.42
2006-08-30,82.88
2006-08-31,82.56
2006-09-01,82.08
2006-09-05,91.57
2006-09-06,92.34
2006-09-07,92.16
2006-09-08,92.32
2006-09-11,91.98
2006-09-12,91.17
2006-09-13,90.44
2006-09-14,90.63
2006-09-15,90.45
2006-09-18,90.11
2006-09-19,89.82
2006-09-20,87.11
2006-09-21,86.84
2006-09-22,87.26
2006-09-25,87.55
2006-09-26,87.31
2006-09-27,86.56
2006-09-28,86.38
2006-09-29,86.1
2006-10-02,85.89
2006-10-03,85.74
2006-10-04,85.7
2006-10-05,85.69
2006-10-06,86.34
2006-10-09,84.23
2006-10-10,84.44
2006-10-11,84.81
2006-10-12,84.44
2006-10-13,84.91
2006-10-16,86.06
2006-10-17,87.47
2006-10-18,87.99
2006-10-19,88.39
2006-10-20,88.39
2006-10-23,88.35
2006-10-24,88.36
2006-10-25,87.83
2006-10-26,87.42
2006-10-27,86.84
2006-10-30,86.85
2006-10-31,87.55
2006-11-01,87.45
2006-11-02,87.33
2006-11-03,86.76
2006-11-06,79.34
2006-11-07,78.83
2006-11-08,78.67
2006-11-09,79.67
2006-11-10,79.85
2006-11-13,79.59
2006-11-14,80.18
2006-11-15,79.68
2006-11-16,78.32
2006-11-17,77.21
2006-11-20,76.63
2006-11-21,76.34
2006-11-22,76.75
2006-11-24,76.64
2006-11-27,76.33
2006-11-28,76.22
2006-11-29,76.91
2006-11-30,77.18
2006-12-01,77.33
2006-12-04,77.59
2006-12-05,77.64
2006-12-06,77.82
2006-12-07,77.6
2006-12-08,77.3
2006-12-11,77.18
2006-12-12,77.78
2006-12-13,77.98
2006-12-14,77.82
2006-12-15,77.6
2006-12-18,76.79
2006-12-19,75.95
2006-12-20,75.86
2006-12-21,74.92
2006-12-22,75.09
2006-12-26,74.92
2006-12-27,75.79
2006-12-28,76.43
2006-12-29,76.92
2007-01-02,77.28
2007-01-03,79.25
2007-01-04,81.11
2007-01-05,82.75
2007-01-08,84.09
2007-01-09,84.77
2007-01-10,86.34
2007-01-11,87.02
2007-01-12,87.47
2007-01-15,87.09
2007-01-16,87.63
2007-01-17,87.77
2007-01-18,86.87
2007-01-19,85.12
2007-01-22,83.52
2007-01-23,83.02
2007-01-24,79.68
2007-01-25,78.13
2007-01-26,78.19
2007-01-29,77.63
2007-01-30,77.48
2007-01-31,77.28
2007-02-01,76.9
2007-02-02,76.78
2007-02-05,77.17
2007-02-06,77.84
2007-02-07,78.2
2007-02-08,78.83
2007-02-09,79.79
2007-02-12,81.53
2007-02-13,84.58
2007-02-14,87.8
2007-02-15,88.6
2007-02-16,88.08
2007-02-19,88.13
2007-02-20,87.55
2007-02-21,85.94
2007-02-22,83.86
2007-02-23,84.04
2007-02-26,83.84
2007-02-27,83.44
2007-02-28,83.61
2007-03-01,84.2
2007-03-02,84.45
2007-03-05,84.32
2007-03-06,84.41
2007-03-07,87.4
2007-03-08,89.24
2007-03-09,93.43
2007-03-12,93.83
2007-03-13,94.49
2007-03-14,98.21
2007-03-15,98.59
2007-03-16,98.35
2007-03-19,99.03
2007-03-20,98.54
2007-03-21,96.46
2007-03-22,94.21
2007-03-23,94.49
2007-03-26,94.16
2007-03-27,94.27
2007-03-28,93.5
2007-03-29,93.15
2007-03-30,93.66
2007-04-02,95.43
2007-04-03,96.68
2007-04-04,98.36
2007-04-05,99.23
2007-04-06,101.91
2007-04-09,107.34
2007-04-10,111.72
2007-04-11,115.95
2007-04-12,117.81
2007-04-13,117.66
2007-04-16,117.68
2007-04-17,117.66
2007-04-18,115.37
2007-04-19,113.61
2007-04-20,112.53
2007-04-23,111.77
2007-04-24,108.44
2007-04-25,104.35
2007-04-26,101.91
2007-04-27,100.22
2007-04-30,98.59
2007-05-01,98.62
2007-05-02,96.76
2007-05-03,96.37
2007-05-04,97.08
2007-05-07,97.61
2007-05-08,98.31
2007-05-09,102.6
2007-05-10,105.13
2007-05-11,108.53
2007-05-14,115.84
2007-05-15,117.42
2007-05-16,117.9
2007-05-17,118.0
2007-05-18,118.61
2007-05-21,118.18
2007-05-22,111.33
2007-05-23,106.31
2007-05-24,103.43
2007-05-25,102.54
2007-05-29,101.94
2007-05-30,102.87
2007-05-31,102.31
2007-06-01,102.84
2007-06-04,103.54
2007-06-05,101.99
2007-06-06,101.37
2007-06-07,100.5
2007-06-08,99.88
2007-06-11,99.5
2007-06-12,96.68
2007-06-13,94.2
2007-06-14,93.88
2007-06-15,92.93
2007-06-18,92.99
2007-06-19,93.6
2007-06-20,92.63
2007-06-21,92.05
2007-06-22,91.93
2007-06-25,91.79
2007-06-26,91.06
2007-06-27,90.14
2007-06-28,89.61
2007-06-29,89.61
2007-07-02,89.72
2007-07-03,89.75
2007-07-05,89.46
2007-07-06,89.42
2007-07-09,89.64
2007-07-10,89.6
2007-07-11,89.46
2007-07-12,89.25
2007-07-13,89.1
2007-07-16,89.26
2007-07-17,88.42
2007-07-18,88.17
2007-07-19,88.05
2007-07-20,88.0
2007-07-23,86.39
2007-07-24,85.63
2007-07-25,87.46
2007-07-26,88.7
2007-07-27,91.12
2007-07-30,92.18
2007-07-31,94.04
2007-08-01,95.43
2007-08-02,94.96
2007-08-03,95.25
2007-08-06,95.95
2007-08-07,95.97
2007-08-08,95.31
2007-08-09,93.8
2007-08-10,93.91
2007-08-13,93.95
2007-08-14,93.65
2007-08-15,93.16
2007-08-16,92.22
2007-08-17,91.9
2007-08-20,91.61
2007-08-21,91.76
2007-08-22,91.38
2007-08-23,90.81
2007-08-24,90.92
2007-08-27,91.1
2007-08-28,91.32
2007-08-29,91.19
2007-08-30,90.73
2007-08-31,90.58
2007-09-04,91.95
2007-09-05,92.08
2007-09-06,91.94
2007-09-07,91.88
2007-09-10,92.16
2007-09-11,91.97
2007-09-12,91.12
2007-09-13,90.95
2007-09-14,91.18
2007-09-17,91.91
2007-09-18,91.77
2007-09-19,91.24
2007-09-20,91.53
2007-09-21,91.58
2007-09-24,91.16
2007-09-25,91.33
2007-09-26,91.14
2007-09-27,90.55
2007-09-28,90.62
2007-10-01,90.86
2007-10-02,90.8
2007-10-03,90.48
2007-10-04,90.18
2007-10-05,89.86
2007-10-08,89.9
2007-10-09,90.1
2007-10-10,90.02
2007-10-11,90.06
2007-10-12,89.9
2007-10-15,90.16
2007-10-16,90.33
2007-10-17,89.63
2007-10-18,89.45
2007-10-19,89.22
2007-10-22,84.7
2007-10-23,84.41
2007-10-24,83.39
2007-10-25,82.53
2007-10-26,82.57
2007-10-29,83.25
2007-10-30,82.98
2007-10-31,81.78
2007-11-01,81.1
2007-11-02,81.2
2007-11-05,81.92
2007-11-06,82.78
2007-11-07,83.87
2007-11-08,85.32
2007-11-09,86.42
2007-11-12,88.74
2007-11-13,90.07
2007-11-14,91.79
2007-11-15,91.49
2007-11-16,91.02
2007-11-19,90.67
2007-11-20,89.28
2007-11-21,87.38
2007-11-23,87.09
2007-11-26,86.88
2007-11-27,87.89
2007-11-28,87.11
2007-11-29,86.58
2007-11-30,85.49
2007-12-03,85.22
2007-12-04,85.96
2007-12-05,84.07
2007-12-06,83.26
2007-12-07,82.79
2007-12-10,81.4
2007-12-11,80.94
2007-12-12,81.12
2007-12-13,81.54
2007-12-14,82.19
2007-12-15,85.48
2007-12-17,84.52
2007-12-18,85.48
2007-12-19,85.62
2007-12-20,85.81
2007-12-21,86.03
2007-12-24,86.03
2007-12-26,86.72
2007-12-27,86.86
2007-12-28,87.02
2007-12-31,87.27
2008-01-02,87.44
2008-01-03,87.73
2008-01-04,87.85
2008-01-07,88.17
2008-01-08,88.97
2008-01-09,88.9
2008-01-10,89.1
2008-01-11,88.88
2008-01-14,88.79
2008-01-15,89.54
2008-01-16,89.3
2008-01-17,89.33
2008-01-18,89.01
2008-01-21,88.5
2008-01-22,88.1
2008-01-23,87.64
2008-01-24,87.84
2008-01-25,87.84
2008-01-28,87.94
2008-01-29,87.75
2008-01-30,87.68
2008-01-31,88.05
2008-02-01,88.13
2008-02-04,88.92
2008-02-05,90.76
2008-02-06,91.7
2008-02-07,92.83
2008-02-08,94.12
2008-02-11,95.22
2008-02-12,97.61
2008-02-13,98.64
2008-02-14,98.93
2008-02-15,98.79
2008-02-18,98.7
2008-02-19,99.42
2008-02-20,99.66
2008-02-21,99.0
2008-02-22,98.57
2008-02-25,98.91
2008-02-26,99.25
2008-02-27,98.81
2008-02-28,98.04
2008-02-29,97.92
2008-03-03,98.34
2008-03-04,98.29
2008-03-05,98.23
2008-03-06,98.21
2008-03-07,98.47
2008-03-10,98.1
2008-03-11,98.56
2008-03-12,99.37
2008-03-13,99.0
2008-03-14,98.47
2008-03-17,98.92
2008-03-18,98.19
2008-03-19,97.59
2008-03-20,97.35
2008-03-21,97.66
2008-03-24,97.33
2008-03-25,96.48
2008-03-26,95.46
2008-03-27,94.44
2008-03-28,95.06
2008-03-31,95.99
2008-04-01,97.0
2008-04-02,98.86
2008-04-03,101.2
2008-04-04,101.58
2008-04-07,105.09
2008-04-08,107.56
2008-04-09,110.55
2008-04-10,111.06
2008-04-11,112.01
2008-04-14,114.21
2008-04-15,113.96
2008-04-16,113.66
2008-04-17,110.39
2008-04-18,110.06
2008-04-21,106.78
2008-04-22,103.63
2008-04-23,102.05
2008-04-24,101.68
2008-04-25,101.42
2008-04-28,102.66
2008-04-29,102.66
2008-04-30,102.2
2008-05-01,102.57
2008-05-02,103.06
2008-05-05,103.89
2008-05-06,105.56
2008-05-07,106.02
2008-05-08,106.42
2008-05-09,108.04
2008-05-12,108.47
2008-05-13,109.62
2008-05-14,110.32
2008-05-15,111.23
2008-05-16,109.62
2008-05-19,107.33
2008-05-20,106.15
2008-05-21,105.73
2008-05-22,105.51
2008-05-23,104.44
2008-05-27,103.05
2008-05-28,103.76
2008-05-29,105.06
2008-05-30,105.21
2008-06-02,105.89
2008-06-03,107.56
2008-06-04,107.75
2008-06-05,107.94
2008-06-06,108.14
2008-06-09,108.94
2008-06-10,109.51
2008-06-11,111.1
2008-06-12,110.89
2008-06-13,110.33
2008-06-16,109.74
2008-06-17,109.89
2008-06-18,110.2
2008-06-19,110.29
2008-06-20,110.45
2008-06-23,110.64
2008-06-24,111.07
2008-06-25,110.78
2008-06-26,110.45
2008-06-27,109.58
2008-06-30,110.39
2008-07-01,111.26
2008-07-02,111.36
2008-07-03,113.09
2008-07-07,113.78
2008-07-08,114.71
2008-07-09,115.71
2008-07-10,116.04
2008-07-11,116.56
2008-07-14,117.69
2008-07-15,118.31
2008-07-16,117.89
2008-07-17,118.04
2008-07-18,117.81
2008-07-21,117.04
2008-07-22,117.01
2008-07-23,116.45
2008-07-24,116.66
2008-07-25,116.89
2008-07-28,117.02
2008-07-29,117.5
2008-07-30,116.96
2008-07-31,116.04
2008-08-01,115.62
2008-08-04,117.09
2008-08-05,117.65
2008-08-06,118.21
2008-08-07,120.31
2008-08-08,120.45
2008-08-11,120.74
2008-08-12,122.07
2008-08-13,122.4
2008-08-14,122.16
2008-08-15,122.13
2008-08-18,124.16
2008-08-19,123.81
2008-08-20,123.11
2008-08-21,122.63
2008-08-22,122.53
2008-08-23,87.64
2008-08-25,122.34
2008-08-26,121.2
2008-08-27,120.43
2008-08-28,120.22
2008-08-29,119.87
2008-09-02,120.02
2008-09-03,120.25
2008-09-04,119.93
2008-09-05,119.65
2008-09-08,118.83
2008-09-09,118.94
2008-09-10,118.84
2008-09-11,119.12
2008-09-12,119.12
2008-09-15,119.5
2008-09-16,119.5
2008-09-17,119.16
2008-09-18,119.04
2008-09-19,118.12
2008-09-22,117.04
2008-09-23,116.86
2008-09-24,115.06
2008-09-25,114.55
2008-09-26,113.82
2008-09-29,113.93
2008-09-30,113.56
2008-10-01,113.39
2008-10-02,112.32
2008-10-03,111.91
2008-10-06,111.11
2008-10-07,110.97
2008-10-08,110.13
2008-10-09,110.06
2008-10-10,109.66
2008-10-13,109.31
2008-10-14,110.21
2008-10-15,109.28
2008-10-16,108.28
2008-10-17,107.86
2008-10-20,108.62
2008-10-21,108.32
2008-10-22,107.73
2008-10-23,106.02
2008-10-24,105.34
2008-10-27,105.45
2008-10-28,106.49
2008-10-29,106.23
2008-10-30,105.8
2008-10-31,105.67
2008-11-03,106.0
2008-11-04,106.51
2008-11-05,108.01
2008-11-06,108.17
2008-11-07,107.86
2008-11-10,109.5
2008-11-11,110.42
2008-11-12,110.52
2008-11-13,110.11
2008-11-14,109.96
2008-11-17,109.91
2008-11-18,109.37
2008-11-19,108.92
2008-11-20,106.28
2008-11-21,106.39
2008-11-24,107.05
2008-11-25,105.16
2008-11-26,102.21
2008-11-28,101.24
2008-12-01,102.33
2008-12-02,101.67
2008-12-03,101.05
2008-12-04,99.55
2008-12-05,98.43
2008-12-08,98.21
2008-12-09,97.14
2008-12-10,96.49
2008-12-11,94.64
2008-12-12,93.9
2008-12-15,93.94
2008-12-16,92.2
2008-12-17,91.93
2008-12-18,90.77
