Year_eggs,Month_eggs,Hatching Eggs,Unit_eggs,Date,Year_herd,Month_herd,Layer_Herd,Unit_herd,Yield,Yield_YoY,Yield_LTM
2009,JUL,1025000000,EGGS,2009-07-01,2009,JUL,53701000,HEAD,1000.0,0.0,1000.0
2009,AUG,1017000000,EGGS,2009-08-01,2009,AUG,53438000,HEAD,1000.0,0.0,1000.0
2009,SEP,972000000,EGGS,2009-09-01,2009,SEP,53010000,HEAD,1000.0,0.0,1000.0
2009,OCT,1005000000,EGGS,2009-10-01,2009,OCT,53383000,HEAD,1000.0,0.0,1000.0
2009,NOV,974000000,EGGS,2009-11-01,2009,NOV,53936000,HEAD,1000.0,0.0,1000.0
2009,DEC,1012000000,EGGS,2009-12-01,2009,DEC,54632000,HEAD,1000.0,0.0,1000.0
2010,JAN,1023000000,EGGS,2010-01-01,2010,JAN,55320000,HEAD,1000.0,0.0,1000.0
2010,FEB,926000000,EGGS,2010-02-01,2010,FEB,55849000,HEAD,1000.0,0.0,1000.0
2010,MAR,1031000000,EGGS,2010-03-01,2010,MAR,55863000,HEAD,1000.0,0.0,1000.0
2010,APR,1010000000,EGGS,2010-04-01,2010,APR,56642000,HEAD,1000.0,0.0,1000.0
2010,MAY,1046000000,EGGS,2010-05-01,2010,MAY,55718000,HEAD,1000.0,0.0,1000.0
2010,JUN,1010000000,EGGS,2010-06-01,2010,JUN,56023000,HEAD,1000.0,0.0,1000.0
2010,JUL,1047000000,EGGS,2010-07-01,2010,JUL,55396000,HEAD,1000.0,0.0,1000.0
2010,AUG,1033000000,EGGS,2010-08-01,2010,AUG,54066000,HEAD,1000.0,0.0,1000.0
2010,SEP,989000000,EGGS,2010-09-01,2010,SEP,54089000,HEAD,1000.0,0.0,1000.0
2010,OCT,1017000000,EGGS,2010-10-01,2010,OCT,54658000,HEAD,1000.0,0.0,1000.0
2010,NOV,981000000,EGGS,2010-11-01,2010,NOV,54243000,HEAD,1000.0,0.0,1000.0
2010,DEC,1017000000,EGGS,2010-12-01,2010,DEC,55534000,HEAD,1000.0,0.0,1000.0
2011,JAN,1027000000,EGGS,2011-01-01,2011,JAN,55016000,HEAD,1000.0,0.0,1000.0
2011,FEB,923000000,EGGS,2011-02-01,2011,FEB,55127000,HEAD,1000.0,0.0,1000.0
2011,MAR,1032000000,EGGS,2011-03-01,2011,MAR,55701000,HEAD,1000.0,0.0,1000.0
2011,APR,1012000000,EGGS,2011-04-01,2011,APR,56021000,HEAD,1000.0,0.0,1000.0
2011,MAY,1047000000,EGGS,2011-05-01,2011,MAY,55431000,HEAD,1000.0,0.0,1000.0
2011,JUN,1010000000,EGGS,2011-06-01,2011,JUN,54805000,HEAD,1000.0,0.0,1000.0
2011,JUL,1028000000,EGGS,2011-07-01,2011,JUL,53483000,HEAD,1000.0,0.0,1000.0
2011,AUG,1004000000,EGGS,2011-08-01,2011,AUG,51708000,HEAD,1000.0,0.0,1000.0
2011,SEP,956000000,EGGS,2011-09-01,2011,SEP,50937000,HEAD,1000.0,0.0,1000.0
2011,OCT,976000000,EGGS,2011-10-01,2011,OCT,50488000,HEAD,1000.0,0.0,1000.0
2011,NOV,937000000,EGGS,2011-11-01,2011,NOV,50149000,HEAD,1000.0,0.0,1000.0
2011,DEC,967000000,EGGS,2011-12-01,2011,DEC,50399000,HEAD,1000.0,0.0,1000.0
2012,JAN,976000000,EGGS,2012-01-01,2012,JAN,50781000,HEAD,1000.0,0.0,1000.0
2012,FEB,917000000,EGGS,2012-02-01,2012,FEB,50723000,HEAD,1000.0,0.0,1000.0
2012,MAR,983000000,EGGS,2012-03-01,2012,MAR,52167000,HEAD,1000.0,0.0,1000.0
2012,APR,965000000,EGGS,2012-04-01,2012,APR,52896000,HEAD,1000.0,0.0,1000.0
2012,MAY,1006000000,EGGS,2012-05-01,2012,MAY,52814000,HEAD,1000.0,0.0,1000.0
2012,JUN,966000000,EGGS,2012-06-01,2012,JUN,51445000,HEAD,1000.0,0.0,1000.0
2012,JUL,979000000,EGGS,2012-07-01,2012,JUL,50462000,HEAD,1000.0,0.0,1000.0
2012,AUG,968000000,EGGS,2012-08-01,2012,AUG,49632000,HEAD,1000.0,0.0,1000.0
2012,SEP,923000000,EGGS,2012-09-01,2012,SEP,49413000,HEAD,1000.0,0.0,1000.0
2012,OCT,953000000,EGGS,2012-10-01,2012,OCT,49106000,HEAD,1000.0,0.0,1000.0
2012,NOV,931000000,EGGS,2012-11-01,2012,NOV,50232000,HEAD,1000.0,0.0,1000.0
2012,DEC,969800000,EGGS,2012-12-01,2012,DEC,51419000,HEAD,1000.0,0.0,1000.0
2013,JAN,981700000,EGGS,2013-01-01,2013,JAN,51321000,HEAD,1000.0,0.0,1000.0
2013,FEB,892700000,EGGS,2013-02-01,2013,FEB,51684000,HEAD,1000.0,0.0,1000.0
2013,MAR,1002200000,EGGS,2013-03-01,2013,MAR,53097000,HEAD,1000.0,0.0,1000.0
2013,APR,981100000,EGGS,2013-04-01,2013,APR,53258000,HEAD,1000.0,0.0,1000.0
2013,MAY,1024200000,EGGS,2013-05-01,2013,MAY,53513000,HEAD,1000.0,0.0,1000.0
2013,JUN,992800000,EGGS,2013-06-01,2013,JUN,52556000,HEAD,1000.0,0.0,1000.0
2013,JUL,1011500000,EGGS,2013-07-01,2013,JUL,52751000,HEAD,1000.0,0.0,1000.0
2013,AUG,1006000000,EGGS,2013-08-01,2013,AUG,51924000,HEAD,1000.0,0.0,1000.0
2013,SEP,969400000,EGGS,2013-09-01,2013,SEP,51859000,HEAD,1000.0,0.0,1000.0
2013,OCT,993300000,EGGS,2013-10-01,2013,OCT,51651000,HEAD,1000.0,0.0,1000.0
2013,NOV,960600000,EGGS,2013-11-01,2013,NOV,52249000,HEAD,1000.0,0.0,1000.0
2013,DEC,993800000,EGGS,2013-12-01,2013,DEC,52782000,HEAD,1000.0,0.0,1000.0
2014,JAN,996100000,EGGS,2014-01-01,2014,JAN,53396000,HEAD,1000.0,0.0,1000.0
2014,FEB,902400000,EGGS,2014-02-01,2014,FEB,53098000,HEAD,1000.0,0.0,1000.0
2014,MAR,997200000,EGGS,2014-03-01,2014,MAR,53474000,HEAD,1000.0,0.0,1000.0
2014,APR,968400000,EGGS,2014-04-01,2014,APR,53679000,HEAD,1000.0,0.0,1000.0
2014,MAY,1014600000,EGGS,2014-05-01,2014,MAY,53879000,HEAD,1000.0,0.0,1000.0
2014,JUN,990100000,EGGS,2014-06-01,2014,JUN,53744000,HEAD,1000.0,0.0,1000.0
2014,JUL,1025500000,EGGS,2014-07-01,2014,JUL,53928000,HEAD,1000.0,0.0,1000.0
2014,AUG,1024800000,EGGS,2014-08-01,2014,AUG,53201000,HEAD,1000.0,0.0,1000.0
2014,SEP,991800000,EGGS,2014-09-01,2014,SEP,52906000,HEAD,1000.0,0.0,1000.0
2014,OCT,1026100000,EGGS,2014-10-01,2014,OCT,53135000,HEAD,1000.0,0.0,1000.0
2014,NOV,989500000,EGGS,2014-11-01,2014,NOV,53372000,HEAD,1000.0,0.0,1000.0
2014,DEC,1029900000,EGGS,2014-12-01,2014,DEC,54402000,HEAD,1000.0,0.0,1000.0
2015,JAN,1038300000,EGGS,2015-01-01,2015,JAN,54494000,HEAD,1000.0,0.0,1000.0
2015,FEB,934500000,EGGS,2015-02-01,2015,FEB,54515000,HEAD,1000.0,0.0,1000.0
2015,MAR,1042700000,EGGS,2015-03-01,2015,MAR,55632000,HEAD,1000.0,0.0,1000.0
2015,APR,1025300000,EGGS,2015-04-01,2015,APR,55811000,HEAD,1000.0,0.0,1000.0
2015,MAY,1075100000,EGGS,2015-05-01,2015,MAY,56457000,HEAD,1000.0,0.0,1000.0
2015,JUN,1048000000,EGGS,2015-06-01,2015,JUN,55745000,HEAD,1000.0,0.0,1000.0
2015,JUL,1081200000,EGGS,2015-07-01,2015,JUL,55654000,HEAD,1000.0,0.0,1000.0
2015,AUG,1078900000,EGGS,2015-08-01,2015,AUG,55459000,HEAD,1000.0,0.0,1000.0
2015,SEP,1037300000,EGGS,2015-09-01,2015,SEP,55191000,HEAD,1000.0,0.0,1000.0
2015,OCT,1066000000,EGGS,2015-10-01,2015,OCT,55336000,HEAD,1000.0,0.0,1000.0
2015,NOV,1028500000,EGGS,2015-11-01,2015,NOV,55420000,HEAD,1000.0,0.0,1000.0
2015,DEC,1067300000,EGGS,2015-12-01,2015,DEC,56187000,HEAD,1000.0,0.0,1000.0
2016,JAN,1078300000,EGGS,2016-01-01,2016,JAN,56517000,HEAD,1000.0,0.0,1000.0
2016,FEB,1014200000,EGGS,2016-02-01,2016,FEB,57073000,HEAD,1000.0,0.0,1000.0
2016,MAR,1085200000,EGGS,2016-03-01,2016,MAR,56797000,HEAD,1000.0,0.0,1000.0
2016,APR,1056300000,EGGS,2016-04-01,2016,APR,56679000,HEAD,1000.0,0.0,1000.0
2016,MAY,1095900000,EGGS,2016-05-01,2016,MAY,56804000,HEAD,1000.0,0.0,1000.0
2016,JUN,1055900000,EGGS,2016-06-01,2016,JUN,56314000,HEAD,1000.0,0.0,1000.0
2016,JUL,1093000000,EGGS,2016-07-01,2016,JUL,56023000,HEAD,1000.0,0.0,1000.0
2016,AUG,1091400000,EGGS,2016-08-01,2016,AUG,55463000,HEAD,1000.0,0.0,1000.0
2016,SEP,1048000000,EGGS,2016-09-01,2016,SEP,55457000,HEAD,1000.0,0.0,1000.0
2016,OCT,1084700000,EGGS,2016-10-01,2016,OCT,55263000,HEAD,1000.0,0.0,1000.0
2016,NOV,1054100000,EGGS,2016-11-01,2016,NOV,55672000,HEAD,1000.0,0.0,1000.0
2016,DEC,1072200000,EGGS,2016-12-01,2016,DEC,55243000,HEAD,1000.0,0.0,1000.0
2017,JAN,1056600000,EGGS,2017-01-01,2017,JAN,55698000,HEAD,1000.0,0.0,1000.0
2017,FEB,958200000,EGGS,2017-02-01,2017,FEB,56126000,HEAD,1000.0,0.0,1000.0
2017,MAR,1067600000,EGGS,2017-03-01,2017,MAR,56750000,HEAD,1000.0,0.0,1000.0
2017,APR,1040000000,EGGS,2017-04-01,2017,APR,57070000,HEAD,1000.0,0.0,1000.0
2017,MAY,1080700000,EGGS,2017-05-01,2017,MAY,57403000,HEAD,1000.0,0.0,1000.0
2017,JUN,1054000000,EGGS,2017-06-01,2017,JUN,57341000,HEAD,1000.0,0.0,1000.0
2017,JUL,1100200000,EGGS,2017-07-01,2017,JUL,57214000,HEAD,1000.0,0.0,1000.0
2017,AUG,1095000000,EGGS,2017-08-01,2017,AUG,56989000,HEAD,1000.0,0.0,1000.0
2017,SEP,1054700000,EGGS,2017-09-01,2017,SEP,57638000,HEAD,1000.0,0.0,1000.0
2017,OCT,1089400000,EGGS,2017-10-01,2017,OCT,57128000,HEAD,1000.0,0.0,1000.0
2017,NOV,1044900000,EGGS,2017-11-01,2017,NOV,57082000,HEAD,1000.0,0.0,1000.0
2017,DEC,1064900000,EGGS,2017-12-01,2017,DEC,57208000,HEAD,1000.0,0.0,1000.0
2018,JAN,1066600000,EGGS,2018-01-01,2018,JAN,58103000,HEAD,1000.0,0.0,1000.0
2018,FEB,975200000,EGGS,2018-02-01,2018,FEB,58148000,HEAD,1000.0,0.0,1000.0
2018,MAR,1088500000,EGGS,2018-03-01,2018,MAR,59245000,HEAD,1000.0,0.0,1000.0
2018,APR,1066000000,EGGS,2018-04-01,2018,APR,59555000,HEAD,1000.0,0.0,1000.0
2018,MAY,1113200000,EGGS,2018-05-01,2018,MAY,59657000,HEAD,1000.0,0.0,1000.0
2018,JUN,1086500000,EGGS,2018-06-01,2018,JUN,58992000,HEAD,1000.0,0.0,1000.0
2018,JUL,1120300000,EGGS,2018-07-01,2018,JUL,58359000,HEAD,1000.0,0.0,1000.0
2018,AUG,1113300000,EGGS,2018-08-01,2018,AUG,57525000,HEAD,1000.0,0.0,1000.0
2018,SEP,1068800000,EGGS,2018-09-01,2018,SEP,57362000,HEAD,1000.0,0.0,1000.0
2018,OCT,1098200000,EGGS,2018-10-01,2018,OCT,57634000,HEAD,1000.0,0.0,1000.0
2018,NOV,1065000000,EGGS,2018-11-01,2018,NOV,57751000,HEAD,1000.0,0.0,1000.0
2018,DEC,1089400000,EGGS,2018-12-01,2018,DEC,58243000,HEAD,1000.0,0.0,1000.0
2019,JAN,1092000000,EGGS,2019-01-01,2019,JAN,59181000,HEAD,1000.0,0.0,1000.0
2019,FEB,1003100000,EGGS,2019-02-01,2019,FEB,59476000,HEAD,1000.0,0.0,1000.0
2019,MAR,1114000000,EGGS,2019-03-01,2019,MAR,59435000,HEAD,1000.0,0.0,1000.0
2019,APR,1080200000,EGGS,2019-04-01,2019,APR,59566000,HEAD,1000.0,0.0,1000.0
2019,MAY,1124300000,EGGS,2019-05-01,2019,MAY,60025000,HEAD,1000.0,0.0,1000.0
2019,JUN,1091000000,EGGS,2019-06-01,2019,JUN,59418000,HEAD,1000.0,0.0,1000.0
2019,JUL,1126300000,EGGS,2019-07-01,2019,JUL,59062000,HEAD,1000.0,0.0,1000.0
2019,AUG,1119400000,EGGS,2019-08-01,2019,AUG,58450000,HEAD,1000.0,0.0,1000.0
2019,SEP,1077600000,EGGS,2019-09-01,2019,SEP,58450000,HEAD,1000.0,0.0,1000.0
2019,OCT,1116400000,EGGS,2019-10-01,2019,OCT,59035000,HEAD,1000.0,0.0,1000.0
2019,NOV,1079500000,EGGS,2019-11-01,2019,NOV,59008000,HEAD,1000.0,0.0,1000.0
2019,DEC,1119900000,EGGS,2019-12-01,2019,DEC,59989000,HEAD,1000.0,0.0,1000.0
2020,JAN,1135500000,EGGS,2020-01-01,2020,JAN,61085000,HEAD,1000.0,0.0,1000.0
2020,FEB,1072500000,EGGS,2020-02-01,2020,FEB,60849000,HEAD,1000.0,0.0,1000.0
2020,MAR,1148400000,EGGS,2020-03-01,2020,MAR,61719000,HEAD,1000.0,0.0,1000.0
2020,APR,1115300000,EGGS,2020-04-01,2020,APR,61478000,HEAD,1000.0,0.0,1000.0
2020,MAY,1152100000,EGGS,2020-05-01,2020,MAY,60828000,HEAD,1000.0,0.0,1000.0
2020,JUN,1125900000,EGGS,2020-06-01,2020,JUN,61090000,HEAD,1000.0,0.0,1000.0
2020,JUL,1172500000,EGGS,2020-07-01,2020,JUL,61089000,HEAD,1000.0,0.0,1000.0
2020,AUG,1170200000,EGGS,2020-08-01,2020,AUG,60593000,HEAD,1000.0,0.0,1000.0
2020,SEP,1136400000,EGGS,2020-09-01,2020,SEP,60650000,HEAD,1000.0,0.0,1000.0
2020,OCT,1175100000,EGGS,2020-10-01,2020,OCT,60555000,HEAD,1000.0,0.0,1000.0
2020,NOV,1129600000,EGGS,2020-11-01,2020,NOV,60942000,HEAD,1000.0,0.0,1000.0
2020,DEC,1165600000,EGGS,2020-12-01,2020,DEC,61758000,HEAD,1000.0,0.0,1000.0
2021,JAN,1171800000,EGGS,2021-01-01,2021,JAN,62084000,HEAD,1000.0,0.0,1000.0
2021,FEB,1065600000,EGGS,2021-02-01,2021,FEB,62303000,HEAD,1000.0,0.0,1000.0
2021,MAR,1204500000,EGGS,2021-03-01,2021,MAR,63258000,HEAD,1000.0,0.0,1000.0
2021,APR,1185700000,EGGS,2021-04-01,2021,APR,63078000,HEAD,1000.0,0.0,1000.0
2021,MAY,1230000000,EGGS,2021-05-01,2021,MAY,62661000,HEAD,1000.0,0.0,1000.0
2021,JUN,1181700000,EGGS,2021-06-01,2021,JUN,62030000,HEAD,1000.0,0.0,1000.0
2021,JUL,1202700000,EGGS,2021-07-01,2021,JUL,61514000,HEAD,1000.0,0.0,1000.0
2021,AUG,1204700000,EGGS,2021-08-01,2021,AUG,61347000,HEAD,1000.0,0.0,1000.0
2021,SEP,1172600000,EGGS,2021-09-01,2021,SEP,60982000,HEAD,1000.0,0.0,1000.0
2021,OCT,1210700000,EGGS,2021-10-01,2021,OCT,60927000,HEAD,1000.0,0.0,1000.0
2021,NOV,1171200000,EGGS,2021-11-01,2021,NOV,61267000,HEAD,1000.0,0.0,1000.0
2021,DEC,1210100000,EGGS,2021-12-01,2021,DEC,62323000,HEAD,1000.0,0.0,1000.0
2022,JAN,1213400000,EGGS,2022-01-01,2022,JAN,62114000,HEAD,1000.0,0.0,1000.0
2022,FEB,1123800000,EGGS,2022-02-01,2022,FEB,62732000,HEAD,1000.0,0.0,1000.0
2022,MAR,1249900000,EGGS,2022-03-01,2022,MAR,62407000,HEAD,1000.0,0.0,1000.0
2022,APR,1193100000,EGGS,2022-04-01,2022,APR,62506000,HEAD,1000.0,0.0,1000.0
2022,MAY,1235200000,EGGS,2022-05-01,2022,MAY,62800000,HEAD,1000.0,0.0,1000.0
2022,JUN,1190300000,EGGS,2022-06-01,2022,JUN,62112000,HEAD,1000.0,0.0,1000.0
2022,JUL,1224800000,EGGS,2022-07-01,2022,JUL,62257000,HEAD,1000.0,0.0,1000.0
2022,AUG,1222500000,EGGS,2022-08-01,2022,AUG,62089000,HEAD,1000.0,0.0,1000.0
2022,SEP,1179700000,EGGS,2022-09-01,2022,SEP,61849000,HEAD,1000.0,0.0,1000.0
2022,OCT,1214400000,EGGS,2022-10-01,2022,OCT,61595000,HEAD,1000.0,0.0,1000.0
2022,NOV,1163400000,EGGS,2022-11-01,2022,NOV,61414000,HEAD,1000.0,0.0,1000.0
2022,DEC,1177400000,EGGS,2022-12-01,2022,DEC,61770000,HEAD,1000.0,0.0,1000.0
2023,JAN,1170300000,EGGS,2023-01-01,2023,JAN,62331000,HEAD,1000.0,0.0,1000.0
2023,FEB,1073000000,EGGS,2023-02-01,2023,FEB,63418000,HEAD,1000.0,0.0,1000.0
2023,MAR,1201200000,EGGS,2023-03-01,2023,MAR,63836000,HEAD,1000.0,0.0,1000.0
2023,APR,1170400000,EGGS,2023-04-01,2023,APR,64435000,HEAD,1000.0,0.0,1000.0
2023,MAY,1220600000,EGGS,2023-05-01,2023,MAY,64323000,HEAD,1000.0,0.0,1000.0
2023,JUN,1186200000,EGGS,2023-06-01,2023,JUN,64367000,HEAD,1000.0,0.0,1000.0
2023,JUL,1226100000,EGGS,2023-07-01,2023,JUL,63815000,HEAD,1000.0,0.0,1000.0
2023,AUG,1224400000,EGGS,2023-08-01,2023,AUG,63018000,HEAD,1000.0,0.0,1000.0
2023,SEP,1180000000,EGGS,2023-09-01,2023,SEP,63045000,HEAD,1000.0,0.0,1000.0
2023,OCT,1216300000,EGGS,2023-10-01,2023,OCT,63103000,HEAD,1000.0,0.0,1000.0
2023,NOV,1173800000,EGGS,2023-11-01,2023,NOV,63332000,HEAD,1000.0,0.0,1000.0
2023,DEC,1199500000,EGGS,2023-12-01,2023,DEC,63524000,HEAD,1000.0,0.0,1000.0
2024,JAN,1199800000,EGGS,2024-01-01,2024,JAN,62634000,HEAD,1000.0,0.0,1000.0
2024,FEB,1128800000,EGGS,2024-02-01,2024,FEB,62090000,HEAD,1000.0,0.0,1000.0
2024,MAR,1206100000,EGGS,2024-03-01,2024,MAR,62484000,HEAD,1000.0,0.0,1000.0
2024,APR,1162500000,EGGS,2024-04-01,2024,APR,61798000,HEAD,1000.0,0.0,1000.0
2024,MAY,1193000000,EGGS,2024-05-01,2024,MAY,61327000,HEAD,1000.0,0.0,1000.0
2024,JUN,1155800000,EGGS,2024-06-01,2024,JUN,61831000,HEAD,1000.0,0.0,1000.0
2024,JUL,1199000000,EGGS,2024-07-01,2024,JUL,61589000,HEAD,1000.0,0.0,1000.0
2024,AUG,1216100000,EGGS,2024-08-01,2024,AUG,61485000,HEAD,1000.0,0.0,1000.0
2024,SEP,1180200000,EGGS,2024-09-01,2024,SEP,61299000,HEAD,1000.0,0.0,1000.0
2024,OCT,1199800000,EGGS,2024-10-01,2024,OCT,60709000,HEAD,1000.0,0.0,1000.0
2024,NOV,1153000000,EGGS,2024-11-01,2024,NOV,60906000,HEAD,1000.0,0.0,1000.0
2024,DEC,1187600000,EGGS,2024-12-01,2024,DEC,61100000,HEAD,1000.0,0.0,1000.0
2025,JAN,1195800000,EGGS,2025-01-01,2025,JAN,61928000,HEAD,1000.0,0.0,1000.0
2025,FEB,1086400000,EGGS,2025-02-01,2025,FEB,61611000,HEAD,1000.0,0.0,1000.0
