DATE,US_HOG_CARCASS_PRICE
2003-09-02,48.01
2003-09-03,47.49
2003-09-04,49.01
2003-09-05,49.82
2003-09-08,50.97
2004-01-02,48.55
2004-01-05,50.05
2004-01-06,50.5
2004-01-07,50.45
2004-01-08,49.98
2004-01-09,49.57
2004-01-12,49.13
2004-01-13,49.06
2004-01-14,49.08
2004-01-15,49.45
2004-01-16,50.24
2004-01-19,50.82
2004-01-20,51.84
2004-01-21,52.98
2004-01-22,54.66
2004-01-23,55.23
2004-02-02,56.01
2004-02-03,56.9
2004-02-04,57.19
2004-02-05,58.42
2004-02-06,59.67
2004-02-09,60.39
2004-02-10,61.39
2004-02-11,61.47
2004-02-12,61.87
2004-02-13,61.71
2004-02-16,61.34
2004-02-17,60.9
2004-02-18,61.08
2004-02-19,60.59
2004-02-20,60.43
2004-02-23,59.82
2004-02-24,59.03
2004-02-25,58.65
2004-02-26,58.92
2004-02-27,59.7
2004-03-01,61.05
2004-03-02,62.73
2004-03-03,62.96
2004-03-04,63.13
2004-03-05,62.87
2004-03-08,62.4
2004-03-09,62.33
2004-03-10,61.66
2004-03-11,62.67
2004-03-12,63.35
2004-03-15,64.12
2004-03-16,65.13
2004-03-17,65.38
2004-03-18,65.82
2004-03-19,66.21
2004-03-22,66.39
2004-03-23,66.87
2004-03-24,66.42
2004-03-25,65.83
2004-03-26,65.92
2004-03-29,65.62
2004-03-30,65.24
2004-03-31,64.32
2004-04-01,63.1
2004-04-02,62.21
2004-04-05,60.67
2004-04-06,59.6
2004-04-07,59.4
2004-04-08,59.56
2004-04-09,59.82
2004-04-12,61.34
2004-04-13,62.15
2004-04-14,62.37
2004-04-15,63.26
2004-04-16,64.94
2004-04-19,65.65
2004-04-20,66.19
2004-04-21,66.13
2004-04-22,66.13
2004-04-27,67.76
2004-04-28,69.41
2004-04-29,70.54
2004-04-30,71.9
2004-05-03,73.13
2004-05-04,73.46
2004-05-05,74.61
2004-05-06,75.01
2004-05-07,76.86
2004-05-10,77.55
2004-05-11,79.49
2004-05-12,80.62
2004-05-13,80.62
2004-05-14,81.6
2004-05-17,81.2
2004-05-18,81.47
2004-05-19,80.4
2004-05-20,79.25
2004-05-21,78.7
2004-05-24,78.26
2004-05-25,77.22
2004-05-26,75.33
2004-05-27,74.02
2004-05-28,73.29
2004-06-01,72.57
2004-06-02,72.63
2004-06-03,73.65
2004-06-04,75.31
2004-06-07,76.14
2004-06-08,77.2
2004-06-09,76.68
2004-06-10,76.72
2004-06-14,77.13
2004-06-15,76.78
2004-06-16,76.45
2004-06-17,75.4
2004-06-18,78.2
2004-06-21,78.14
2004-06-22,79.83
2004-06-23,80.08
2004-06-24,79.8
2004-06-25,79.6
2004-06-28,78.29
2004-06-29,77.3
2004-07-01,76.26
2004-07-02,76.72
2004-07-06,76.83
2004-07-07,76.6
2004-07-08,76.2
2004-07-09,76.87
2004-07-12,76.46
2004-07-13,77.53
2004-07-14,77.02
2004-07-15,76.86
2004-07-16,76.73
2004-07-19,76.53
2004-07-20,76.84
2004-07-21,76.57
2004-07-22,76.14
2004-07-23,76.55
2004-07-27,76.75
2004-07-28,77.18
2004-07-29,77.51
2004-07-30,77.43
2004-08-02,76.75
2004-08-03,77.05
2004-08-04,77.41
2004-08-05,77.35
2004-08-06,77.74
2004-08-09,77.65
2004-08-10,76.77
2004-08-11,75.6
2004-08-12,74.95
2004-08-13,73.99
2004-08-17,72.55
2004-08-18,72.32
2004-08-19,72.05
2004-08-20,72.14
2004-08-23,71.89
2004-08-24,71.81
2004-08-25,70.82
2004-08-26,70.1
2004-08-27,70.02
2004-08-30,69.56
2004-08-31,69.94
2004-09-01,70.39
2004-09-02,70.87
2004-09-03,70.04
2004-09-07,69.74
2004-09-08,69.23
2004-09-09,69.33
2004-09-10,69.96
2004-09-13,70.95
2004-09-14,71.96
2004-09-15,73.77
2004-09-16,74.24
2004-09-17,75.62
2004-09-20,76.86
2004-09-21,79.04
2004-09-22,79.55
2004-09-23,80.49
2004-09-24,80.11
2004-09-27,80.03
2004-09-28,78.82
2004-09-29,77.92
2004-09-30,77.7
2004-10-01,77.7
2004-10-04,76.38
2004-10-05,75.33
2004-10-06,73.7
2004-10-07,72.89
2004-10-11,70.12
2004-10-12,69.16
2004-10-14,67.5
2004-10-15,67.19
2004-10-18,66.86
2004-10-19,66.91
2004-10-20,67.22
2004-10-21,68.85
2004-10-22,69.48
2004-10-25,69.9
2004-10-26,69.54
2004-10-27,69.18
2004-10-28,69.53
2004-10-29,69.43
2004-11-01,70.27
2004-11-02,71.91
2004-11-03,72.77
2004-11-04,74.29
2004-11-05,75.64
2004-11-08,72.93
2004-11-09,72.66
2004-11-10,72.19
2004-11-11,75.02
2004-11-12,75.43
2004-11-15,75.49
2004-11-16,77.68
2004-11-17,77.7
2004-11-18,77.87
2004-11-22,75.19
2004-11-23,74.56
2004-11-24,75.14
2004-11-29,77.08
2004-11-30,78.37
2004-12-01,80.08
2004-12-02,81.65
2004-12-06,79.04
2004-12-07,77.4
2004-12-08,75.67
2004-12-09,74.85
2004-12-10,72.19
2004-12-13,69.96
2004-12-14,68.35
2004-12-15,67.19
2004-12-16,65.95
2004-12-17,64.6
2004-12-20,63.31
2004-12-22,61.42
2004-12-23,61.07
2004-12-27,61.32
2004-12-28,61.71
2004-12-29,62.58
2004-12-30,64.56
2005-01-03,68.48
2005-01-04,69.53
2005-01-05,69.7
2005-01-06,71.11
2005-01-07,70.67
2005-01-10,69.88
2005-01-11,69.52
2005-01-12,69.16
2005-01-13,70.32
2005-01-14,70.46
2005-01-17,71.89
2005-01-18,72.2
2005-01-19,72.05
2005-01-20,72.07
2005-01-21,72.38
2005-01-24,72.52
2005-01-26,73.55
2005-01-27,73.76
2005-01-28,73.78
2005-01-31,72.47
2005-02-01,71.97
2005-02-03,70.65
2005-02-04,68.57
2005-02-07,66.99
2005-02-08,66.12
2005-02-09,65.04
2005-02-10,64.67
2005-02-11,64.36
2005-02-14,64.05
2005-02-15,64.19
2005-02-16,65.21
2005-02-17,66.31
2005-02-18,66.87
2005-02-21,68.39
2005-02-23,68.86
2005-02-24,69.53
2005-02-25,69.42
2005-02-28,68.28
2005-03-01,67.96
2005-03-02,68.75
2005-03-03,70.29
2005-03-04,72.22
2005-03-07,72.91
2005-03-08,74.57
2005-03-09,75.63
2005-03-10,74.01
2005-03-11,69.33
2005-03-14,66.22
2005-03-15,65.32
2005-03-16,65.56
2005-03-17,65.74
2005-03-18,66.38
2005-03-21,66.44
2005-03-22,66.8
2005-03-23,66.49
2005-03-24,64.99
2005-03-28,64.37
2005-03-29,64.73
2005-03-30,65.19
2005-03-31,65.2
2005-04-01,65.75
2005-04-04,66.61
2005-04-05,67.55
2005-04-06,66.23
2005-04-07,66.89
2005-04-08,66.51
2005-04-11,67.22
2005-04-12,68.53
2005-04-13,69.16
2005-04-14,69.62
2005-04-15,68.7
2005-04-18,68.05
2005-04-19,67.83
2005-04-20,68.78
2005-04-21,68.7
2005-04-22,68.97
2005-04-25,68.8
2005-04-26,70.14
2005-04-27,70.64
2005-04-28,72.04
2005-04-29,73.71
2005-05-02,74.96
2005-05-03,76.58
2005-05-04,77.7
2005-05-05,77.8
2005-05-06,78.29
2005-05-09,76.33
2005-05-10,75.04
2005-05-11,73.99
2005-05-12,73.92
2005-05-13,74.31
2005-05-16,75.33
2005-05-17,75.53
2005-05-18,74.91
2005-05-19,74.12
2005-05-20,72.26
2005-05-23,71.52
2005-05-24,69.81
2005-05-25,67.99
2005-05-26,67.21
2005-05-27,66.77
2005-05-31,66.79
2005-06-01,66.41
2005-06-02,67.18
2005-06-06,65.71
2005-06-07,65.03
2005-06-08,64.98
2005-06-09,65.04
2005-06-10,65.81
2005-06-13,66.88
2005-06-14,67.83
2005-06-15,69.34
2005-06-16,70.03
2005-06-17,68.61
2005-06-20,68.08
2005-06-21,67.6
2005-06-22,66.7
2005-06-23,65.67
2005-06-24,65.24
2005-06-27,65.21
2005-06-28,64.19
2005-06-29,63.69
2005-06-30,63.46
2005-07-01,63.99
2005-07-05,63.85
2005-07-06,65.48
2005-07-07,66.38
2005-07-08,66.97
2005-07-11,67.2
2005-07-12,67.8
2005-07-13,67.78
2005-07-14,68.07
2005-07-15,67.09
2005-07-18,66.64
2005-07-19,66.32
2005-07-20,66.45
2005-07-21,66.88
2005-07-22,68.03
2005-07-25,69.37
2005-07-26,69.72
2005-07-27,69.76
2005-07-28,68.91
2005-07-29,67.05
2005-08-01,67.17
2005-08-02,67.78
2005-08-03,67.81
2005-08-04,68.14
2005-08-05,67.79
2005-08-08,68.52
2005-08-09,68.5
2005-08-10,67.48
2005-08-11,67.18
2005-08-12,66.0
2005-08-15,65.64
2005-08-16,66.07
2005-08-17,67.18
2005-08-18,68.77
2005-08-19,69.58
2005-08-22,71.84
2005-08-23,71.59
2005-08-24,69.61
2005-08-25,68.97
2005-08-26,69.27
2005-08-29,69.18
2005-08-30,69.82
2005-08-31,69.26
2005-09-01,67.69
2005-09-02,65.83
2005-09-06,64.16
2005-09-07,63.05
2005-09-08,62.79
2005-09-09,63.36
2005-09-12,64.93
2005-09-13,65.71
2005-09-14,65.13
2005-09-15,65.36
2005-09-16,64.77
2005-09-19,64.98
2005-09-20,66.45
2005-09-21,67.16
2005-09-22,67.7
2005-09-23,67.82
2005-09-26,67.78
2005-09-27,67.57
2005-09-28,67.57
2005-09-29,67.75
2005-09-30,67.23
2005-10-03,67.43
2005-10-04,67.2
2005-10-05,67.67
2005-10-06,67.07
2005-10-07,66.67
2005-10-10,65.84
2005-10-11,65.82
2005-10-12,65.22
2005-10-13,64.4
2005-10-14,63.49
2005-10-17,62.01
2005-10-18,60.64
2005-10-19,60.19
2005-10-20,60.19
2005-10-21,59.6
2005-10-24,59.64
2005-10-25,59.46
2005-10-26,58.46
2005-10-27,57.8
2005-10-28,57.51
2005-10-31,57.94
2005-11-01,58.34
2005-11-02,58.34
2005-11-03,59.96
2005-11-04,59.36
2005-11-07,60.22
2005-11-08,60.43
2005-11-09,60.34
2005-11-10,60.56
2005-11-11,61.43
2005-11-14,60.27
2005-11-15,59.56
2005-11-16,59.15
2005-11-17,58.14
2005-11-18,56.42
2005-11-21,55.14
2005-11-22,55.25
2005-11-23,55.0
2005-11-25,55.96
2005-11-28,56.08
2005-11-29,57.09
2005-11-30,58.03
2005-12-01,59.11
2005-12-02,60.25
2005-12-05,60.69
2005-12-06,61.47
2005-12-07,62.15
2005-12-08,62.58
2005-12-09,61.34
2005-12-12,60.84
2005-12-13,60.69
2005-12-14,60.28
2005-12-15,59.14
2005-12-16,57.61
2005-12-19,57.31
2005-12-20,57.01
2005-12-21,57.19
2005-12-22,57.43
2005-12-23,57.01
2005-12-27,56.99
2005-12-28,57.62
2005-12-29,57.48
2005-12-30,57.39
2006-01-03,56.32
2006-01-04,56.04
2006-01-05,56.05
2006-01-06,56.83
2006-01-09,57.37
2006-01-10,56.85
2006-01-11,55.17
2006-01-12,53.4
2006-01-13,51.79
2006-01-17,50.34
2006-01-18,52.36
2006-01-19,53.35
2006-01-23,55.21
2006-01-24,54.62
2006-01-25,53.59
2006-01-26,53.02
2006-01-27,52.34
2006-01-30,52.16
2006-01-31,52.56
2006-02-01,52.95
2006-02-02,52.08
2006-02-03,51.43
2006-02-06,53.6
2006-02-08,55.27
2006-02-09,57.04
2006-02-10,58.07
2006-02-13,58.72
2006-02-14,59.61
2006-02-15,59.74
2006-02-16,59.1
2006-02-17,60.41
2006-02-21,62.02
2006-02-22,62.92
2006-02-23,62.16
2006-02-24,60.84
2006-02-27,59.34
2006-02-28,58.94
2006-03-01,58.93
2006-03-02,59.57
2006-03-03,60.62
2006-03-06,60.78
2006-03-07,60.16
2006-03-08,59.66
2006-03-09,58.55
2006-03-10,58.2
2006-03-13,58.2
2006-03-14,57.49
2006-03-15,57.49
2006-03-16,56.38
2006-03-17,56.39
2006-03-20,56.83
2006-03-21,55.98
2006-03-22,54.94
2006-03-23,55.01
2006-03-24,54.17
2006-03-27,53.77
2006-03-28,53.24
2006-03-29,53.08
2006-03-30,52.99
2006-03-31,52.99
2006-04-03,53.66
2006-04-04,53.65
2006-04-05,53.11
2006-04-06,51.52
2006-04-07,51.44
2006-04-10,50.96
2006-04-11,50.47
2006-04-12,51.13
2006-04-13,51.25
2006-04-14,52.3
2006-04-17,52.44
2006-04-18,54.24
2006-04-19,55.95
2006-04-20,58.1
2006-04-21,59.61
2006-04-24,60.13
2006-04-25,60.82
2006-04-26,61.68
2006-04-27,62.29
2006-04-28,64.26
2006-05-01,64.29
2006-05-02,63.99
2006-05-03,63.52
2006-05-04,63.32
2006-05-05,62.86
2006-05-08,63.94
2006-05-09,64.23
2006-05-10,66.05
2006-05-11,65.87
2006-05-12,65.98
2006-05-15,64.8
2006-05-16,65.12
2006-05-17,65.92
2006-05-18,66.51
2006-05-19,66.75
2006-05-22,67.2
2006-05-23,66.39
2006-05-24,65.42
2006-05-25,64.41
2006-05-26,64.02
2006-05-30,63.43
2006-05-31,64.72
2006-06-01,65.73
2006-06-02,66.25
2006-06-05,67.21
2006-06-06,68.75
2006-06-07,70.45
2006-06-08,71.64
2006-06-09,72.17
2006-06-12,73.27
2006-06-13,73.51
2006-06-14,74.53
2006-06-15,75.61
2006-06-16,77.68
2006-06-19,79.24
2006-06-20,79.47
2006-06-21,80.08
2006-06-22,78.26
2006-06-23,77.19
2006-06-26,76.44
2006-06-27,74.59
2006-06-28,72.69
2006-06-29,71.02
2006-06-30,69.64
2006-07-03,69.36
2006-07-05,68.71
2006-07-06,69.89
2006-07-07,69.45
2006-07-10,68.88
2006-07-11,68.29
2006-07-12,67.74
2006-07-13,67.79
2006-07-14,67.23
2006-07-17,68.36
2006-07-18,69.14
2006-07-19,68.98
2006-07-20,68.74
2006-07-21,68.18
2006-07-24,67.17
2006-07-25,65.28
2006-07-26,63.85
2006-07-27,63.67
2006-07-28,64.35
2006-07-31,66.36
2006-08-01,67.84
2006-08-02,67.71
2006-08-03,68.33
2006-08-04,68.49
2006-08-07,68.54
2006-08-08,68.61
2006-08-09,69.73
2006-08-10,69.7
2006-08-11,69.4
2006-08-14,69.89
2006-08-15,68.82
2006-08-16,69.91
2006-08-17,70.21
2006-08-18,72.12
2006-08-21,73.05
2006-08-22,74.23
2006-08-23,75.15
2006-08-24,73.69
2006-08-25,72.93
2006-08-28,70.67
2006-08-29,68.88
2006-08-30,67.7
2006-08-31,66.93
2006-09-01,67.09
2006-09-05,66.54
2006-09-06,68.31
2006-09-07,67.34
2006-09-08,67.14
2006-09-11,68.48
2006-09-12,67.54
2006-09-13,67.49
2006-09-14,67.44
2006-09-15,67.48
2006-09-18,67.33
2006-09-19,65.81
2006-09-20,65.61
2006-09-21,64.53
2006-09-22,62.92
2006-09-25,61.53
2006-09-26,60.94
2006-09-27,60.77
2006-09-28,60.69
2006-09-29,60.62
2006-10-02,61.77
2006-10-03,64.4
2006-10-04,65.49
2006-10-05,66.11
2006-10-06,64.1
2006-10-09,64.37
2006-10-10,62.95
2006-10-11,62.04
2006-10-12,62.3
2006-10-13,62.8
2006-10-16,63.27
2006-10-17,63.66
2006-10-18,62.65
2006-10-19,61.21
2006-10-20,59.99
2006-10-23,59.54
2006-10-24,59.52
2006-10-25,61.03
2006-10-26,61.45
2006-10-30,62.47
2006-10-31,63.66
2006-11-01,63.69
2006-11-02,63.59
2006-11-03,63.11
2006-11-06,62.72
2006-11-07,62.6
2006-11-08,62.57
2006-11-09,61.37
2006-11-10,60.43
2006-11-13,58.65
2006-11-14,57.44
2006-11-15,56.54
2006-11-16,56.35
2006-11-17,55.94
2006-11-20,57.17
2006-11-21,58.86
2006-11-22,59.98
2006-11-24,61.37
2006-11-27,61.48
2006-11-28,61.22
2006-11-29,60.06
2006-11-30,60.38
2006-12-01,59.94
2006-12-04,60.18
2006-12-05,60.72
2006-12-06,61.37
2006-12-07,61.19
2006-12-08,61.52
2006-12-11,60.66
2006-12-12,58.51
2006-12-13,57.22
2006-12-14,57.11
2006-12-15,55.46
2006-12-18,55.16
2006-12-19,54.8
2006-12-20,56.26
2006-12-21,57.99
2006-12-22,58.35
2006-12-26,59.71
2006-12-27,60.69
2006-12-29,58.81
2007-01-02,56.8
2007-01-03,55.37
2007-01-04,55.11
2007-01-05,55.4
2007-01-08,56.07
2007-01-09,54.49
2007-01-10,54.95
2007-01-11,55.95
2007-01-12,56.75
2007-01-15,56.14
2007-01-16,57.62
2007-01-17,57.32
2007-01-18,58.95
2007-01-19,59.5
2007-01-22,58.78
2007-01-23,58.53
2007-01-24,58.66
2007-01-25,60.18
2007-01-26,61.0
2007-01-29,60.88
2007-01-30,61.25
2007-01-31,61.64
2007-02-01,63.27
2007-02-02,64.1
2007-02-05,63.8
2007-02-06,64.48
2007-02-07,64.17
2007-02-08,64.54
2007-02-09,64.96
2007-02-12,64.98
2007-02-13,64.59
2007-02-14,64.93
2007-02-15,65.74
2007-02-16,65.68
2007-02-19,65.46
2007-02-20,64.5
2007-02-21,63.11
2007-02-22,62.73
2007-02-23,62.08
2007-02-26,62.02
2007-02-27,62.23
2007-02-28,61.85
2007-03-01,62.43
2007-03-02,61.85
2007-03-05,61.37
2007-03-06,60.76
2007-03-07,60.76
2007-03-08,61.29
2007-03-09,59.46
2007-03-12,59.96
2007-03-13,59.74
2007-03-14,60.0
2007-03-15,58.83
2007-03-16,58.64
2007-03-19,59.64
2007-03-20,58.81
2007-03-21,57.25
2007-03-22,57.17
2007-03-23,56.88
2007-03-26,58.09
2007-03-27,58.99
2007-03-28,57.98
2007-03-29,58.34
2007-03-30,58.89
2007-04-02,59.79
2007-04-03,60.63
2007-04-04,60.24
2007-04-05,60.85
2007-04-06,60.89
2007-04-09,60.8
2007-04-10,61.79
2007-04-11,62.65
2007-04-12,63.06
2007-04-13,64.08
2007-04-16,65.02
2007-04-17,66.17
2007-04-18,66.41
2007-04-19,67.17
2007-04-20,66.97
2007-04-23,67.56
2007-04-24,68.02
2007-04-25,68.86
2007-04-26,69.08
2007-04-27,69.4
2007-04-30,71.07
2007-05-01,71.55
2007-05-02,71.95
2007-05-03,71.86
2007-05-04,73.43
2007-05-07,72.22
2007-05-08,71.65
2007-05-09,71.02
2007-05-10,70.47
2007-05-11,70.67
2007-05-14,70.32
2007-05-15,70.4
2007-05-16,71.29
2007-05-17,72.64
2007-05-18,72.83
2007-05-21,74.19
2007-05-22,73.46
2007-05-23,73.6
2007-05-24,72.84
2007-05-25,73.27
2007-05-29,71.94
2007-05-30,71.72
2007-05-31,72.08
2007-06-01,70.18
2007-06-04,70.85
2007-06-05,70.65
2007-06-06,70.84
2007-06-07,69.99
2007-06-08,69.48
2007-06-11,69.74
2007-06-12,69.88
2007-06-13,69.93
2007-06-14,71.05
2007-06-15,72.55
2007-06-18,74.69
2007-06-19,75.52
2007-06-20,76.51
2007-06-21,76.71
2007-06-22,76.74
2007-06-25,76.13
2007-06-26,73.95
2007-06-27,72.53
2007-06-28,71.07
2007-06-29,70.61
2007-07-02,69.93
2007-07-03,69.71
2007-07-05,70.11
2007-07-06,68.75
2007-07-09,68.68
2007-07-10,66.78
2007-07-11,65.94
2007-07-12,65.15
2007-07-13,66.44
2007-07-16,66.19
2007-07-17,66.46
2007-07-18,66.86
2007-07-20,68.26
2007-07-23,69.75
2007-07-24,71.72
2007-07-25,72.24
2007-07-26,70.26
2007-07-27,70.49
2007-07-30,70.95
2007-07-31,69.68
2007-08-01,70.16
2007-08-02,69.99
2007-08-03,70.5
2007-08-06,73.47
2007-08-07,75.13
2007-08-08,73.92
2007-08-09,72.0
2007-08-10,71.23
2007-08-13,70.79
2007-08-15,67.84
2007-08-16,67.15
2007-08-17,66.68
2007-08-20,66.68
2007-08-21,66.33
2007-08-22,65.97
2007-08-23,65.9
2007-08-24,64.49
2007-08-27,63.43
2007-08-28,62.19
2007-08-29,61.36
2007-08-30,61.69
2007-08-31,61.62
2007-09-04,61.03
2007-09-06,60.65
2007-09-07,61.45
2007-09-10,61.53
2007-09-11,61.1
2007-09-12,61.72
2007-09-13,61.0
2007-09-14,62.51
2007-09-17,61.75
2007-09-18,62.67
2007-09-19,62.39
2007-09-20,61.54
2007-09-21,61.83
2007-09-24,60.41
2007-09-25,58.81
2007-09-26,57.18
2007-09-27,55.96
2007-09-28,56.15
2007-10-01,54.38
2007-10-02,54.73
2007-10-03,54.66
2007-10-04,55.38
2007-10-05,55.31
2007-10-08,55.67
2007-10-09,54.77
2007-10-10,54.51
2007-10-11,54.72
2007-10-12,55.35
2007-10-15,56.72
2007-10-16,56.18
2007-10-17,54.99
2007-10-18,56.37
2007-10-19,55.38
2007-10-22,54.94
2007-10-23,53.89
2007-10-24,53.37
2007-10-25,53.29
2007-10-26,53.58
2007-10-29,53.17
2007-10-30,52.41
2007-10-31,51.28
2007-11-01,50.82
2007-11-02,49.69
2007-11-05,48.82
2007-11-07,46.47
2007-11-08,46.28
2007-11-09,46.05
2007-11-12,46.63
2007-11-13,45.26
2007-11-14,45.45
2007-11-15,45.96
2007-11-16,44.7
2007-11-19,45.58
2007-11-20,45.97
2007-11-21,47.34
2007-11-23,48.07
2007-11-26,48.39
2007-11-27,49.36
2007-11-28,48.66
2007-11-29,50.59
2007-11-30,51.11
2007-12-03,51.23
2007-12-04,51.62
2007-12-05,51.8
2007-12-06,52.26
2007-12-07,53.31
2007-12-10,52.81
2007-12-11,53.67
2007-12-12,53.94
2007-12-13,53.49
2007-12-14,53.31
2007-12-17,52.66
2007-12-18,51.73
2007-12-19,50.87
2007-12-20,50.69
2007-12-21,50.13
2007-12-26,49.16
2007-12-27,49.22
2007-12-28,48.56
2007-12-31,47.37
2008-01-02,49.09
2008-01-03,47.3
2008-01-04,46.55
2008-01-07,45.58
2008-01-08,45.06
2008-01-09,45.76
2008-01-10,45.63
2008-01-11,46.39
2008-01-14,46.59
2008-01-15,45.75
2008-01-16,47.14
2008-01-17,46.99
2008-01-18,47.49
2008-01-21,48.07
2008-01-22,50.05
2008-01-23,50.59
2008-01-24,50.8
2008-01-25,51.52
2008-01-28,51.96
2008-01-29,52.84
2008-01-30,52.07
2008-01-31,53.12
2008-02-01,54.02
2008-02-04,55.35
2008-02-05,56.24
2008-02-06,56.42
2008-02-07,56.07
2008-02-08,55.19
2008-02-11,55.71
2008-02-12,56.18
2008-02-13,57.0
2008-02-14,57.42
2008-02-15,57.52
2008-02-18,57.92
2008-02-19,58.48
2008-02-20,58.84
2008-02-21,58.68
2008-02-22,57.76
2008-02-25,58.26
2008-02-26,58.29
2008-02-27,57.07
2008-02-28,55.23
2008-02-29,55.46
2008-03-03,53.86
2008-03-04,53.21
2008-03-05,52.18
2008-03-06,52.17
2008-03-07,51.96
2008-03-10,51.59
2008-03-11,51.75
2008-03-12,51.49
2008-03-13,49.9
2008-03-14,49.46
2008-03-17,49.67
2008-03-18,49.41
2008-03-19,49.66
2008-03-20,49.09
2008-03-21,49.06
2008-03-24,49.06
2008-03-25,49.97
2008-03-26,51.32
2008-03-27,51.66
2008-03-28,52.91
2008-03-31,52.66
2008-04-01,51.87
2008-04-02,50.99
2008-04-03,52.44
2008-04-04,52.44
2008-04-07,54.42
2008-04-08,56.18
2008-04-09,57.21
2008-04-10,57.45
2008-04-11,57.18
2008-04-14,59.1
2008-04-15,60.4
2008-04-16,60.89
2008-04-17,62.64
2008-04-18,64.7
2008-04-21,66.0
2008-04-22,66.55
2008-04-23,68.13
2008-04-24,69.66
2008-04-25,70.83
2008-04-28,72.55
2008-04-29,72.41
2008-04-30,71.63
2008-05-01,72.35
2008-05-02,72.13
2008-05-05,73.93
2008-05-06,75.19
2008-05-07,76.72
2008-05-08,77.32
2008-05-09,78.27
2008-05-12,80.44
2008-05-13,81.18
2008-05-14,82.05
2008-05-15,80.68
2008-05-16,79.69
2008-05-19,79.67
2008-05-20,78.1
2008-05-22,77.38
2008-05-23,76.42
2008-05-27,75.31
2008-05-28,73.62
2008-05-29,73.0
2008-05-30,72.62
2008-06-02,72.29
2008-06-03,71.85
2008-06-04,71.42
2008-06-05,71.65
2008-06-06,71.72
2008-06-09,71.67
2008-06-10,71.51
2008-06-11,70.55
2008-06-12,69.11
2008-06-13,69.61
2008-06-16,70.4
2008-06-17,71.0
2008-06-18,71.63
2008-06-19,72.41
2008-06-20,73.42
2008-06-23,74.05
2008-06-24,74.8
2008-06-25,73.65
2008-06-26,73.25
2008-06-27,72.32
2008-06-30,71.17
2008-07-01,70.43
2008-07-02,70.73
2008-07-03,69.27
2008-07-07,68.74
2008-07-08,69.58
2008-07-09,70.89
2008-07-10,71.05
2008-07-11,72.58
2008-07-14,72.4
2008-07-15,73.52
2008-07-16,74.42
2008-07-17,76.49
2008-07-18,76.51
2008-07-21,76.51
2008-07-22,78.4
2008-07-23,78.56
2008-07-24,79.69
2008-07-25,79.61
2008-07-28,79.95
2008-07-29,79.41
2008-07-30,78.93
2008-07-31,79.29
2008-08-01,80.31
2008-08-04,81.7
2008-08-05,82.07
2008-08-06,83.5
2008-08-07,85.84
2008-08-08,87.41
2008-08-11,87.13
2008-08-12,85.59
2008-08-13,85.53
2008-08-14,85.91
2008-08-15,85.28
2008-08-18,85.65
2008-08-19,85.77
2008-08-20,85.16
2008-08-21,82.77
2008-08-22,81.14
2008-08-25,79.38
2008-08-26,77.54
2008-08-27,74.36
2008-08-28,71.36
2008-08-29,69.8
2008-09-02,68.84
2008-09-03,70.31
2008-09-04,70.8
2008-09-05,72.03
2008-09-08,71.42
