DATE,BR_SOY_OIL_EXPORTS
2009-09-30,140.0
2009-10-31,96.0
2009-11-30,20.5
2009-12-31,12.67
2010-01-31,25.0
2010-02-28,93.09
2010-03-31,83.52
2010-04-30,120.42
2010-05-31,153.69
2010-06-30,249.77
2010-07-31,157.33
2010-08-31,219.5
2010-09-30,100.74
2010-10-31,93.25
2010-11-30,97.61
2010-12-31,96.26
2011-01-31,144.88
2011-02-28,72.97
2011-03-31,101.13
2011-04-30,144.54
2011-05-31,188.28
2011-06-30,211.12
2011-07-31,182.3
2011-08-31,144.89
2011-09-30,184.47
2011-10-31,47.45
2011-11-30,227.03
2011-12-31,133.25
2012-01-31,120.5
2012-02-29,153.29
2012-03-31,160.89
2012-04-30,210.8
2012-05-31,265.31
2012-06-30,190.64
2012-07-31,189.6
2012-08-31,172.09
2012-09-30,119.51
2012-10-31,70.64
2012-11-30,61.79
2012-12-31,48.49
2013-01-31,33.01
2013-02-28,52.43
2013-03-31,150.6
2013-04-30,95.71
2013-05-31,197.4
2013-06-30,104.15
2013-07-31,103.1
2013-08-31,185.08
2013-09-30,102.04
2013-10-31,168.9
2013-11-30,89.73
2013-12-31,100.63
2014-01-31,42.61
2014-02-28,52.34
2014-03-31,128.06
2014-04-30,128.36
2014-05-31,138.05
2014-06-30,161.52
2014-07-31,136.67
2014-08-31,141.22
2014-09-30,66.62
2014-10-31,85.25
2014-11-30,134.45
2014-12-31,79.63
2015-01-31,119.33
2015-02-28,109.25
2015-03-31,66.02
2015-04-30,161.33
2015-05-31,143.57
2015-06-30,100.87
2015-07-31,208.55
2015-08-31,200.6
2015-09-30,153.81
2015-10-31,165.33
2015-11-30,114.72
2015-12-31,121.28
2016-01-31,79.48
2016-02-29,71.2
2016-03-31,101.34
2016-04-30,123.57
2016-05-31,160.29
2016-06-30,172.91
2016-07-31,92.57
2016-08-31,154.51
2016-09-30,116.19
2016-10-31,31.73
2016-11-30,56.18
2016-12-31,97.04
2017-01-31,103.91
2017-02-28,103.18
2017-03-31,135.6
2017-04-30,168.29
2017-05-31,114.32
2017-06-30,114.22
2017-07-31,183.39
2017-08-31,139.22
2017-09-30,96.82
2017-10-31,83.16
2017-11-30,37.98
2017-12-31,62.42
2018-01-31,109.56
2018-02-28,108.79
2018-03-31,142.97
2018-04-30,177.43
2018-05-31,120.53
2018-06-30,120.43
2018-07-31,193.36
2018-08-31,146.79
2018-09-30,102.09
2018-10-31,87.68
2018-11-30,40.04
2018-12-31,65.81
2019-01-31,48.8
2019-02-28,40.59
2019-03-31,82.67
2019-04-30,71.35
2019-05-31,207.87
2019-06-30,150.81
2019-07-31,129.13
2019-08-31,109.03
2019-09-30,77.76
2019-10-31,63.85
2019-11-30,21.89
2019-12-31,37.52
2020-01-31,55.01
2020-02-29,78.14
2020-03-31,119.15
2020-04-30,127.98
2020-05-31,147.66
2020-06-30,213.09
2020-07-31,79.98
2020-08-31,93.55
2020-09-30,51.86
2020-10-31,63.87
2020-11-30,40.62
2020-12-31,38.81
2021-01-31,44.86
2021-02-28,81.38
2021-03-31,138.72
2021-04-30,156.76
2021-05-31,159.68
2021-06-30,109.62
2021-07-31,181.79
2021-08-31,127.15
2021-09-30,128.58
2021-10-31,152.89
2021-11-30,193.59
2021-12-31,175.89
2022-01-31,98.87
2022-02-28,194.29
2022-03-31,156.47
2022-04-30,234.88
2022-05-31,323.11
2022-06-30,263.0
2022-07-31,172.46
2022-08-31,286.6
2022-09-30,213.0
2022-10-31,182.76
2022-11-30,224.48
2022-12-31,246.85
2023-01-31,188.25
2023-02-28,243.37
2023-03-31,281.06
2023-04-30,231.72
2023-05-31,290.12
2023-06-30,274.37
2023-07-31,178.1
2023-08-31,164.23
2023-09-30,166.23
2023-10-31,82.28
2023-11-30,148.79
2023-12-31,84.04
2024-01-31,35.56
2024-02-29,81.05
2024-03-31,115.77
2024-04-30,145.43
2024-05-31,132.16
2024-06-30,142.97
2024-07-31,170.51
2024-08-31,122.9
2024-09-30,89.34
2024-10-31,130.38
2024-11-30,119.71
2024-12-31,81.22
2025-01-31,125.02
