DATE,BR_ETHANOL_MIX
2016-10-01,49.85
2016-10-16,50.38
2016-11-01,50.71
2016-11-16,52.05
2016-12-01,52.85
2016-12-16,58.18
2017-01-01,64.72
2017-01-16,71.33
2017-02-01,80.5
2017-02-16,88.94
2017-03-01,83.38
2017-03-16,75.95
2017-04-01,64.81
2017-04-16,60.63
2017-05-01,56.94
2017-05-16,53.19
2017-06-01,52.53
2017-06-16,50.63
2017-07-01,49.48
2017-07-16,49.59
2017-08-01,49.65
2017-08-16,49.92
2017-09-01,53.03
2017-09-16,52.02
2017-10-01,53.45
2017-10-16,56.12
2017-11-01,57.15
2017-11-16,57.62
2017-12-01,63.42
2017-12-16,59.82
2018-01-01,67.76
2018-01-16,82.99
2018-02-01,91.64
2018-02-16,91.7
2018-03-01,92.94
2018-03-16,83.47
2018-04-01,79.1
2018-04-16,68.65
2018-05-01,64.45
2018-05-16,63.52
2018-06-01,67.55
2018-06-16,63.56
2018-07-01,62.31
2018-07-16,61.69
2018-08-01,61.65
2018-08-16,64.96
2018-09-01,62.36
2018-09-16,62.68
2018-10-01,66.98
2018-10-16,67.7
2018-11-01,69.87
2018-11-16,65.92
2018-12-01,68.41
2018-12-16,71.28
2019-01-01,78.6
2019-01-16,76.95
2019-02-01,90.24
2019-02-16,95.38
2019-03-01,97.65
2019-03-16,93.95
2019-04-01,76.45
2019-04-16,76.45
2019-05-01,69.17
2019-05-16,63.78
2019-06-01,64.57
2019-06-16,64.16
2019-07-01,62.86
2019-07-16,63.97
2019-08-01,62.96
2019-08-16,64.13
2019-09-01,63.45
2019-09-16,64.9
2019-10-01,65.88
2019-10-16,65.35
2019-11-01,67.86
2019-11-16,71.73
2019-12-01,76.94
2020-01-01,85.63
2020-01-16,75.34
2020-02-01,74.19
2020-02-16,74.19
2020-03-01,100.0
2020-03-16,86.03
2020-04-01,70.67
2020-04-16,59.85
2020-05-01,54.24
2020-05-16,52.99
2020-06-01,52.74
2020-06-16,52.94
2020-07-01,52.61
2020-07-16,52.11
2020-08-01,52.07
2020-08-16,52.31
2020-09-01,53.27
2020-09-16,52.66
2020-10-01,53.79
2020-10-16,54.71
2020-11-01,56.49
2020-11-16,58.13
2020-12-01,64.64
2020-12-16,67.71
2021-01-01,80.71
2021-01-16,70.13
2021-02-01,83.13
2021-02-16,58.43
2021-03-01,71.42
2021-03-16,69.07
2021-04-01,67.79
2021-04-16,61.2
2021-05-01,55.5
2021-05-16,53.95
2021-06-01,53.71
2021-06-16,53.73
2021-07-01,52.36
2021-07-16,52.81
2021-08-01,53.78
2021-08-16,53.06
2021-09-01,53.57
2021-09-16,55.06
2021-10-01,57.54
2021-10-16,60.89
2021-11-01,62.96
2021-11-16,60.77
2021-12-01,67.55
2021-12-16,79.77
2022-01-01,100.0
2022-01-16,100.0
2022-02-01,100.0
2022-02-16,100.0
2022-03-01,100.0
2022-03-16,100.0
2022-04-01,88.96
2022-04-16,74.05
2022-05-01,62.8
2022-05-16,59.23
2022-06-01,56.84
2022-06-16,55.56
2022-07-01,54.54
2022-07-16,52.93
2022-08-01,52.23
2022-08-16,53.05
2022-09-01,51.55
2022-09-16,51.98
2022-10-01,54.58
2022-10-16,51.73
2022-11-01,51.46
2022-11-16,51.6
2022-12-01,52.36
2022-12-16,60.96
2023-01-01,54.04
2023-01-16,64.66
2023-02-01,56.87
2023-02-16,76.43
2023-03-01,95.18
2023-03-16,73.16
2023-04-01,66.57
2023-04-16,61.42
2023-05-01,56.19
2023-05-16,51.6
2023-06-01,51.24
2023-06-16,51.05
2023-07-01,50.57
2023-07-16,49.99
2023-08-01,49.35
2023-08-16,49.23
2023-09-01,49.27
2023-09-16,48.9
2023-10-01,48.88
2023-10-16,51.88
2023-11-01,51.31
2023-11-16,50.19
2023-12-01,53.49
2023-12-16,56.59
2024-01-01,62.91
2024-01-16,65.84
2024-02-01,64.98
2024-02-16,62.4
2024-03-01,76.61
2024-03-16,72.4
2024-04-01,66.5
2024-04-16,56.36
2024-05-01,51.63
2024-05-16,51.73
2024-06-01,51.72
2024-06-16,50.3
2024-07-01,50.11
2024-07-16,50.12
2024-08-01,49.72
2024-08-16,50.73
2024-09-01,51.15
2024-09-16,52.14
2024-10-01,52.21
2024-10-16,52.72
2024-11-01,53.88
2024-11-16,57.0
2024-12-01,55.11
2024-12-16,64.33
2025-01-01,68.3
2025-01-16,79.15
2025-02-01,76.16
2025-02-16,77.01
2025-03-01,76.41
2025-03-16,69.88
