Year,Month,Unit,Value,Class,Commodity,Date
2017,9,HEAD,"47,300",BULLS,CATTLE,2017-09-01
2017,10,HEAD,"47,000",BULLS,CATTLE,2017-10-01
2017,11,HEAD,"44,600",BULLS,CATTLE,2017-11-01
2017,12,HEAD,"41,500",BULLS,CATTLE,2017-12-01
2016,1,HEAD,"31,400",BULLS,CATTLE,2016-01-01
2016,2,HEAD,"32,400",BULLS,CATTLE,2016-02-01
2016,3,HEAD,"39,800",BULLS,CATTLE,2016-03-01
2016,4,HEAD,"41,300",BULLS,CATTLE,2016-04-01
2016,5,HEAD,"42,100",BULLS,CATTLE,2016-05-01
2016,6,HEAD,"46,900",BULLS,CATTLE,2016-06-01
2016,7,HEAD,"41,800",BULLS,CATTLE,2016-07-01
2016,8,HEAD,"48,200",BULLS,CATTLE,2016-08-01
2016,9,HEAD,"46,400",BULLS,CATTLE,2016-09-01
2016,10,HEAD,"43,200",BULLS,CATTLE,2016-10-01
2016,11,HEAD,"41,800",BULLS,CATTLE,2016-11-01
2016,12,HEAD,"38,600",BULLS,CATTLE,2016-12-01
2015,1,HEAD,"37,700",BULLS,CATTLE,2015-01-01
2015,2,HEAD,"29,800",BULLS,CATTLE,2015-02-01
2015,3,HEAD,"37,500",BULLS,CATTLE,2015-03-01
2015,4,HEAD,"40,700",BULLS,CATTLE,2015-04-01
2015,5,HEAD,"36,500",BULLS,CATTLE,2015-05-01
2015,6,HEAD,"42,100",BULLS,CATTLE,2015-06-01
2015,7,HEAD,"40,400",BULLS,CATTLE,2015-07-01
2015,8,HEAD,"39,600",BULLS,CATTLE,2015-08-01
2015,9,HEAD,"44,200",BULLS,CATTLE,2015-09-01
2015,10,HEAD,"42,000",BULLS,CATTLE,2015-10-01
2015,11,HEAD,"37,300",BULLS,CATTLE,2015-11-01
2015,12,HEAD,"34,500",BULLS,CATTLE,2015-12-01
2014,1,HEAD,"42,400",BULLS,CATTLE,2014-01-01
2014,2,HEAD,"37,600",BULLS,CATTLE,2014-02-01
2014,3,HEAD,"45,900",BULLS,CATTLE,2014-03-01
2014,4,HEAD,"49,500",BULLS,CATTLE,2014-04-01
2014,5,HEAD,"45,500",BULLS,CATTLE,2014-05-01
2014,6,HEAD,"46,000",BULLS,CATTLE,2014-06-01
2014,7,HEAD,"49,200",BULLS,CATTLE,2014-07-01
2014,8,HEAD,"48,400",BULLS,CATTLE,2014-08-01
2014,9,HEAD,"48,500",BULLS,CATTLE,2014-09-01
2014,10,HEAD,"50,200",BULLS,CATTLE,2014-10-01
2014,11,HEAD,"42,300",BULLS,CATTLE,2014-11-01
2014,12,HEAD,"42,300",BULLS,CATTLE,2014-12-01
2013,1,HEAD,"41,600",BULLS,CATTLE,2013-01-01
2013,2,HEAD,"36,600",BULLS,CATTLE,2013-02-01
2013,3,HEAD,"42,500",BULLS,CATTLE,2013-03-01
2013,4,HEAD,"47,100",BULLS,CATTLE,2013-04-01
2013,5,HEAD,"50,400",BULLS,CATTLE,2013-05-01
2013,6,HEAD,"46,600",BULLS,CATTLE,2013-06-01
2013,7,HEAD,"47,700",BULLS,CATTLE,2013-07-01
2013,8,HEAD,"52,100",BULLS,CATTLE,2013-08-01
2013,9,HEAD,"50,500",BULLS,CATTLE,2013-09-01
2013,10,HEAD,"53,900",BULLS,CATTLE,2013-10-01
2013,11,HEAD,"48,700",BULLS,CATTLE,2013-11-01
2013,12,HEAD,"39,600",BULLS,CATTLE,2013-12-01
2012,1,HEAD,"43,000",BULLS,CATTLE,2012-01-01
2012,2,HEAD,"40,100",BULLS,CATTLE,2012-02-01
2012,3,HEAD,"45,700",BULLS,CATTLE,2012-03-01
2012,4,HEAD,"43,100",BULLS,CATTLE,2012-04-01
2012,5,HEAD,"46,800",BULLS,CATTLE,2012-05-01
2012,6,HEAD,"47,300",BULLS,CATTLE,2012-06-01
2012,7,HEAD,"45,400",BULLS,CATTLE,2012-07-01
2012,8,HEAD,"50,600",BULLS,CATTLE,2012-08-01
2012,9,HEAD,"45,900",BULLS,CATTLE,2012-09-01
2012,10,HEAD,"51,400",BULLS,CATTLE,2012-10-01
2012,11,HEAD,"48,400",BULLS,CATTLE,2012-11-01
2012,12,HEAD,"43,700",BULLS,CATTLE,2012-12-01
2011,1,HEAD,"43,000",BULLS,CATTLE,2011-01-01
2011,2,HEAD,"42,300",BULLS,CATTLE,2011-02-01
2011,3,HEAD,"54,200",BULLS,CATTLE,2011-03-01
2011,4,HEAD,"51,700",BULLS,CATTLE,2011-04-01
2011,5,HEAD,"48,200",BULLS,CATTLE,2011-05-01
2011,6,HEAD,"47,300",BULLS,CATTLE,2011-06-01
2011,7,HEAD,"43,200",BULLS,CATTLE,2011-07-01
2011,8,HEAD,"51,500",BULLS,CATTLE,2011-08-01
2011,9,HEAD,"52,700",BULLS,CATTLE,2011-09-01
2011,10,HEAD,"50,000",BULLS,CATTLE,2011-10-01
2011,11,HEAD,"49,900",BULLS,CATTLE,2011-11-01
2011,12,HEAD,"44,500",BULLS,CATTLE,2011-12-01
2010,1,HEAD,"43,400",BULLS,CATTLE,2010-01-01
2010,2,HEAD,"37,200",BULLS,CATTLE,2010-02-01
2010,3,HEAD,"54,100",BULLS,CATTLE,2010-03-01
2010,4,HEAD,"58,100",BULLS,CATTLE,2010-04-01
2010,5,HEAD,"55,400",BULLS,CATTLE,2010-05-01
2010,6,HEAD,"54,600",BULLS,CATTLE,2010-06-01
2010,7,HEAD,"50,400",BULLS,CATTLE,2010-07-01
2010,8,HEAD,"55,000",BULLS,CATTLE,2010-08-01
2010,9,HEAD,"59,300",BULLS,CATTLE,2010-09-01
2010,10,HEAD,"54,600",BULLS,CATTLE,2010-10-01
2010,11,HEAD,"52,200",BULLS,CATTLE,2010-11-01
2010,12,HEAD,"47,400",BULLS,CATTLE,2010-12-01
2009,1,HEAD,"40,000",BULLS,CATTLE,2009-01-01
2009,2,HEAD,"38,800",BULLS,CATTLE,2009-02-01
2009,3,HEAD,"44,700",BULLS,CATTLE,2009-03-01
2009,4,HEAD,"47,800",BULLS,CATTLE,2009-04-01
2009,5,HEAD,"49,100",BULLS,CATTLE,2009-05-01
2009,6,HEAD,"50,100",BULLS,CATTLE,2009-06-01
2009,7,HEAD,"52,000",BULLS,CATTLE,2009-07-01
2009,8,HEAD,"50,300",BULLS,CATTLE,2009-08-01
2009,9,HEAD,"53,600",BULLS,CATTLE,2009-09-01
2009,10,HEAD,"52,800",BULLS,CATTLE,2009-10-01
2009,11,HEAD,"45,800",BULLS,CATTLE,2009-11-01
2009,12,HEAD,"45,200",BULLS,CATTLE,2009-12-01
2008,1,HEAD,"45,000",BULLS,CATTLE,2008-01-01
2008,2,HEAD,"40,500",BULLS,CATTLE,2008-02-01
2008,3,HEAD,"46,800",BULLS,CATTLE,2008-03-01
2008,4,HEAD,"52,000",BULLS,CATTLE,2008-04-01
2008,5,HEAD,"52,900",BULLS,CATTLE,2008-05-01
2008,6,HEAD,"53,200",BULLS,CATTLE,2008-06-01
2008,7,HEAD,"56,900",BULLS,CATTLE,2008-07-01
2008,8,HEAD,"59,000",BULLS,CATTLE,2008-08-01
2008,9,HEAD,"58,700",BULLS,CATTLE,2008-09-01
2008,10,HEAD,"55,100",BULLS,CATTLE,2008-10-01
2008,11,HEAD,"46,400",BULLS,CATTLE,2008-11-01
2008,12,HEAD,"38,200",BULLS,CATTLE,2008-12-01
2007,1,HEAD,"41,900",BULLS,CATTLE,2007-01-01
2007,2,HEAD,"34,600",BULLS,CATTLE,2007-02-01
2007,3,HEAD,"45,600",BULLS,CATTLE,2007-03-01
2007,4,HEAD,"44,000",BULLS,CATTLE,2007-04-01
2007,5,HEAD,"51,600",BULLS,CATTLE,2007-05-01
2007,6,HEAD,"48,800",BULLS,CATTLE,2007-06-01
2007,7,HEAD,"45,200",BULLS,CATTLE,2007-07-01
2007,8,HEAD,"52,400",BULLS,CATTLE,2007-08-01
2007,9,HEAD,"47,500",BULLS,CATTLE,2007-09-01
2007,10,HEAD,"54,300",BULLS,CATTLE,2007-10-01
2007,11,HEAD,"46,800",BULLS,CATTLE,2007-11-01
2007,12,HEAD,"41,200",BULLS,CATTLE,2007-12-01
2006,1,HEAD,"42,800",BULLS,CATTLE,2006-01-01
2006,2,HEAD,"37,500",BULLS,CATTLE,2006-02-01
2006,3,HEAD,"43,200",BULLS,CATTLE,2006-03-01
2006,4,HEAD,"37,000",BULLS,CATTLE,2006-04-01
2006,5,HEAD,"42,100",BULLS,CATTLE,2006-05-01
2006,6,HEAD,"45,600",BULLS,CATTLE,2006-06-01
2006,7,HEAD,"39,200",BULLS,CATTLE,2006-07-01
2006,8,HEAD,"48,600",BULLS,CATTLE,2006-08-01
2006,9,HEAD,"44,800",BULLS,CATTLE,2006-09-01
2006,10,HEAD,"47,500",BULLS,CATTLE,2006-10-01
2006,11,HEAD,"43,700",BULLS,CATTLE,2006-11-01
2006,12,HEAD,"38,900",BULLS,CATTLE,2006-12-01
2005,1,HEAD,"42,600",BULLS,CATTLE,2005-01-01
2005,2,HEAD,"39,600",BULLS,CATTLE,2005-02-01
2005,3,HEAD,"41,500",BULLS,CATTLE,2005-03-01
2005,4,HEAD,"43,300",BULLS,CATTLE,2005-04-01
2005,5,HEAD,"43,400",BULLS,CATTLE,2005-05-01
2005,6,HEAD,"44,700",BULLS,CATTLE,2005-06-01
2005,7,HEAD,"36,600",BULLS,CATTLE,2005-07-01
2005,8,HEAD,"44,600",BULLS,CATTLE,2005-08-01
2005,9,HEAD,"43,800",BULLS,CATTLE,2005-09-01
2005,10,HEAD,"40,300",BULLS,CATTLE,2005-10-01
2005,11,HEAD,"40,500",BULLS,CATTLE,2005-11-01
2005,12,HEAD,"37,400",BULLS,CATTLE,2005-12-01
2004,1,HEAD,"40,000",BULLS,CATTLE,2004-01-01
2004,2,HEAD,"35,000",BULLS,CATTLE,2004-02-01
2004,3,HEAD,"44,900",BULLS,CATTLE,2004-03-01
2004,4,HEAD,"47,200",BULLS,CATTLE,2004-04-01
2004,5,HEAD,"46,600",BULLS,CATTLE,2004-05-01
2004,6,HEAD,"50,300",BULLS,CATTLE,2004-06-01
2004,7,HEAD,"48,700",BULLS,CATTLE,2004-07-01
2004,8,HEAD,"55,900",BULLS,CATTLE,2004-08-01
2004,9,HEAD,"53,000",BULLS,CATTLE,2004-09-01
2004,10,HEAD,"47,800",BULLS,CATTLE,2004-10-01
2004,11,HEAD,"40,700",BULLS,CATTLE,2004-11-01
2004,12,HEAD,"39,800",BULLS,CATTLE,2004-12-01
2003,1,HEAD,"51,200",BULLS,CATTLE,2003-01-01
2003,2,HEAD,"44,100",BULLS,CATTLE,2003-02-01
2003,3,HEAD,"48,500",BULLS,CATTLE,2003-03-01
2003,4,HEAD,"51,200",BULLS,CATTLE,2003-04-01
2003,5,HEAD,"55,100",BULLS,CATTLE,2003-05-01
2003,6,HEAD,"52,800",BULLS,CATTLE,2003-06-01
2003,7,HEAD,"53,400",BULLS,CATTLE,2003-07-01
2003,8,HEAD,"54,900",BULLS,CATTLE,2003-08-01
2003,9,HEAD,"56,800",BULLS,CATTLE,2003-09-01
2003,10,HEAD,"60,400",BULLS,CATTLE,2003-10-01
2003,11,HEAD,"51,800",BULLS,CATTLE,2003-11-01
2003,12,HEAD,"48,300",BULLS,CATTLE,2003-12-01
2002,1,HEAD,"51,300",BULLS,CATTLE,2002-01-01
2002,2,HEAD,"44,600",BULLS,CATTLE,2002-02-01
2002,3,HEAD,"47,700",BULLS,CATTLE,2002-03-01
2002,4,HEAD,"51,900",BULLS,CATTLE,2002-04-01
2002,5,HEAD,"53,100",BULLS,CATTLE,2002-05-01
2002,6,HEAD,"52,700",BULLS,CATTLE,2002-06-01
2002,7,HEAD,"50,100",BULLS,CATTLE,2002-07-01
2002,8,HEAD,"55,000",BULLS,CATTLE,2002-08-01
2002,9,HEAD,"50,600",BULLS,CATTLE,2002-09-01
2002,10,HEAD,"52,900",BULLS,CATTLE,2002-10-01
2002,11,HEAD,"46,300",BULLS,CATTLE,2002-11-01
2002,12,HEAD,"41,900",BULLS,CATTLE,2002-12-01
2001,1,HEAD,"50,200",BULLS,CATTLE,2001-01-01
2001,2,HEAD,"44,700",BULLS,CATTLE,2001-02-01
2001,3,HEAD,"53,100",BULLS,CATTLE,2001-03-01
2001,4,HEAD,"48,400",BULLS,CATTLE,2001-04-01
2001,5,HEAD,"57,100",BULLS,CATTLE,2001-05-01
2001,6,HEAD,"53,600",BULLS,CATTLE,2001-06-01
2001,7,HEAD,"51,800",BULLS,CATTLE,2001-07-01
2001,8,HEAD,"58,800",BULLS,CATTLE,2001-08-01
2001,9,HEAD,"50,300",BULLS,CATTLE,2001-09-01
2001,10,HEAD,"58,400",BULLS,CATTLE,2001-10-01
2001,11,HEAD,"49,300",BULLS,CATTLE,2001-11-01
2001,12,HEAD,"44,800",BULLS,CATTLE,2001-12-01
2000,1,HEAD,"49,600",BULLS,CATTLE,2000-01-01
2000,2,HEAD,"49,000",BULLS,CATTLE,2000-02-01
2000,3,HEAD,"54,900",BULLS,CATTLE,2000-03-01
2000,4,HEAD,"47,300",BULLS,CATTLE,2000-04-01
2000,5,HEAD,"55,500",BULLS,CATTLE,2000-05-01
2000,6,HEAD,"55,200",BULLS,CATTLE,2000-06-01
2000,7,HEAD,"47,600",BULLS,CATTLE,2000-07-01
2000,8,HEAD,"57,500",BULLS,CATTLE,2000-08-01
2000,9,HEAD,"51,400",BULLS,CATTLE,2000-09-01
2000,10,HEAD,"52,900",BULLS,CATTLE,2000-10-01
2000,11,HEAD,"48,900",BULLS,CATTLE,2000-11-01
2000,12,HEAD,"42,000",BULLS,CATTLE,2000-12-01
1999,1,HEAD,"45,000",BULLS,CATTLE,1999-01-01
1999,2,HEAD,"43,200",BULLS,CATTLE,1999-02-01
1999,3,HEAD,"53,800",BULLS,CATTLE,1999-03-01
1999,4,HEAD,"53,300",BULLS,CATTLE,1999-04-01
1999,5,HEAD,"52,300",BULLS,CATTLE,1999-05-01
1999,6,HEAD,"55,100",BULLS,CATTLE,1999-06-01
1999,7,HEAD,"51,900",BULLS,CATTLE,1999-07-01
1999,8,HEAD,"59,700",BULLS,CATTLE,1999-08-01
1999,9,HEAD,"56,200",BULLS,CATTLE,1999-09-01
1999,10,HEAD,"55,600",BULLS,CATTLE,1999-10-01
1999,11,HEAD,"51,400",BULLS,CATTLE,1999-11-01
1999,12,HEAD,"49,500",BULLS,CATTLE,1999-12-01
1998,1,HEAD,"46,600",BULLS,CATTLE,1998-01-01
1998,2,HEAD,"43,500",BULLS,CATTLE,1998-02-01
1998,3,HEAD,"45,600",BULLS,CATTLE,1998-03-01
1998,4,HEAD,"50,200",BULLS,CATTLE,1998-04-01
1998,5,HEAD,"51,900",BULLS,CATTLE,1998-05-01
1998,6,HEAD,"54,000",BULLS,CATTLE,1998-06-01
1998,7,HEAD,"50,800",BULLS,CATTLE,1998-07-01
1998,8,HEAD,"51,900",BULLS,CATTLE,1998-08-01
1998,9,HEAD,"53,000",BULLS,CATTLE,1998-09-01
1998,10,HEAD,"51,200",BULLS,CATTLE,1998-10-01
1998,11,HEAD,"47,100",BULLS,CATTLE,1998-11-01
1998,12,HEAD,"47,300",BULLS,CATTLE,1998-12-01
1997,1,HEAD,"50,600",BULLS,CATTLE,1997-01-01
1997,2,HEAD,"48,000",BULLS,CATTLE,1997-02-01
1997,3,HEAD,"55,300",BULLS,CATTLE,1997-03-01
1997,4,HEAD,"60,200",BULLS,CATTLE,1997-04-01
1997,5,HEAD,"60,500",BULLS,CATTLE,1997-05-01
1997,6,HEAD,"60,400",BULLS,CATTLE,1997-06-01
1997,7,HEAD,"62,400",BULLS,CATTLE,1997-07-01
1997,8,HEAD,"62,600",BULLS,CATTLE,1997-08-01
1997,9,HEAD,"59,500",BULLS,CATTLE,1997-09-01
1997,10,HEAD,"62,700",BULLS,CATTLE,1997-10-01
1997,11,HEAD,"51,800",BULLS,CATTLE,1997-11-01
1997,12,HEAD,"49,400",BULLS,CATTLE,1997-12-01
1996,1,HEAD,"52,900",BULLS,CATTLE,1996-01-01
1996,2,HEAD,"51,100",BULLS,CATTLE,1996-02-01
1996,3,HEAD,"53,200",BULLS,CATTLE,1996-03-01
1996,4,HEAD,"60,300",BULLS,CATTLE,1996-04-01
1996,5,HEAD,"64,900",BULLS,CATTLE,1996-05-01
1996,6,HEAD,"58,800",BULLS,CATTLE,1996-06-01
1996,7,HEAD,"63,300",BULLS,CATTLE,1996-07-01
1996,8,HEAD,"69,100",BULLS,CATTLE,1996-08-01
1996,9,HEAD,"64,200",BULLS,CATTLE,1996-09-01
1996,10,HEAD,"70,100",BULLS,CATTLE,1996-10-01
1996,11,HEAD,"57,900",BULLS,CATTLE,1996-11-01
1996,12,HEAD,"48,900",BULLS,CATTLE,1996-12-01
1995,1,HEAD,"51,500",BULLS,CATTLE,1995-01-01
1995,2,HEAD,"51,300",BULLS,CATTLE,1995-02-01
1995,3,HEAD,"58,400",BULLS,CATTLE,1995-03-01
1995,4,HEAD,"50,600",BULLS,CATTLE,1995-04-01
1995,5,HEAD,"59,300",BULLS,CATTLE,1995-05-01
1995,6,HEAD,"61,600",BULLS,CATTLE,1995-06-01
1995,7,HEAD,"52,400",BULLS,CATTLE,1995-07-01
1995,8,HEAD,"62,200",BULLS,CATTLE,1995-08-01
1995,9,HEAD,"60,000",BULLS,CATTLE,1995-09-01
1995,10,HEAD,"61,000",BULLS,CATTLE,1995-10-01
1995,11,HEAD,"57,900",BULLS,CATTLE,1995-11-01
1995,12,HEAD,"48,100",BULLS,CATTLE,1995-12-01
1994,1,HEAD,"46,300",BULLS,CATTLE,1994-01-01
1994,2,HEAD,"45,000",BULLS,CATTLE,1994-02-01
1994,3,HEAD,"56,300",BULLS,CATTLE,1994-03-01
1994,4,HEAD,"53,300",BULLS,CATTLE,1994-04-01
1994,5,HEAD,"54,100",BULLS,CATTLE,1994-05-01
1994,6,HEAD,"53,800",BULLS,CATTLE,1994-06-01
1994,7,HEAD,"48,800",BULLS,CATTLE,1994-07-01
1994,8,HEAD,"62,600",BULLS,CATTLE,1994-08-01
1994,9,HEAD,"57,200",BULLS,CATTLE,1994-09-01
1994,10,HEAD,"52,100",BULLS,CATTLE,1994-10-01
1994,11,HEAD,"50,600",BULLS,CATTLE,1994-11-01
1994,12,HEAD,"49,000",BULLS,CATTLE,1994-12-01
1993,1,HEAD,"48,100",BULLS,CATTLE,1993-01-01
1993,2,HEAD,"45,400",BULLS,CATTLE,1993-02-01
1993,3,HEAD,"50,600",BULLS,CATTLE,1993-03-01
1993,4,HEAD,"51,100",BULLS,CATTLE,1993-04-01
1993,5,HEAD,"51,900",BULLS,CATTLE,1993-05-01
1993,6,HEAD,"59,500",BULLS,CATTLE,1993-06-01
1993,7,HEAD,"57,300",BULLS,CATTLE,1993-07-01
1993,8,HEAD,"61,200",BULLS,CATTLE,1993-08-01
1993,9,HEAD,"59,400",BULLS,CATTLE,1993-09-01
1993,10,HEAD,"58,200",BULLS,CATTLE,1993-10-01
1993,11,HEAD,"55,100",BULLS,CATTLE,1993-11-01
1993,12,HEAD,"50,200",BULLS,CATTLE,1993-12-01
1992,1,HEAD,"47,800",BULLS,CATTLE,1992-01-01
1992,2,HEAD,"44,400",BULLS,CATTLE,1992-02-01
1992,3,HEAD,"50,800",BULLS,CATTLE,1992-03-01
1992,4,HEAD,"49,900",BULLS,CATTLE,1992-04-01
1992,5,HEAD,"53,700",BULLS,CATTLE,1992-05-01
1992,6,HEAD,"56,800",BULLS,CATTLE,1992-06-01
1992,7,HEAD,"56,700",BULLS,CATTLE,1992-07-01
1992,8,HEAD,"58,100",BULLS,CATTLE,1992-08-01
1992,9,HEAD,"59,800",BULLS,CATTLE,1992-09-01
1992,10,HEAD,"61,900",BULLS,CATTLE,1992-10-01
1992,11,HEAD,"49,800",BULLS,CATTLE,1992-11-01
1992,12,HEAD,"49,300",BULLS,CATTLE,1992-12-01
1991,1,HEAD,"49,000",BULLS,CATTLE,1991-01-01
1991,2,HEAD,"46,000",BULLS,CATTLE,1991-02-01
1991,3,HEAD,"47,000",BULLS,CATTLE,1991-03-01
1991,4,HEAD,"51,000",BULLS,CATTLE,1991-04-01
1991,5,HEAD,"55,000",BULLS,CATTLE,1991-05-01
1991,6,HEAD,"50,000",BULLS,CATTLE,1991-06-01
1991,7,HEAD,"50,000",BULLS,CATTLE,1991-07-01
1991,8,HEAD,"54,000",BULLS,CATTLE,1991-08-01
1991,9,HEAD,"50,000",BULLS,CATTLE,1991-09-01
1991,10,HEAD,"59,000",BULLS,CATTLE,1991-10-01
1991,11,HEAD,"47,000",BULLS,CATTLE,1991-11-01
1991,12,HEAD,"43,000",BULLS,CATTLE,1991-12-01
1990,1,HEAD,"54,000",BULLS,CATTLE,1990-01-01
1990,2,HEAD,"45,000",BULLS,CATTLE,1990-02-01
1990,3,HEAD,"50,000",BULLS,CATTLE,1990-03-01
1990,4,HEAD,"49,000",BULLS,CATTLE,1990-04-01
1990,5,HEAD,"57,000",BULLS,CATTLE,1990-05-01
1990,6,HEAD,"54,000",BULLS,CATTLE,1990-06-01
1990,7,HEAD,"52,000",BULLS,CATTLE,1990-07-01
1990,8,HEAD,"62,000",BULLS,CATTLE,1990-08-01
1990,9,HEAD,"53,000",BULLS,CATTLE,1990-09-01
1990,10,HEAD,"59,000",BULLS,CATTLE,1990-10-01
1990,11,HEAD,"51,000",BULLS,CATTLE,1990-11-01
1990,12,HEAD,"44,000",BULLS,CATTLE,1990-12-01
