DATE,BR_ETHANOL_TRS_TOTAL
2018-11-01,3343.0
2018-11-16,2729.0
2018-12-01,1770.0
2018-12-16,1577.0
2019-01-01,360.0
2019-01-16,59.0
2019-02-01,58.0
2019-02-16,37.0
2019-03-01,55.0
2019-03-16,158.0
2019-04-01,1514.0
2019-04-16,1514.0
2019-05-01,3523.0
2019-05-16,4622.0
2019-06-01,5523.0
2019-06-16,5461.0
2019-07-01,6198.0
2019-07-16,5646.0
2019-08-01,7022.0
2019-08-16,6221.0
2019-09-01,7217.0
2019-09-16,6090.0
2019-10-01,5519.0
2019-10-16,5781.0
2019-11-01,4944.0
2019-11-16,2918.0
2019-12-01,1535.0
2019-12-16,343.0
2020-01-01,95.0
2020-01-16,18.0
2020-02-01,10.0
2020-02-16,10.0
2020-03-01,35.0
2020-03-16,307.0
2020-04-01,811.0
2020-04-16,2539.0
2020-05-01,4663.0
2020-05-16,5549.0
2020-06-01,5678.0
2020-06-16,5708.0
2020-07-01,6064.0
2020-07-16,6640.0
2020-08-01,7532.0
2020-08-16,7122.0
2020-09-01,6589.0
2020-09-16,7103.0
2020-10-01,6509.0
2020-10-16,6074.0
2020-11-01,4187.0
2020-11-16,3117.0
2020-12-01,1279.0
2020-12-16,306.0
2021-01-01,60.0
2021-01-16,27.0
2021-02-01,12.0
2021-02-16,54.0
2021-03-01,69.0
2021-03-16,170.0
2021-04-01,566.0
2021-04-16,1712.0
2021-05-01,3591.0
2021-05-16,5433.0
2021-06-01,5999.0
2021-06-16,5039.0
2021-07-01,6429.0
2021-07-16,6602.0
2021-08-01,6892.0
2021-08-16,6690.0
2021-09-01,6678.0
2021-09-16,5949.0
2021-10-01,5560.0
2021-10-16,3075.0
2021-11-01,2431.0
2021-11-16,1674.0
2021-12-01,519.0
2021-12-16,99.0
2022-01-01,0.0
2022-01-16,3.0
2022-02-01,2.0
2022-02-16,0.0
2022-03-01,16.0
2022-03-16,16.0
2022-04-01,119.0
2022-04-16,512.0
2022-05-01,2636.0
2022-05-16,4295.0
2022-06-01,5621.0
2022-06-16,5058.0
2022-07-01,5740.0
2022-07-16,6636.0
2022-08-01,7255.0
2022-08-16,5890.0
2022-09-01,6800.0
2022-09-16,6260.0
2022-10-01,3927.0
2022-10-16,3981.0
2022-11-01,4574.0
2022-11-16,3611.0
2022-12-01,2270.0
2022-12-16,800.0
2023-01-01,378.0
2023-01-16,58.0
2023-02-01,41.0
2023-02-16,10.0
2023-03-01,8.0
2023-03-16,61.0
2023-04-01,457.0
2023-04-16,1474.0
2023-05-01,2369.0
2023-05-16,5478.0
2023-06-01,6246.0
2023-06-16,5467.0
2023-07-01,5721.0
2023-07-16,6800.0
2023-08-01,7628.0
2023-08-16,7144.0
2023-09-01,7160.0
2023-09-16,6401.0
2023-10-01,6907.0
2023-10-16,4901.0
2023-11-01,5066.0
2023-11-16,4614.0
2023-12-01,3157.0
2023-12-16,2236.0
2024-01-01,667.0
2024-01-16,148.0
2024-02-01,84.0
2024-02-16,76.0
2024-03-01,72.0
2024-03-16,245.0
2024-04-01,573.0
2024-04-16,1706.0
2024-05-01,3998.0
2024-05-16,5581.0
2024-06-01,5869.0
2024-06-16,6589.0
2024-07-01,6831.0
2024-07-16,6185.0
2024-08-01,7536.0
2024-08-16,6622.0
2024-09-01,7001.0
2024-09-16,6849.0
2024-10-01,6213.0
2024-10-16,5423.0
2024-11-01,4061.0
2024-11-16,2191.0
2024-12-01,2536.0
2024-12-16,1023.0
2025-01-01,210.0
2025-01-16,47.0
2025-02-01,32.0
2025-02-16,33.0
2025-03-01,40.0
2025-03-16,181.0
