DATE,BR_ETHANOL_PRODUCTION
2016-02-16,64.0
2016-03-01,71.0
2016-03-16,161.0
2016-04-01,326.0
2016-04-16,1284.0
2016-05-01,1496.0
2016-05-16,1624.0
2016-06-01,1450.0
2016-06-16,1079.0
2016-07-01,1947.0
2016-07-16,1923.0
2016-08-01,2076.0
2016-08-16,1943.0
2016-09-01,1720.0
2016-09-16,1610.0
2016-10-01,1815.0
2016-10-16,1412.0
2016-11-01,1312.0
2016-11-16,923.0
2016-12-01,795.0
2016-12-16,337.0
2017-01-01,189.0
2017-01-16,42.0
2017-02-01,67.0
2017-02-16,70.0
2017-03-01,75.0
2017-03-16,185.0
2017-04-01,426.0
2017-04-16,687.0
2017-05-01,936.0
2017-05-16,1487.0
2017-06-01,1206.0
2017-06-16,1511.0
2017-07-01,1802.0
2017-07-16,1893.0
2017-08-01,2089.0
2017-08-16,1955.0
2017-09-01,1785.0
2017-09-16,2112.0
2017-10-01,2037.0
2017-10-16,1585.0
2017-11-01,1576.0
2017-11-16,1070.0
2017-12-01,802.0
2017-12-16,500.0
2018-01-01,213.0
2018-01-16,72.0
2018-02-01,81.0
2018-02-16,61.0
2018-03-01,74.0
2018-03-16,142.0
2018-04-01,382.0
2018-04-16,998.0
2018-05-01,1758.0
2018-05-16,2082.0
2018-06-01,1758.0
2018-06-16,2158.0
2018-07-01,2360.0
2018-07-16,2405.0
2018-08-01,2625.0
2018-08-16,1983.0
2018-09-01,2464.0
2018-09-16,2265.0
2018-10-01,1642.0
2018-10-16,1478.0
2018-11-01,1408.0
2018-11-16,1092.0
2018-12-01,748.0
2018-12-16,703.0
2019-01-01,137.0
2019-01-16,96.0
2019-02-01,103.0
2019-02-16,104.0
2019-03-01,109.0
2019-03-16,243.0
2019-04-01,456.0
2019-04-16,740.0
2019-05-01,1499.0
2019-05-16,1813.0
2019-06-01,2169.0
2019-06-16,2127.0
2019-07-01,2361.0
2019-07-16,2177.0
2019-08-01,2664.0
2019-08-16,2415.0
2019-09-01,2735.0
2019-09-16,2404.0
2019-10-01,2236.0
2019-10-16,2299.0
2019-11-01,2060.0
2019-11-16,1305.0
2019-12-01,757.0
2019-12-16,249.0
2020-01-01,141.0
2020-01-16,126.0
2020-02-01,128.0
2020-02-16,132.0
2020-03-01,120.0
2020-03-16,203.0
2020-04-01,375.0
2020-04-16,986.0
2020-05-01,1604.0
2020-05-16,1828.0
2020-06-01,1821.0
2020-06-16,1846.0
2020-07-01,1967.0
2020-07-16,2136.0
2020-08-01,2417.0
2020-08-16,2285.0
2020-09-01,2178.0
2020-09-16,2321.0
2020-10-01,2174.0
2020-10-16,2073.0
2020-11-01,1512.0
2020-11-16,1175.0
2020-12-01,595.0
2020-12-16,231.0
2021-01-01,168.0
2021-01-16,145.0
2021-02-01,165.0
2021-02-16,158.0
2021-03-01,129.0
2021-03-16,168.0
2021-04-01,213.0
2021-04-16,736.0
2021-05-01,1300.0
2021-05-16,1846.0
2021-06-01,2025.0
2021-06-16,1720.0
2021-07-01,2110.0
2021-07-16,2186.0
2021-08-01,2353.0
2021-08-16,2227.0
2021-09-01,2285.0
2021-09-16,2080.0
2021-10-01,2000.0
2021-10-16,1245.0
2021-11-01,1070.0
2021-11-16,741.0
2021-12-01,358.0
2021-12-16,197.0
2022-01-01,323.0
2022-01-16,208.0
2022-02-01,213.0
2022-02-16,208.0
2022-03-01,154.0
2022-03-16,265.0
2022-04-01,384.0
2022-04-16,394.0
2022-05-01,1101.0
2022-05-16,1657.0
2022-06-01,2036.0
2022-06-16,1825.0
2022-07-01,2031.0
2022-07-16,2230.0
2022-08-01,2424.0
2022-08-16,2015.0
2022-09-01,2258.0
2022-09-16,2128.0
2022-10-01,1429.0
2022-10-16,1387.0
2022-11-01,1607.0
2022-11-16,1270.0
2022-12-01,892.0
2022-12-16,479.0
2023-01-01,323.0
2023-01-16,209.0
2023-02-01,212.0
2023-02-16,207.0
2023-03-01,154.0
2023-03-16,265.0
2023-04-01,377.0
2023-04-16,784.0
2023-05-01,998.0
2023-05-16,1952.0
2023-06-01,2122.0
2023-06-16,1904.0
2023-07-01,1947.0
2023-07-16,2269.0
2023-08-01,2464.0
2023-08-16,2347.0
2023-09-01,2308.0
2023-09-16,2132.0
2023-10-01,2229.0
2023-10-16,1751.0
2023-11-01,1788.0
2023-11-16,1633.0
2023-12-01,1254.0
2023-12-16,1046.0
2024-01-01,528.0
2024-01-16,326.0
2024-02-01,313.0
2024-02-16,276.0
2024-03-01,329.0
2024-03-16,367.0
2024-04-01,528.0
2024-04-16,837.0
2024-05-01,1526.0
2024-05-16,1997.0
2024-06-01,2127.0
2024-06-16,2261.0
2024-07-01,2312.0
2024-07-16,2134.0
2024-08-01,2561.0
2024-08-16,2305.0
2024-09-01,2464.0
2024-09-16,2445.0
2024-10-01,2239.0
2024-10-16,2006.0
2024-11-01,1642.0
2024-11-16,1059.0
2025-01-01,486.0
2025-01-16,379.0
2025-02-01,401.0
2025-02-16,381.0
2025-03-01,337.0
2025-03-16,442.0
