DATE,BR_CORN_ETHANOL_PRICE
2015-01-02,1517.822
2015-01-09,1536.105
2015-01-16,1518.713
2015-01-23,1543.081
2015-01-30,1552.182
2015-02-06,1667.963
2015-02-13,1681.316
2015-02-20,1636.869
2015-02-27,1651.793
2015-03-06,1629.88
2015-03-13,1636.023
2015-03-20,1612.314
2015-03-27,1559.094
2015-04-03,1593.68
2015-04-10,1635.162
2015-04-17,1634.587
2015-04-24,1623.585
2015-05-01,1609.947
2015-05-08,1595.483
2015-05-15,1599.765
2015-05-22,1574.824
2015-05-29,1564.495
2015-06-05,1556.611
2015-06-12,1557.116
2015-06-19,1563.664
2015-06-26,1580.867
2015-07-03,1565.996
2015-07-10,1540.742
2015-07-17,1525.139
2015-07-31,1513.009
2015-08-07,1505.924
2015-08-14,1506.172
2015-08-21,1500.019
2015-08-28,1498.707
2015-09-04,1483.031
2015-09-11,1477.629
2015-09-18,1474.147
2015-09-25,1477.333
2015-10-02,1512.38
2015-10-09,1603.367
2015-10-16,1639.311
2015-10-23,1672.15
2015-10-30,1705.364
2015-11-06,1821.11
2015-11-13,1988.444
2015-11-20,2057.524
2015-11-27,2066.593
2015-12-04,2066.734
2015-12-11,2081.047
2015-12-18,2109.818
2016-01-01,2307.675
2016-01-08,2256.539
2016-01-15,2242.029
2016-01-22,2243.636
2016-01-29,2221.922
2016-02-05,2234.484
2016-02-12,2244.04
2016-02-19,2233.785
2016-02-26,2225.994
2016-03-04,2209.266
2016-03-11,2180.463
2016-03-18,2192.907
2016-03-25,2135.03
2016-04-01,2113.667
2016-04-08,2035.569
2016-04-15,2011.291
2016-04-22,2016.279
2016-04-29,2003.289
2016-05-06,1935.0
2016-05-13,1909.116
2016-05-20,1912.879
2016-05-27,1906.23
2016-06-03,1907.562
2016-06-10,1902.304
2016-06-17,1892.277
2016-06-24,1881.087
2016-07-01,1866.22
2016-07-08,1845.55
2016-07-15,1838.169
2016-07-22,1823.725
2016-07-29,1826.987
2016-08-05,1812.091
2016-08-12,1808.038
2016-08-19,1811.025
2016-08-26,1819.798
2016-09-02,1817.656
2016-09-09,1825.259
2016-09-16,1864.004
2016-09-23,1880.367
2016-09-30,1905.38
2016-10-07,1954.786
2016-10-14,2021.626
2016-10-21,2049.523
2016-10-28,2053.896
2016-11-04,2055.185
2016-11-11,2060.893
2016-11-18,2057.794
2016-11-25,2095.441
2016-12-02,2111.403
2016-12-09,2128.532
2016-12-16,2107.15
2016-12-23,2099.247
2017-01-06,2199.128
2017-01-13,2186.141
2017-01-20,2181.452
2017-01-27,2164.614
2017-02-03,2129.823
2017-02-10,2087.407
2017-02-17,2077.938
2017-02-24,2052.093
2017-03-03,2023.218
2017-03-10,1988.537
2017-03-17,1960.377
2017-03-24,1934.392
2017-03-31,1916.686
2017-04-07,1875.871
2017-04-13,1854.396
2017-04-20,1855.042
2017-04-28,1848.385
2017-05-05,1843.031
2017-05-12,1809.302
2017-05-19,1778.182
2017-05-26,1751.317
2017-06-02,1712.725
2017-06-09,1678.718
2017-06-16,1641.996
2017-06-23,1599.478
2017-06-30,1573.992
2017-07-07,1534.7045
2017-07-14,1516.1653
2017-07-21,1497.2766
2017-07-28,1652.1405
2017-08-04,1723.9081
2017-08-11,1722.2111
2017-08-18,1714.7235
2017-08-25,1703.1055
2017-09-01,1712.6837
2017-09-08,1730.5927
2017-09-15,1741.3535
2017-09-22,1754.9756
2017-09-29,1758.0905
2017-10-06,1736.608
2017-10-13,1731.0983
2017-10-20,1719.3273
2017-10-27,1718.7913
2017-11-03,1727.8477
2017-11-10,1733.427
2017-11-17,1748.73
2017-11-24,1794.3112
2017-12-01,1822.0223
2017-12-08,1848.4251
2017-12-15,1872.5491
2017-12-22,1915.2239
2017-12-28,1931.4614
2018-01-05,1955.9187
2018-01-12,1985.4448
2018-01-19,2024.2976
2018-01-26,2036.5266
2018-02-02,2060.4202
2018-02-09,2072.83
2018-02-16,2080.227
2018-02-23,2090.4027
2018-03-02,2097.199
2018-03-09,2159.9906
2018-03-16,2318.7991
2018-03-23,2500.6857
2018-03-29,2608.4808
2018-04-06,2584.1434
2018-04-13,2407.3658
2018-04-20,2328.2729
2018-04-27,2178.6596
2018-05-04,1987.706
2018-05-11,1899.5826
2018-05-18,1891.8756
2018-05-25,1907.3199
2018-06-01,1914.6316
2018-06-08,1954.6205
2018-06-15,1937.9627
2018-06-22,1912.6634
2018-06-29,1892.3245
2018-07-06,1853.7728
2018-07-13,1823.1342
2018-07-20,1805.2045
2018-07-27,1781.8961
2018-08-03,1778.5685
2018-08-10,1765.0805
2018-08-17,1768.5354
2018-08-24,1819.6982
2018-08-31,1971.1286
2018-09-06,2133.117
2018-09-14,2184.4888
2018-09-21,2209.5678
2018-09-28,2208.5434
2018-10-05,2211.7677
2018-10-11,2239.5369
2018-10-19,2252.4998
2018-10-26,2253.6003
2018-11-01,2258.038
2018-11-09,2194.7561
2018-11-16,2168.896
2018-11-23,2095.128
2018-11-30,2093.5921
2018-12-07,2050.9991
2018-12-14,2057.6068
2018-12-21,2028.6562
2018-12-28,2004.0891
2019-01-04,1992.3881
2019-01-11,1972.2731
2019-01-18,1950.6908
2019-01-25,1919.0707
2019-02-01,1871.857
2019-02-08,1832.1809
2019-02-15,1879.0048
2019-02-22,1955.654
2019-03-01,2014.3343
2019-03-08,2009.3474
2019-03-15,2005.0303
2019-03-22,1908.42
2019-03-29,1876.6722
2019-04-05,1830.7831
2019-04-12,1875.8769
2019-04-18,2066.6434
2019-04-26,2032.8627
2019-05-03,2006.364
2019-05-10,1974.7574
2019-05-17,1929.6769
2019-05-24,1904.1928
2019-05-31,1891.1784
2019-06-07,1879.8919
2019-06-14,1869.1572
2019-06-21,1867.5532
2019-06-28,1872.5356
2019-07-05,1877.0778
2019-07-12,1917.3955
2019-07-19,1956.4333
2019-07-26,2017.0091
2019-08-02,2039.8804
2019-08-09,2040.0814
2019-08-16,2051.2838
2019-08-23,2033.6771
2019-08-30,2019.7117
2019-09-06,1983.3818
2019-09-13,1936.408
2019-09-20,1900.044
2019-09-27,1894.2005
2019-10-04,1888.2597
2019-10-11,1903.6799
2019-10-18,1981.9568
2019-10-25,2016.7886
2019-11-01,2054.0605
2019-11-08,2088.4502
2019-11-14,2103.8138
2019-11-22,2154.6465
2019-11-29,2183.7171
2019-12-06,2254.1834
2019-12-13,2318.5873
2019-12-27,2339.811
2020-01-10,2499.505
2020-01-17,2514.4582
2020-01-24,2526.0849
2020-01-31,2541.5714
2020-02-07,2536.965
2020-02-14,2563.3531
2020-02-21,2623.762
2020-02-28,2678.1398
2020-03-06,2712.7675
2020-03-13,2717.2837
2020-03-20,2566.2168
2020-04-03,2096.7564
2020-04-09,1908.9577
2020-04-17,1886.5381
2020-04-24,1848.1975
2020-04-30,1822.1493
2020-05-08,1823.5487
2020-05-22,1835.8773
2020-05-29,1843.5438
2020-06-05,1874.174
2020-06-12,1939.5029
2020-06-26,2008.7671
2020-07-03,1991.0278
2020-07-10,2000.3888
2020-07-17,1998.5152
2020-07-24,2014.5731
2020-07-31,2042.5017
2020-08-07,2066.6667
2020-08-28,2227.6958
2020-09-04,2277.7277
2020-10-30,2593.0006
2020-11-06,2605.7676
2020-11-13,2615.3231
2020-11-20,2620.3952
2020-11-27,2624.995
2020-12-04,2634.9058
2020-12-11,2635.9412
2020-12-18,2623.7716
2020-12-30,2611.7306
2021-01-08,2630.4398
2021-01-15,2637.5512
2021-01-22,2666.55
2021-01-29,2692.6361
2021-02-05,2708.2869
2021-02-12,2741.0517
2021-02-19,2965.493
2021-02-26,3199.3287
2021-03-12,3547.0861
2021-03-19,3497.3333
2021-03-26,3113.4298
2021-04-01,2993.8343
2021-04-09,2973.7849
2021-04-16,3058.8386
2021-04-23,3158.3679
2021-04-30,3176.316
2021-05-07,3405.6728
2021-05-28,3620.4612
2021-06-04,3630.8624
2021-06-11,3617.8175
2021-06-18,3574.1919
2021-07-09,3505.3484
2021-08-06,3729.1949
2021-08-13,3851.5658
2021-09-10,3984.2344
2021-09-17,4004.5361
2021-09-24,4005.9503
2021-10-01,4001.7076
2021-10-29,4436.8209
2021-11-05,4676.011
2021-11-12,4727.4022
2021-11-19,4697.6747
2021-11-26,4455.6932
2021-12-03,4353.6422
2021-12-10,4157.8202
2021-12-17,4143.7937
2021-12-23,4135.6072
2021-12-30,4134.1322
2022-01-07,4121.3636
2022-01-14,4117.8808
2022-01-21,4060.3209
2022-01-28,4008.0176
2022-02-04,3856.0747
2022-02-11,3726.2793
2022-02-18,3690.3693
2022-02-25,3645.2036
2022-03-04,3646.8255
2022-03-11,3773.3884
2022-03-18,4188.15
2022-03-25,4158.652
2022-04-01,4175.9687
2022-04-14,4436.7501
2022-04-29,4407.2044
2022-05-06,4186.7494
2022-05-13,4149.547
2022-05-20,4126.2016
2022-05-27,4034.0047
2022-06-03,3912.7293
2022-06-10,3859.7866
2022-06-17,3790.8278
2022-06-24,3739.9808
2022-07-01,3546.3238
2022-07-15,3379.4218
2022-07-22,3315.9863
2022-07-29,3297.4158
2022-08-05,3291.4334
2022-08-12,3201.4553
2022-08-19,3047.5755
2022-08-26,2867.5956
2022-09-02,2652.6329
2022-09-09,2501.0096
2022-09-16,2489.4001
2022-09-23,2574.8407
2022-09-30,2586.5713
2022-10-07,2666.718
2022-10-14,2785.3477
2022-10-21,2888.7531
2022-10-28,2878.7688
2022-11-18,3012.5612
2022-11-25,3037.6282
2022-12-02,3041.7406
2022-12-09,2990.6232
2022-12-16,2920.1842
2022-12-23,2976.8999
2022-12-29,3087.1687
2023-01-06,3015.3217
2023-01-13,2943.4321
2023-01-20,2895.0
2023-01-27,2839.8892
2023-02-03,2856.1876
2023-02-10,2841.9689
2023-02-17,2871.3592
2023-03-03,3000.8133
2023-03-10,3018.6076
2023-03-17,2979.9884
2023-03-24,2961.8596
2023-03-31,2952.9894
2023-04-06,3035.8447
2023-04-14,3133.9356
2023-04-20,3262.464
2023-04-28,3253.868
2023-05-05,3145.4327
2023-05-12,3008.5821
2023-05-19,2860.4684
2023-05-26,2787.1001
2023-06-02,2765.4071
2023-06-09,2760.3039
2023-06-16,2769.4384
2023-06-23,2744.7758
2023-06-30,2871.986
2023-07-07,2812.3022
2023-07-14,2706.3186
2023-07-21,2636.9898
2023-07-28,2586.3028
2023-08-04,2541.4924
2023-08-11,2508.3727
2023-08-18,2602.4724
2023-08-25,2668.2489
2023-09-01,2671.6073
2023-09-08,2666.7308
2023-09-15,2625.0628
2023-09-22,2614.9796
2023-09-29,2569.3656
2023-10-06,2525.7399
2023-10-13,2505.8655
2023-10-20,2492.8773
2023-10-27,2497.5299
2023-11-03,2502.7498
2023-11-10,2498.2651
2023-11-17,2480.587
2023-11-24,2481.8389
2023-12-01,2453.4616
2023-12-08,2390.2992
2023-12-15,2336.7227
2023-12-22,2307.9107
2023-12-28,2342.1451
2024-01-05,2328.8528
2024-01-12,2320.1513
2024-01-19,2320.0152
2024-01-26,2397.1931
2024-02-02,2508.4522
2024-02-09,2561.9108
2024-02-16,2575.8252
2024-02-23,2585.0015
2024-03-01,2583.6101
2024-03-08,2584.1528
2024-03-15,2570.9144
2024-03-22,2582.3103
2024-03-28,2619.3539
2024-04-05,2756.3236
2024-04-12,2829.4611
2024-04-19,2913.9197
2024-04-26,2864.2791
2024-05-03,2802.1962
2024-05-10,2795.9247
2024-05-17,2785.4164
2024-05-24,2742.6458
2024-05-31,2732.9686
2024-06-07,2726.6068
2024-06-14,2726.9777
2024-06-21,2777.9302
2024-06-28,2862.9606
2024-07-05,2948.3248
2024-07-12,3066.6345
2024-07-19,3092.4491
2024-07-26,3071.0668
2024-08-02,3031.7051
2024-08-09,3020.008
2024-08-16,3007.66
2024-08-23,2978.9223
2024-08-30,2958.8203
2024-09-06,2931.288
2024-09-13,2866.3579
2024-09-20,2807.6185
2024-09-27,2811.4073
2024-10-04,2800.1329
2024-10-11,2837.9278
2024-10-18,2936.6076
2024-10-25,3003.598
2024-11-01,3038.4789
2024-11-08,3058.6585
2024-11-14,3074.4183
2024-11-22,3092.4706
2024-11-29,3102.4635
2024-12-06,3091.4057
2024-12-13,3078.5241
2024-12-20,3078.8933
2024-12-27,3091.1688
2025-01-03,3184.7617
2025-01-10,3236.6398
2025-01-17,3267.191
2025-01-24,3300.7359
2025-01-31,3346.9372
2025-02-07,3365.9772
2025-02-14,3384.1035
2025-02-21,3400.3376
2025-02-28,3394.4053
2025-03-07,3376.5957
2025-03-14,3362.6276
2025-03-21,3321.2851
2025-03-28,3292.6161
2025-04-04,3295.6313
