DATE,US_CHICKEN_WINGS_PRICE
2012-01-20,193.27
2012-01-23,192.12
2012-01-24,195.24
2012-01-25,191.4
2012-01-26,193.37
2012-01-27,195.54
2012-01-30,186.72
2012-01-31,188.75
2012-02-01,189.2
2012-02-02,192.91
2012-02-03,190.7
2012-02-06,196.09
2012-02-07,186.72
2012-02-08,192.69
2012-02-09,189.98
2012-02-10,190.97
2012-02-13,183.27
2012-02-14,185.02
2012-02-15,187.14
2012-02-16,182.35
2012-02-17,183.03
2012-02-20,182.64
2012-02-21,175.31
2012-02-22,173.88
2012-02-23,177.48
2012-02-24,176.0
2012-02-27,174.2
2012-02-28,167.78
2012-02-29,176.49
2012-03-01,171.99
2012-03-02,174.31
2012-03-05,170.74
2012-03-06,169.56
2012-03-07,177.07
2012-03-08,180.2
2012-03-09,184.76
2012-03-12,183.22
2012-03-13,178.91
2012-03-14,185.22
2012-03-15,182.41
2012-03-16,191.45
2012-03-19,185.34
2012-03-20,176.62
2012-03-21,184.46
2012-03-22,179.62
2012-03-23,183.4
2012-03-26,181.29
2012-03-27,181.7
2012-03-28,188.62
2012-03-29,181.9
2012-03-30,187.84
2012-04-02,185.22
2012-04-03,180.58
2012-04-04,178.44
2012-04-05,181.47
2012-04-06,187.12
2012-04-09,182.03
2012-04-10,177.78
2012-04-11,182.71
2012-04-12,180.92
2012-04-13,183.6
2012-04-16,180.24
2012-04-17,174.41
2012-04-18,180.28
2012-04-19,178.16
2012-04-20,181.61
2012-04-23,180.64
2012-04-24,174.43
2012-04-25,174.87
2012-04-26,179.11
2012-04-27,174.64
2012-04-30,174.3
2012-05-01,168.01
2012-05-02,167.9
2012-05-03,174.11
2012-05-04,176.13
2012-05-07,170.86
2012-05-08,172.95
2012-05-09,175.66
2012-05-10,176.18
2012-05-11,177.34
2012-05-14,175.8
2012-05-15,174.07
2012-05-16,180.09
2012-05-17,177.85
2012-05-18,181.58
2012-05-21,179.7
2012-05-22,175.53
2012-05-23,181.64
2012-05-24,179.23
2012-05-25,178.88
2012-05-29,175.85
2012-05-30,176.74
2012-05-31,179.77
2012-06-01,180.3
2012-06-04,186.33
2012-06-05,180.01
2012-06-06,180.87
2012-06-07,177.92
2012-06-08,182.55
2012-06-11,182.7
2012-06-12,180.37
2012-06-13,181.07
2012-06-14,178.45
2012-06-15,181.06
2012-06-18,181.73
2012-06-19,176.65
2012-06-20,176.79
2012-06-21,173.02
2012-06-22,177.37
2012-06-25,182.98
2012-06-26,182.06
2012-06-27,183.54
2012-06-28,182.75
2012-06-29,181.05
2012-07-02,184.23
2012-07-03,183.73
2012-07-05,180.31
2012-07-06,180.92
2012-07-09,187.47
2012-07-10,185.63
2012-07-11,182.6
2012-07-12,181.53
2012-07-13,184.06
2012-07-16,186.59
2012-07-17,182.01
2012-07-18,183.87
2012-07-19,185.38
2012-07-20,187.61
2012-07-23,184.85
2012-07-24,186.24
2012-07-25,184.98
2012-07-26,181.2
2012-07-27,184.88
2012-07-30,190.55
2012-07-31,189.16
2012-08-01,183.35
2012-08-02,182.94
2012-08-03,183.96
2012-08-06,189.38
2012-08-07,183.48
2012-08-08,186.55
2012-08-09,184.57
2012-08-10,184.34
2012-08-13,187.83
2012-08-14,186.6
2012-08-15,183.83
2012-08-16,183.77
2012-08-17,187.98
2012-08-20,188.77
2012-08-21,185.45
2012-08-22,185.39
2012-08-23,184.64
2012-08-24,190.1
2012-08-27,193.8
2012-08-28,188.03
2012-08-29,189.45
2012-08-30,187.39
2012-08-31,182.36
2012-09-04,187.81
2012-09-05,183.28
2012-09-06,187.12
2012-09-07,182.7
2012-09-10,184.32
2012-09-11,187.96
2012-09-12,187.93
2012-09-13,189.84
2012-09-14,190.26
2012-09-17,194.51
2012-09-18,189.63
2012-09-19,187.67
2012-09-20,191.37
2012-09-21,191.67
2012-09-24,194.14
2012-09-25,190.07
2012-09-26,189.22
2012-09-27,189.81
2012-09-28,189.51
2012-10-01,192.55
2012-10-02,190.78
2012-10-03,190.71
2012-10-04,192.85
2012-10-05,190.85
2012-10-08,194.11
2012-10-09,190.12
2012-10-10,192.19
2012-10-11,190.43
2012-10-12,185.25
2012-10-15,189.03
2012-10-16,192.18
2012-10-17,190.94
2012-10-18,191.27
2012-10-19,189.06
2012-10-22,194.27
2012-10-23,191.21
2012-10-24,188.62
2012-10-25,192.59
2012-10-26,190.51
2012-10-31,186.89
2012-11-01,186.3
2012-11-02,186.65
2012-11-05,190.85
2012-11-06,185.89
2012-11-07,188.22
2012-11-08,188.79
2012-11-09,186.58
2012-11-13,181.89
2012-11-14,186.71
2012-11-15,188.17
2012-11-16,188.89
2012-11-19,191.0
2012-11-20,187.64
2012-11-21,187.89
2012-11-23,188.14
2012-11-26,192.24
2012-11-27,192.32
2012-11-28,191.63
2012-11-29,188.31
2012-11-30,189.15
2012-12-03,192.01
2012-12-04,188.76
2012-12-05,189.32
2012-12-06,192.31
2012-12-07,189.15
2012-12-10,194.24
2012-12-11,189.91
2012-12-12,188.71
2012-12-13,191.3
2012-12-14,191.15
2012-12-17,191.29
2012-12-18,187.49
2012-12-19,190.92
2012-12-20,188.68
2012-12-21,190.62
2012-12-26,189.24
2012-12-27,193.1
2012-12-28,189.77
2012-12-31,192.48
2013-01-02,199.3
2013-01-03,195.03
2013-01-04,195.63
2013-01-07,201.4
2013-01-08,201.34
2013-01-09,201.77
2013-01-10,202.81
2013-01-11,205.28
2013-01-14,205.59
2013-01-15,202.63
2013-01-16,206.91
2013-01-17,207.43
2013-01-18,211.11
2013-01-21,203.93
2013-01-22,208.82
2013-01-23,212.03
2013-01-24,210.03
2013-01-25,210.57
2013-01-28,211.37
2013-01-29,212.97
2013-01-30,211.89
2013-01-31,209.72
2013-02-01,214.38
2013-02-04,210.97
2013-02-05,208.58
2013-02-06,211.61
2013-02-07,211.93
2013-02-08,212.11
2013-02-11,204.46
2013-02-12,198.69
2013-02-13,198.53
2013-02-14,196.8
2013-02-15,196.53
2013-02-18,193.27
2013-02-19,187.24
2013-02-20,183.95
2013-02-21,180.24
2013-02-22,175.87
2013-02-25,174.29
2013-02-26,171.87
2013-02-27,172.89
2013-02-28,173.21
2013-03-01,176.64
2013-03-04,176.61
2013-03-05,173.16
2013-03-06,176.0
2013-03-07,173.84
2013-03-08,173.81
2013-03-11,175.73
2013-03-12,171.19
2013-03-13,173.64
2013-03-14,173.65
2013-03-15,175.56
2013-03-18,172.53
2013-03-19,168.16
2013-03-20,170.11
2013-03-21,171.4
2013-03-22,175.55
2013-03-25,176.28
2013-03-26,172.94
2013-03-27,176.32
2013-03-28,171.94
2013-03-29,175.64
2013-04-01,168.79
2013-04-02,165.04
2013-04-03,168.28
2013-04-04,163.26
2013-04-05,160.93
2013-04-08,155.85
2013-04-09,155.32
2013-04-10,153.58
2013-04-11,149.06
2013-04-12,148.88
2013-04-15,148.1
2013-04-16,144.99
2013-04-17,149.44
2013-04-18,145.91
2013-04-19,148.95
2013-04-22,140.1
2013-04-23,135.76
2013-04-24,140.21
2013-04-25,143.08
2013-04-26,137.86
2013-04-29,143.5
2013-04-30,133.88
2013-05-01,137.65
2013-05-02,130.53
2013-05-03,137.94
2013-05-06,131.01
2013-05-07,126.23
2013-05-08,131.1
2013-05-09,128.32
2013-05-10,129.59
2013-05-13,130.7
2013-05-14,130.96
2013-05-15,137.89
2013-05-16,132.02
2013-05-17,137.9
2013-05-20,135.57
2013-05-21,138.75
2013-05-22,139.41
2013-05-23,137.04
2013-05-24,139.82
2013-05-28,143.41
2013-05-29,140.37
2013-05-30,140.56
2013-05-31,143.25
2013-06-03,145.03
2013-06-04,143.14
2013-06-05,145.0
2013-06-06,144.91
2013-06-07,146.78
2013-06-10,145.44
2013-06-11,145.05
2013-06-12,147.46
2013-06-13,146.27
2013-06-14,148.44
2013-06-17,148.31
2013-06-18,145.89
2013-06-19,150.8
2013-06-20,148.75
2013-06-21,150.3
2013-06-24,153.74
2013-06-25,152.99
2013-06-26,150.64
2013-06-27,152.62
2013-06-28,155.24
2013-07-01,155.66
2013-07-02,153.74
2013-07-03,154.04
2013-07-05,153.27
2013-07-08,152.45
2013-07-09,154.27
2013-07-10,156.53
2013-07-11,156.12
2013-07-12,158.29
2013-07-15,157.97
2013-07-16,158.01
2013-07-17,160.47
2013-07-18,162.63
2013-07-19,160.77
2013-07-22,162.5
2013-07-23,160.71
2013-07-24,161.11
2013-07-25,160.64
2013-07-26,162.55
2013-07-29,162.09
2013-07-30,161.12
2013-07-31,161.09
2013-08-01,160.35
2013-08-02,159.61
2013-08-05,154.79
2013-08-06,159.4
2013-08-07,160.94
2013-08-08,159.3
2013-08-09,160.02
2013-08-12,157.74
2013-08-13,158.83
2013-08-14,159.62
2013-08-15,160.5
2013-08-16,158.58
2013-08-19,159.06
2013-08-20,159.98
2013-08-21,159.47
2013-08-22,159.11
2013-08-23,157.63
2013-08-26,156.39
2013-08-27,159.73
2013-08-28,158.98
2013-08-29,158.68
2013-08-30,153.34
2013-09-03,156.22
2013-09-04,157.65
2013-09-05,158.92
2013-09-06,157.8
2013-09-09,158.27
2013-09-10,159.04
2013-09-11,159.92
2013-09-12,159.64
2013-09-13,162.49
2013-09-16,161.17
2013-09-17,162.74
2013-09-18,163.42
2013-09-19,162.68
2013-09-20,163.59
2013-09-23,160.05
2013-09-24,162.65
2013-09-25,163.16
2013-09-26,163.06
2013-09-27,164.53
2013-09-30,158.68
2013-10-17,158.11
2013-10-18,157.31
2013-10-21,153.37
2013-10-22,156.42
2013-10-23,152.42
2013-10-24,151.34
2013-10-25,143.13
2013-10-28,140.09
2013-10-29,141.31
2013-10-30,136.94
2013-10-31,136.55
2013-11-01,135.61
2013-11-04,135.5
2013-11-05,126.28
2013-11-06,130.16
2013-11-07,127.22
2013-11-08,123.29
2013-11-12,118.47
2013-11-13,123.38
2013-11-14,121.09
2013-11-15,119.47
2013-11-18,121.34
2013-11-19,118.37
2013-11-20,120.92
2013-11-21,114.71
2013-11-22,116.49
2013-11-25,121.74
2013-11-26,117.67
2013-11-27,125.3
2013-11-29,123.8
2013-12-02,121.15
2013-12-03,121.4
2013-12-04,123.66
2013-12-05,120.11
2013-12-06,122.31
2013-12-09,118.29
2013-12-10,121.04
2013-12-11,120.72
2013-12-12,121.51
2013-12-13,123.09
2013-12-16,121.93
2013-12-17,115.18
2013-12-18,121.33
2013-12-19,115.23
2013-12-20,118.21
2013-12-23,118.38
2013-12-24,111.4
2013-12-26,115.44
2013-12-27,119.51
2013-12-30,121.75
2013-12-31,120.91
2014-01-02,123.74
2014-01-03,124.61
2014-01-06,122.3
2014-01-07,119.5
2014-01-08,125.18
2014-01-09,124.52
2014-01-10,127.91
2014-01-13,125.48
2014-01-14,121.93
2014-01-15,129.87
2014-01-16,127.79
2014-01-17,127.39
2014-01-21,127.55
2014-01-22,135.1
2014-01-23,132.76
2014-01-24,133.06
2014-01-27,132.18
2014-01-28,134.27
2014-01-29,131.37
2014-01-30,130.8
2014-01-31,135.49
2014-02-03,133.63
2014-02-04,135.25
2014-02-05,133.1
2014-02-06,133.25
2014-02-07,132.47
2014-02-10,132.16
2014-02-11,135.38
2014-02-12,127.41
2014-02-13,126.71
2014-02-14,121.89
2014-02-17,122.13
2014-02-18,124.0
2014-02-19,131.39
2014-02-20,132.73
2014-02-21,127.84
2014-02-24,125.01
2014-02-25,125.75
2014-02-26,128.51
2014-02-27,126.8
2014-02-28,126.18
2014-03-03,124.71
2014-03-04,125.56
2014-03-05,130.37
2014-03-06,129.9
2014-03-07,128.63
2014-03-10,121.78
2014-03-11,130.79
2014-03-12,134.16
2014-03-13,132.53
2014-03-14,137.37
2014-03-17,136.15
2014-03-18,135.6
2014-03-19,137.98
2014-03-20,136.55
2014-03-21,140.83
2014-03-24,138.78
2014-03-25,140.43
2014-03-26,141.93
2014-03-27,140.72
2014-03-28,143.38
2014-03-31,142.13
2014-04-01,141.1
2014-04-02,141.03
2014-04-03,145.43
2014-04-04,142.47
2014-04-07,143.09
2014-04-08,142.69
2014-04-09,139.93
2014-04-10,143.02
2014-04-11,143.84
2014-04-14,143.34
2014-04-15,142.65
2014-04-16,141.35
2014-04-17,139.4
2014-04-18,142.98
2014-04-21,135.67
2014-04-22,139.17
2014-04-23,139.61
2014-04-24,141.7
2014-04-25,145.64
2014-04-28,143.16
2014-04-29,140.83
2014-04-30,140.12
2014-05-01,139.86
2014-05-02,141.38
2014-05-05,137.21
2014-05-06,132.15
2014-05-07,135.26
2014-05-08,134.52
2014-05-09,135.65
2014-05-12,134.61
2014-05-13,134.47
2014-05-14,135.68
2014-05-15,133.13
2014-05-16,138.08
2014-05-19,135.55
2014-05-20,136.12
2014-05-21,134.53
2014-05-22,138.13
2014-05-23,139.1
2014-05-27,139.87
2014-05-28,138.61
2014-05-29,141.87
2014-05-30,140.7
2014-06-02,140.12
2014-06-03,142.13
2014-06-04,143.96
2014-06-05,145.45
2014-06-06,147.13
2014-06-09,141.13
2014-06-10,137.68
2014-06-11,143.46
2014-06-12,139.59
2014-06-13,143.57
2014-06-16,141.76
2014-06-17,140.69
2014-06-18,144.08
2014-06-19,144.95
2014-06-20,144.91
2014-06-23,143.55
2014-06-24,141.62
2014-06-25,142.83
2014-06-26,144.55
2014-06-27,145.49
2014-06-30,140.89
2014-07-01,136.41
2014-07-02,136.12
2014-07-03,138.55
2014-07-07,141.0
2014-07-08,143.23
2014-07-09,143.96
2014-07-10,144.02
2014-07-11,139.74
2014-07-14,143.38
2014-07-15,143.61
2014-07-16,143.43
2014-07-17,144.79
2014-07-18,147.81
2014-07-21,146.37
2014-07-22,146.42
2014-07-23,143.4
2014-07-24,146.94
2014-07-25,148.95
2014-07-28,149.44
2014-07-29,147.5
2014-07-30,147.51
2014-07-31,151.55
2014-08-01,149.76
2014-08-04,142.42
2014-08-05,142.9
2014-08-06,146.62
2014-08-07,147.16
2014-08-08,146.21
2014-08-11,147.82
2014-08-12,148.17
2014-08-13,149.4
2014-08-14,145.37
2014-08-15,147.86
2014-08-18,151.1
2014-08-19,152.47
2014-08-20,152.85
2014-08-21,151.18
2014-08-22,151.68
2014-08-25,153.99
2014-08-26,155.87
2014-08-27,156.52
2014-08-28,154.82
2014-08-29,155.79
2014-09-02,155.06
2014-09-03,152.89
2014-09-04,156.22
2014-09-05,157.92
2014-09-08,158.27
2014-09-09,159.53
2014-09-10,160.33
2014-09-11,158.99
2014-09-12,158.94
2014-09-15,160.92
2014-09-16,164.07
2014-09-17,167.4
2014-09-18,168.57
2014-09-19,172.27
2014-09-22,169.79
2014-09-23,177.26
2014-09-24,178.65
2014-09-25,175.96
2014-09-26,179.72
2014-09-29,178.73
2014-09-30,183.59
2014-10-01,184.89
2014-10-02,184.51
2014-10-03,184.09
2014-10-06,187.85
2014-10-07,182.9
2014-10-08,190.09
2014-10-09,190.57
2014-10-10,189.38
2014-10-13,188.13
2014-10-14,188.24
2014-10-15,183.09
2014-10-16,187.61
2014-10-17,184.34
2014-10-20,187.57
2014-10-21,188.06
2014-10-22,186.28
2014-10-23,189.63
2014-10-24,191.14
2014-10-27,188.36
2014-10-28,187.8
2014-10-29,190.52
2014-10-30,187.24
2014-10-31,187.56
2014-11-03,186.44
2014-11-04,185.69
2014-11-05,187.27
2014-11-06,184.02
2014-11-07,184.45
2014-11-10,180.13
2014-11-11,175.24
2014-11-12,181.63
2014-11-13,180.61
2014-11-14,171.9
2014-11-17,171.22
2014-11-18,176.74
2014-11-19,180.71
2014-11-20,178.31
2014-11-21,178.22
2014-11-24,175.75
2014-11-25,170.29
2014-11-26,175.31
2014-11-28,177.92
2014-12-01,179.03
2014-12-02,176.43
2014-12-03,180.17
2014-12-04,179.78
2014-12-05,177.18
2014-12-08,178.34
2014-12-09,176.96
2014-12-10,176.64
2014-12-11,175.16
2014-12-12,174.42
2014-12-15,172.69
2014-12-16,172.35
2014-12-17,174.0
2014-12-18,171.54
2014-12-19,173.0
2014-12-22,172.43
2014-12-23,170.7
2014-12-24,167.4
2014-12-29,173.16
2014-12-30,172.01
2014-12-31,170.57
2015-01-02,172.24
2015-01-05,176.43
2015-01-06,174.11
2015-01-07,178.76
2015-01-08,178.61
2015-01-09,182.6
2015-01-12,184.09
2015-01-13,179.64
2015-01-14,191.61
2015-01-15,188.17
2015-01-16,191.82
2015-01-20,190.98
2015-01-21,199.88
2015-01-22,199.68
2015-01-23,205.63
2015-01-26,206.59
2015-01-27,207.06
2015-01-28,203.0
2015-01-29,203.63
2015-01-30,203.51
2015-02-02,203.42
2015-02-03,205.47
2015-02-04,205.38
2015-02-05,201.76
2015-02-06,200.9
2015-02-09,199.84
2015-02-10,201.54
2015-02-11,205.3
2015-02-12,196.82
2015-02-13,196.51
2015-02-16,193.49
2015-02-17,197.04
2015-02-18,190.54
2015-02-19,193.59
2015-02-20,191.83
2015-02-23,185.07
2015-02-24,181.55
2015-02-25,184.42
2015-02-26,188.3
2015-02-27,184.93
2015-03-02,185.81
2015-03-03,191.43
2015-03-04,189.41
2015-03-05,187.63
2015-03-06,186.52
2015-03-09,179.12
2015-03-10,182.3
2015-03-11,190.19
2015-03-12,183.4
2015-03-13,183.85
2015-03-16,183.06
2015-03-17,181.53
2015-03-18,185.19
2015-03-19,182.03
2015-03-20,185.48
2015-03-23,184.01
2015-03-24,182.96
2015-03-25,189.21
2015-03-26,183.34
2015-03-27,185.19
2015-03-30,186.96
2015-03-31,184.16
2015-04-01,193.96
2015-04-02,188.17
2015-04-03,184.39
2015-04-06,181.01
2015-04-07,182.11
2015-04-08,187.77
2015-04-09,186.26
2015-04-10,190.03
2015-04-13,191.67
2015-04-14,190.88
2015-04-15,187.37
2015-04-16,179.09
2015-04-17,172.19
2015-04-20,166.41
2015-04-21,169.04
2015-04-22,178.03
2015-04-23,170.98
2015-04-24,178.39
2015-04-27,174.71
2015-04-28,168.39
2015-04-29,175.27
2015-04-30,177.99
2015-05-01,169.22
2015-05-04,172.13
2015-05-05,170.06
2015-05-06,175.63
2015-05-07,174.76
2015-05-08,179.16
2015-05-11,176.31
2015-05-12,170.87
2015-05-13,178.35
2015-05-14,182.53
2015-05-15,183.9
2015-05-18,179.49
2015-05-19,177.02
2015-05-20,185.08
2015-05-21,181.92
2015-05-22,176.04
2015-05-26,175.99
2015-05-27,174.49
2015-05-28,179.63
2015-05-29,182.93
2015-06-01,179.49
2015-06-02,179.49
2015-06-03,183.76
2015-06-04,176.84
2015-06-05,181.39
2015-06-08,180.27
2015-06-09,178.62
2015-06-10,184.11
2015-06-11,180.98
2015-06-12,185.07
2015-06-15,181.25
2015-06-16,176.04
2015-06-17,179.35
2015-06-18,180.28
2015-06-19,184.64
2015-06-22,181.77
2015-06-23,178.69
2015-06-24,185.94
2015-06-25,181.81
2015-06-26,186.38
2015-06-29,182.93
2015-06-30,175.83
2015-07-01,181.45
2015-07-02,178.17
2015-07-06,178.01
2015-07-07,169.81
2015-07-08,173.32
2015-07-09,178.57
2015-07-10,187.93
2015-07-13,185.51
2015-07-14,181.78
2015-07-15,187.0
2015-07-16,183.09
2015-07-17,187.36
2015-07-20,183.54
2015-07-21,178.16
2015-07-22,184.05
2015-07-23,181.1
2015-07-24,184.87
2015-07-27,182.14
2015-07-28,187.93
2015-07-29,182.7
2015-07-30,179.48
2015-07-31,181.12
2015-08-03,179.92
2015-08-04,175.31
2015-08-05,173.55
2015-08-06,174.25
2015-08-07,180.2
2015-08-10,177.55
2015-08-11,174.74
2015-08-12,179.87
2015-08-13,178.65
2015-08-14,180.7
2015-08-17,177.09
2015-08-18,178.31
2015-08-19,182.69
2015-08-20,178.09
2015-08-21,184.23
2015-08-24,180.04
2015-08-25,180.61
2015-08-26,174.42
2015-08-27,170.84
2015-08-28,162.35
2015-08-31,171.25
2015-09-01,166.34
2015-09-02,162.63
2015-09-03,161.85
2015-09-04,167.48
2015-09-08,166.5
2015-09-09,166.53
2015-09-10,165.53
2015-09-11,163.04
2015-09-14,165.89
2015-09-15,166.58
2015-09-16,164.24
2015-09-17,169.31
2015-09-18,164.52
2015-09-21,168.13
2015-09-22,167.2
2015-09-23,168.56
2015-09-24,168.09
2015-09-25,165.39
2015-09-28,170.36
2015-09-29,168.69
2015-09-30,170.88
2015-10-01,169.94
2015-10-02,172.87
2015-10-05,166.25
2015-10-06,170.68
2015-10-07,165.68
2015-10-08,171.13
2015-10-09,170.75
2015-10-12,167.01
2015-10-13,171.11
2015-10-14,172.7
2015-10-15,170.75
2015-10-16,171.79
2015-10-19,171.73
2015-10-20,169.0
2015-10-21,172.19
2015-10-22,172.09
2015-10-23,173.48
2015-10-26,171.95
2015-10-27,170.34
2015-10-28,169.99
2015-10-29,167.53
2015-10-30,167.25
2015-11-02,165.62
2015-11-03,163.35
2015-11-04,166.11
2015-11-05,164.4
2015-11-06,164.03
2015-11-09,163.48
2015-11-10,161.1
2015-11-11,162.7
2015-11-12,162.14
2015-11-13,162.71
2015-11-16,162.63
2015-11-17,156.69
2015-11-18,163.21
2015-11-19,162.47
2015-11-20,162.62
2015-11-23,162.54
2015-11-24,161.49
2015-11-25,162.09
2015-11-27,163.46
2015-11-30,161.8
