DATE,BR_SOY_OIL_PRODUCTION
2018-11-30,672.98
2018-12-31,609.55
2019-01-31,586.39
2019-02-28,663.78
2019-03-31,786.43
2019-04-30,810.74
2019-05-31,786.31
2019-06-30,789.97
2019-07-31,788.29
2019-08-31,699.91
2019-09-30,705.57
2019-10-31,772.97
2019-11-30,707.37
2019-12-31,693.63
2020-01-31,597.57
2020-02-29,696.12
2020-03-31,861.35
2020-04-30,870.09
2020-05-31,900.66
2020-06-30,880.01
2020-07-31,889.43
2020-08-31,840.8
2020-09-30,814.46
2020-10-31,844.12
2020-11-30,676.32
2020-12-31,685.83
2021-01-31,518.59
2021-02-28,631.02
2021-03-31,866.74
2021-04-30,905.92
2021-05-31,924.95
2021-06-30,895.94
2021-07-31,908.66
2021-08-31,817.44
2021-09-30,793.99
2021-10-31,809.44
2021-11-30,770.26
2021-12-31,795.01
2022-01-31,592.9
2022-02-28,722.48
2022-03-31,905.9
2022-04-30,897.38
2022-05-31,927.36
2022-06-30,893.88
2022-07-31,926.49
2022-08-31,906.59
2022-09-30,800.29
2022-10-31,812.6
2022-11-30,793.34
2022-12-31,765.29
2023-01-31,662.59
2023-02-28,742.94
2023-03-31,1021.33
2023-04-30,947.01
2023-05-31,1000.71
2023-06-30,976.91
2023-07-31,991.95
2023-08-31,972.72
2023-09-30,891.23
2023-10-31,867.83
2023-11-30,846.92
2023-12-31,858.4
2024-01-31,775.45
2024-02-29,821.02
2024-03-31,974.41
2024-04-30,972.57
2024-05-31,965.47
2024-06-30,962.2
2024-07-31,1005.79
2024-08-31,989.81
2024-09-30,944.01
2024-10-31,1014.29
2024-11-30,943.82
2024-12-31,973.01
2025-01-31,670.45
