Type,Year,Herd,Month,Date
"COWS, BEEF",1926,"10,294,000",01,1926-01-01
"COWS, BEEF",1925,"11,204,000",01,1925-01-01
"COWS, BEEF",1924,"11,926,000",01,1924-01-01
"COWS, BEEF",1923,"11,974,000",01,1923-01-01
"COWS, BEEF",1922,"12,182,000",01,1922-01-01
"COWS, BEEF",1921,"12,292,000",01,1921-01-01
"COWS, MILK",2025,"9,349,300",01,2025-01-01
"COWS, MILK",2024,"9,346,800",01,2024-01-01
"COWS, MILK",2023,"9,397,500",01,2023-01-01
"COWS, MILK",2023,"9,400,000",07,2023-07-01
"COWS, MILK",2022,"9,381,000",01,2022-01-01
"COWS, MILK",2022,"9,400,000",07,2022-07-01
"COWS, MILK",2021,"9,450,400",01,2021-01-01
"COWS, MILK",2021,"9,500,000",07,2021-07-01
"COWS, MILK",2020,"9,343,600",01,2020-01-01
"COWS, MILK",2020,"9,350,000",07,2020-07-01
"COWS, MILK",2019,"9,353,400",01,2019-01-01
"COWS, MILK",2019,"9,300,000",07,2019-07-01
"COWS, MILK",2018,"9,432,100",01,2018-01-01
"COWS, MILK",2018,"9,400,000",07,2018-07-01
"COWS, MILK",2017,"9,368,500",01,2017-01-01
"COWS, MILK",2017,"9,400,000",07,2017-07-01
"COWS, MILK",2016,"9,312,400",01,2016-01-01
"COWS, MILK",2015,"9,311,900",01,2015-01-01
"COWS, MILK",2015,"9,300,000",07,2015-07-01
"COWS, MILK",2014,"9,208,600",01,2014-01-01
"COWS, MILK",2014,"9,250,000",07,2014-07-01
"COWS, MILK",2013,"9,221,200",01,2013-01-01
"COWS, MILK",2012,"9,235,500",01,2012-01-01
"COWS, MILK",2012,"9,233,000",07,2012-07-01
"COWS, MILK",2011,"9,155,600",01,2011-01-01
"COWS, MILK",2011,"9,202,000",07,2011-07-01
"COWS, MILK",2010,"9,086,500",01,2010-01-01
"COWS, MILK",2010,"9,133,000",07,2010-07-01
"COWS, MILK",2009,"9,332,800",01,2009-01-01
"COWS, MILK",2009,"9,204,000",07,2009-07-01
"COWS, MILK",2008,"9,257,000",01,2008-01-01
"COWS, MILK",2008,"9,318,000",07,2008-07-01
"COWS, MILK",2007,"9,144,500",01,2007-01-01
"COWS, MILK",2007,"9,150,000",07,2007-07-01
"COWS, MILK",2006,"9,103,900",01,2006-01-01
"COWS, MILK",2006,"9,150,000",07,2006-07-01
"COWS, MILK",2005,"9,003,500",01,2005-01-01
"COWS, MILK",2005,"9,050,000",07,2005-07-01
"COWS, MILK",2004,"8,987,500",01,2004-01-01
"COWS, MILK",2004,"9,000,000",07,2004-07-01
"COWS, MILK",2003,"9,141,700",01,2003-01-01
"COWS, MILK",2003,"9,100,000",07,2003-07-01
"COWS, MILK",2002,"9,105,600",01,2002-01-01
"COWS, MILK",2002,"9,150,000",07,2002-07-01
"COWS, MILK",2001,"9,171,700",01,2001-01-01
"COWS, MILK",2001,"9,100,000",07,2001-07-01
"COWS, MILK",2000,"9,182,800",01,2000-01-01
"COWS, MILK",2000,"9,250,000",07,2000-07-01
"COWS, MILK",1999,"9,128,000",01,1999-01-01
"COWS, MILK",1999,"9,150,000",07,1999-07-01
"COWS, MILK",1998,"9,199,000",01,1998-01-01
"COWS, MILK",1998,"9,200,000",07,1998-07-01
"COWS, MILK",1997,"9,317,900",01,1997-01-01
"COWS, MILK",1997,"9,300,000",07,1997-07-01
"COWS, MILK",1996,"9,419,900",01,1996-01-01
"COWS, MILK",1996,"9,400,000",07,1996-07-01
"COWS, MILK",1995,"9,481,800",01,1995-01-01
"COWS, MILK",1995,"9,500,000",07,1995-07-01
"COWS, MILK",1994,"9,507,000",01,1994-01-01
"COWS, MILK",1994,"9,500,000",07,1994-07-01
"COWS, MILK",1993,"9,658,100",01,1993-01-01
"COWS, MILK",1993,"9,700,000",07,1993-07-01
"COWS, MILK",1992,"9,728,200",01,1992-01-01
"COWS, MILK",1992,"9,700,000",07,1992-07-01
"COWS, MILK",1991,"9,965,600",01,1991-01-01
"COWS, MILK",1991,"9,800,000",07,1991-07-01
"COWS, MILK",1990,"10,014,800",01,1990-01-01
"COWS, MILK",1990,"10,000,000",07,1990-07-01
"COWS, MILK",1989,"10,137,500",01,1989-01-01
"COWS, MILK",1989,"10,000,000",07,1989-07-01
"COWS, MILK",1988,"10,311,200",01,1988-01-01
"COWS, MILK",1988,"10,250,000",07,1988-07-01
"COWS, MILK",1987,"10,466,400",01,1987-01-01
"COWS, MILK",1987,"10,400,000",07,1987-07-01
"COWS, MILK",1986,"11,115,500",01,1986-01-01
"COWS, MILK",1986,"10,850,000",07,1986-07-01
"COWS, MILK",1985,"10,776,900",01,1985-01-01
"COWS, MILK",1985,"11,050,000",07,1985-07-01
"COWS, MILK",1984,"11,058,700",01,1984-01-01
"COWS, MILK",1984,"10,800,000",07,1984-07-01
"COWS, MILK",1983,"11,046,800",01,1983-01-01
"COWS, MILK",1983,"11,110,000",07,1983-07-01
"COWS, MILK",1982,"10,985,900",01,1982-01-01
"COWS, MILK",1982,"11,000,000",07,1982-07-01
"COWS, MILK",1981,"10,849,000",01,1981-01-01
"COWS, MILK",1981,"10,880,000",07,1981-07-01
"COWS, MILK",1980,"10,758,200",01,1980-01-01
"COWS, MILK",1980,"10,780,000",07,1980-07-01
"COWS, MILK",1979,"10,790,000",01,1979-01-01
"COWS, MILK",1979,"10,700,000",07,1979-07-01
"COWS, MILK",1978,"10,896,400",01,1978-01-01
"COWS, MILK",1978,"10,761,000",07,1978-07-01
"COWS, MILK",1977,"10,997,500",01,1977-01-01
"COWS, MILK",1977,"10,946,000",07,1977-07-01
"COWS, MILK",1976,"11,070,600",01,1976-01-01
"COWS, MILK",1976,"11,023,000",07,1976-07-01
"COWS, MILK",1975,"11,219,600",01,1975-01-01
"COWS, MILK",1975,"11,148,000",07,1975-07-01
"COWS, MILK",1974,"11,296,700",01,1974-01-01
"COWS, MILK",1974,"11,215,000",07,1974-07-01
"COWS, MILK",1973,"11,621,700",01,1973-01-01
"COWS, MILK",1973,"11,393,000",07,1973-07-01
"COWS, MILK",1972,"11,775,600",01,1972-01-01
"COWS, MILK",1972,"11,693,000",07,1972-07-01
"COWS, MILK",1971,"11,908,600",01,1971-01-01
"COWS, MILK",1971,"11,839,000",07,1971-07-01
"COWS, MILK",1970,"12,090,700",01,1970-01-01
"COWS, MILK",1969,"13,820,900",01,1969-01-01
"COWS, MILK",1968,"14,456,000",01,1968-01-01
"COWS, MILK",1967,"15,129,100",01,1967-01-01
"COWS, MILK",1966,"15,973,400",01,1966-01-01
"COWS, MILK",1965,"16,980,600",01,1965-01-01
"COWS, MILK",1964,"17,646,800",01,1964-01-01
"COWS, MILK",1963,"18,378,900",01,1963-01-01
"COWS, MILK",1962,"18,963,200",01,1962-01-01
"COWS, MILK",1961,"19,270,800",01,1961-01-01
"COWS, MILK",1960,"19,527,000",01,1960-01-01
"COWS, MILK",1959,"20,132,000",01,1959-01-01
"COWS, MILK",1958,"21,265,000",01,1958-01-01
"COWS, MILK",1957,"22,325,000",01,1957-01-01
"COWS, MILK",1956,"22,912,000",01,1956-01-01
"COWS, MILK",1955,"23,462,000",01,1955-01-01
"COWS, MILK",1954,"23,896,000",01,1954-01-01
"COWS, MILK",1953,"23,549,000",01,1953-01-01
"COWS, MILK",1952,"23,060,000",01,1952-01-01
"COWS, MILK",1951,"23,568,000",01,1951-01-01
"COWS, MILK",1950,"23,853,000",01,1950-01-01
"COWS, MILK",1949,"23,862,000",01,1949-01-01
"COWS, MILK",1948,"24,615,000",01,1948-01-01
"COWS, MILK",1947,"25,842,000",01,1947-01-01
"COWS, MILK",1946,"26,521,000",01,1946-01-01
"COWS, MILK",1945,"27,770,000",01,1945-01-01
"COWS, MILK",1944,"27,704,000",01,1944-01-01
"COWS, MILK",1943,"27,138,000",01,1943-01-01
"COWS, MILK",1942,"26,313,000",01,1942-01-01
"COWS, MILK",1941,"25,453,000",01,1941-01-01
"COWS, MILK",1940,"24,940,000",01,1940-01-01
"COWS, MILK",1939,"24,600,000",01,1939-01-01
"COWS, MILK",1938,"24,466,000",01,1938-01-01
"COWS, MILK",1937,"24,649,000",01,1937-01-01
"COWS, MILK",1936,"25,196,000",01,1936-01-01
"COWS, MILK",1935,"26,082,000",01,1935-01-01
"COWS, MILK",1934,"26,931,000",01,1934-01-01
"COWS, MILK",1933,"25,936,000",01,1933-01-01
"COWS, MILK",1932,"24,896,000",01,1932-01-01
"COWS, MILK",1931,"23,820,000",01,1931-01-01
"COWS, MILK",1930,"23,032,000",01,1930-01-01
"COWS, MILK",1929,"22,440,000",01,1929-01-01
"COWS, MILK",1928,"22,231,000",01,1928-01-01
"COWS, MILK",1927,"22,251,000",01,1927-01-01
"COWS, MILK",1926,"22,410,000",01,1926-01-01
"COWS, MILK",1925,"22,575,000",01,1925-01-01
"COWS, MILK",1924,"22,331,000",01,1924-01-01
"COWS, MILK",1923,"22,138,000",01,1923-01-01
"COWS, MILK",1922,"21,851,000",01,1922-01-01
"COWS, MILK",1921,"21,456,000",01,1921-01-01
"STEERS, GE 500 LBS",2025,"15,802,400",01,2025-01-01
"STEERS, GE 500 LBS",2024,"15,959,200",01,2024-01-01
"STEERS, GE 500 LBS",2023,"16,056,500",01,2023-01-01
"STEERS, GE 500 LBS",2023,"14,000,000",07,2023-07-01
"STEERS, GE 500 LBS",2022,"16,696,700",01,2022-01-01
"STEERS, GE 500 LBS",2022,"14,300,000",07,2022-07-01
"STEERS, GE 500 LBS",2021,"16,742,800",01,2021-01-01
"STEERS, GE 500 LBS",2021,"14,600,000",07,2021-07-01
"STEERS, GE 500 LBS",2020,"16,571,200",01,2020-01-01
"STEERS, GE 500 LBS",2020,"14,700,000",07,2020-07-01
"STEERS, GE 500 LBS",2019,"16,747,700",01,2019-01-01
"STEERS, GE 500 LBS",2019,"14,600,000",07,2019-07-01
"STEERS, GE 500 LBS",2018,"16,528,200",01,2018-01-01
"STEERS, GE 500 LBS",2018,"14,500,000",07,2018-07-01
"STEERS, GE 500 LBS",2017,"16,373,500",01,2017-01-01
"STEERS, GE 500 LBS",2017,"14,500,000",07,2017-07-01
"STEERS, GE 500 LBS",2016,"16,305,400",01,2016-01-01
"STEERS, GE 500 LBS",2015,"15,629,500",01,2015-01-01
"STEERS, GE 500 LBS",2015,"14,100,000",07,2015-07-01
"STEERS, GE 500 LBS",2014,"15,622,900",01,2014-01-01
"STEERS, GE 500 LBS",2014,"13,500,000",07,2014-07-01
"STEERS, GE 500 LBS",2013,"15,930,500",01,2013-01-01
"STEERS, GE 500 LBS",2012,"15,956,500",01,2012-01-01
"STEERS, GE 500 LBS",2012,"14,000,000",07,2012-07-01
"STEERS, GE 500 LBS",2011,"16,394,000",01,2011-01-01
"STEERS, GE 500 LBS",2011,"14,200,000",07,2011-07-01
"STEERS, GE 500 LBS",2010,"16,568,400",01,2010-01-01
"STEERS, GE 500 LBS",2010,"14,400,000",07,2010-07-01
"STEERS, GE 500 LBS",2009,"16,809,100",01,2009-01-01
"STEERS, GE 500 LBS",2009,"14,400,000",07,2009-07-01
"STEERS, GE 500 LBS",2008,"17,163,200",01,2008-01-01
"STEERS, GE 500 LBS",2008,"14,700,000",07,2008-07-01
"STEERS, GE 500 LBS",2007,"17,184,500",01,2007-01-01
"STEERS, GE 500 LBS",2007,"14,900,000",07,2007-07-01
"STEERS, GE 500 LBS",2006,"16,988,100",01,2006-01-01
"STEERS, GE 500 LBS",2006,"15,100,000",07,2006-07-01
"STEERS, GE 500 LBS",2005,"16,465,800",01,2005-01-01
"STEERS, GE 500 LBS",2005,"14,600,000",07,2005-07-01
"STEERS, GE 500 LBS",2004,"16,201,300",01,2004-01-01
"STEERS, GE 500 LBS",2004,"14,200,000",07,2004-07-01
"STEERS, GE 500 LBS",2003,"16,554,100",01,2003-01-01
"STEERS, GE 500 LBS",2003,"14,200,000",07,2003-07-01
"STEERS, GE 500 LBS",2002,"16,803,800",01,2002-01-01
"STEERS, GE 500 LBS",2002,"14,500,000",07,2002-07-01
"STEERS, GE 500 LBS",2001,"16,461,200",01,2001-01-01
"STEERS, GE 500 LBS",2001,"14,600,000",07,2001-07-01
"STEERS, GE 500 LBS",2000,"16,682,400",01,2000-01-01
"STEERS, GE 500 LBS",2000,"14,300,000",07,2000-07-01
"STEERS, GE 500 LBS",1999,"16,890,900",01,1999-01-01
"STEERS, GE 500 LBS",1999,"14,400,000",07,1999-07-01
"STEERS, GE 500 LBS",1998,"17,188,900",01,1998-01-01
"STEERS, GE 500 LBS",1998,"14,600,000",07,1998-07-01
"STEERS, GE 500 LBS",1997,"17,391,600",01,1997-01-01
"STEERS, GE 500 LBS",1997,"14,800,000",07,1997-07-01
"STEERS, GE 500 LBS",1996,"17,814,600",01,1996-01-01
"STEERS, GE 500 LBS",1996,"15,100,000",07,1996-07-01
"STEERS, GE 500 LBS",1995,"17,512,500",01,1995-01-01
"STEERS, GE 500 LBS",1995,"15,400,000",07,1995-07-01
"STEERS, GE 500 LBS",1994,"17,085,900",01,1994-01-01
"STEERS, GE 500 LBS",1994,"15,200,000",07,1994-07-01
"STEERS, GE 500 LBS",1993,"16,939,600",01,1993-01-01
"STEERS, GE 500 LBS",1993,"14,900,000",07,1993-07-01
"STEERS, GE 500 LBS",1992,"16,423,500",01,1992-01-01
"STEERS, GE 500 LBS",1992,"14,800,000",07,1992-07-01
"STEERS, GE 500 LBS",1991,"15,966,700",01,1991-01-01
"STEERS, GE 500 LBS",1991,"14,600,000",07,1991-07-01
"STEERS, GE 500 LBS",1990,"15,511,900",01,1990-01-01
"STEERS, GE 500 LBS",1990,"14,100,000",07,1990-07-01
"STEERS, GE 500 LBS",1989,"15,430,900",01,1989-01-01
"STEERS, GE 500 LBS",1989,"14,100,000",07,1989-07-01
"STEERS, GE 500 LBS",1988,"15,703,800",01,1988-01-01
"STEERS, GE 500 LBS",1988,"14,500,000",07,1988-07-01
"STEERS, GE 500 LBS",1987,"15,344,700",01,1987-01-01
"STEERS, GE 500 LBS",1987,"14,800,000",07,1987-07-01
"STEERS, GE 500 LBS",1986,"15,861,700",01,1986-01-01
"STEERS, GE 500 LBS",1986,"15,300,000",07,1986-07-01
"STEERS, GE 500 LBS",1985,"16,213,900",01,1985-01-01
"STEERS, GE 500 LBS",1985,"15,900,000",07,1985-07-01
"STEERS, GE 500 LBS",1984,"16,202,000",01,1984-01-01
"STEERS, GE 500 LBS",1984,"16,400,000",07,1984-07-01
"STEERS, GE 500 LBS",1983,"16,214,000",01,1983-01-01
"STEERS, GE 500 LBS",1983,"16,840,000",07,1983-07-01
"STEERS, GE 500 LBS",1982,"15,496,900",01,1982-01-01
"STEERS, GE 500 LBS",1982,"16,340,000",07,1982-07-01
"STEERS, GE 500 LBS",1981,"15,520,900",01,1981-01-01
"STEERS, GE 500 LBS",1981,"16,230,000",07,1981-07-01
"STEERS, GE 500 LBS",1980,"16,049,400",01,1980-01-01
"STEERS, GE 500 LBS",1980,"16,582,000",07,1980-07-01
"STEERS, GE 500 LBS",1979,"16,442,400",01,1979-01-01
"STEERS, GE 500 LBS",1979,"16,796,000",07,1979-07-01
"STEERS, GE 500 LBS",1978,"16,867,500",01,1978-01-01
"STEERS, GE 500 LBS",1978,"17,867,000",07,1978-07-01
"STEERS, GE 500 LBS",1977,"16,884,300",01,1977-01-01
"STEERS, GE 500 LBS",1977,"18,689,000",07,1977-07-01
"STEERS, GE 500 LBS",1976,"17,094,400",01,1976-01-01
"STEERS, GE 500 LBS",1976,"18,671,000",07,1976-07-01
"STEERS, GE 500 LBS",1975,"16,332,600",01,1975-01-01
"STEERS, GE 500 LBS",1975,"17,323,000",07,1975-07-01
"STEERS, GE 500 LBS",1974,"17,759,600",01,1974-01-01
"STEERS, GE 500 LBS",1974,"18,423,000",07,1974-07-01
"STEERS, GE 500 LBS",1973,"16,552,800",01,1973-01-01
"STEERS, GE 500 LBS",1973,"17,850,000",07,1973-07-01
"STEERS, GE 500 LBS",1972,"15,998,800",01,1972-01-01
"STEERS, GE 500 LBS",1971,"15,609,800",01,1971-01-01
"STEERS, GE 500 LBS",1970,"15,264,800",01,1970-01-01
"STEERS, GE 500 LBS",1969,"12,816,800",01,1969-01-01
"STEERS, GE 500 LBS",1968,"12,741,700",01,1968-01-01
"STEERS, GE 500 LBS",1967,"12,762,700",01,1967-01-01
"STEERS, GE 500 LBS",1966,"12,748,900",01,1966-01-01
"STEERS, GE 500 LBS",1965,"12,133,700",01,1965-01-01
"STEERS, GE 500 LBS",1964,"12,668,700",01,1964-01-01
"STEERS, GE 500 LBS",1963,"12,250,700",01,1963-01-01
"STEERS, GE 500 LBS",1962,"11,102,700",01,1962-01-01
"STEERS, GE 500 LBS",1961,"10,996,600",01,1961-01-01
"STEERS, GE 500 LBS",1960,"10,574,000",01,1960-01-01
"STEERS, GE 500 LBS",1959,"9,931,000",01,1959-01-01
"STEERS, GE 500 LBS",1958,"9,252,000",01,1958-01-01
"STEERS, GE 500 LBS",1957,"8,991,000",01,1957-01-01
"STEERS, GE 500 LBS",1956,"9,483,000",01,1956-01-01
"STEERS, GE 500 LBS",1955,"8,444,000",01,1955-01-01
"STEERS, GE 500 LBS",1954,"8,229,000",01,1954-01-01
"STEERS, GE 500 LBS",1953,"9,147,000",01,1953-01-01
"STEERS, GE 500 LBS",1952,"8,400,000",01,1952-01-01
"STEERS, GE 500 LBS",1951,"7,029,000",01,1951-01-01
"STEERS, GE 500 LBS",1950,"6,805,000",01,1950-01-01
"STEERS, GE 500 LBS",1949,"7,270,000",01,1949-01-01
"STEERS, GE 500 LBS",1948,"6,672,000",01,1948-01-01
"STEERS, GE 500 LBS",1947,"7,109,000",01,1947-01-01
"STEERS, GE 500 LBS",1946,"7,727,000",01,1946-01-01
"STEERS, GE 500 LBS",1945,"8,329,000",01,1945-01-01
"STEERS, GE 500 LBS",1944,"7,849,000",01,1944-01-01
"STEERS, GE 500 LBS",1943,"7,361,000",01,1943-01-01
"STEERS, GE 500 LBS",1942,"6,596,000",01,1942-01-01
"STEERS, GE 500 LBS",1941,"6,119,000",01,1941-01-01
"STEERS, GE 500 LBS",1940,"5,283,000",01,1940-01-01
"STEERS, GE 500 LBS",1939,"5,192,000",01,1939-01-01
"STEERS, GE 500 LBS",1938,"5,555,000",01,1938-01-01
"STEERS, GE 500 LBS",1937,"5,325,000",01,1937-01-01
"STEERS, GE 500 LBS",1936,"5,637,000",01,1936-01-01
"STEERS, GE 500 LBS",1935,"5,323,000",01,1935-01-01
"STEERS, GE 500 LBS",1934,"6,069,000",01,1934-01-01
"STEERS, GE 500 LBS",1933,"5,765,000",01,1933-01-01
"STEERS, GE 500 LBS",1932,"5,560,000",01,1932-01-01
"STEERS, GE 500 LBS",1931,"5,798,000",01,1931-01-01
"STEERS, GE 500 LBS",1930,"5,608,000",01,1930-01-01
"STEERS, GE 500 LBS",1929,"5,623,000",01,1929-01-01
"STEERS, GE 500 LBS",1928,"5,457,000",01,1928-01-01
"STEERS, GE 500 LBS",1927,"6,093,000",01,1927-01-01
"STEERS, GE 500 LBS",1926,"6,736,000",01,1926-01-01
