DATE,US_CHICKEN_LEG_PRICE
2012-04-11,71.52
2012-04-12,74.5
2012-04-13,72.2
2012-04-16,74.34
2012-04-17,72.62
2012-04-18,74.01
2012-04-19,73.48
2012-04-20,79.17
2012-04-23,74.56
2012-04-24,72.03
2012-04-25,74.05
2012-04-26,77.95
2012-04-27,80.73
2012-04-30,78.96
2012-05-01,76.37
2012-05-02,72.97
2012-05-03,77.39
2012-05-04,74.14
2012-05-07,73.88
2012-05-08,70.64
2012-05-09,69.26
2012-05-10,69.07
2012-05-11,67.28
2012-05-14,68.27
2012-05-15,66.18
2012-05-16,69.47
2012-05-17,68.63
2012-05-18,68.85
2012-05-21,68.11
2012-05-22,67.4
2012-05-23,70.26
2012-05-24,69.74
2012-05-25,72.27
2012-05-29,68.36
2012-05-30,66.42
2012-05-31,69.43
2012-06-01,68.69
2012-06-04,66.91
2012-06-05,67.09
2012-06-06,67.12
2012-06-07,67.18
2012-06-08,69.9
2012-06-11,69.66
2012-06-12,65.12
2012-06-13,69.58
2012-06-14,65.2
2012-06-15,64.66
2012-06-18,67.87
2012-06-19,62.42
2012-06-20,64.71
2012-06-21,68.34
2012-06-22,72.08
2012-06-25,76.65
2012-06-26,73.51
2012-06-27,66.9
2012-06-28,64.55
2012-06-29,66.98
2012-07-02,65.58
2012-07-03,62.78
2012-07-05,63.79
2012-07-06,66.65
2012-07-09,64.11
2012-07-10,60.06
2012-07-11,61.29
2012-07-12,61.96
2012-07-13,63.18
2012-07-16,63.42
2012-07-17,59.93
2012-07-18,64.8
2012-07-19,66.88
2012-07-20,71.99
2012-07-23,67.65
2012-07-24,63.44
2012-07-25,65.78
2012-07-26,64.29
2012-07-27,65.14
2012-07-30,64.52
2012-07-31,64.58
2012-08-01,66.38
2012-08-02,67.71
2012-08-03,67.49
2012-08-06,66.32
2012-08-07,66.17
2012-08-08,63.82
2012-08-09,67.77
2012-08-10,66.14
2012-08-13,70.41
2012-08-14,67.2
2012-08-15,67.17
2012-08-16,68.37
2012-08-17,69.17
2012-08-20,67.06
2012-08-21,67.49
2012-08-22,72.09
2012-08-23,74.0
2012-08-24,77.76
2012-08-27,74.91
2012-08-28,78.5
2012-08-29,78.87
2012-08-30,79.85
2012-08-31,81.11
2012-09-04,79.42
2012-09-05,75.38
2012-09-06,71.99
2012-09-07,75.69
2012-09-10,80.13
2012-09-11,79.31
2012-09-12,77.65
2012-09-13,72.53
2012-09-14,70.49
2012-09-17,68.03
2012-09-18,69.78
2012-09-19,67.48
2012-09-20,69.82
2012-09-21,70.56
2012-09-24,69.65
2012-09-25,68.59
2012-09-26,73.55
2012-09-27,74.1
2012-09-28,71.66
2012-10-01,70.72
2012-10-02,71.3
2012-10-03,74.36
2012-10-04,76.07
2012-10-05,72.47
2012-10-08,71.24
2012-10-09,71.63
2012-10-10,69.27
2012-10-11,74.11
2012-10-12,70.24
2012-10-15,71.96
2012-10-16,71.53
2012-10-17,69.41
2012-10-18,70.26
2012-10-19,71.53
2012-10-22,70.44
2012-10-23,68.56
2012-10-24,69.34
2012-10-25,72.87
2012-10-26,69.55
2012-10-31,66.49
2012-11-01,67.42
2012-11-02,70.1
2012-11-05,72.41
2012-11-06,77.31
2012-11-07,74.04
2012-11-08,70.68
2012-11-09,71.11
2012-11-13,68.34
2012-11-14,67.4
2012-11-15,67.42
2012-11-16,71.22
2012-11-19,71.01
2012-11-20,73.79
2012-11-21,70.7
2012-11-23,67.43
2012-11-26,70.87
2012-11-27,68.98
2012-11-28,64.59
2012-11-29,63.93
2012-11-30,68.7
2012-12-03,68.03
2012-12-04,64.21
2012-12-05,65.6
2012-12-06,67.43
2012-12-07,66.13
2012-12-10,62.69
2012-12-11,64.77
2012-12-12,66.4
2012-12-13,67.72
2012-12-14,67.9
2012-12-17,65.33
2012-12-18,63.51
2012-12-19,68.04
2012-12-20,66.83
2012-12-21,63.21
2012-12-26,65.1
2012-12-27,66.08
2012-12-28,67.78
2012-12-31,65.08
2013-01-02,67.04
2013-01-03,64.82
2013-01-04,68.99
2013-01-07,66.37
2013-01-08,64.85
2013-01-09,67.47
2013-01-10,67.37
2013-01-11,70.57
2013-01-14,68.21
2013-01-15,66.48
2013-01-16,68.43
2013-01-17,67.66
2013-01-18,70.15
2013-01-21,66.91
2013-01-22,68.09
2013-01-23,67.62
2013-01-24,66.07
2013-01-25,66.36
2013-01-28,65.99
2013-01-29,68.77
2013-01-30,66.3
2013-01-31,64.97
2013-02-01,68.36
2013-02-04,64.98
2013-02-05,67.67
2013-02-06,67.43
2013-02-07,70.87
2013-02-08,66.58
2013-02-11,66.16
2013-02-12,66.48
2013-02-13,66.85
2013-02-14,69.46
2013-02-15,69.07
2013-02-18,67.75
2013-02-19,69.01
2013-02-20,68.89
2013-02-21,67.41
2013-02-22,67.43
2013-02-25,69.84
2013-02-26,69.46
2013-02-27,65.01
2013-02-28,66.47
2013-03-01,66.08
2013-03-04,67.9
2013-03-05,67.64
2013-03-06,65.09
2013-03-07,66.32
2013-03-08,65.43
2013-03-11,65.57
2013-03-12,66.32
2013-03-13,68.72
2013-03-14,66.02
2013-03-15,68.71
2013-03-18,68.4
2013-03-19,65.89
2013-03-20,69.4
2013-03-21,69.38
2013-03-22,70.65
2013-03-25,72.46
2013-03-26,68.74
2013-03-27,69.15
2013-03-28,67.82
2013-03-29,67.6
2013-04-01,66.96
2013-04-02,67.91
2013-04-03,71.96
2013-04-04,73.88
2013-04-05,73.69
2013-04-08,69.69
2013-04-09,72.71
2013-04-10,72.34
2013-04-11,76.97
2013-04-12,72.23
2013-04-15,71.22
2013-04-16,75.65
2013-04-17,71.08
2013-04-18,73.86
2013-04-19,75.29
2013-04-22,75.55
2013-04-23,71.63
2013-04-24,73.77
2013-04-25,73.75
2013-04-26,76.09
2013-04-29,72.0
2013-04-30,74.35
2013-05-01,69.36
2013-05-02,71.83
2013-05-03,70.51
2013-05-06,68.8
2013-05-07,69.61
2013-05-08,70.04
2013-05-09,70.85
2013-05-10,71.8
2013-05-13,68.07
2013-05-14,72.26
2013-05-15,77.51
2013-05-16,76.36
2013-05-17,78.57
2013-05-20,73.22
2013-05-21,77.07
2013-05-22,79.5
2013-05-23,80.48
2013-05-24,82.03
2013-05-28,81.86
2013-05-29,80.21
2013-05-30,79.39
2013-05-31,75.02
2013-06-03,77.99
2013-06-04,78.51
2013-06-05,75.11
2013-06-06,78.12
2013-06-07,80.31
2013-06-10,78.67
2013-06-11,79.88
2013-06-12,79.21
2013-06-13,78.55
2013-06-14,78.88
2013-06-17,81.75
2013-06-18,81.02
2013-06-19,83.81
2013-06-20,82.26
2013-06-21,77.67
2013-06-24,72.54
2013-06-25,68.78
2013-06-26,72.45
2013-06-27,69.6
2013-06-28,71.99
2013-07-01,72.95
2013-07-02,69.36
2013-07-03,70.24
2013-07-05,71.69
2013-07-08,69.38
2013-07-09,68.8
2013-07-10,71.73
2013-07-11,70.66
2013-07-12,70.73
2013-07-15,69.53
2013-07-16,72.07
2013-07-17,76.77
2013-07-18,73.69
2013-07-19,75.95
2013-07-22,72.68
2013-07-23,75.9
2013-07-24,72.31
2013-07-25,71.94
2013-07-26,74.65
2013-07-29,79.86
2013-07-30,80.32
2013-07-31,76.76
2013-08-01,80.78
2013-08-02,80.28
2013-08-05,75.65
2013-08-06,70.42
2013-08-07,68.37
2013-08-08,72.71
2013-08-09,69.92
2013-08-12,69.2
2013-08-13,73.3
2013-08-14,69.12
2013-08-15,70.78
2013-08-16,67.5
2013-08-19,69.56
2013-08-20,69.91
2013-08-21,73.21
2013-08-22,72.86
2013-08-23,69.78
2013-08-26,68.18
2013-08-27,71.12
2013-08-28,70.08
2013-08-29,71.09
2013-08-30,70.41
2013-09-03,73.23
2013-09-04,70.29
2013-09-05,73.32
2013-09-06,70.34
2013-09-09,72.64
2013-09-10,71.16
2013-09-11,70.09
2013-09-12,69.67
2013-09-13,67.72
2013-09-16,72.68
2013-09-17,75.87
2013-09-18,70.16
2013-09-19,71.82
2013-09-20,75.06
2013-09-23,75.67
2013-09-24,75.55
2013-09-25,78.93
2013-09-26,80.19
2013-09-27,80.29
2013-09-30,75.73
2013-10-17,74.93
2013-10-18,74.42
2013-10-21,71.13
2013-10-22,70.7
2013-10-23,69.2
2013-10-24,64.88
2013-10-25,61.73
2013-10-28,59.41
2013-10-29,60.36
2013-10-30,62.25
2013-10-31,61.6
2013-11-01,58.43
2013-11-04,63.13
2013-11-05,64.64
2013-11-06,60.79
2013-11-07,59.33
2013-11-08,57.18
2013-11-12,57.66
2013-11-13,62.62
2013-11-14,57.91
2013-11-15,58.93
2013-11-18,59.11
2013-11-19,57.22
2013-11-20,60.57
2013-11-21,57.12
2013-11-22,56.32
2013-11-25,60.23
2013-11-26,55.97
2013-11-27,61.91
2013-11-29,60.85
2013-12-02,62.45
2013-12-03,57.8
2013-12-04,57.67
2013-12-05,60.2
2013-12-06,59.56
2013-12-09,59.03
2013-12-10,56.07
2013-12-11,58.17
2013-12-12,57.14
2013-12-13,59.47
2013-12-16,61.87
2013-12-17,60.6
2013-12-18,66.52
2013-12-19,61.07
2013-12-20,59.87
2013-12-23,61.03
2013-12-24,59.74
2013-12-26,57.19
2013-12-27,59.22
2013-12-30,61.93
2013-12-31,59.58
2014-01-02,59.34
2014-01-03,64.76
2014-01-06,60.87
2014-01-07,56.0
2014-01-08,57.89
2014-01-09,59.73
2014-01-10,59.22
2014-01-13,57.15
2014-01-14,57.92
2014-01-15,59.29
2014-01-16,66.25
2014-01-17,60.21
2014-01-21,57.66
2014-01-22,58.75
2014-01-23,58.79
2014-01-24,62.72
2014-01-27,60.23
2014-01-28,57.97
2014-01-29,57.8
2014-01-30,63.49
2014-01-31,62.09
2014-02-03,56.8
2014-02-04,56.96
2014-02-05,58.57
2014-02-06,59.14
2014-02-07,60.0
2014-02-10,57.56
2014-02-11,65.34
2014-02-12,60.43
2014-02-13,57.83
2014-02-14,58.15
2014-02-17,58.98
2014-02-18,55.2
2014-02-19,58.93
2014-02-20,56.5
2014-02-21,54.85
2014-02-24,59.52
2014-02-25,66.75
2014-02-26,63.47
2014-02-27,61.68
2014-02-28,59.08
2014-03-03,58.54
2014-03-04,57.29
2014-03-05,59.35
2014-03-06,59.66
2014-03-07,59.99
2014-03-10,58.11
2014-03-11,60.33
2014-03-12,64.22
2014-03-13,63.88
2014-03-14,62.63
2014-03-17,63.28
2014-03-18,60.77
2014-03-19,64.07
2014-03-20,63.11
2014-03-21,62.8
2014-03-24,64.83
2014-03-25,62.53
2014-03-26,65.6
2014-03-27,61.69
2014-03-28,64.08
2014-03-31,63.99
2014-04-01,62.08
2014-04-02,66.12
2014-04-03,67.02
2014-04-04,68.37
2014-04-07,68.69
2014-04-08,66.35
2014-04-09,67.28
2014-04-10,68.2
2014-04-11,65.55
2014-04-14,69.9
2014-04-15,66.8
2014-04-16,68.69
2014-04-17,65.94
2014-04-18,67.9
2014-04-21,65.13
2014-04-22,68.14
2014-04-23,68.51
2014-04-24,67.83
2014-04-25,66.5
2014-04-28,70.19
2014-04-29,66.57
2014-04-30,69.87
2014-05-01,68.61
2014-05-02,72.14
2014-05-05,68.85
2014-05-06,66.59
2014-05-07,67.39
2014-05-08,69.6
2014-05-09,70.14
2014-05-12,70.29
2014-05-13,68.31
2014-05-14,69.6
2014-05-15,68.57
2014-05-16,66.91
2014-05-19,67.48
2014-05-20,67.53
2014-05-21,69.16
2014-05-22,70.82
2014-05-23,69.22
2014-05-27,69.34
2014-05-28,67.45
2014-05-29,67.04
2014-05-30,70.08
2014-06-02,68.31
2014-06-03,67.34
2014-06-04,70.63
2014-06-05,71.08
2014-06-06,68.49
2014-06-09,68.96
2014-06-10,66.85
2014-06-11,64.36
2014-06-12,65.56
2014-06-13,67.39
2014-06-16,68.54
2014-06-17,66.76
2014-06-18,68.82
2014-06-19,69.63
2014-06-20,70.04
2014-06-23,66.24
2014-06-24,67.28
2014-06-25,68.05
2014-06-26,72.02
2014-06-27,69.33
2014-06-30,69.41
2014-07-01,68.39
2014-07-02,70.72
2014-07-03,69.22
2014-07-07,68.44
2014-07-08,64.41
2014-07-09,69.16
2014-07-10,68.81
2014-07-11,66.77
2014-07-14,68.68
2014-07-15,64.63
2014-07-16,67.38
2014-07-17,67.94
2014-07-18,66.13
2014-07-21,66.16
2014-07-22,65.0
2014-07-23,66.25
2014-07-24,64.84
2014-07-25,65.68
2014-07-28,63.69
2014-07-29,59.33
2014-07-30,61.42
2014-07-31,62.8
2014-08-01,61.9
2014-08-04,62.16
2014-08-05,62.74
2014-08-06,57.15
2014-08-07,62.56
2014-08-08,60.73
2014-08-11,62.86
2014-08-12,59.45
2014-08-13,57.4
2014-08-14,54.59
2014-08-15,57.11
2014-08-18,56.12
2014-08-19,53.79
2014-08-20,55.9
2014-08-21,56.5
2014-08-22,57.48
2014-08-25,54.77
2014-08-26,53.45
2014-08-27,57.58
2014-08-28,56.68
2014-08-29,57.78
2014-09-02,57.32
2014-09-03,57.15
2014-09-04,55.21
2014-09-05,57.74
2014-09-08,56.63
2014-09-09,51.07
2014-09-10,54.23
2014-09-11,52.03
2014-09-12,52.62
2014-09-15,52.13
2014-09-16,54.31
2014-09-17,58.72
2014-09-18,60.3
2014-09-19,59.82
2014-09-22,54.24
2014-09-23,53.28
2014-09-24,54.35
2014-09-25,54.89
2014-09-26,54.61
2014-09-29,52.17
2014-09-30,52.88
2014-10-01,56.84
2014-10-02,54.25
2014-10-03,51.81
2014-10-06,54.85
2014-10-07,54.39
2014-10-08,55.59
2014-10-09,54.23
2014-10-10,53.93
2014-10-13,54.91
2014-10-14,55.47
2014-10-15,56.83
2014-10-16,52.56
2014-10-17,54.47
2014-10-20,54.46
2014-10-21,52.9
2014-10-22,57.71
2014-10-23,56.64
2014-10-24,59.24
2014-10-27,59.47
2014-10-28,52.63
2014-10-29,59.98
2014-10-30,59.4
2014-10-31,60.63
2014-11-03,58.93
2014-11-04,54.27
2014-11-05,58.32
2014-11-06,58.84
2014-11-07,66.49
2014-11-10,57.51
2014-11-11,57.37
2014-11-12,55.68
2014-11-13,58.12
2014-11-14,53.4
2014-11-17,53.25
2014-11-18,54.23
2014-11-19,58.52
2014-11-20,57.31
2014-11-21,56.58
2014-11-24,58.21
2014-11-25,59.41
2014-11-26,52.04
2014-11-28,57.06
2014-12-01,53.46
2014-12-02,54.61
2014-12-03,55.48
2014-12-04,58.15
2014-12-05,54.58
2014-12-08,58.32
2014-12-09,53.47
2014-12-10,54.39
2014-12-11,59.63
2014-12-12,57.34
2014-12-15,57.06
2014-12-16,52.07
2014-12-17,54.86
2014-12-18,54.93
2014-12-19,60.27
2014-12-22,54.92
2014-12-23,51.53
2014-12-24,53.31
2014-12-29,58.37
2014-12-30,50.62
2014-12-31,50.06
2015-01-02,53.01
2015-01-05,58.1
2015-01-06,50.35
2015-01-07,49.79
2015-01-08,50.64
2015-01-09,51.67
2015-01-12,50.2
2015-01-13,49.33
2015-01-14,51.81
2015-01-15,58.08
2015-01-16,60.81
2015-01-20,57.84
2015-01-21,58.01
2015-01-22,60.99
2015-01-23,58.19
2015-01-26,52.81
2015-01-27,49.37
2015-01-28,43.01
2015-01-29,46.06
2015-01-30,43.02
2015-02-02,44.88
2015-02-03,42.75
2015-02-04,49.95
2015-02-05,46.42
2015-02-06,46.44
2015-02-09,45.82
2015-02-10,43.3
2015-02-11,47.17
2015-02-12,41.87
2015-02-13,42.92
2015-02-16,45.08
2015-02-17,40.11
2015-02-18,49.25
2015-02-19,47.62
2015-02-20,41.53
2015-02-23,42.1
2015-02-24,44.17
2015-02-25,44.49
2015-02-26,44.44
2015-02-27,47.96
2015-03-02,41.86
2015-03-03,43.74
2015-03-04,44.69
2015-03-05,43.68
2015-03-06,42.7
2015-03-09,42.65
2015-03-10,43.22
2015-03-11,44.4
2015-03-12,48.02
2015-03-13,45.75
2015-03-16,44.81
2015-03-17,43.27
2015-03-18,44.35
2015-03-19,45.67
2015-03-20,48.83
2015-03-23,47.83
2015-03-24,42.92
2015-03-25,45.36
2015-03-26,49.8
2015-03-27,48.76
2015-03-30,45.9
2015-03-31,43.52
2015-04-01,46.31
2015-04-02,45.41
2015-04-03,49.57
2015-04-06,44.03
2015-04-07,43.33
2015-04-08,48.97
2015-04-09,47.29
2015-04-10,54.76
2015-04-13,56.21
2015-04-14,55.59
2015-04-15,47.78
2015-04-16,54.05
2015-04-17,56.52
2015-04-20,55.26
2015-04-21,56.53
2015-04-22,58.52
2015-04-23,53.66
2015-04-24,47.83
2015-04-27,45.4
2015-04-28,43.57
2015-04-29,45.57
2015-04-30,47.27
2015-05-01,42.68
2015-05-04,46.16
2015-05-05,44.07
2015-05-06,41.38
2015-05-07,44.85
2015-05-08,42.44
2015-05-11,43.65
2015-05-12,43.3
2015-05-13,40.81
2015-05-14,45.42
2015-05-15,41.07
2015-05-18,41.95
2015-05-19,41.35
2015-05-20,39.45
2015-05-21,38.28
2015-05-22,40.06
2015-05-26,39.38
2015-05-27,35.73
2015-05-28,36.73
2015-05-29,43.83
2015-06-01,41.66
2015-06-02,39.13
2015-06-03,36.53
2015-06-04,40.01
2015-06-05,33.8
2015-06-08,38.46
2015-06-09,41.3
2015-06-10,36.98
2015-06-11,35.12
2015-06-12,34.61
2015-06-15,36.48
2015-06-16,44.07
2015-06-17,36.3
2015-06-18,36.63
2015-06-19,39.16
2015-06-22,38.25
2015-06-23,38.82
2015-06-24,35.65
2015-06-25,42.61
2015-06-26,36.71
2015-06-29,34.58
2015-06-30,36.09
2015-07-01,36.03
2015-07-02,35.12
2015-07-06,37.53
2015-07-07,35.78
2015-07-08,35.67
2015-07-09,33.52
2015-07-10,34.57
2015-07-13,34.56
2015-07-14,33.16
2015-07-15,34.72
2015-07-16,38.13
2015-07-17,37.93
2015-07-20,32.68
2015-07-21,31.81
2015-07-22,36.07
2015-07-23,36.18
2015-07-24,35.53
2015-07-27,36.08
2015-07-28,34.54
2015-07-29,36.43
2015-07-30,32.85
2015-07-31,31.41
2015-08-03,36.21
2015-08-04,38.81
2015-08-05,36.76
2015-08-06,39.11
2015-08-07,37.03
2015-08-10,36.53
2015-08-11,38.47
2015-08-12,39.24
2015-08-13,37.96
2015-08-14,33.01
2015-08-17,36.88
2015-08-18,35.53
2015-08-19,35.81
2015-08-20,37.98
2015-08-21,35.88
2015-08-24,36.65
2015-08-25,35.75
2015-08-26,32.72
2015-08-27,37.22
2015-08-28,34.93
2015-08-31,34.44
2015-09-01,35.67
2015-09-02,32.45
2015-09-03,35.35
2015-09-04,35.17
2015-09-08,35.15
2015-09-09,33.21
2015-09-10,35.45
2015-09-11,32.68
2015-09-14,34.11
2015-09-15,35.05
2015-09-16,37.23
2015-09-17,35.9
2015-09-18,35.54
2015-09-21,40.67
2015-09-22,43.56
2015-09-23,43.56
2015-09-24,47.08
2015-09-25,43.94
2015-09-28,41.44
2015-09-29,39.96
2015-09-30,38.35
2015-10-01,32.03
2015-10-02,32.55
2015-10-05,32.61
2015-10-06,35.03
2015-10-07,32.43
2015-10-08,33.67
2015-10-09,32.0
2015-10-12,32.6
2015-10-13,38.95
2015-10-14,33.82
2015-10-15,31.62
2015-10-16,30.03
2015-10-19,32.1
2015-10-20,31.04
2015-10-21,29.16
2015-10-22,32.85
2015-10-23,31.01
2015-10-26,35.07
2015-10-27,30.63
2015-10-28,29.15
2015-10-29,31.53
2015-10-30,31.01
2015-11-02,37.9
2015-11-03,30.36
2015-11-04,33.19
2015-11-05,31.79
2015-11-06,30.59
2015-11-09,35.7
2015-11-10,35.11
2015-11-11,32.8
2015-11-12,30.42
2015-11-13,34.79
2015-11-16,33.62
2015-11-17,31.1
2015-11-18,27.81
2015-11-19,29.09
2015-11-20,31.17
2015-11-23,34.94
2015-11-24,38.58
2015-11-25,35.09
2015-11-27,32.06
2015-11-30,30.01
