DATE,AR_CONSUMER_CONFIDENCE
2018-04-30,40.09
2018-05-31,36.07
2018-06-30,35.97
2018-07-31,36.25
2018-08-31,36.25
2018-09-30,33.7
2018-10-31,32.64
2018-11-30,32.1
2018-12-31,35.99
2019-01-31,33.1
2019-02-28,36.04
2019-03-31,34.79
2019-04-30,34.41
2019-05-31,36.47
2019-06-30,40.57
2019-07-31,44.18
2019-08-31,41.86
2019-09-30,42.09
2019-10-31,43.77
2019-11-30,41.35
2019-12-31,42.35
2020-01-31,43.03
2020-02-29,42.73
2020-03-31,41.23
2020-04-30,39.28
2020-05-31,38.42
2020-06-30,39.47
2020-07-31,38.18
2020-08-31,41.31
2020-09-30,40.31
2020-10-31,38.83
2020-11-30,40.87
2020-12-31,39.32
2021-01-31,38.2
2021-02-28,37.77
2021-03-31,38.19
2021-04-30,35.34
2021-05-31,35.44
2021-06-30,34.64
2021-07-31,37.86
2021-08-31,39.76
2021-09-30,40.52
2021-10-31,40.21
2021-11-30,39.69
2021-12-31,37.77
2022-01-31,40.14
2022-02-28,39.43
2022-03-31,36.91
2022-04-30,35.72
2022-05-31,36.3
2022-06-30,39.09
2022-07-31,34.74
2022-08-31,37.05
2022-09-30,37.19
2022-10-31,35.65
2022-11-30,35.15
2022-12-31,35.91
2023-01-31,38.52
2023-02-28,36.18
2023-03-31,38.19
2023-04-30,37.08
2023-05-31,38.31
2023-06-30,41.79
2023-07-31,43.56
2023-08-31,44.06
2023-09-30,43.38
2023-10-31,45.11
2023-11-30,47.51
2023-12-31,39.81
2024-01-31,35.6
2024-02-29,36.04
2024-03-31,36.68
2024-04-30,37.17
2024-05-31,38.3
2024-06-30,37.23
2024-07-31,39.1
2024-08-31,41.46
2024-09-30,39.0
2024-10-31,42.42
2024-11-30,45.02
2024-12-31,46.03
2025-01-31,47.38
2025-02-28,47.26
2025-03-31,44.11
