DATE,BR_ETHANOL_TRS_PER_TON
2017-09-16,150.92
2017-10-01,159.3
2017-10-16,146.39
2017-11-01,153.64
2017-11-16,132.51
2017-12-01,136.77
2017-12-16,126.98
2018-01-01,147.88
2018-01-16,104.86
2018-02-01,113.24
2018-02-16,101.33
2018-03-01,102.14
2018-03-16,88.46
2018-04-01,107.38
2018-04-16,106.68
2018-05-01,120.05
2018-05-16,128.24
2018-06-01,133.39
2018-06-16,134.49
2018-07-01,139.84
2018-07-16,145.13
2018-08-01,150.53
2018-08-16,152.1
2018-09-01,152.64
2018-09-16,156.48
2018-10-01,147.26
2018-10-16,142.4
2018-11-01,133.83
2018-11-16,127.18
2018-12-01,120.92
2018-12-16,122.13
2019-01-01,141.58
2019-01-16,105.77
2019-02-01,102.27
2019-02-16,133.74
2019-03-01,101.01
2019-03-16,98.99
2019-04-01,109.2
2019-04-16,109.2
2019-05-01,111.63
2019-05-16,119.65
2019-06-01,125.49
2019-06-16,128.88
2019-07-01,134.5
2019-07-16,138.03
2019-08-01,141.3
2019-08-16,146.23
2019-09-01,150.94
2019-09-16,154.22
2019-10-01,157.31
2019-10-16,154.29
2019-11-01,151.49
2019-11-16,147.14
2019-12-01,141.6
2019-12-16,134.08
2020-01-01,128.81
2020-01-16,142.58
2020-02-01,60.48
2020-02-16,60.48
2020-03-01,82.37
2020-03-16,102.55
2020-04-01,108.54
2020-04-16,112.81
2020-05-01,122.1
2020-05-16,131.06
2020-06-01,133.83
2020-06-16,136.52
2020-07-01,140.64
2020-07-16,142.02
2020-08-01,148.15
2020-08-16,152.91
2020-09-01,155.95
2020-09-16,159.0
2020-10-01,161.18
2020-10-16,164.21
2020-11-01,155.46
2020-11-16,153.07
2020-12-01,146.38
2020-12-16,150.86
2021-01-01,132.56
2021-01-16,127.25
2021-02-01,260.19
2021-02-16,110.71
2021-03-01,102.49
2021-03-16,101.63
2021-04-01,113.23
2021-04-16,109.28
2021-05-01,121.06
2021-05-16,131.35
2021-06-01,137.61
2021-06-16,138.44
2021-07-01,141.75
2021-07-16,143.53
2021-08-01,147.32
2021-08-16,149.83
2021-09-01,154.85
2021-09-16,155.01
2021-10-01,157.47
2021-10-16,156.19
2021-11-01,142.82
2021-11-16,133.35
2021-12-01,133.72
2021-12-16,133.27
2022-01-16,0.0
2022-02-01,0.0
2022-02-16,0.0
2022-03-01,0.0
2022-03-16,0.0
2022-04-01,0.0
2022-04-16,98.66
2022-05-01,110.64
2022-05-16,124.95
2022-06-01,128.64
2022-06-16,131.04
2022-07-01,137.08
2022-07-16,143.19
2022-08-01,148.26
2022-08-16,152.5
2022-09-01,154.46
2022-09-16,158.52
2022-10-01,155.3
2022-10-16,143.78
2022-11-01,145.13
2022-11-16,137.1
2022-12-01,139.87
2022-12-16,142.55
2023-01-01,143.52
2023-01-16,131.06
2023-02-01,131.81
2023-02-16,143.37
2023-03-01,115.61
2023-03-16,100.07
2023-04-01,104.28
2023-04-16,108.35
2023-05-01,112.79
2023-05-16,124.56
2023-06-01,135.22
2023-06-16,135.65
2023-07-01,133.04
2023-07-16,140.58
2023-08-01,144.02
2023-08-16,149.23
2023-09-01,153.93
2023-09-16,153.27
2023-10-01,154.25
2023-10-16,149.57
2023-11-01,146.59
2023-11-16,132.69
2023-12-01,132.07
2023-12-16,117.15
2024-01-01,136.93
2024-01-16,133.58
2024-02-01,117.72
2024-02-16,137.97
2024-03-01,131.14
2024-03-16,109.95
2024-04-01,113.61
2024-04-16,107.93
2024-05-01,115.63
2024-05-16,124.71
2024-06-01,129.85
2024-06-16,134.47
2024-07-01,139.96
2024-07-16,143.27
2024-08-01,146.86
2024-08-16,151.09
2024-09-01,155.34
2024-09-16,159.52
2024-10-01,160.01
2024-10-16,160.3
2024-11-01,149.48
2024-11-16,133.09
2024-12-01,124.59
2024-12-16,115.92
2025-01-01,121.58
2025-01-16,118.51
2025-02-01,134.7
2025-02-16,134.74
2025-03-01,142.09
2025-03-16,99.17
