DATE,GLOBAL_PALM_OIL_PRICE
2020-07-07,610.0
2020-07-08,632.5
2020-07-09,620.0
2020-07-13,620.0
2020-07-14,630.0
2020-07-15,650.0
2020-07-16,662.5
2020-07-17,655.0
2020-07-20,675.0
2020-07-21,725.0
2020-07-22,687.5
2020-07-23,692.5
2020-07-24,720.0
2020-07-27,735.0
2020-07-28,710.0
2020-07-29,672.5
2020-07-30,690.0
2020-08-03,695.0
2020-08-04,712.5
2020-08-05,705.0
2020-08-06,700.0
2020-08-07,722.5
2020-08-11,705.0
2020-08-12,700.0
2020-08-13,700.0
2020-08-14,702.5
2020-08-17,702.5
2020-08-18,695.0
2020-08-19,697.5
2020-08-20,690.0
2020-08-21,690.0
2020-08-24,685.0
2020-08-25,685.0
2020-08-26,680.0
2020-08-27,680.0
2020-08-28,692.5
2020-08-31,690.0
2020-09-01,690.0
2020-09-02,712.5
2020-09-04,720.0
2020-09-07,710.0
2020-09-08,710.0
2020-09-09,720.0
2020-09-10,715.0
2020-09-11,742.5
2020-09-14,725.0
2020-09-15,725.0
2020-09-16,752.5
2020-09-17,752.5
2020-09-18,752.5
2020-09-21,775.0
2020-09-22,755.0
2020-09-23,765.0
2020-09-24,742.5
2020-09-25,720.0
2020-09-28,740.0
2020-09-29,747.5
2020-09-30,740.0
2020-10-01,750.0
2020-10-02,745.0
2020-10-05,710.0
2020-10-06,745.0
2020-10-07,755.0
2020-10-08,750.0
2020-10-09,750.0
2020-10-12,770.0
2020-10-13,780.0
2020-10-14,780.0
2020-10-15,765.0
2020-10-16,750.0
2020-10-19,750.0
2020-10-20,735.0
2020-10-21,760.0
2020-10-22,750.0
2020-10-23,765.0
2020-10-26,820.0
2020-10-27,760.0
2020-10-28,777.5
2020-10-29,770.0
2020-10-30,770.0
2020-11-02,747.5
2020-11-03,755.0
2020-11-04,800.0
2020-11-05,792.5
2020-11-06,825.0
2020-11-09,810.0
2020-11-10,840.0
2020-11-11,840.0
2020-11-12,855.0
2020-11-13,855.0
2020-11-16,855.0
2020-11-17,855.0
2020-11-18,865.0
2020-11-19,900.0
2020-11-20,895.0
2020-11-23,870.0
2020-11-24,880.0
2020-11-25,852.5
2020-11-26,890.0
2020-11-27,890.0
2020-11-30,920.0
2020-12-01,900.0
2020-12-02,900.0
2020-12-03,920.0
2020-12-04,905.0
2020-12-07,970.0
2020-12-08,975.0
2020-12-09,900.0
2020-12-10,930.0
2020-12-11,925.0
2020-12-14,920.0
2020-12-15,920.0
2020-12-16,922.5
2020-12-17,922.5
2020-12-18,935.0
2020-12-21,935.0
2020-12-22,955.0
2020-12-23,950.0
2020-12-24,950.0
2020-12-28,1030.0
2020-12-29,1030.0
2020-12-30,1030.0
2020-12-31,1030.0
2021-01-04,1030.0
2021-01-05,1030.0
2021-01-06,1045.0
2021-01-07,1050.0
2021-01-08,1050.0
2021-01-11,1090.0
2021-01-12,1090.0
2021-01-13,1090.0
2021-01-14,1090.0
2021-01-15,1090.0
2021-01-18,990.0
2021-01-19,990.0
2021-01-20,990.0
2021-01-21,990.0
2021-01-22,980.0
2021-01-25,995.0
2021-01-26,995.0
2021-01-27,1005.0
2021-01-28,1025.0
2021-01-29,1030.0
2021-02-01,1060.0
2021-02-02,1055.0
2021-02-03,1055.0
2021-02-04,1060.0
2021-02-05,1080.0
2021-02-08,1070.0
2021-02-09,1070.0
2021-02-10,1067.5
2021-02-11,1067.5
2021-02-15,1130.0
2021-02-16,1130.0
2021-02-17,1080.0
2021-02-18,1115.0
2021-02-19,1115.0
2021-02-22,1100.0
2021-02-23,1100.0
2021-02-25,1105.0
2021-02-26,1105.0
2021-03-01,1107.5
2021-03-02,1107.5
2021-03-03,1095.0
2021-03-04,1075.0
2021-03-05,1105.0
2021-03-08,1115.0
2021-03-09,1115.0
2021-03-10,1115.0
2021-03-11,1120.0
2021-03-12,1120.0
2021-03-15,1185.0
2021-03-16,1185.0
2021-03-17,1170.0
2021-03-18,1155.0
2021-03-19,1155.0
2021-03-22,1160.0
2021-03-23,1150.0
2021-03-24,1170.0
2021-03-25,1170.0
2021-03-26,1170.0
2021-03-29,1150.0
2021-03-30,1140.0
2021-03-31,1140.0
2021-04-01,1140.0
2021-04-05,1130.0
2021-04-06,1140.0
2021-04-07,1140.0
2021-04-08,1170.0
2021-04-09,1115.0
2021-04-12,1130.0
2021-04-13,1130.0
2021-04-14,1130.0
2021-04-15,1180.0
2021-04-16,1170.0
2021-04-19,1170.0
2021-04-21,1185.0
2021-04-22,1160.0
2021-04-23,1160.0
2021-04-26,1340.0
2021-04-27,1340.0
2021-04-28,1220.0
2021-04-29,1240.0
2021-04-30,1355.0
2021-05-03,1180.0
2021-05-04,1180.0
2021-05-05,1245.0
2021-05-06,1245.0
2021-05-07,1265.0
2021-05-10,1265.0
2021-05-11,1280.0
2021-05-12,1275.0
2021-05-14,1275.0
2021-05-17,1315.0
2021-05-18,1315.0
2021-05-19,1310.0
2021-05-20,1300.0
2021-05-21,1290.0
2021-05-24,1240.0
2021-05-25,1240.0
2021-05-27,1232.5
2021-05-28,1230.0
2021-05-31,1175.0
2021-06-01,1175.0
2021-06-02,1145.0
2021-06-03,1180.0
2021-06-04,1175.0
2021-06-07,1175.0
2021-06-08,1205.0
2021-06-09,1205.0
2021-06-10,1205.0
2021-06-11,1205.0
2021-06-14,1155.0
2021-06-15,1120.0
2021-06-16,1120.0
2021-06-17,1080.0
2021-06-18,1080.0
2021-06-21,1050.0
2021-06-22,970.0
2021-06-23,970.0
2021-06-24,970.0
2021-06-25,970.0
2021-06-28,990.0
2021-06-29,1010.0
2021-06-30,1010.0
2021-07-01,1010.0
2021-07-02,1010.0
2021-07-05,1090.0
2021-07-06,1120.0
2021-07-07,1120.0
2021-07-08,1120.0
2021-07-09,1120.0
2021-07-12,1120.0
2021-07-13,1130.0
2021-07-14,1130.0
2021-07-15,1210.0
2021-07-16,1210.0
2021-07-19,1210.0
2021-07-21,1210.0
2021-07-23,1210.0
2021-07-26,1210.0
2021-07-27,1210.0
2021-07-28,1265.0
2021-07-29,1265.0
2021-07-30,1250.0
2021-08-02,1275.0
2021-08-03,1240.0
2021-08-04,1195.0
2021-08-05,1257.5
2021-08-06,1210.0
2021-08-10,1165.0
2021-08-11,1165.0
2021-08-12,1165.0
2021-08-13,1270.0
2021-08-16,1270.0
2021-08-17,1245.0
2021-08-18,1245.0
2021-08-19,1220.0
2021-08-20,1210.0
2021-08-23,1200.0
2021-08-24,1225.0
2021-08-25,1225.0
2021-08-26,1230.0
2021-08-27,1235.0
2021-08-30,1235.0
2021-08-31,1235.0
2021-09-01,1225.0
2021-09-02,1210.0
2021-09-03,1250.0
2021-09-06,1250.0
2021-09-07,1250.0
2021-09-08,1240.0
2021-09-09,1235.0
2021-09-10,1260.0
2021-09-13,1235.0
2021-09-14,1195.0
2021-09-15,1220.0
2021-09-16,1220.0
2021-09-17,1220.0
2021-09-20,1225.0
2021-09-21,1200.0
2021-09-22,1200.0
2021-09-23,1255.0
2021-09-24,1275.0
2021-09-27,1280.0
2021-09-28,1295.0
2021-09-29,1305.0
2021-09-30,1300.0
2021-10-01,1330.0
2021-10-04,1320.0
2021-10-05,1330.0
2021-10-06,1360.0
2021-10-07,1370.0
2021-10-08,1375.0
2021-10-11,1380.0
2021-10-12,1400.0
2021-10-13,1380.0
2021-10-14,1415.0
2021-10-15,1405.0
2021-10-18,1350.0
2021-10-19,1410.0
2021-10-20,1450.0
2021-10-21,1405.0
2021-10-22,1365.0
2021-10-25,1420.0
2021-10-26,1430.0
2021-10-27,1445.0
2021-10-28,1445.0
2021-10-29,1382.5
2021-11-01,1422.5
2021-11-02,1420.0
2021-11-03,1400.0
2021-11-05,1400.0
2021-11-08,1365.0
2021-11-09,1370.0
2021-11-10,1335.0
2021-11-11,1345.0
2021-11-12,1385.0
2021-11-15,1375.0
2021-11-16,1430.0
2021-11-17,1375.0
2021-11-18,1360.0
2021-11-19,1367.5
2021-11-22,1365.0
2021-11-23,1365.0
2021-11-24,1332.5
2021-11-25,1340.0
2021-11-26,1340.0
2021-11-29,1330.0
2021-11-30,1335.0
2021-12-01,1280.0
2021-12-02,1290.0
2021-12-03,1305.0
2021-12-06,1305.0
2021-12-07,1365.0
2021-12-08,1345.0
2021-12-09,1330.0
2021-12-10,1307.5
2021-12-13,1290.0
2021-12-14,1300.0
2021-12-15,1290.0
2021-12-16,1270.0
2021-12-17,1305.0
2021-12-20,1275.0
2021-12-21,1290.0
2022-01-04,1350.0
2022-01-05,1350.0
2022-01-06,1320.0
2022-01-07,1310.0
2022-01-10,1310.0
2022-01-11,1320.0
2022-01-12,1320.0
2022-01-13,1320.0
2022-01-14,1335.0
2022-01-17,1335.0
2022-01-18,1335.0
2022-01-19,1345.0
2022-01-20,1325.0
2022-01-21,1345.0
2022-01-24,1390.0
2022-01-25,1370.0
2022-01-26,1360.0
2022-01-27,1375.0
2022-01-28,1410.0
2022-01-31,1410.0
2022-02-03,1715.0
2022-02-04,1425.0
2022-02-07,1425.0
2022-02-08,1410.0
2022-02-09,1380.0
2022-02-10,1380.0
2022-02-11,1385.0
2022-02-14,1425.0
2022-02-15,1445.0
2022-02-16,1455.0
2022-02-17,1455.0
2022-02-18,1465.0
2022-02-21,1475.0
2022-02-22,1510.0
2022-02-23,1525.0
2022-02-24,1555.0
2022-02-25,1615.0
2022-02-28,1605.0
2022-03-03,1890.0
2022-03-04,1835.0
2022-03-07,1665.0
2022-03-08,1705.0
2022-03-09,1685.0
2022-03-10,1710.0
2022-03-11,1830.0
2022-03-14,1790.0
2022-03-15,1690.0
2022-03-16,1665.0
2022-03-17,1665.0
2022-03-18,1625.0
2022-03-21,1625.0
2022-03-22,1680.0
2022-03-23,1680.0
2022-03-24,1770.0
2022-03-25,1720.0
2022-03-28,1665.0
2022-03-30,1650.0
2022-03-31,1660.0
2022-04-01,1660.0
2022-04-04,1675.0
2022-04-05,1655.0
2022-04-06,1670.0
2022-04-07,1670.0
2022-04-08,1675.0
2022-04-11,1660.0
2022-04-12,1660.0
2022-04-13,1685.0
2022-04-14,1670.0
2022-04-18,1675.0
2022-04-19,1675.0
2022-04-20,1700.0
2022-04-21,1695.0
2022-04-22,1690.0
2022-04-25,1785.0
2022-04-26,1665.0
2022-04-27,1665.0
2022-04-28,1912.5
2022-04-29,1912.5
2022-05-04,1765.0
2022-05-05,1775.0
2022-05-06,1775.0
2022-05-09,1775.0
2022-05-10,1775.0
2022-05-11,1650.0
2022-05-12,1700.0
2022-05-13,1690.0
2022-05-17,1735.0
2022-05-18,1710.0
2022-05-19,1590.0
2022-05-20,1590.0
2022-05-23,1605.0
2022-05-24,1680.0
2022-05-25,1740.0
2022-05-26,1720.0
2022-05-27,1720.0
2022-05-30,1700.0
2022-05-31,1720.0
2022-06-02,1750.0
2022-06-03,1760.0
2022-06-06,1765.0
2022-06-07,1765.0
2022-06-08,1700.0
2022-06-09,1700.0
2022-06-10,1650.0
2022-06-13,1585.0
2022-06-14,1530.0
2022-06-15,1665.0
2022-06-16,1625.0
2022-06-17,1560.0
2022-06-20,1557.5
2022-06-21,1490.0
2022-06-22,1450.0
2022-06-23,1385.0
2022-06-24,1450.0
2022-06-27,1400.0
2022-06-28,1450.0
2022-06-29,1500.0
2022-06-30,1495.0
2022-07-01,1505.0
2022-07-04,1480.0
2022-07-05,1400.0
2022-07-06,1340.0
2022-07-07,1305.0
2022-07-08,1450.0
2022-07-12,1330.0
2022-07-13,1300.0
2022-07-14,1300.0
2022-07-15,1205.0
2022-07-18,1165.0
2022-07-19,1250.0
2022-07-20,1280.0
2022-07-21,1250.0
2022-07-22,1200.0
2022-07-25,1185.0
2022-07-26,1130.0
2022-07-27,1070.0
2022-07-28,1060.0
2022-07-29,1060.0
2022-08-01,1100.0
2022-08-02,1100.0
2022-08-03,1100.0
2022-08-04,980.0
2022-08-05,970.0
2022-08-08,1020.0
2022-08-09,1010.0
2022-08-10,1100.0
2022-08-11,1035.0
2022-08-12,1090.0
2022-08-15,1110.0
2022-08-16,1075.0
2022-08-17,1090.0
2022-08-18,1045.0
2022-08-19,1080.0
2022-08-22,1100.0
2022-08-23,1095.0
2022-08-24,1095.0
2022-08-25,1125.0
2022-08-26,1125.0
2022-08-29,1130.0
2022-08-30,1150.0
2022-08-31,1160.0
2022-09-01,1150.0
2022-09-02,1165.0
2022-09-05,1165.0
2022-09-06,1135.0
2022-09-07,1080.0
2022-09-08,1140.0
2022-09-09,1120.0
2022-09-12,1090.0
2022-09-13,1075.0
2022-09-14,1080.0
2022-09-15,1075.0
2022-09-16,1045.0
2022-09-19,1060.0
2022-09-20,1060.0
2022-09-21,1065.0
2022-09-22,1075.0
2022-09-23,1040.0
2022-09-26,1000.0
2022-09-27,1000.0
2022-09-28,960.0
2022-09-29,885.0
2022-09-30,880.0
2022-10-03,900.0
2022-10-04,900.0
2022-10-05,980.0
2022-10-06,970.0
2022-10-07,970.0
2022-10-10,970.0
2022-10-11,995.0
2022-10-12,1005.0
2022-10-13,1005.0
2022-10-14,995.0
2022-10-17,1005.0
2022-10-18,1020.0
2022-10-19,1030.0
2022-10-20,1065.0
2022-10-21,1065.0
2022-10-25,1070.0
2022-10-26,1053.0
2022-10-27,1100.0
2022-10-28,1090.0
2022-10-31,1075.0
2022-11-01,1120.0
2022-11-02,1135.0
2022-11-03,1160.0
2022-11-04,1170.0
2022-11-07,1145.0
2022-11-08,1180.0
2022-11-09,1123.0
2022-11-10,1105.0
2022-11-11,1180.0
2022-11-14,1120.0
2022-11-15,1100.0
2022-11-16,1078.0
2022-11-17,1060.0
2022-11-18,1060.0
2022-11-21,1045.0
2022-11-22,1045.0
2022-11-23,1045.0
2022-11-24,1100.0
2022-11-25,1100.0
2022-11-28,1075.0
2022-11-30,1135.0
2022-12-01,1080.0
2022-12-02,1030.0
2022-12-05,1045.0
2022-12-06,1060.0
2022-12-07,1070.0
2022-12-08,960.0
2022-12-09,1010.0
2022-12-12,1025.0
2022-12-13,965.0
2022-12-14,1000.0
2022-12-15,1000.0
2022-12-16,965.0
2022-12-19,985.0
2022-12-20,960.0
2022-12-21,995.0
2022-12-22,998.0
2022-12-23,980.0
2022-12-27,965.0
2022-12-28,1010.0
2022-12-29,990.0
2022-12-30,1000.0
2023-01-03,1065.0
2023-01-04,1060.0
2023-01-05,1045.0
2023-01-06,1045.0
2023-01-09,1022.5
2023-01-10,1015.0
2023-01-11,980.0
2023-01-12,967.5
2023-01-13,980.0
2023-01-16,985.0
2023-01-17,1005.0
2023-01-18,980.0
2023-01-19,1005.0
2023-01-20,990.0
2023-01-25,1005.0
2023-01-26,980.0
2023-01-27,990.0
2023-01-30,995.0
2023-01-31,987.5
2023-02-01,970.0
2023-02-02,957.5
2023-02-03,960.0
2023-02-07,995.0
2023-02-08,987.5
2023-02-09,990.0
2023-02-10,955.0
2023-02-13,945.0
2023-02-14,980.0
2023-02-15,955.0
2023-02-16,962.5
2023-02-17,977.5
2023-02-20,975.0
2023-02-21,980.0
2023-02-22,1000.0
2023-02-23,1000.0
2023-02-24,995.0
2023-02-27,978.0
2023-02-28,977.5
2023-03-01,977.5
2023-03-02,977.5
2023-03-03,1000.0
2023-03-06,1050.0
2023-03-07,930.0
2023-03-08,1050.0
2023-03-09,1050.0
2023-03-10,975.0
2023-03-13,970.0
2023-03-14,950.0
2023-03-15,1050.0
2023-03-16,960.0
2023-03-17,960.0
2023-03-20,1033.0
2023-03-21,1005.0
2023-03-22,1010.0
2023-03-23,990.0
2023-03-24,950.0
2023-03-27,973.0
2023-03-28,1005.0
2023-03-29,1035.0
2023-03-30,1028.0
2023-03-31,1033.0
2023-04-03,1025.0
2023-04-04,1045.0
2023-04-05,1050.0
2023-04-06,1030.0
2023-04-07,980.0
2023-04-10,1035.0
2023-04-11,1035.0
2023-04-12,960.0
2023-04-13,1028.0
2023-04-14,1035.0
2023-04-17,1045.0
2023-04-18,1025.0
2023-04-19,1035.0
2023-04-20,1030.0
2023-04-21,1015.0
2023-04-24,1010.0
2023-04-25,1005.0
2023-04-26,985.0
2023-04-27,985.0
2023-04-28,990.0
2023-05-02,980.0
2023-05-03,980.0
2023-05-04,950.0
2023-05-05,950.0
2023-05-08,985.0
2023-05-09,995.0
2023-05-10,1000.0
2023-05-11,965.0
2023-05-12,955.0
2023-05-15,990.0
2023-05-16,940.0
2023-05-17,960.0
2023-05-18,930.0
2023-05-19,925.0
2023-05-22,940.0
2023-05-23,928.0
2023-05-24,925.0
2023-05-25,918.0
2023-05-26,910.0
2023-05-29,928.0
2023-05-30,900.0
2023-05-31,870.0
2023-06-01,870.0
2023-06-05,875.0
2023-06-06,890.0
2023-06-07,880.0
2023-06-08,890.0
2023-06-09,875.0
2023-06-12,880.0
2023-06-13,870.0
2023-06-14,885.0
2023-06-15,900.0
2023-06-16,915.0
2023-06-19,970.0
2023-06-20,980.0
2023-06-21,942.5
2023-06-22,900.0
2023-06-23,880.0
2023-06-26,902.5
2023-06-27,935.0
2023-06-28,930.0
2023-06-30,915.0
2023-07-03,930.0
2023-07-04,980.0
2023-07-05,960.0
2023-07-06,960.0
2023-07-07,925.0
2023-07-10,960.0
2023-07-11,970.0
2023-07-12,920.0
2023-07-13,930.0
2023-07-14,955.0
2023-07-17,945.0
2023-07-18,955.0
2023-07-19,955.0
2023-07-20,990.0
2023-07-21,990.0
2023-07-24,1025.0
2023-07-25,1052.5
2023-07-26,1030.0
2023-07-27,1020.0
2023-07-28,965.0
2023-07-31,980.0
2023-08-02,960.0
2023-08-03,970.0
2023-08-04,945.0
2023-08-07,960.0
2023-08-08,950.0
2023-08-10,965.0
2023-08-11,930.0
2023-08-14,930.0
2023-08-15,923.0
2023-08-16,925.0
2023-08-17,955.0
2023-08-18,955.0
2023-08-21,960.0
2023-08-22,960.0
2023-08-23,945.0
2023-08-24,940.0
2023-08-25,945.0
2023-08-28,945.0
2023-08-29,950.0
2023-08-30,950.0
2023-08-31,970.0
2023-09-01,963.0
2023-09-04,975.0
2023-09-05,990.0
2023-09-06,1000.0
2023-09-07,1015.0
2023-09-08,1010.0
2023-09-11,1010.0
2023-09-12,970.0
2023-09-13,960.0
2023-09-14,950.0
2023-09-15,970.0
2023-09-18,960.0
2023-09-19,950.0
2023-09-20,950.0
2023-09-21,945.0
2023-09-22,945.0
2023-09-25,945.0
2023-09-26,945.0
2023-09-27,950.0
2023-09-28,940.0
2023-09-29,940.0
2023-10-02,940.0
2023-10-03,900.0
2023-10-04,910.0
2023-10-05,895.0
2023-10-06,898.0
2023-10-09,903.0
2023-10-10,895.0
2023-10-11,895.0
2023-10-12,905.0
2023-10-13,905.0
2023-10-16,920.0
2023-10-17,915.0
2023-10-18,900.0
2023-10-19,935.0
2023-10-20,890.0
2023-10-23,910.0
2023-10-24,888.0
2023-10-25,885.0
2023-10-26,870.0
2023-10-27,880.0
2023-10-30,878.0
2023-10-31,868.0
2023-11-01,980.0
2023-11-07,925.0
2023-11-08,920.0
2023-11-09,920.0
2023-11-10,940.0
2023-11-14,918.0
2023-11-15,965.0
2023-11-16,975.0
2023-11-17,970.0
2023-11-20,950.0
2023-11-21,978.0
2023-11-22,970.0
2023-11-23,980.0
2023-11-24,965.0
2023-11-27,973.0
2023-11-28,975.0
2023-11-29,973.0
2023-11-30,955.0
2023-12-01,967.5
2023-12-05,960.0
2023-12-06,955.0
2023-12-07,920.0
2023-12-08,950.0
2023-12-11,970.0
2023-12-12,943.0
2023-12-13,925.0
2023-12-14,950.0
2023-12-15,965.0
2023-12-18,965.0
2023-12-19,935.0
2023-12-20,945.0
2023-12-21,943.0
2023-12-22,933.0
2023-12-27,933.0
2023-12-28,940.0
2023-12-29,935.0
2024-01-03,905.0
2024-01-04,1105.0
2024-01-05,905.0
2024-01-08,900.0
2024-01-09,900.0
2024-01-10,940.0
2024-01-11,920.0
2024-01-12,950.0
2024-01-15,935.0
2024-01-16,943.0
2024-01-17,950.0
2024-01-18,955.0
2024-01-19,970.0
2024-01-22,1005.0
2024-01-23,983.0
2024-01-24,970.0
2024-01-25,970.0
2024-01-26,1010.0
2024-01-29,960.0
2024-01-30,1005.0
2024-01-31,960.0
2024-02-01,988.0
2024-02-02,970.0
2024-02-13,950.0
2024-02-14,990.0
2024-02-15,995.0
2024-02-16,960.0
2024-02-19,980.0
2024-02-20,1000.0
2024-02-21,1000.0
2024-02-22,985.0
2024-02-23,1000.0
2024-02-26,990.0
2024-02-27,958.0
2024-02-28,1035.0
2024-02-29,1015.0
2024-03-01,1015.0
2024-03-04,1015.0
2024-03-05,973.0
2024-03-06,985.0
2024-03-07,1013.0
2024-03-08,1013.0
2024-03-11,1018.0
2024-03-12,1045.0
2024-03-13,1050.0
2024-03-14,1105.0
2024-03-15,1115.0
2024-03-18,1115.0
2024-03-19,1110.0
2024-03-20,1100.0
2024-03-21,1115.0
2024-03-22,1115.0
2024-03-25,1095.0
2024-03-26,1120.0
2024-03-27,1115.0
2024-03-28,1100.0
2024-04-02,1105.0
2024-04-03,1105.0
2024-04-04,1160.0
2024-04-05,1150.0
2024-04-08,1140.0
2024-04-09,1135.0
2024-04-11,1140.0
2024-04-12,1052.5
2024-04-15,1060.0
2024-04-16,1050.0
2024-04-17,1040.0
2024-04-18,1040.0
2024-04-19,1030.0
2024-04-22,1010.0
2024-04-23,1030.0
2024-04-24,1015.0
2024-04-25,1042.5
2024-04-26,952.5
2024-04-29,1027.5
2024-04-30,1030.0
2024-05-02,1012.5
2024-05-03,950.0
2024-05-06,1045.0
2024-05-07,1045.0
2024-05-08,1045.0
2024-05-09,985.0
2024-05-10,1050.0
2024-05-13,1030.0
2024-05-14,1030.0
2024-05-15,960.0
2024-05-16,980.0
2024-05-17,980.0
2024-05-20,1000.0
2024-05-21,1000.0
2024-05-22,1000.0
2024-05-23,980.0
2024-05-24,1017.5
2024-05-27,1015.0
2024-05-28,1025.0
2024-05-29,1032.5
2024-05-30,1040.0
2024-05-31,1040.0
2024-06-03,1050.0
2024-06-04,1040.0
2024-06-05,1030.0
2024-06-06,1040.0
2024-06-07,1060.0
2024-06-10,1035.0
2024-06-11,1020.0
2024-06-12,1012.5
2024-06-13,1020.0
2024-06-14,1035.0
2024-06-18,1027.5
2024-06-19,995.0
2024-06-20,1060.0
2024-06-21,1080.0
2024-06-24,1005.0
2024-06-25,1002.5
2024-06-26,1080.0
2024-06-27,1080.0
2024-06-28,1075.0
2024-07-01,1017.5
2024-07-02,1030.0
2024-07-03,1040.0
2024-07-04,1050.0
2024-07-05,1045.0
2024-07-08,1030.0
2024-07-09,1035.0
2024-07-10,1010.0
2024-07-11,1010.0
2024-07-12,1020.0
2024-07-15,1010.0
2024-07-16,1005.0
2024-07-17,1015.0
2024-07-18,1050.0
2024-07-19,1055.0
2024-07-22,1045.0
2024-07-23,1055.0
2024-07-24,1020.0
2024-07-25,1005.0
2024-07-26,995.0
2024-07-29,997.5
2024-07-30,1070.0
2024-07-31,1080.0
2024-08-01,1085.0
2024-08-02,1037.5
2024-08-05,1050.0
2024-08-06,1050.0
2024-08-07,1035.0
2024-08-08,1030.0
2024-08-12,1042.5
2024-08-13,1035.0
2024-08-14,1035.0
2024-08-15,1052.5
2024-08-16,1052.5
2024-08-19,1065.0
2024-08-20,1075.0
2024-08-21,1075.0
2024-08-22,1065.0
2024-08-26,1100.0
2024-08-27,1112.5
2024-08-28,1110.0
2024-08-29,1110.0
2024-08-30,1115.0
2024-09-02,1105.0
2024-09-03,1105.0
2024-09-04,1100.0
2024-09-05,1115.0
2024-09-06,1115.0
2024-09-09,1085.0
2024-09-10,1105.0
2024-09-11,1110.0
2024-09-12,1110.0
2024-09-13,1120.0
2024-09-16,1140.0
2024-09-18,1140.0
2024-09-19,1180.0
2024-09-20,1150.0
2024-09-23,1165.0
2024-09-24,1170.0
2024-09-25,1190.0
2024-09-26,1200.0
2024-09-27,1235.0
2024-09-30,1265.0
2024-10-01,1230.0
2024-10-02,1250.0
2024-10-03,1280.0
2024-10-04,1300.0
2024-10-07,1340.0
2024-10-08,1300.0
2024-10-09,1187.5
2024-10-10,1350.0
2024-10-11,1350.0
2024-10-14,1167.5
2024-10-15,1190.0
2024-10-16,1210.0
2024-10-17,1210.0
2024-10-18,1167.5
2024-10-21,1180.0
2024-10-22,1220.0
2024-10-23,1230.0
2024-10-24,1260.0
2024-10-25,1260.0
2024-10-28,1260.0
2024-10-29,1290.0
2024-10-30,1290.0
2024-11-01,1310.0
2024-11-04,1360.0
2024-11-05,1360.0
2024-11-06,1360.0
2024-11-07,1360.0
2024-11-08,1360.0
2024-11-11,1360.0
2024-11-12,1360.0
2024-11-13,1385.0
2024-11-14,1385.0
2024-11-15,1385.0
2024-11-18,1385.0
