DATE,US_BEEF_CUTOUT_SELECT
2004-10-01,132.35
2004-10-04,131.38
2004-10-05,132.06
2004-10-06,130.97
2004-10-07,129.69
2004-10-08,130.5
2004-10-11,132.76
2004-10-12,134.42
2004-10-13,135.62
2004-10-14,135.86
2004-10-15,136.75
2004-10-18,138.12
2004-10-19,140.04
2004-10-20,141.23
2004-10-21,141.63
2004-10-22,140.83
2004-10-25,140.23
2004-10-26,140.39
2004-10-27,140.5
2004-10-28,138.76
2004-10-29,136.88
2004-11-01,134.7
2004-11-02,134.71
2004-11-03,131.57
2004-11-04,129.65
2004-11-05,128.59
2004-11-08,128.49
2004-11-09,130.01
2004-11-10,130.19
2004-11-11,130.6
2004-11-12,131.97
2004-11-15,134.08
2004-11-16,135.78
2004-11-17,136.59
2004-11-18,137.01
2004-11-19,136.81
2004-11-22,136.4
2004-11-23,136.34
2004-11-24,136.65
2004-11-26,137.7
2004-11-29,140.82
2004-11-30,144.17
2004-12-01,147.17
2004-12-02,148.16
2004-12-03,146.59
2004-12-06,146.35
2004-12-07,146.76
2004-12-08,145.0
2004-12-09,143.15
2004-12-10,141.21
2004-12-13,139.9
2004-12-14,139.0
2004-12-15,136.51
2004-12-16,135.69
2004-12-17,136.55
2004-12-20,136.69
2004-12-21,139.08
2004-12-22,139.0
2004-12-23,139.69
2004-12-27,141.76
2004-12-28,142.45
2004-12-29,141.21
2004-12-30,140.38
2005-01-03,140.59
2005-01-04,140.26
2005-01-05,139.23
2005-01-06,140.56
2005-01-07,143.18
2005-01-10,147.62
2005-01-11,150.66
2005-01-12,153.25
2005-01-13,154.38
2005-01-14,153.93
2005-01-17,154.92
2005-01-18,157.32
2005-01-19,155.52
2005-01-20,154.28
2005-01-21,152.35
2005-01-24,151.33
2005-01-25,150.88
2005-01-26,148.62
2005-01-27,146.1
2005-01-28,143.65
2005-01-31,143.22
2005-02-01,143.03
2005-02-02,142.59
2005-02-03,142.28
2005-02-04,142.34
2005-02-07,144.85
2005-02-08,147.28
2005-02-09,147.16
2005-02-10,147.39
2005-02-11,146.33
2005-02-14,145.42
2005-02-15,145.49
2005-02-16,144.7
2005-02-17,141.99
2005-02-18,140.07
2005-02-21,139.57
2005-02-22,138.67
2005-02-23,138.76
2005-02-24,139.26
2005-02-25,139.96
2005-02-28,140.59
2005-03-01,140.82
2005-03-02,141.4
2005-03-03,141.99
2005-03-04,143.89
2005-03-07,147.24
2005-03-08,151.26
2005-03-09,153.06
2005-03-10,153.96
2005-03-11,154.83
2005-03-14,155.95
2005-03-15,157.3
2005-03-16,158.37
2005-03-17,156.55
2005-03-18,155.45
2005-03-21,155.18
2005-03-22,153.3
2005-03-23,150.95
2005-03-24,149.95
2005-03-25,149.01
2005-03-28,149.28
2005-03-29,150.22
2005-03-30,151.04
2005-03-31,152.25
2005-04-01,152.66
2005-04-04,153.54
2005-04-05,154.46
2005-04-06,154.65
2005-04-07,154.61
2005-04-08,154.18
2005-04-11,154.69
2005-04-12,154.45
2005-04-13,155.4
2005-04-14,155.3
2005-04-15,155.33
2005-04-18,156.19
2005-04-19,157.49
2005-04-20,158.31
2005-04-21,158.46
2005-04-22,158.74
2005-04-25,159.84
2005-04-26,161.79
2005-04-27,162.9
2005-04-28,163.1
2005-04-29,163.44
2005-05-02,163.89
2005-05-03,163.49
2005-05-04,163.12
2005-05-05,160.33
2005-05-06,159.19
2005-05-09,158.93
2005-05-10,156.61
2005-05-11,155.13
2005-05-12,153.63
2005-05-13,153.84
2005-05-16,155.15
2005-05-17,155.81
2005-05-18,156.73
2005-05-19,156.98
2005-05-20,156.56
2005-05-23,155.68
2005-05-24,155.47
2005-05-25,154.72
2005-05-26,151.37
2005-05-27,149.71
2005-05-31,149.31
2005-06-01,147.02
2005-06-02,144.21
2005-06-03,143.99
2005-06-06,144.7
2005-06-07,144.73
2005-06-08,144.03
2005-06-09,143.74
2005-06-10,142.82
2005-06-13,141.77
2005-06-14,141.5
2005-06-15,139.99
2005-06-16,138.4
2005-06-17,136.45
2005-06-20,135.89
2005-06-21,134.74
2005-06-22,134.13
2005-06-23,134.14
2005-06-24,134.15
2005-06-27,134.83
2005-06-28,135.96
2005-06-29,136.33
2005-06-30,136.15
2005-07-01,135.38
2005-07-05,136.14
2005-07-06,136.39
2005-07-07,134.93
2005-07-08,134.97
2005-07-11,135.14
2005-07-12,135.24
2005-07-13,133.64
2005-07-14,132.98
2005-07-15,132.34
2005-07-18,131.63
2005-07-19,131.6
2005-07-20,130.03
2005-07-21,128.64
2005-07-22,126.97
2005-07-25,127.04
2005-07-26,126.1
2005-07-27,124.93
2005-07-28,124.85
2005-07-29,124.72
2005-08-01,125.03
2005-08-02,127.03
2005-08-03,128.46
2005-08-04,129.72
2005-08-05,131.26
2005-08-08,131.84
2005-08-09,132.99
2005-08-10,134.13
2005-08-11,134.44
2005-08-12,135.23
2005-08-15,135.4
2005-08-16,134.65
2005-08-17,134.09
2005-08-18,134.13
2005-08-19,133.79
2005-08-22,132.98
2005-08-23,133.34
2005-08-24,133.42
2005-08-25,132.75
2005-08-26,132.56
2005-08-29,133.86
2005-08-30,135.56
2005-08-31,135.93
2005-09-01,134.8
2005-09-02,133.84
2005-09-06,134.61
2005-09-07,134.99
2005-09-08,134.85
2005-09-09,135.11
2005-09-12,135.98
2005-09-13,138.37
2005-09-14,139.94
2005-09-15,140.56
2005-09-16,140.48
2005-09-19,141.43
2005-09-20,142.03
2005-09-21,141.75
2005-09-22,138.9
2005-09-23,137.58
2005-09-26,137.95
2005-09-27,137.47
2005-09-28,137.12
2005-09-29,137.21
2005-09-30,138.07
2005-10-03,139.81
2005-10-04,141.22
2005-10-05,142.97
2005-10-06,142.73
2005-10-07,141.66
2005-10-10,142.03
2005-10-11,144.17
2005-10-12,144.47
2005-10-13,143.49
2005-10-14,143.07
2005-10-17,143.96
2005-10-18,146.45
2005-10-19,148.01
2005-10-20,147.41
2005-10-21,146.24
2005-10-24,145.74
2005-10-25,145.54
2005-10-26,146.34
2005-10-27,145.9
2005-10-28,144.8
2005-10-31,144.93
2005-11-01,145.82
2005-11-02,145.84
2005-11-03,145.46
2005-11-04,144.46
2005-11-07,144.46
2005-11-08,145.32
2005-11-09,146.39
2005-11-10,145.69
2005-11-11,145.72
2005-11-14,148.52
2005-11-15,150.85
2005-11-16,152.86
2005-11-17,153.17
2005-11-18,151.59
2005-11-21,150.94
2005-11-22,151.35
2005-11-23,150.92
2005-11-25,150.89
2005-11-28,150.79
2005-11-29,151.3
2005-11-30,150.64
2005-12-01,150.62
2005-12-02,150.67
2005-12-05,151.95
2005-12-06,153.77
2005-12-07,154.61
2005-12-08,154.44
2005-12-09,154.22
2005-12-12,155.77
2005-12-13,157.45
2005-12-14,158.58
2005-12-15,159.75
2005-12-16,159.87
2005-12-19,161.13
2005-12-20,161.95
2005-12-21,158.74
2005-12-22,158.02
2005-12-23,158.59
2005-12-27,159.62
2005-12-28,159.57
2005-12-29,158.24
2005-12-30,155.34
2006-01-03,156.31
2006-01-04,157.28
2006-01-05,155.21
2006-01-06,153.53
2006-01-09,153.5
2006-01-10,153.68
2006-01-11,154.03
2006-01-12,154.47
2006-01-13,154.62
2006-01-16,155.1
2006-01-17,156.09
2006-01-18,157.96
2006-01-19,158.02
2006-01-20,156.85
2006-01-23,157.79
2006-01-24,156.95
2006-01-25,155.61
2006-01-26,155.3
2006-01-27,154.12
2006-01-30,152.31
2006-01-31,153.21
2006-02-01,152.16
2006-02-02,150.46
2006-02-03,148.13
2006-02-06,147.22
2006-02-07,146.54
2006-02-08,146.13
2006-02-09,144.78
2006-02-10,144.93
2006-02-13,146.03
2006-02-14,147.61
2006-02-15,149.4
2006-02-16,149.64
2006-02-17,149.58
2006-02-20,150.1
2006-02-21,152.6
2006-02-22,154.35
2006-02-23,154.85
2006-02-24,154.16
2006-02-27,153.91
2006-02-28,154.26
2006-03-01,153.73
2006-03-02,151.48
2006-03-03,149.8
2006-03-06,148.95
2006-03-07,148.73
2006-03-08,148.23
2006-03-09,147.44
2006-03-10,147.75
2006-03-13,147.06
2006-03-14,145.53
2006-03-15,145.63
2006-03-16,144.35
2006-03-17,143.0
2006-03-20,143.33
2006-03-21,143.57
2006-03-22,142.24
2006-03-23,141.21
2006-03-24,140.73
2006-03-27,140.45
2006-03-28,141.36
2006-03-29,140.11
2006-03-30,139.74
2006-03-31,139.28
2006-04-03,139.92
2006-04-04,139.39
2006-04-05,137.56
2006-04-06,137.96
2006-04-07,138.62
2006-04-10,138.83
2006-04-11,139.39
2006-04-12,140.26
2006-04-13,141.0
2006-04-14,140.59
2006-04-17,141.1
2006-04-18,142.01
2006-04-19,142.46
2006-04-20,142.95
2006-04-21,142.87
2006-04-24,143.25
2006-04-25,144.63
2006-04-26,147.0
2006-04-27,148.94
2006-04-28,147.81
2006-05-01,147.93
2006-05-02,149.57
2006-05-03,150.21
2006-05-04,148.48
2006-05-05,146.92
2006-05-08,147.53
2006-05-09,147.74
2006-05-10,145.75
2006-05-11,145.19
2006-05-12,145.26
2006-05-15,145.2
2006-05-16,144.97
2006-05-17,145.05
2006-05-18,144.61
2006-05-19,144.82
2006-05-22,144.05
2006-05-23,145.18
2006-05-24,147.48
2006-05-25,147.48
2006-05-26,147.85
2006-05-30,148.79
2006-05-31,150.67
2006-06-01,151.79
2006-06-02,152.72
2006-06-05,153.76
2006-06-06,154.25
2006-06-07,154.57
2006-06-08,154.65
2006-06-09,154.12
2006-06-12,153.15
2006-06-13,152.35
2006-06-14,151.82
2006-06-15,151.65
2006-06-16,151.51
2006-06-19,151.79
2006-06-20,152.24
2006-06-21,152.49
2006-06-22,152.77
2006-06-23,152.12
2006-06-26,152.45
2006-06-27,153.94
2006-06-28,154.14
2006-06-29,153.93
2006-06-30,154.07
2006-07-03,153.95
2006-07-05,154.2
2006-07-06,153.17
2006-07-07,152.39
2006-07-10,151.69
2006-07-11,150.87
2006-07-12,149.8
2006-07-13,148.49
2006-07-14,147.09
2006-07-17,146.35
2006-07-18,145.2
2006-07-19,144.39
2006-07-20,142.73
2006-07-21,141.94
2006-07-24,142.09
2006-07-25,142.91
2006-07-26,141.02
2006-07-27,139.14
2006-07-28,139.22
2006-07-31,140.33
2006-08-01,140.01
2006-08-02,140.21
2006-08-03,140.68
2006-08-04,141.86
2006-08-07,143.99
2006-08-08,145.81
2006-08-09,146.97
2006-08-10,147.74
2006-08-11,148.99
2006-08-14,150.93
2006-08-15,151.58
2006-08-16,151.39
2006-08-17,151.08
2006-08-18,149.35
2006-08-21,148.52
2006-08-22,148.42
2006-08-23,147.63
2006-08-24,146.4
2006-08-25,145.65
2006-08-28,145.94
2006-08-29,145.93
2006-08-30,145.47
2006-08-31,145.28
2006-09-01,145.24
2006-09-05,147.01
2006-09-06,148.06
2006-09-07,148.37
2006-09-08,148.82
2006-09-11,149.0
2006-09-12,149.21
2006-09-13,147.27
2006-09-14,145.98
2006-09-15,144.84
2006-09-18,144.58
2006-09-19,144.11
2006-09-20,141.94
2006-09-21,140.71
2006-09-22,139.12
2006-09-25,139.89
2006-09-26,141.46
2006-09-27,141.55
2006-09-28,141.72
2006-09-29,142.09
2006-10-02,142.51
2006-10-03,142.29
2006-10-04,142.41
2006-10-05,142.39
2006-10-06,142.15
2006-10-09,142.27
2006-10-10,142.8
2006-10-11,143.28
2006-10-12,143.32
2006-10-13,143.44
2006-10-16,144.85
2006-10-17,145.83
2006-10-18,146.27
2006-10-19,146.65
2006-10-20,146.96
2006-10-23,148.08
2006-10-24,148.49
2006-10-25,148.04
2006-10-26,147.23
2006-10-27,146.47
2006-10-30,147.77
2006-10-31,148.05
2006-11-01,147.7
2006-11-02,147.79
2006-11-03,146.27
2006-11-06,146.54
2006-11-07,146.86
2006-11-08,144.34
2006-11-09,143.31
2006-11-10,143.46
2006-11-13,143.85
2006-11-14,144.51
2006-11-15,143.83
2006-11-16,142.7
2006-11-17,140.53
2006-11-20,140.65
2006-11-21,142.05
2006-11-22,142.18
2006-11-24,142.15
2006-11-27,141.51
2006-11-28,141.39
2006-11-29,140.62
2006-11-30,140.2
2006-12-01,141.11
2006-12-02,262.38
2006-12-04,142.35
2006-12-05,142.6
2006-12-06,142.69
2006-12-07,142.64
2006-12-08,142.38
2006-12-11,142.78
2006-12-12,142.6
2006-12-13,142.67
2006-12-14,144.31
2006-12-15,144.66
2006-12-16,262.97
2006-12-18,144.5
2006-12-19,142.8
2006-12-20,143.32
2006-12-21,140.69
2006-12-22,140.26
2006-12-26,141.31
2006-12-27,144.06
2006-12-28,144.4
2006-12-29,144.01
2007-01-02,144.61
2007-01-03,145.55
2007-01-04,147.1
2007-01-05,147.79
2007-01-08,149.38
2007-01-09,150.85
2007-01-10,152.91
2007-01-11,154.05
2007-01-12,155.33
2007-01-15,155.71
2007-01-16,155.97
2007-01-17,154.66
2007-01-18,153.54
2007-01-19,152.93
2007-01-22,151.73
2007-01-23,150.74
2007-01-24,149.57
2007-01-25,148.57
2007-01-26,146.26
2007-01-29,144.07
2007-01-30,144.09
2007-01-31,143.62
2007-02-01,142.31
2007-02-02,141.22
2007-02-05,141.95
2007-02-06,142.78
2007-02-07,143.18
2007-02-08,143.63
2007-02-09,145.17
2007-02-12,149.08
2007-02-13,152.21
2007-02-14,155.47
2007-02-15,155.29
2007-02-16,154.37
2007-02-19,154.38
2007-02-20,154.01
2007-02-21,152.58
2007-02-22,150.87
2007-02-23,149.39
2007-02-26,150.28
2007-02-27,150.07
2007-02-28,148.82
2007-03-01,148.4
2007-03-02,148.86
2007-03-05,150.67
2007-03-06,152.77
2007-03-07,157.15
2007-03-08,158.04
2007-03-09,159.88
2007-03-12,163.88
2007-03-13,165.92
2007-03-14,167.53
2007-03-15,166.0
2007-03-16,164.19
2007-03-19,164.03
2007-03-20,164.57
2007-03-21,162.42
2007-03-22,159.29
2007-03-23,158.01
2007-03-26,156.39
2007-03-27,155.47
2007-03-28,154.1
2007-03-29,152.47
2007-03-30,151.86
2007-04-02,153.35
2007-04-03,154.64
2007-04-04,156.33
2007-04-05,157.1
2007-04-06,159.58
2007-04-09,163.38
2007-04-10,166.99
2007-04-11,171.96
2007-04-12,172.47
2007-04-13,169.67
2007-04-16,169.17
2007-04-17,168.68
2007-04-18,167.25
2007-04-19,163.77
2007-04-20,162.58
2007-04-23,163.46
2007-04-24,164.45
2007-04-25,162.29
2007-04-26,159.76
2007-04-27,157.76
2007-04-30,157.89
2007-05-01,157.76
2007-05-02,155.76
2007-05-03,155.67
2007-05-04,155.33
2007-05-07,156.6
2007-05-08,158.89
2007-05-09,160.86
2007-05-10,161.5
2007-05-11,162.56
2007-05-14,165.15
2007-05-15,166.66
2007-05-16,167.17
2007-05-17,166.4
2007-05-18,165.95
2007-05-21,166.19
2007-05-22,164.36
2007-05-23,162.32
2007-05-24,160.06
2007-05-25,157.52
2007-05-29,156.77
2007-05-30,157.22
2007-05-31,155.41
2007-06-01,154.86
2007-06-04,155.68
2007-06-05,154.94
2007-06-06,152.8
2007-06-07,150.47
2007-06-08,149.71
2007-06-11,150.36
2007-06-12,149.37
2007-06-13,147.58
2007-06-14,146.11
2007-06-15,144.72
2007-06-18,144.31
2007-06-19,144.46
2007-06-20,143.43
2007-06-21,141.21
2007-06-22,140.07
2007-06-25,139.66
2007-06-26,139.65
2007-06-27,139.29
2007-06-28,139.21
2007-06-29,138.77
2007-07-02,139.56
2007-07-03,140.42
2007-07-05,139.85
2007-07-06,139.63
2007-07-09,140.62
2007-07-10,142.29
2007-07-11,143.09
2007-07-12,143.19
2007-07-13,142.92
2007-07-16,143.3
2007-07-17,143.73
2007-07-18,143.52
2007-07-19,142.26
2007-07-20,141.34
2007-07-23,141.96
2007-07-24,140.54
2007-07-25,140.07
2007-07-26,140.53
2007-07-27,140.75
2007-07-30,141.48
2007-07-31,143.23
2007-08-01,144.59
2007-08-02,144.84
2007-08-03,144.61
2007-08-06,145.4
2007-08-07,144.92
2007-08-08,144.36
2007-08-09,143.91
2007-08-10,144.07
2007-08-13,144.7
2007-08-14,144.46
2007-08-15,144.61
2007-08-16,144.39
2007-08-17,143.79
2007-08-20,143.84
2007-08-21,143.34
2007-08-22,143.05
2007-08-23,143.36
2007-08-24,143.15
2007-08-27,144.62
2007-08-28,146.51
2007-08-29,146.67
2007-08-30,147.05
2007-08-31,147.77
2007-09-04,148.88
2007-09-05,148.99
2007-09-06,148.34
2007-09-07,147.66
2007-09-10,148.42
2007-09-11,148.41
2007-09-12,147.07
2007-09-13,146.05
2007-09-14,145.4
2007-09-17,146.38
2007-09-18,146.78
2007-09-19,145.49
2007-09-20,144.96
2007-09-21,145.07
2007-09-24,146.24
2007-09-25,146.35
2007-09-26,147.01
2007-09-27,147.4
2007-09-28,146.4
2007-10-01,146.61
2007-10-02,147.2
2007-10-03,147.0
2007-10-04,146.74
2007-10-05,145.64
2007-10-08,145.92
2007-10-09,146.24
2007-10-10,145.78
2007-10-11,143.96
2007-10-12,143.49
2007-10-15,144.56
2007-10-16,145.43
2007-10-17,145.27
2007-10-18,145.4
2007-10-19,144.6
2007-10-22,144.55
2007-10-23,144.73
2007-10-24,144.08
2007-10-25,143.39
2007-10-26,141.55
2007-10-29,141.13
2007-10-30,141.43
2007-10-31,140.67
2007-11-01,138.95
2007-11-02,137.98
2007-11-05,139.43
2007-11-06,139.6
2007-11-07,139.2
2007-11-08,140.02
2007-11-09,140.63
2007-11-12,141.97
2007-11-13,143.13
2007-11-14,144.3
2007-11-15,144.02
2007-11-16,144.07
2007-11-19,145.75
2007-11-20,148.24
2007-11-21,147.98
2007-11-23,148.55
2007-11-26,150.68
2007-11-27,151.12
2007-11-28,151.34
2007-11-29,149.92
2007-11-30,150.21
2007-12-03,149.62
2007-12-04,148.87
2007-12-05,148.21
2007-12-06,147.63
2007-12-07,147.31
2007-12-10,147.82
2007-12-11,147.86
2007-12-12,146.77
2007-12-13,147.24
2007-12-14,148.79
2007-12-17,151.3
2007-12-18,150.48
2007-12-19,148.27
2007-12-20,147.77
2007-12-21,148.62
2007-12-24,148.62
2007-12-26,148.35
2007-12-27,147.83
2007-12-28,146.89
2007-12-31,147.21
2008-01-02,148.08
2008-01-03,148.38
2008-01-04,148.55
2008-01-07,149.54
2008-01-08,150.04
2008-01-09,149.13
2008-01-10,148.73
2008-01-11,148.78
2008-01-14,148.54
2008-01-15,147.97
2008-01-16,147.68
2008-01-17,146.99
2008-01-18,145.53
2008-01-21,144.86
2008-01-22,145.01
2008-01-23,144.09
2008-01-24,143.3
2008-01-25,142.74
2008-01-28,143.11
2008-01-29,143.13
2008-01-30,143.36
2008-01-31,143.45
2008-02-01,144.16
2008-02-04,145.4
2008-02-05,147.45
2008-02-06,149.43
2008-02-07,150.36
2008-02-08,150.21
2008-02-11,151.27
2008-02-12,152.37
2008-02-13,152.26
2008-02-14,150.43
2008-02-15,149.39
2008-02-18,149.57
2008-02-19,150.02
2008-02-20,150.25
2008-02-21,148.91
2008-02-22,148.21
2008-02-25,148.87
2008-02-26,149.15
2008-02-27,149.47
2008-02-28,149.77
2008-02-29,149.81
2008-03-03,151.41
2008-03-04,151.94
2008-03-05,150.16
2008-03-06,148.96
2008-03-07,147.71
2008-03-10,148.94
2008-03-11,148.57
2008-03-12,145.65
2008-03-13,143.32
2008-03-14,141.95
2008-03-17,142.65
2008-03-18,142.5
2008-03-19,141.92
2008-03-20,141.51
2008-03-21,141.31
2008-03-24,141.26
2008-03-25,140.64
2008-03-26,140.77
2008-03-27,139.05
2008-03-28,138.22
2008-03-31,139.02
2008-04-01,138.79
2008-04-02,137.77
2008-04-03,137.67
2008-04-04,137.09
2008-04-07,138.49
2008-04-08,139.69
2008-04-09,140.96
2008-04-10,141.94
2008-04-11,143.47
2008-04-14,145.83
2008-04-15,148.31
2008-04-16,149.9
2008-04-17,149.91
2008-04-18,151.21
2008-04-21,153.12
2008-04-22,154.06
2008-04-23,155.16
2008-04-24,155.27
2008-04-25,154.87
2008-04-28,155.0
2008-04-29,155.26
2008-04-30,155.27
2008-05-01,154.26
2008-05-02,154.46
2008-05-05,155.46
2008-05-06,154.97
2008-05-07,155.0
2008-05-08,155.18
2008-05-09,156.04
2008-05-12,156.84
2008-05-13,156.56
2008-05-14,156.5
2008-05-15,156.83
2008-05-16,156.56
2008-05-19,156.57
2008-05-20,156.44
2008-05-21,156.15
2008-05-22,156.46
2008-05-23,155.97
2008-05-27,156.04
2008-05-28,156.57
2008-05-29,155.91
2008-05-30,155.39
2008-06-02,155.89
2008-06-03,157.52
2008-06-04,156.86
2008-06-05,156.88
2008-06-06,157.37
2008-06-09,157.18
2008-06-10,157.45
2008-06-11,157.27
2008-06-12,156.8
2008-06-13,156.43
2008-06-16,157.21
2008-06-17,157.84
2008-06-18,158.08
2008-06-19,158.38
2008-06-20,159.5
2008-06-23,162.3
2008-06-24,163.55
2008-06-25,163.7
2008-06-26,164.83
2008-06-27,166.86
2008-06-30,168.91
2008-07-01,170.74
2008-07-02,171.17
2008-07-03,171.58
2008-07-07,172.64
2008-07-08,173.6
2008-07-09,173.71
2008-07-10,173.8
2008-07-11,172.96
2008-07-14,172.68
2008-07-15,172.33
2008-07-16,170.93
2008-07-17,169.67
2008-07-18,168.26
2008-07-21,167.27
2008-07-22,165.82
2008-07-23,163.59
2008-07-24,160.38
2008-07-25,158.5
2008-07-28,158.47
2008-07-29,160.39
2008-07-30,158.52
2008-07-31,158.48
2008-08-01,158.32
2008-08-04,159.52
2008-08-05,160.13
2008-08-06,160.88
2008-08-07,161.94
2008-08-08,162.22
2008-08-11,163.04
2008-08-12,164.47
2008-08-13,164.6
2008-08-14,164.84
2008-08-15,164.33
2008-08-18,164.29
2008-08-19,164.34
2008-08-20,163.09
2008-08-21,161.52
2008-08-22,160.78
2008-08-25,161.62
2008-08-26,162.04
2008-08-27,160.98
2008-08-28,160.99
2008-08-29,160.54
2008-08-30,259.79
2008-09-02,159.95
2008-09-03,159.56
2008-09-04,158.41
2008-09-05,158.3
2008-09-08,158.91
2008-09-09,159.85
2008-09-10,160.09
2008-09-11,160.08
2008-09-12,160.57
2008-09-15,160.83
2008-09-16,160.75
2008-09-17,161.21
2008-09-18,160.77
2008-09-19,159.8
2008-09-22,159.55
2008-09-23,160.41
2008-09-24,159.61
2008-09-25,158.0
2008-09-26,155.42
2008-09-29,155.51
2008-09-30,155.4
2008-10-01,155.0
2008-10-02,153.69
2008-10-03,152.42
2008-10-06,156.16
2008-10-07,155.06
2008-10-08,150.47
2008-10-09,150.17
2008-10-10,149.51
2008-10-13,149.08
2008-10-14,149.47
2008-10-15,148.58
2008-10-16,145.61
2008-10-17,144.49
2008-10-20,145.56
2008-10-21,145.04
2008-10-22,144.38
2008-10-23,143.3
2008-10-24,141.52
2008-10-27,141.64
2008-10-28,142.95
2008-10-29,141.71
2008-10-30,141.81
2008-10-31,142.21
2008-11-03,142.74
2008-11-04,144.71
2008-11-05,147.64
2008-11-06,149.03
2008-11-07,150.25
2008-11-10,152.06
2008-11-11,154.68
2008-11-12,157.25
2008-11-13,157.37
2008-11-14,157.02
2008-11-17,157.39
2008-11-18,157.49
2008-11-19,158.22
