DATE,BR_SUGAR_MIX
2020-01-01,14.37
2020-01-16,24.66
2020-02-01,25.81
2020-02-16,25.81
2020-03-01,0.0
2020-03-16,13.97
2020-04-01,29.33
2020-04-16,40.15
2020-05-01,45.76
2020-05-16,47.01
2020-06-01,47.26
2020-06-16,47.06
2020-07-01,47.39
2020-07-16,47.89
2020-08-01,47.93
2020-08-16,47.69
2020-09-01,46.73
2020-09-16,47.34
2020-10-01,46.21
2020-10-16,45.29
2020-11-01,43.51
2020-11-16,41.87
2020-12-01,35.36
2020-12-16,32.29
2021-01-01,19.29
2021-01-16,29.87
2021-02-01,16.87
2021-02-16,41.57
2021-03-01,25.58
2021-03-16,30.93
2021-04-01,32.21
2021-04-16,38.8
2021-05-01,44.5
2021-05-16,46.05
2021-06-01,46.29
2021-06-16,46.27
2021-07-01,47.64
2021-07-16,47.19
2021-08-01,46.22
2021-08-16,56.94
2021-09-01,46.43
2021-09-10,46.43
2021-09-16,44.94
2021-09-27,44.94
2021-10-01,42.46
2021-10-13,43.71
2021-10-16,39.11
2021-10-26,39.11
2021-11-01,37.04
2021-11-10,37.04
2021-11-16,39.23
2021-11-24,39.23
2021-12-01,32.45
2021-12-16,20.23
2022-01-01,0.0
2022-01-16,0.0
2022-02-01,0.0
2022-02-16,0.0
2022-03-01,0.0
2022-03-16,0.0
2022-04-01,11.04
2022-04-16,25.95
2022-05-01,37.2
2022-05-16,40.77
2022-06-01,43.16
2022-06-16,44.44
2022-07-01,45.46
2022-07-16,47.07
2022-08-01,47.77
2022-08-16,46.95
2022-09-01,48.45
2022-09-16,48.02
2022-10-01,45.42
2022-10-16,48.27
2022-11-01,48.54
2022-11-16,48.4
2022-12-01,47.64
2022-12-16,39.04
2023-01-01,45.96
2023-01-16,35.34
2023-02-01,43.13
2023-02-16,23.57
2023-03-01,4.82
2023-03-16,26.84
2023-04-01,33.43
2023-04-16,38.58
2023-05-01,43.81
2023-05-16,48.4
2023-06-01,48.76
2023-06-16,48.95
2023-07-01,49.43
2023-07-16,50.01
2023-08-01,50.65
2023-08-16,50.77
2023-09-01,50.73
2023-09-16,51.1
2023-10-01,51.12
2023-10-16,48.12
2023-11-01,48.69
2023-11-16,49.81
2023-12-01,46.51
2023-12-16,43.41
2024-01-01,37.09
2024-01-16,34.16
2024-02-01,35.02
2024-02-16,37.6
2024-03-01,23.39
2024-03-16,27.6
2024-04-01,33.5
2024-04-16,43.64
2024-05-01,48.37
2024-05-16,48.27
2024-06-01,48.28
2024-06-16,49.7
2024-07-01,49.89
2024-07-16,49.88
2024-08-16,49.27
2024-09-01,48.85
2024-09-16,47.86
2024-10-01,47.79
2024-10-16,47.28
2024-11-01,46.12
2024-11-16,43.0
2024-12-01,44.89
2024-12-16,35.67
2025-01-01,31.7
2025-01-16,20.85
2025-01-28,20.85
2025-02-01,23.84
2025-02-12,23.84
2025-02-16,22.99
2025-02-26,22.99
2025-03-01,23.59
2025-03-13,23.59
2025-03-16,30.12
2025-03-27,30.12
