CompanyGroup,Year,Month,Production,Market,StateDestination
Raizen,2021,12,10942.72650397249,Domestic,MS
Raizen,2022,1,9747.495692989158,Domestic,CE
Raizen,2022,2,6521.90225928989,Export,MS
Raizen,2022,3,6981.617357864054,Domestic,MS
Raizen,2022,4,11651.713327136633,Domestic,MG
Raizen,2022,5,9503.521832611825,Domestic,ES
Raizen,2022,6,8580.868056773705,Export,MS
Raizen,2022,7,6899.867004132025,Export,RJ
Raizen,2022,8,8484.215530901432,Domestic,MT
Raizen,2022,9,9138.643410908337,Export,BA
Raizen,2022,10,5503.422135640303,Export,MS
Raizen,2022,11,9834.178058318197,Export,PR
Raizen,2022,12,10133.728398372314,Export,RJ
Raizen,2023,1,4365.854977667103,Export,SP
Raizen,2023,2,12853.759192573054,Export,PR
Raizen,2023,3,7771.170911835288,Domestic,MS
Raizen,2023,4,11000.821299945614,Export,ES
Raizen,2023,5,8864.131269638547,Domestic,MS
Raizen,2023,6,6280.423651127279,Export,SP
Raizen,2023,7,9319.305695159897,Export,SC
Raizen,2023,8,10336.836136835656,Domestic,RS
Raizen,2023,9,8250.149747816477,Domestic,PE
Raizen,2023,10,10368.609860646597,Domestic,SC
Raizen,2023,11,9365.697571447865,Export,PA
Raizen,2023,12,8450.762647100757,Export,GO
Raizen,2024,1,13029.291120851854,Domestic,PA
Raizen,2024,2,12170.11282153666,Domestic,SC
Raizen,2024,3,10444.222271499922,Domestic,PR
Raizen,2024,4,7768.679524869554,Export,MT
Raizen,2024,5,11958.622766707304,Domestic,PR
Raizen,2024,6,11010.21441336291,Domestic,SC
Raizen,2024,7,6394.1771537196855,Domestic,PA
Raizen,2024,8,10195.714693950149,Domestic,BA
Raizen,2024,9,7867.989960464511,Domestic,RS
Raizen,2024,10,7982.668462913789,Export,PE
Raizen,2024,11,9609.848918518182,Domestic,MG
Raizen,2024,12,8327.132252013693,Export,RS
Raizen,2025,1,13218.279143627147,Domestic,RS
Raizen,2025,2,9958.619991173187,Domestic,PR
Ultra,2020,3,19616.16940989368,Domestic,MS
Ultra,2020,4,17667.604546349605,Domestic,ES
Ultra,2020,5,17623.292899234428,Export,RJ
Ultra,2020,6,15520.31431683224,Export,PA
Ultra,2020,7,18426.274850625905,Export,SC
Ultra,2020,8,17626.70806121015,Domestic,ES
Ultra,2020,9,15858.708277683156,Export,SP
Ultra,2020,10,18861.015003992477,Export,ES
Ultra,2020,11,20510.97539068287,Domestic,MT
Ultra,2020,12,18687.10975997124,Export,PE
Ultra,2021,1,14996.603593562922,Domestic,RS
Ultra,2021,2,12054.888230998738,Export,GO
Ultra,2021,3,21626.055841241254,Export,MS
Ultra,2021,4,20362.367478048003,Export,BA
Ultra,2021,5,18050.873388753105,Domestic,SC
Ultra,2021,6,14476.811959008573,Domestic,SP
Ultra,2021,7,19197.692595448705,Export,GO
Ultra,2021,8,19256.16758871129,Domestic,CE
Ultra,2021,9,17765.791224335815,Domestic,PA
Ultra,2021,10,12628.61132729892,Export,MS
Ultra,2021,11,19059.547735361197,Export,MG
Ultra,2021,12,21153.228134614557,Export,ES
Ultra,2022,1,16840.068388463103,Domestic,MG
Ultra,2022,2,16672.576105210952,Export,RJ
Ultra,2022,3,14529.764619901185,Domestic,MG
Ultra,2022,4,15982.843940295843,Export,MS
Ultra,2022,5,19622.596916805334,Export,MT
Ultra,2022,6,18604.42542134826,Domestic,ES
Ultra,2022,7,18608.157984040117,Domestic,SC
Ultra,2022,8,18322.715558102966,Domestic,CE
Ultra,2022,9,18114.331382075856,Export,GO
Ultra,2022,10,16125.414723917223,Export,SC
Ultra,2022,11,17562.500229773003,Export,GO
Ultra,2022,12,18321.610981287227,Export,SC
Ultra,2023,1,16065.97431174303,Domestic,SC
Ultra,2023,2,19567.369752339953,Domestic,GO
Ultra,2023,3,18089.53571595774,Domestic,ES
Ultra,2023,4,21333.552509533183,Domestic,PA
Ultra,2023,5,17829.91438144571,Domestic,PR
Ultra,2023,6,14479.988982896142,Export,MT
Ultra,2023,7,14658.0203467261,Domestic,RS
Ultra,2023,8,15076.729014909497,Domestic,PA
Ultra,2023,9,18248.336384090682,Export,BA
Ultra,2023,10,22265.233226965844,Export,RS
Ultra,2023,11,20962.486283055496,Export,ES
Ultra,2023,12,19440.254558454682,Export,CE
Ultra,2024,1,15134.838432267446,Export,SP
Ultra,2024,2,19529.166921769203,Export,RS
Ultra,2024,3,11252.96491465155,Domestic,PA
Ultra,2024,4,14594.82057099585,Domestic,GO
Ultra,2024,5,18899.345723597184,Domestic,PA
Ultra,2024,6,17019.232847160256,Domestic,CE
Ultra,2024,7,18146.35128146181,Export,PE
Ultra,2024,8,18239.548924650422,Export,PE
Ultra,2024,9,13636.406609623553,Export,PA
Ultra,2024,10,17931.084649296303,Domestic,SP
Ultra,2024,11,14774.505900877772,Export,BA
Ultra,2024,12,23752.01681296993,Domestic,SP
Ultra,2025,1,14986.20912694911,Export,PR
Ultra,2025,2,13348.467658655998,Export,PE
Vibra,2020,3,15722.396687267596,Export,BA
Vibra,2020,4,17057.682122777816,Domestic,SP
Vibra,2020,5,18863.35807899092,Export,BA
Vibra,2020,6,23195.192439487633,Domestic,PE
Vibra,2020,7,13929.314704151875,Domestic,MT
Vibra,2020,8,19899.216462156244,Export,SP
Vibra,2020,9,18445.383461552974,Export,PR
Vibra,2020,10,19701.374976774623,Domestic,MT
Vibra,2020,11,18638.23863894982,Domestic,PR
Vibra,2020,12,15072.430111373706,Export,GO
Vibra,2021,1,16575.399752834783,Domestic,GO
Vibra,2021,2,17480.147229157916,Domestic,SC
Vibra,2021,3,20274.659922538372,Export,SC
Vibra,2021,4,16120.22173575688,Domestic,GO
Vibra,2021,5,19079.206139934668,Export,SC
Vibra,2021,6,18408.438054731938,Domestic,ES
Vibra,2021,7,18572.591991338824,Export,MS
Vibra,2021,8,18316.876581818433,Domestic,MS
Vibra,2021,9,11729.084351113645,Domestic,CE
Vibra,2021,10,21359.534831121837,Domestic,GO
Vibra,2021,11,20891.267236838838,Domestic,RJ
Vibra,2021,12,22401.662788836024,Export,MG
Vibra,2022,1,23307.668310595698,Domestic,MG
Vibra,2022,2,15385.269078251751,Domestic,PA
Vibra,2022,3,20170.085057709843,Domestic,GO
Vibra,2022,4,19764.76635454286,Domestic,PR
Vibra,2022,5,19546.887563218053,Domestic,RJ
Vibra,2022,6,18928.724735497282,Export,RS
Vibra,2022,7,23535.48038736059,Domestic,CE
Vibra,2022,8,22370.407337351295,Domestic,SP
Vibra,2022,9,19244.922611726364,Export,PR
Vibra,2022,10,17183.44823897428,Export,SC
Vibra,2022,11,18545.368474521405,Domestic,GO
Vibra,2022,12,23806.12486008052,Domestic,CE
Vibra,2023,1,15200.426519553535,Export,GO
Vibra,2023,2,19880.325028005627,Export,PR
Vibra,2023,3,18822.327422780632,Domestic,SP
Vibra,2023,4,18267.275179121945,Domestic,PA
Vibra,2023,5,18860.66938697017,Domestic,PE
Vibra,2023,6,14754.765301743488,Export,MT
Vibra,2023,7,21649.1412174675,Export,GO
Vibra,2023,8,20916.560105341556,Export,SC
Vibra,2023,9,20013.90986281703,Domestic,GO
Vibra,2023,10,13654.637518062307,Domestic,RJ
Vibra,2023,11,10795.871018608026,Domestic,ES
Vibra,2023,12,19933.066369776116,Export,SP
Vibra,2024,1,18168.75023254641,Export,MS
Vibra,2024,2,20629.530517699135,Export,CE
Vibra,2024,3,18671.316429319286,Export,MG
Vibra,2024,4,10734.15013521583,Domestic,BA
Vibra,2024,5,13259.150136243561,Export,BA
Vibra,2024,6,19771.98577044467,Export,PA
Vibra,2024,7,18392.94149242761,Domestic,PE
Vibra,2024,8,17882.106192577965,Export,RS
Vibra,2024,9,19443.33522381404,Export,ES
Vibra,2024,10,14792.437656268352,Export,ES
Vibra,2024,11,20515.312741725014,Domestic,ES
Vibra,2024,12,14261.90592900649,Export,BA
Vibra,2025,1,11120.518957639733,Domestic,MS
Vibra,2025,2,20922.315593109706,Domestic,BA
