Year,Quarter,Month,Date,TableLayers,MeatLayers,TotalLayers,TableEggsProduced,MeatEggsProduced,TotalEggsProduced
1999,2,4,1999-04-01,-,-,78311958,-,-,130851
1999,2,5,1999-05-01,-,-,79017636,-,-,135303
1999,2,6,1999-06-01,-,-,78691948,-,-,133112
1999,3,7,1999-07-01,-,-,78199756,-,-,134422
1999,3,8,1999-08-01,-,-,77288541,-,-,133417
1999,3,9,1999-09-01,-,-,77393006,-,-,130528
1999,4,10,1999-10-01,-,-,76502968,-,-,132376
1999,4,11,1999-11-01,-,-,75849743,-,-,129252
1999,4,12,1999-12-01,-,-,75768102,-,-,131859
2000,1,1,2000-01-01,-,-,80337522,-,-,138585
2000,1,2,2000-02-01,-,-,80697535,-,-,132347
2000,1,3,2000-03-01,-,-,81797387,-,-,141658
2000,2,4,2000-04-01,-,-,80374429,-,-,138153
2000,2,5,2000-05-01,-,-,79950543,-,-,140695
2000,2,6,2000-06-01,-,-,79262932,-,-,137692
2000,3,7,2000-07-01,-,-,78903441,-,-,139827
2000,3,8,2000-08-01,-,-,79779178,-,-,140177
2000,3,9,2000-09-01,-,-,79114623,-,-,138376
2000,4,10,2000-10-01,-,-,79350496,-,-,139986
2000,4,11,2000-11-01,-,-,79096300,-,-,136370
2000,4,12,2000-12-01,-,-,79101959,-,-,138848
2001,1,1,2001-01-01,-,-,78562503,-,-,136488
2001,1,2,2001-02-01,-,-,78415271,-,-,126571
2001,1,3,2001-03-01,-,-,80248479,-,-,139771
2001,2,4,2001-04-01,-,-,84393407,-,-,141553
2001,2,5,2001-05-01,-,-,85168873,-,-,144881
2001,2,6,2001-06-01,-,-,86079265,-,-,142777
2001,3,7,2001-07-01,-,-,85100168,-,-,147995
2001,3,8,2001-08-01,-,-,85863054,-,-,149482
2001,3,9,2001-09-01,-,-,84637050,-,-,144412
2001,4,10,2001-10-01,-,-,84754707,-,-,148701
2001,4,11,2001-11-01,-,-,83895768,-,-,144403
2001,4,12,2001-12-01,-,-,83983967,-,-,147555
2002,1,1,2002-01-01,-,-,87758148,-,-,151909
2002,1,2,2002-02-01,-,-,88119694,-,-,141654
2002,1,3,2002-03-01,-,-,89446321,-,-,154730
2002,2,4,2002-04-01,-,-,88550537,-,-,150713
2002,2,5,2002-05-01,-,-,88168892,-,-,152615
2002,2,6,2002-06-01,-,-,88215767,-,-,149928
2002,3,7,2002-07-01,-,-,88413498,-,-,155186
2002,3,8,2002-08-01,-,-,86559778,-,-,152678
2002,3,9,2002-09-01,-,-,84981981,-,-,146392
2002,4,10,2002-10-01,-,-,85152251,-,-,147001
2002,4,11,2002-11-01,-,-,83972904,-,-,143987
2002,4,12,2002-12-01,-,-,84281304,-,-,146871
2003,1,1,2003-01-01,-,-,86795753,-,-,148748
2003,1,2,2003-02-01,-,-,87726816,-,-,139853
2003,1,3,2003-03-01,-,-,88852929,-,-,152350
2003,2,4,2003-04-01,-,-,88062612,-,-,152063
2003,2,5,2003-05-01,-,-,88424158,-,-,154564
2003,2,6,2003-06-01,-,-,88293420,-,-,150651
2003,3,7,2003-07-01,-,-,89560182,-,-,155979
2003,3,8,2003-08-01,-,-,89313497,-,-,156326
2003,3,9,2003-09-01,-,-,89230304,-,-,153786
2003,4,10,2003-10-01,-,-,89376052,-,-,156933
2003,4,11,2003-11-01,-,-,88451921,-,-,151910
2003,4,12,2003-12-01,-,-,88693640,-,-,156609
2004,1,1,2004-01-01,-,-,89838903,-,-,157150
2004,1,2,2004-02-01,-,-,90210563,-,-,149515
2004,1,3,2004-03-01,-,-,91905245,-,-,160681
2004,2,4,2004-04-01,-,-,92487315,-,-,158969
2004,2,5,2004-05-01,-,-,92676689,-,-,160188
2004,2,6,2004-06-01,-,-,92363547,-,-,158859
2004,3,7,2004-07-01,-,-,91494094,-,-,164166
2004,3,8,2004-08-01,-,-,91292387,-,-,163473
2004,3,9,2004-09-01,-,-,90913060,-,-,161344
2004,4,10,2004-10-01,-,-,91107427,-,-,162070
2004,4,11,2004-11-01,-,-,91136061,-,-,160484
2004,4,12,2004-12-01,-,-,91431969,-,-,165448
2005,1,1,2005-01-01,-,-,91959611,-,-,163641
2005,1,2,2005-02-01,-,-,92694999,-,-,153057
2005,1,3,2005-03-01,-,-,94636056,-,-,167704
2005,2,4,2005-04-01,-,-,95994961,-,-,165538
2005,2,5,2005-05-01,-,-,95864410,-,-,167178
2005,2,6,2005-06-01,-,-,96534369,-,-,167008
2005,3,7,2005-07-01,-,-,97319433,-,-,172475
2005,3,8,2005-08-01,-,-,98018551,-,-,175240
2005,3,9,2005-09-01,-,-,97511092,-,-,169464
2005,4,10,2005-10-01,-,-,98419041,-,-,173519
2005,4,11,2005-11-01,-,-,97293504,-,-,171099
2005,4,12,2005-12-01,-,-,97132903,-,-,172431
2006,1,1,2006-01-01,-,-,100314834,-,-,175985
2006,1,2,2006-02-01,-,-,98840266,-,-,163535
2006,1,3,2006-03-01,-,-,99024750,-,-,177014
2006,2,4,2006-04-01,-,-,99328117,-,-,170916
2006,2,5,2006-05-01,-,-,100353628,-,-,177139
2006,2,6,2006-06-01,-,-,100016692,-,-,174126
2006,3,7,2006-07-01,-,-,101150393,-,-,181227
2006,3,8,2006-08-01,-,-,100804813,-,-,182556
2006,3,9,2006-09-01,-,-,99825034,-,-,176553
2006,4,10,2006-10-01,-,-,100064604,-,-,180807
2006,4,11,2006-11-01,-,-,99333686,-,-,176104
2006,4,12,2006-12-01,-,-,98560076,-,-,176417
2007,1,1,2007-01-01,-,-,100476162,-,-,178346
2007,1,2,2007-02-01,-,-,100785618,-,-,167239
2007,1,3,2007-03-01,-,-,102032954,-,-,181609
2007,2,4,2007-04-01,-,-,103201532,-,-,178155
2007,2,5,2007-05-01,-,-,103038347,-,-,181807
2007,2,6,2007-06-01,-,-,102209401,-,-,177839
2007,3,7,2007-07-01,-,-,102613071,-,-,181942
2007,3,8,2007-08-01,-,-,103038023,-,-,182482
2007,3,9,2007-09-01,-,-,103613642,-,-,180460
2007,4,10,2007-10-01,-,-,104703283,-,-,187712
2007,4,11,2007-11-01,-,-,103865285,-,-,183183
2007,4,12,2007-12-01,-,-,103057596,-,-,185134
2008,1,1,2008-01-01,-,-,106130795,-,-,189090
2008,1,2,2008-02-01,-,-,106750480,-,-,179970
2008,1,3,2008-03-01,-,-,107412387,-,-,190929
2008,2,4,2008-04-01,-,-,107784322,-,-,188118
2008,2,5,2008-05-01,-,-,107932368,-,-,192344
2008,2,6,2008-06-01,-,-,107631748,-,-,187494
2008,3,7,2008-07-01,-,-,108498471,-,-,193995
2008,3,8,2008-08-01,-,-,108112667,-,-,193262
2008,3,9,2008-09-01,-,-,107155162,-,-,189171
2008,4,10,2008-10-01,-,-,107049656,-,-,193501
2008,4,11,2008-11-01,-,-,106477884,-,-,188763
2008,4,12,2008-12-01,-,-,106500213,-,-,193865
2009,1,1,2009-01-01,-,-,109871847,-,-,197485
2009,1,2,2009-02-01,-,-,108994046,-,-,184327
2009,1,3,2009-03-01,-,-,108731262,-,-,198446
2009,2,4,2009-04-01,-,-,109280636,-,-,191889
2009,2,5,2009-05-01,-,-,110409671,-,-,195150
2009,2,6,2009-06-01,-,-,110136932,-,-,193953
2009,3,7,2009-07-01,-,-,110996038,-,-,201961
2009,3,8,2009-08-01,-,-,109876749,-,-,199776
2009,3,9,2009-09-01,-,-,109273058,-,-,196570
2009,4,10,2009-10-01,-,-,112040310,-,-,200643
2009,4,11,2009-11-01,-,-,112508381,-,-,197695
2009,4,12,2009-12-01,-,-,114279022,-,-,203029
2010,1,1,2010-01-01,-,-,116969760,-,-,204204
2010,1,2,2010-02-01,-,-,113301250,-,-,191687
2010,1,3,2010-03-01,-,-,115289117,-,-,207836
2010,2,4,2010-04-01,-,-,115653706,-,-,202624
2010,2,5,2010-05-01,-,-,116058770,-,-,204515
2010,2,6,2010-06-01,-,-,116917238,-,-,203454
2010,3,7,2010-07-01,-,-,117769401,-,-,208974
2010,3,8,2010-08-01,-,-,117761724,-,-,207864
2010,3,9,2010-09-01,-,-,116968414,-,-,205163
2010,4,10,2010-10-01,-,-,118063337,-,-,208922
2010,4,11,2010-11-01,-,-,116961416,-,-,205195
2010,4,12,2010-12-01,-,-,118253736,-,-,207441
2011,1,1,2011-01-01,-,-,118388953,-,-,210307
2011,1,2,2011-02-01,-,-,118555481,-,-,196983
2011,1,3,2011-03-01,-,-,119800060,-,-,212814
2011,2,4,2011-04-01,-,-,118983026,-,-,209061
2011,2,5,2011-05-01,-,-,119238699,-,-,214305
2011,2,6,2011-06-01,-,-,119310576,-,-,210536
2011,3,7,2011-07-01,-,-,120538493,-,-,216293
2011,3,8,2011-08-01,-,-,122652267,-,-,220312
2011,3,9,2011-09-01,-,-,120284474,-,-,214209
2011,4,10,2011-10-01,-,-,121823874,-,-,221378
2011,4,11,2011-11-01,-,-,121966674,-,-,217779
2011,4,12,2011-12-01,-,-,122321394,-,-,222744
2012,1,1,2012-01-01,90482580,34861796,125344376,176031,53066,229097
2012,1,2,2012-02-01,89992268,33641698,123633966,167125,48422,215547
2012,1,3,2012-03-01,92210698,34171593,126382291,177160,51361,228521
2012,2,4,2012-04-01,91906317,34833476,126739793,173501,50413,223914
2012,2,5,2012-05-01,92548409,35358269,127906678,175933,51117,227051
2012,2,6,2012-06-01,92627487,35191963,127819450,172712,49675,222387
2012,3,7,2012-07-01,93554803,35270138,128824941,178185,53479,231664
2012,3,8,2012-08-01,92538995,34014025,126553020,178149,52217,230366
2012,3,9,2012-09-01,91409026,32904433,124313459,171346,49457,220803
2012,4,10,2012-10-01,90435084,33087207,123522291,174605,50484,225089
2012,4,11,2012-11-01,90165676,33138451,123304127,168611,49857,218468
2012,4,12,2012-12-01,90498651,32295287,122793938,172323,50245,222568
2013,1,1,2013-01-01,91472518,34302175,125774693,176747,52655,229401
2013,1,2,2013-02-01,91486588,34339885,125826473,165505,47275,212779
2013,1,3,2013-03-01,92853691,34346752,127200443,176630,51689,228319
2013,2,4,2013-04-01,94746641,34877977,129624618,175976,49732,225709
2013,2,5,2013-05-01,95379944,35376490,130756434,179006,50950,229956
2013,2,6,2013-06-01,95130953,34859081,129990034,175562,49581,225143
2013,3,7,2013-07-01,95155987,34642091,129798078,179951,51848,231799
2013,3,8,2013-08-01,94732062,34644710,129376772,180627,53083,233710
2013,3,9,2013-09-01,95026871,34379346,129406217,176445,50786,227231
2013,4,10,2013-10-01,95384147,34624635,130008782,182746,52950,235697
2013,4,11,2013-11-01,94680671,34509851,129190522,177658,51234,228892
2013,4,12,2013-12-01,94606769,34473710,129080479,180129,51555,231684
2014,1,1,2014-01-01,95876081,34793451,130669532,181702,52408,234110
2014,1,2,2014-02-01,95648474,34757677,130406151,170378,47902,218280
2014,1,3,2014-03-01,96780943,34301788,131082731,183310,51894,235204
2014,2,4,2014-04-01,97837698,33935730,131773428,181932,48905,230837
2014,2,5,2014-05-01,98848527,33856130,132704657,186136,50539,236675
2014,2,6,2014-06-01,97797607,33145332,130942939,180853,50003,230856
2014,3,7,2014-07-01,98241769,34168178,132409947,186187,52754,238941
2014,3,8,2014-08-01,98631827,34839082,133470909,187546,54533,242079
2014,3,9,2014-09-01,99245303,34054186,133299489,186145,52930,239075
2014,4,10,2014-10-01,98128002,33561350,131689352,190493,52078,242571
2014,4,11,2014-11-01,98071225,32922871,130994096,186361,50542,236903
2014,4,12,2014-12-01,97998340,32805255,130803595,188718,50625,239343
2015,1,1,2015-01-01,99578451,34150395,133728846,185322,53307,238629
2015,1,2,2015-02-01,99427266,33945454,133372720,176258,47966,224224
2015,1,3,2015-03-01,101287502,33952551,135240053,191777,51779,243556
2015,2,4,2015-04-01,100831892,34355662,135187554,188498,50074,238572
2015,2,5,2015-05-01,100958055,34654071,135612126,189805,52000,241805
2015,2,6,2015-06-01,101004709,34874705,135879414,189718,51367,241085
2015,3,7,2015-07-01,100771015,38838533,139609548,192236,57822,250059
2015,3,8,2015-08-01,101156042,37708019,138864061,195298,58805,254103
2015,3,9,2015-09-01,101508928,37104214,138613142,190948,56250,247198
2015,4,10,2015-10-01,100681153,36665316,137346469,192390,58494,250883
2015,4,11,2015-11-01,100537227,36921050,137458277,189300,56255,245555
2015,4,12,2015-12-01,100859118,37806897,138666015,192908,58703,251611
2016,1,1,2016-01-01,101435829,38610169,140045998,192954,60097,253051
2016,1,2,2016-02-01,102049455,38686591,140736046,188068,56890,244958
2016,1,3,2016-03-01,103594668,38541306,142135974,199283,59893,259176
2016,2,4,2016-04-01,105307124,38468422,143775546,197334,55006,252340
2016,2,5,2016-05-01,105425339,37812691,143238030,201310,56046,257356
2016,2,6,2016-06-01,104688129,37934267,142622396,197142,54047,251190
2016,3,7,2016-07-01,105632989,36948755,142581744,201756,57590,259346
2016,3,8,2016-08-01,106977327,36327757,143305084,207243,57292,264536
2016,3,9,2016-09-01,106152042,35501256,141653298,201379,54336,255715
2016,4,10,2016-10-01,107049076,35867694,142916770,210874,56601,267475
2016,4,11,2016-11-01,107169302,36831458,144000760,206293,57088,263381
2016,4,12,2016-12-01,107705103,36559175,144264278,211005,58308,269312
2017,1,1,2017-01-01,108473882,37139464,145613346,211032,59629,270661
2017,1,2,2017-02-01,109054385,36948714,146003099,197763,53226,250989
2017,1,3,2017-03-01,111080164,33537898,144618062,216435,52461,268896
2017,2,4,2017-04-01,112633855,38476941,151110796,213457,56479,269936
2017,2,5,2017-05-01,114227803,39240196,153467999,219113,59651,278764
2017,2,6,2017-06-01,113244788,38503910,151748698,213872,57826,271698
2017,3,7,2017-07-01,115204253,38292403,153496656,221834,59391,281224
2017,3,8,2017-08-01,115943891,37664249,153608140,224888,60272,285160
2017,3,9,2017-09-01,115763600,37782521,153546121,219165,58359,277524
2017,4,10,2017-10-01,117371991,37417342,154789333,227642,60435,288077
2017,4,11,2017-11-01,117265866,37321415,154587281,223973,58812,282785
2017,4,12,2017-12-01,117392405,38006518,155398923,226623,60000,286623
2018,1,1,2018-01-01,119340612,38657877,157998489,232029,60371,292401
2018,1,2,2018-02-01,119960383,38732748,158693131,217871,55109,272981
2018,1,3,2018-03-01,121428696,38978138,160406834,236001,59613,295614
2018,2,4,2018-04-01,122539285,40609963,163149248,232956,59478,292434
2018,2,5,2018-05-01,122659885,40136393,162796278,237078,60759,297837
2018,2,6,2018-06-01,123300035,40039656,163339691,231413,57923,289336
2018,3,7,2018-07-01,125872387,40430150,166302537,246965,61726,308691
2018,3,8,2018-08-01,126616147,40462306,167078453,250243,63354,313597
2018,3,9,2018-09-01,125734656,39343474,165078130,242179,60453,302632
2018,4,10,2018-10-01,126905691,40329229,167234920,253839,64359,318198
2018,4,11,2018-11-01,127238604,40238579,167477183,247342,61382,308724
2018,4,12,2018-12-01,127917847,37042944,164960791,252629,62119,314748
2019,1,1,2019-01-01,129039098,37533237,166572335,256063,61937,318001
2019,1,2,2019-02-01,128790223,37049066,165839289,239317,54063,293380
2019,1,3,2019-03-01,130071815,36856212,166928027,259401,58264,317665
2019,2,4,2019-04-01,132487102,38121047,170608149,259116,57434,316551
2019,2,5,2019-05-01,132436079,38399629,170835708,260967,59492,320459
2019,2,6,2019-06-01,131835228,38117397,169952625,253232,57572,310804
2019,3,7,2019-07-01,133641310,39738108,173379418,263239,62585,325824
2019,3,8,2019-08-01,132813281,39558910,172372191,264587,63386,327973
2019,3,9,2019-09-01,131934296,39764332,171698628,257735,62289,320025
2019,4,10,2019-10-01,132312805,39760723,172073528,268210,64914,333124
2019,4,11,2019-11-01,132748727,39440124,172188851,263800,63459,327260
2019,4,12,2019-12-01,132310240,39465355,171775595,265970,65101,331071
2020,1,1,2020-01-01,132596411,38979283,171575694,262901,65299,328200
2020,1,2,2020-02-01,133288933,39498998,172787931,253552,60294,313847
2020,1,3,2020-03-01,135091139,38591804,173682943,268837,63672,332509
2020,2,4,2020-04-01,134515049,38537534,173052583,261352,60908,322260
2020,2,5,2020-05-01,134840929,38661925,173502854,265561,62261,327822
2020,2,6,2020-06-01,134048179,39433382,173481561,264828,62377,327205
2020,3,7,2020-07-01,138574279,39719289,178293568,275902,64642,340544
2020,3,8,2020-08-01,138274763,39409345,177684108,275545,65861,341405
2020,3,9,2020-09-01,139092227,39423313,178515540,272989,64401,337390
2020,4,10,2020-10-01,135514798,39792627,175307425,267876,66285,334160
2020,4,11,2020-11-01,133856305,40108309,173964614,261673,64247,325920
2020,4,12,2020-12-01,134325993,39933475,174259468,268338,67538,335876
2021,1,1,2021-01-01,135401969,40541641,175943610,269861,66390,336251
2021,1,2,2021-02-01,136594730,39455240,176049970,253615,60010,313625
2021,1,3,2021-03-01,138910875,38985215,177896090,282547,64366,346913
2021,2,4,2021-04-01,138075833,39405834,177481667,274060,61108,335169
2021,2,5,2021-05-01,136210516,39752402,175962918,274862,62561,337423
2021,2,6,2021-06-01,134188198,40133100,174321298,264888,60974,325862
2021,3,7,2021-07-01,137465297,39206160,176671457,274952,64304,339256
2021,3,8,2021-08-01,137181538,39850874,177032412,276897,64717,341613
2021,3,9,2021-09-01,137694731,38667939,176362670,271784,62365,334149
2021,4,10,2021-10-01,135921963,39102162,175024125,271867,63111,334978
2021,4,11,2021-11-01,135283386,39724688,175008074,269169,63502,332671
2021,4,12,2021-12-01,134828146,39959509,174787655,270114,64488,334602
2022,1,1,2022-01-01,134816620,41749866,176566486,269893,67583,337476
2022,1,2,2022-02-01,135717591,41085857,176803448,252127,61255,313382
2022,1,3,2022-03-01,137184074,41408324,178592398,277692,66388,344080
2022,2,4,2022-04-01,138148390,41321149,179469539,273619,63018,336637
2022,2,5,2022-05-01,138966454,41211024,180177478,279872,64786,344657
2022,2,6,2022-06-01,138294765,41016472,179311237,273820,62383,336203
2022,3,7,2022-07-01,138679888,42023614,180703502,278591,65365,343957
2022,3,8,2022-08-01,139421516,41703332,181124848,284063,67326,351389
2022,3,9,2022-09-01,139661050,41798269,181459319,275932,65254,341185
2022,4,10,2022-10-01,140984036,42929876,183913912,282863,70192,353055
2022,4,11,2022-11-01,139580905,43260176,182841081,277001,68983,345984
2022,4,12,2022-12-01,139384637,42451573,181836210,280492,70121,350614
2023,1,1,2023-01-01,141248402,43048322,184296724,281048,71418,352466
2023,1,2,2023-02-01,140447587,42443164,182890751,261388,65080,326468
2023,1,3,2023-03-01,142998192,42550389,185548581,286515,70388,356903
2023,2,4,2023-04-01,143752880,42890994,186643874,279558,67449,347007
2023,2,5,2023-05-01,145503398,42554237,188057635,291271,70042,361313
2023,2,6,2023-06-01,144913531,41233756,186147287,282951,66476,349427
2023,3,7,2023-07-01,146861912,41061298,187923210,294062,67701,361763
2023,3,8,2023-08-01,148526389,40217064,188743453,299937,68952,368889
2023,3,9,2023-09-01,145501894,39016095,184517989,290300,65488,355788
2023,4,10,2023-10-01,145497360,40138844,185636204,293612,67467,361080
2023,4,11,2023-11-01,144814611,40668476,185483087,287050,66319,353369
2023,4,12,2023-12-01,145578874,42362069,187940943,287912,68417,356329
2024,1,1,2024-01-01,150475344,42663248,193138592,302195,71542,373737
2024,1,2,2024-02-01,151148858,42858090,194006948,289293,66729,356022
2024,1,3,2024-03-01,153463663,42766851,196230514,303561,69460,373021
