DATE,BR_SOY_CAMPO_NOVO_PRICE
2014-02-11,50.19
2014-02-12,51.55
2014-02-13,51.8
2014-02-14,51.85
2014-02-17,51.85
2014-02-18,52.43
2014-02-19,52.49
2014-02-20,52.36
2014-02-21,52.1
2014-02-24,51.85
2014-02-25,51.92
2014-02-26,53.09
2014-02-27,53.3
2014-02-28,52.7
2014-03-05,52.9
2014-03-06,53.08
2014-03-07,52.96
2014-03-10,52.99
2014-03-11,52.73
2014-03-12,52.48
2014-03-13,52.11
2014-03-14,51.56
2014-03-17,51.85
2014-03-18,51.95
2014-03-19,52.25
2014-03-20,52.17
2014-03-21,51.63
2014-03-24,51.54
2014-03-25,51.53
2014-03-26,51.84
2014-03-27,51.51
2014-03-28,51.33
2014-03-31,51.42
2014-04-01,50.78
2014-04-02,50.39
2014-04-03,51.85
2014-04-04,51.97
2014-04-07,52.01
2014-04-08,51.04
2014-04-09,50.67
2014-04-11,50.36
2014-04-14,50.37
2014-04-15,52.74
2014-04-16,52.98
2014-04-17,53.18
2014-04-22,52.57
2014-04-23,52.29
2014-04-24,51.9
2014-04-25,51.77
2014-04-28,51.76
2014-04-29,52.74
2014-04-30,52.99
2014-05-02,52.84
2014-05-05,52.17
2014-05-06,52.03
2014-05-07,51.79
2014-05-08,52.87
2014-05-09,53.2
2014-05-12,53.2
2014-05-13,53.2
2014-05-14,53.2
2014-05-15,53.07
2014-05-16,53.0
2014-05-19,53.0
2014-05-20,53.5
2014-05-21,53.5
2014-05-22,54.84
2014-05-23,54.84
2014-05-26,54.84
2014-05-27,54.5
2014-05-28,54.04
2014-05-29,54.17
2014-05-30,54.17
2014-06-02,54.17
2014-06-03,54.72
2014-06-04,54.83
2014-06-05,53.77
2014-06-06,53.77
2014-06-09,53.77
2014-06-10,53.09
2014-06-11,52.55
2014-06-12,52.55
2014-06-13,51.64
2014-06-16,51.62
2014-06-17,51.62
2014-06-18,51.16
2014-06-20,51.06
2014-06-23,51.03
2014-06-24,51.02
2014-06-25,51.01
2014-06-26,50.76
2014-06-27,50.39
2014-06-30,50.2
2014-07-01,49.92
2014-07-02,49.57
2014-07-03,50.02
2014-07-04,50.17
2014-07-07,50.22
2014-07-08,49.41
2014-07-09,49.14
2014-07-10,47.57
2014-07-11,46.19
2014-07-14,45.73
2014-07-15,46.37
2014-07-16,47.79
2014-07-17,48.2
2014-07-18,47.5
2014-07-21,47.15
2014-07-22,48.22
2014-07-23,48.57
2014-07-24,49.36
2014-07-25,49.62
2014-07-28,51.5
2014-07-29,50.77
2014-08-04,50.5
2014-08-05,50.17
2014-08-06,50.06
2014-08-07,51.83
2014-08-08,51.83
2014-08-11,51.83
2014-08-12,51.42
2014-08-13,51.8
2014-08-14,51.93
2014-08-15,51.93
2014-08-18,51.93
2014-08-19,52.27
2014-08-20,52.27
2014-08-21,52.17
2014-08-22,52.17
2014-08-25,53.39
2014-08-26,50.67
2014-08-27,50.67
2014-08-28,50.33
2014-08-29,50.33
2014-09-01,50.33
2014-09-02,50.11
2014-09-03,50.04
2014-09-04,50.01
2014-09-05,49.67
2014-09-08,49.67
2014-09-09,49.56
2014-09-10,49.52
2014-09-11,49.76
2014-09-12,49.92
2014-09-15,49.33
2014-09-16,49.33
2014-09-17,49.17
2014-09-18,48.72
2014-09-19,49.0
2014-09-22,49.0
2014-09-23,48.83
2014-09-24,48.78
2014-09-25,48.67
2014-09-26,48.67
2014-09-29,48.67
2014-09-30,48.06
2014-10-01,47.85
2014-10-02,49.33
2014-10-03,49.33
2014-10-06,49.33
2014-10-07,49.61
2014-10-08,48.6
2014-10-09,48.27
2014-10-10,47.83
2014-10-13,47.83
2014-10-14,48.44
2014-10-15,48.65
2014-10-16,50.22
2014-10-17,50.17
2014-10-20,49.56
2014-10-21,49.19
2014-10-22,49.06
2014-10-23,49.53
2014-10-24,49.77
2014-10-27,49.89
2014-10-29,52.0
2014-10-30,51.33
2014-10-31,51.11
2014-11-03,51.04
2014-11-06,54.0
2014-11-07,53.33
2014-11-10,52.67
2014-11-11,53.33
2014-11-12,53.67
2014-11-13,54.83
2014-11-14,55.42
2014-11-17,53.8
2014-11-18,51.9
2014-11-19,50.95
2014-11-20,50.48
2014-11-21,49.74
2014-11-24,49.37
2014-11-25,49.69
2014-11-26,49.69
2014-11-27,46.69
2014-11-28,48.35
2014-12-01,48.34
2014-12-02,48.17
2014-12-03,48.59
2014-12-04,48.8
2014-12-05,48.9
2014-12-08,48.95
2014-12-09,48.98
2014-12-10,48.99
2014-12-11,51.25
2014-12-12,52.37
2014-12-15,52.94
2014-12-16,53.47
2014-12-17,53.74
2014-12-18,53.22
2014-12-19,52.96
2015-01-08,49.5
2015-01-09,49.5
2015-01-12,49.5
2015-01-13,49.5
2015-01-14,49.5
2015-01-15,49.5
2015-01-16,49.5
2015-01-19,49.5
2015-01-21,41.5
2015-01-22,41.5
2015-02-02,42.5
2015-02-03,43.25
2015-02-04,43.25
2015-02-12,49.0
2015-02-13,49.0
2015-02-18,48.25
2015-02-19,47.88
2015-02-20,47.88
2015-02-26,51.0
2015-02-27,51.0
2015-03-02,51.0
2015-03-03,49.0
2015-03-04,48.0
2015-03-05,47.75
2015-03-06,47.63
2015-03-09,47.57
2015-03-10,50.69
2015-03-11,51.73
2015-03-12,51.58
2015-03-13,51.53
2015-03-16,51.51
2015-03-17,52.5
2015-03-18,52.83
2015-03-19,53.01
2015-03-20,53.07
2015-03-23,53.09
2015-03-24,52.8
2015-03-25,52.77
2015-03-26,53.14
2015-03-27,53.32
2015-03-30,53.41
2015-03-31,54.14
2015-04-01,54.1
2015-04-02,53.07
2015-04-06,53.07
2015-04-07,51.93
2015-04-08,51.93
2015-04-09,50.77
2015-04-10,50.77
2015-04-13,50.77
2015-04-14,50.59
2015-04-15,51.0
2015-04-16,50.17
2015-04-17,49.89
2015-04-20,49.8
2015-04-22,49.93
2015-04-23,49.97
2015-04-24,49.99
2015-04-27,50.0
2015-04-28,50.0
2015-04-29,50.0
2015-04-30,50.33
2015-05-04,50.44
2015-05-05,50.97
2015-05-06,50.83
2015-05-07,50.67
2015-05-08,50.07
2015-05-11,50.07
2015-05-12,49.84
2015-05-14,49.5
2015-05-15,49.0
2015-05-18,49.0
2015-05-19,51.25
2015-05-20,50.13
2015-05-21,48.83
2015-05-22,48.83
2015-05-25,48.83
2015-05-26,49.61
2015-05-27,50.0
2015-05-28,49.93
2015-05-29,49.93
2015-06-01,49.93
2015-06-02,49.98
2015-06-03,49.67
2015-06-05,49.56
2015-06-08,49.33
2015-06-09,49.33
2015-06-10,49.33
2015-06-11,49.67
2015-06-12,49.22
2015-06-15,49.07
2015-06-16,49.33
2015-06-17,49.33
2015-06-18,50.0
2015-06-19,49.67
2015-06-22,50.0
2015-06-23,50.17
2015-06-24,50.22
2015-06-25,51.33
2015-06-26,51.33
2015-06-29,51.33
2015-06-30,52.11
2015-07-01,52.37
2015-07-02,52.62
2015-07-03,54.04
2015-07-06,53.18
2015-07-17,53.45
2015-07-20,53.45
2015-07-21,52.98
2015-07-22,52.83
2015-07-23,52.94
2015-07-24,52.98
2015-07-27,52.67
2015-07-28,52.77
2015-07-29,52.77
2015-07-30,53.45
2015-07-31,53.83
2015-08-03,53.83
2015-08-04,53.94
2015-08-05,53.98
2015-08-06,55.33
2015-08-07,55.33
2015-08-10,55.33
2015-08-11,55.78
2015-08-12,55.93
2015-08-13,55.31
2015-08-14,54.83
2015-08-17,54.83
2015-08-18,53.67
2015-08-19,53.67
2015-08-20,54.22
2015-08-21,54.41
2015-08-24,54.47
2015-08-25,55.99
2015-08-26,55.83
2015-08-27,55.78
2015-08-28,55.76
2015-08-31,55.75
2015-09-01,55.92
2015-09-02,55.97
2015-09-03,56.66
2015-09-04,58.67
2015-09-08,59.59
2015-09-09,60.05
2015-09-10,60.53
2015-09-11,60.77
2015-09-14,60.89
2015-09-15,62.15
2015-09-16,61.18
2015-09-17,58.67
2015-09-18,58.67
2015-09-21,58.67
2015-09-22,60.89
2015-09-23,61.63
2015-09-24,62.81
2015-09-25,63.2
2015-09-28,63.33
2015-09-29,64.44
2015-09-30,64.81
2015-10-01,64.81
2015-10-02,64.41
2015-10-05,64.21
2015-10-06,63.11
2015-10-07,62.56
2015-10-08,62.28
2015-10-09,62.14
2015-10-13,63.57
2015-10-14,64.29
2015-10-15,64.65
2015-10-16,64.55
2015-10-19,64.78
2015-10-20,67.83
2015-10-21,65.92
2015-10-22,65.96
2015-10-23,65.98
2015-10-26,65.99
2015-10-27,64.75
2015-10-28,64.13
2015-10-29,63.57
2015-10-30,63.29
2015-11-03,63.15
2015-11-04,63.08
2015-11-05,63.08
2015-11-06,62.54
2015-11-09,62.27
2015-11-10,62.27
2015-11-12,60.0
2015-11-13,60.0
2015-11-16,60.0
2015-11-17,60.5
2015-11-18,60.75
2015-11-19,59.88
2015-11-20,59.44
2015-11-23,59.22
2015-12-01,62.0
2015-12-03,60.0
2015-12-04,60.0
2015-12-07,60.0
2015-12-08,60.0
2015-12-09,59.17
2015-12-10,59.59
2015-12-11,59.8
2015-12-14,59.9
2015-12-15,59.95
2015-12-16,59.98
2015-12-18,58.0
2015-12-21,58.0
2015-12-22,61.0
2015-12-23,62.5
2015-12-28,63.25
2015-12-29,58.75
2015-12-30,57.25
2016-01-13,59.0
2016-01-14,59.5
2016-01-15,61.83
2016-01-18,63.92
2016-01-19,61.96
2016-01-20,60.98
2016-02-04,61.29
2016-02-05,59.65
2016-02-10,58.83
2016-02-11,58.83
2016-04-25,62.67
2016-04-26,63.32
2016-04-27,63.54
2016-04-28,64.01
2016-04-29,63.84
2016-05-02,63.78
2016-05-03,65.26
2016-05-04,67.33
2016-05-05,65.67
2016-05-06,64.84
2016-05-09,65.95
2016-05-10,65.95
2016-05-11,67.32
2016-05-12,67.61
2016-05-13,67.7
2016-05-16,67.73
2016-05-17,69.24
2016-05-18,69.75
2016-05-19,69.92
2016-05-20,69.97
2016-05-23,69.99
2016-05-24,69.75
2016-05-25,71.42
2016-05-27,72.83
2016-05-30,72.83
2016-05-31,74.94
2016-06-01,75.65
2016-06-02,78.16
2016-06-03,79.05
2016-06-06,78.67
2016-06-07,78.33
2016-06-08,78.78
2016-06-09,78.78
2016-06-10,79.39
2016-06-13,80.13
2016-06-14,80.42
2016-06-15,80.56
2016-06-16,80.19
2016-06-17,80.06
2016-06-20,80.02
2016-06-21,78.76
2016-06-22,76.75
2016-06-23,76.08
2016-06-24,75.86
2016-06-27,75.79
2016-06-28,75.4
2016-06-29,74.26
2016-06-30,73.75
2016-07-01,73.58
2016-07-04,73.53
2016-07-05,72.68
2016-07-06,72.39
2016-07-07,72.39
2016-07-08,71.2
2016-07-11,70.6
2016-07-12,69.3
2016-07-13,68.65
2016-07-14,67.83
2016-07-15,67.78
2016-07-18,67.76
2016-07-19,65.38
2016-07-20,64.19
2016-07-21,65.06
2016-07-22,65.35
2016-07-25,65.45
2016-07-26,64.15
2016-07-27,63.72
2016-07-28,64.36
2016-07-29,64.68
2016-08-01,64.84
2016-08-02,62.92
2016-08-03,59.67
2016-08-04,60.34
2016-08-05,60.67
2016-08-08,60.56
2016-08-09,59.52
2016-08-10,59.17
2016-08-11,58.06
2016-08-12,59.53
2016-08-15,60.27
2016-08-16,60.76
2016-08-17,60.92
2016-08-18,62.96
2016-08-19,61.99
2016-08-22,61.66
2016-08-23,61.55
2016-08-24,61.52
2016-08-25,61.49
2016-08-26,61.15
2016-08-29,61.03
2016-08-30,62.52
2016-08-31,63.26
2016-09-01,62.88
2016-09-02,62.69
2016-09-05,62.6
2016-09-06,62.3
2016-09-08,62.15
2016-09-09,62.08
2016-09-12,61.36
2016-09-13,62.79
2016-09-14,63.26
2016-09-15,65.42
2016-09-16,66.14
2016-09-19,66.38
2016-09-20,66.79
2016-09-21,66.93
2016-09-22,65.51
2016-09-23,64.8
2016-09-26,64.63
2016-09-27,63.88
2016-09-28,62.69
2016-09-29,62.3
2016-09-30,62.15
2016-10-03,63.05
2016-10-04,64.0
2016-10-05,64.0
2016-10-06,63.1
2016-10-07,62.8
2016-10-10,62.7
2016-10-11,64.4
2016-10-13,63.7
2016-10-14,63.35
2016-10-17,62.5
2016-10-18,62.5
2016-10-19,62.75
2016-10-20,63.88
2016-10-21,64.44
2016-10-24,64.72
2016-10-25,64.06
2016-10-26,63.73
2016-10-27,63.87
2016-10-28,63.94
2016-10-31,63.31
2016-11-01,62.1
2016-11-03,61.7
2016-11-04,61.57
2016-11-07,61.5
2016-11-08,60.83
2016-11-09,60.61
2016-11-10,61.2
2016-11-11,62.67
2016-11-14,62.67
2016-11-16,61.84
2016-11-17,62.0
2016-11-18,62.0
2016-11-21,62.0
2016-11-22,61.5
2016-11-23,61.5
2016-11-24,61.25
2016-11-25,61.13
2016-11-28,61.07
2016-11-29,61.07
2016-11-30,61.04
2016-12-01,61.02
2017-01-12,53.33
2017-01-13,53.1
2017-01-16,53.1
2017-01-17,53.1
2017-02-03,55.67
2017-02-06,55.67
2017-02-07,56.56
2017-02-08,56.85
2017-02-09,58.18
2017-02-10,57.0
2017-02-13,57.33
2017-02-14,56.5
2017-02-15,56.17
2017-02-16,55.84
2017-02-17,57.0
2017-02-20,57.0
2017-02-21,56.33
2017-02-22,55.11
2017-02-23,55.37
2017-02-24,55.46
2017-03-01,55.33
2017-03-02,55.94
2017-03-03,55.47
2017-03-06,55.49
2017-03-07,55.16
2017-03-08,55.72
2017-03-09,55.57
2017-03-10,55.52
2017-03-14,55.17
2017-03-15,55.06
2017-03-16,54.19
2017-03-17,53.9
2017-03-20,53.8
2017-03-21,53.43
2017-03-22,53.31
2017-03-23,53.1
2017-03-24,53.03
2017-03-27,53.01
2017-03-28,52.17
2017-03-29,51.89
2017-03-30,51.46
2017-03-31,51.83
2017-04-03,51.83
2017-04-04,49.41
2017-04-05,48.8
2017-04-06,49.33
2017-04-07,49.33
2017-04-10,48.9
2017-04-11,48.8
2017-04-12,48.77
2017-04-13,49.14
2017-04-17,49.32
2017-04-18,49.32
2017-04-19,49.66
2017-04-20,50.05
2017-04-24,50.18
2017-04-25,50.59
2017-04-26,50.8
2017-04-27,51.1
2017-04-28,51.2
2017-05-02,51.67
2017-05-03,51.89
2017-05-04,52.13
2017-05-05,52.5
2017-05-08,52.5
2017-05-09,52.25
2017-05-10,52.13
2017-05-11,52.11
2017-05-12,51.7
2017-05-15,51.57
2017-05-16,50.79
2017-05-17,50.93
2017-05-23,52.5
2017-05-24,52.5
2017-05-25,52.5
2017-05-26,52.5
2017-05-29,52.5
2017-05-30,51.59
2017-05-31,50.8
2017-06-01,50.8
2017-06-02,50.9
2017-06-05,50.63
2017-06-06,50.98
2017-06-07,52.22
2017-06-08,51.74
2017-06-09,51.58
2017-06-12,51.54
2017-06-13,52.18
2017-06-14,52.0
2017-06-16,52.0
2017-06-19,52.0
2017-06-20,51.33
2017-06-21,50.91
2017-06-22,50.57
2017-06-23,50.52
2017-06-26,50.51
2017-06-27,51.34
2017-06-28,51.08
2017-06-29,50.94
2017-06-30,50.89
2017-07-03,50.87
2017-07-04,50.87
2017-07-05,52.94
2017-07-06,53.55
2017-07-07,53.75
2017-07-10,53.82
2017-07-11,54.64
2017-07-12,54.64
2017-07-13,54.17
2017-07-14,53.94
2017-07-17,52.79
2017-07-18,51.24
2017-07-19,51.24
2017-07-20,51.82
2017-07-21,52.01
2017-07-24,51.74
2017-07-25,51.74
2017-07-26,51.49
2017-07-27,50.65
2017-07-28,50.65
2017-07-31,50.65
2017-08-01,50.83
2017-08-02,50.94
2017-08-03,50.98
2017-08-04,50.99
2017-08-07,51.0
2017-08-08,48.9
2017-08-09,48.9
2017-08-10,48.93
2017-08-11,49.14
2017-08-14,49.03
2017-08-15,48.77
2017-08-24,49.9
2017-08-25,49.9
2017-08-28,50.07
2017-08-29,49.84
2017-08-30,49.15
2017-08-31,49.99
2017-09-01,50.79
2017-09-04,50.79
2017-09-05,50.93
2017-09-06,50.31
2017-09-08,50.48
2017-09-11,50.31
2017-09-12,49.98
2017-09-13,49.98
2017-09-14,50.31
2017-09-15,50.64
2017-09-18,50.64
2017-09-19,50.64
2017-09-20,50.64
2017-09-21,50.14
2017-09-22,50.14
2017-09-25,50.14
2017-09-26,52.29
2017-09-27,52.62
2017-09-28,52.17
2017-09-29,52.02
2017-10-02,51.51
2017-10-03,51.51
2017-10-18,53.27
2017-10-19,53.76
2017-10-20,53.67
2017-10-23,54.23
2017-10-24,54.33
2017-10-25,54.33
2017-10-26,54.15
2017-10-27,53.87
2017-10-30,54.25
2017-10-31,55.0
2017-11-01,55.38
2017-11-03,55.45
2017-11-06,55.45
2017-11-07,55.0
2017-11-08,55.38
2017-11-09,54.89
2017-11-10,54.77
2017-11-13,54.43
2017-11-14,54.81
2017-11-16,53.53
2017-11-17,53.53
2017-11-20,53.27
2017-11-21,53.72
2017-11-28,54.13
2017-11-29,54.25
2017-11-30,54.13
2017-12-01,53.51
2018-01-12,55.33
2018-01-15,55.33
2018-01-16,55.67
2018-01-17,55.97
2018-01-18,55.3
2018-01-19,55.3
2018-01-22,54.33
2018-01-23,56.0
2018-01-24,55.67
2018-01-25,55.39
2018-03-13,62.69
2018-03-14,62.69
2018-03-15,62.85
2018-03-16,62.58
2018-03-19,62.45
2018-03-20,62.1
2018-03-21,61.5
2018-03-22,61.67
2018-03-23,61.72
2018-03-26,61.33
2018-03-27,60.94
2018-03-28,60.81
2018-04-24,65.95
2018-04-25,66.28
2018-04-26,67.04
2018-04-27,66.62
2018-04-30,66.78
2018-05-02,66.89
2018-05-03,67.5
2018-05-04,67.13
2018-05-07,66.35
2018-05-08,65.46
2018-05-09,65.84
2018-05-10,66.09
2018-05-11,66.18
2018-05-15,66.52
2018-05-16,66.52
2018-05-17,66.79
2018-05-18,66.31
2018-05-21,66.22
2018-05-22,67.14
2018-05-23,67.14
2018-05-24,66.54
2018-05-25,67.16
2018-05-28,67.36
2018-05-29,67.36
2018-06-28,59.36
2018-06-29,60.02
2018-07-02,61.84
2018-07-03,61.49
2018-07-04,62.66
2018-07-05,63.14
2018-07-06,62.52
2018-07-09,63.88
2018-07-10,63.71
2018-07-11,63.38
2018-07-12,64.37
2018-07-13,63.91
2018-07-16,63.91
2018-07-17,63.95
2018-07-18,65.88
2018-07-19,66.66
2018-07-23,63.48
2018-07-24,62.99
2018-07-26,63.26
2018-07-27,64.25
2018-07-30,64.58
2018-07-31,65.5
2018-08-01,65.38
2018-08-02,65.21
2018-08-03,64.42
2018-08-06,64.25
2018-08-07,64.66
2018-08-08,64.91
2018-08-09,66.09
2018-08-10,66.49
2018-08-13,67.23
2018-08-14,65.91
2018-08-15,65.89
2018-08-16,67.52
2018-08-17,67.83
2018-08-23,66.13
2018-08-24,65.54
2018-08-27,65.53
2018-08-30,67.98
2018-08-31,67.02
2018-09-03,67.02
2018-09-04,67.34
2018-09-05,67.45
2018-09-06,67.35
2018-09-10,66.19
2018-09-11,67.4
2018-09-12,67.15
2018-09-13,67.77
2018-09-14,67.64
2018-09-17,66.94
2018-09-20,68.01
2018-09-21,67.68
2018-09-24,68.03
2018-09-25,68.67
2018-09-26,67.62
2018-09-27,67.36
2018-09-28,66.56
2018-10-01,67.14
2018-10-09,63.44
2018-10-10,64.38
2018-10-11,63.87
2018-10-22,62.66
2018-10-23,62.75
2018-10-24,62.72
2018-10-25,63.44
2018-11-05,63.76
2018-11-06,63.7
2018-11-07,62.2
2018-11-13,62.4
2018-11-14,62.62
2018-11-16,61.93
2019-01-10,54.35
2019-01-11,56.1
2019-01-14,55.59
2019-01-15,53.5
2019-01-16,55.2
2019-01-18,57.02
2019-01-21,55.81
2019-01-22,58.68
2019-01-23,59.05
2019-01-24,57.57
2019-01-25,57.81
2019-01-28,58.81
2019-01-29,58.81
2019-01-30,58.68
2019-01-31,57.94
2019-02-01,58.81
2019-02-04,57.57
2019-02-05,57.08
2019-02-06,57.55
2019-02-07,57.63
2019-02-08,57.95
2019-02-11,58.15
2019-02-12,58.15
2019-02-13,59.55
2019-02-14,59.52
2019-02-15,59.42
2019-02-18,58.21
2019-02-19,56.99
2019-02-20,57.41
2019-02-21,58.94
2019-02-22,58.55
2019-02-25,58.46
2019-02-26,58.8
2019-02-27,59.06
2019-02-28,58.58
2019-03-01,58.51
2019-03-06,58.5
2019-03-12,58.69
2019-03-13,59.32
2019-03-14,59.57
2019-03-15,59.83
2019-03-18,59.44
2019-03-19,59.44
2019-03-20,59.45
2019-03-21,59.45
2019-03-22,60.94
2019-03-25,60.26
2019-03-26,60.12
2019-03-27,60.04
2019-03-28,60.05
2019-03-29,59.02
2019-04-01,58.02
2019-04-04,60.05
2019-04-05,60.36
2019-04-08,60.03
2019-04-09,59.68
2019-04-10,59.35
2019-04-11,59.35
2019-04-12,59.44
2019-04-15,59.41
2019-04-16,58.62
2019-04-17,58.28
2019-04-18,58.68
2019-04-22,58.97
2019-04-23,59.64
2019-04-24,60.13
2019-04-25,60.26
2019-04-26,59.44
2019-04-29,59.38
2019-04-30,59.38
2019-05-02,58.26
2019-05-03,58.19
2019-05-06,57.88
2019-05-07,58.12
2019-05-08,57.26
2019-05-09,56.73
2019-05-10,56.57
2019-05-13,57.1
2019-05-14,58.09
2019-05-15,60.18
2019-05-16,61.28
2019-05-17,61.28
2019-05-20,61.55
2019-05-21,61.89
2019-05-22,60.29
2019-05-23,59.9
2019-05-24,60.97
2019-05-27,60.7
2019-05-28,61.89
2019-05-29,63.13
2019-05-30,62.99
2019-05-31,62.43
2019-06-03,60.64
2019-06-04,61.14
2019-06-05,60.39
2019-06-06,60.02
2019-06-07,59.94
2019-06-10,59.65
2019-06-11,60.02
2019-06-12,60.81
2019-06-13,61.21
2019-06-14,61.61
2019-06-17,63.08
2019-06-18,62.8
2019-06-19,62.12
2019-06-21,62.01
2019-06-24,59.65
2019-06-25,60.02
2019-06-26,60.64
2019-06-27,60.09
2019-06-28,59.61
2019-07-01,59.4
2019-07-02,58.78
2019-07-03,58.71
2019-07-04,58.74
2019-07-05,58.52
2019-07-08,57.41
2019-07-09,57.89
2019-07-10,57.9
2019-07-11,57.14
2019-07-12,58.39
2019-07-15,58.7
2019-07-16,57.92
2019-07-17,58.35
2019-07-18,58.07
2019-07-19,58.58
2019-07-22,58.81
2019-07-23,58.82
2019-07-24,58.67
2019-07-25,58.79
2019-07-26,59.28
2019-07-29,60.46
2019-07-30,58.67
2019-07-31,58.24
2019-08-01,58.95
2019-08-02,61.42
2019-08-05,61.85
2019-08-06,62.62
2019-08-07,61.7
2019-08-08,63.2
2019-08-09,63.62
2019-08-12,65.7
2019-08-13,66.93
2019-08-14,68.43
2019-08-15,68.32
2019-08-16,68.55
2019-08-19,67.95
2019-08-20,69.81
2019-08-21,69.07
2019-08-22,69.83
2019-08-23,69.54
2019-08-26,71.92
2019-08-27,70.94
2019-08-28,69.99
2019-08-29,71.92
2019-08-30,71.13
2019-09-02,73.33
2019-09-03,70.08
2019-09-04,69.04
2019-09-05,69.43
2019-09-06,67.78
2019-09-09,66.2
2019-09-10,63.65
2019-09-11,64.54
2019-09-12,65.09
2019-09-13,66.5
2019-09-16,65.04
2019-09-17,65.94
2019-09-18,65.94
2019-09-19,68.29
2019-09-20,68.29
2019-09-23,70.68
2019-09-24,69.54
2019-09-25,69.54
2019-09-26,69.47
2019-09-27,69.34
2019-09-30,69.1
2019-10-01,68.35
2019-10-02,70.19
2019-10-03,70.68
2019-10-04,70.11
2019-10-07,69.49
2019-10-08,70.11
2019-10-09,70.47
2019-10-10,68.67
2019-10-11,68.27
2019-10-14,71.22
2019-10-15,70.12
2019-10-16,69.79
2019-10-17,70.72
2019-10-18,70.29
2019-10-21,70.07
2019-10-22,72.13
2019-10-23,72.41
2019-10-24,71.91
2019-10-25,69.68
2019-10-28,71.0
2019-10-29,69.54
2019-10-30,69.71
2019-10-31,70.25
2019-11-01,70.46
2019-11-04,71.43
2019-11-05,71.65
2019-11-06,72.07
2019-11-07,72.49
2019-11-08,74.14
2019-11-11,70.38
2019-11-12,69.13
2019-11-13,72.63
2019-11-14,72.27
2019-11-18,71.96
2019-11-19,72.24
2019-11-20,72.31
2019-11-21,72.68
2020-01-09,68.53
2020-01-10,68.2
2020-01-13,66.54
2020-01-14,65.71
2020-02-13,68.72
2020-02-14,68.72
2020-02-17,68.72
2020-02-18,70.37
2020-02-19,70.09
2020-02-21,70.19
2020-02-26,70.15
2020-02-27,70.81
