DATE,US_CORN_NET_LONG
2006-08-29,111276.0
2006-09-05,123169.0
2006-09-12,102672.0
2006-09-19,116149.0
2006-09-26,158285.0
2006-10-03,176188.0
2006-10-10,185986.0
2006-10-17,202431.0
2006-10-24,225573.0
2006-10-31,218998.0
2006-11-07,230968.0
2006-11-14,242979.0
2006-11-21,279255.0
2006-11-28,282182.0
2006-12-05,279545.0
2006-12-12,292326.0
2006-12-19,303681.0
2006-12-26,309864.0
2007-01-02,300515.0
2007-01-09,279926.0
2007-01-16,322851.0
2007-01-23,333156.0
2007-01-30,332085.0
2007-02-06,326977.0
2007-02-13,369548.0
2007-02-20,387380.0
2007-02-27,395081.0
2007-03-06,359966.0
2007-03-13,322008.0
2007-03-20,321903.0
2007-03-27,299715.0
2007-04-03,268246.0
2007-04-10,274517.0
2007-04-17,262183.0
2007-04-24,239706.0
2007-05-01,250824.0
2007-05-08,242424.0
2007-05-15,238025.0
2007-05-22,225667.0
2007-05-29,212795.0
2007-06-05,249199.0
2007-06-12,252090.0
2007-06-19,267392.0
2007-06-26,225925.0
2007-07-03,185478.0
2007-07-10,194846.0
2007-07-17,169900.0
2007-07-24,167939.0
2007-07-31,176285.0
2007-08-07,176719.0
2007-08-14,184956.0
2007-08-21,183037.0
2007-08-28,187764.0
2007-09-04,169436.0
2007-09-11,174597.0
2007-09-18,189602.0
2007-09-25,206644.0
2007-10-02,185942.0
2007-10-09,159289.0
2007-10-16,166008.0
2007-10-23,164953.0
2007-10-30,189380.0
2007-11-06,226050.0
2007-11-13,232533.0
2007-11-20,234569.0
2007-11-27,235050.0
2007-12-04,258156.0
2007-12-11,276750.0
2007-12-18,310952.0
2007-12-25,323612.0
2008-01-01,329547.0
2008-01-08,338225.0
2008-01-15,349589.0
2008-01-22,334678.0
2008-01-29,331424.0
2008-02-05,342906.0
2008-02-12,356258.0
2008-02-19,372611.0
2008-02-26,379263.0
2008-03-04,376392.0
2008-03-11,358275.0
2008-03-18,326427.0
2008-03-25,294978.0
2008-04-01,290868.0
2008-04-08,326359.0
2008-04-15,335084.0
2008-04-22,336417.0
2008-04-29,312483.0
2008-05-06,333062.0
2008-05-13,350661.0
2008-05-20,360121.0
2008-05-27,352320.0
2008-06-03,344150.0
2008-06-10,358826.0
2008-06-17,330215.0
2008-06-24,339729.0
2008-07-01,328947.0
2008-07-08,312046.0
2008-07-15,279236.0
2008-07-22,246068.0
2008-07-29,258693.0
2008-08-05,226148.0
2008-08-12,193914.0
2008-08-19,199335.0
2008-08-26,193161.0
2008-09-02,188507.0
2008-09-09,180130.0
2008-09-16,176286.0
2008-09-23,188921.0
2008-09-30,168690.0
2008-10-07,134383.0
2008-10-14,120972.0
2008-10-21,106695.0
2008-10-28,87019.0
2008-11-04,93013.0
2008-11-11,53961.0
2008-11-18,49236.0
2008-11-25,35348.0
2008-12-02,21015.0
2008-12-09,28491.0
2008-12-16,44886.0
2008-12-23,44259.0
2008-12-30,45625.0
2009-01-06,50464.0
2009-01-13,41742.0
2009-01-20,47347.0
2009-01-27,38794.0
2009-02-03,15796.0
2009-02-10,22431.0
2009-02-17,1080.0
2009-02-24,4953.0
2009-03-03,15375.0
2009-03-10,48641.0
2009-03-17,88197.0
2009-03-24,96926.0
2009-03-31,99716.0
2009-04-07,107985.0
2009-04-14,103059.0
2009-04-21,65283.0
2009-04-28,49798.0
2009-05-05,94549.0
2009-05-12,150880.0
2009-05-19,170008.0
2009-05-26,194180.0
2009-06-02,206706.0
2009-06-09,210367.0
2009-06-16,173515.0
2009-06-23,127533.0
2009-06-30,113050.0
2009-07-07,85508.0
2009-07-14,66256.0
2009-07-21,34383.0
2009-07-28,41323.0
2009-08-04,65103.0
2009-08-11,71585.0
2009-08-18,53430.0
2009-08-25,31188.0
2009-09-01,22075.0
2009-09-08,11426.0
2009-09-15,44363.0
2009-09-22,43145.0
2009-09-29,69069.0
2009-10-06,96263.0
2009-10-13,136959.0
2009-10-20,157700.0
2009-10-27,160870.0
2009-11-03,171606.0
2009-11-10,174572.0
2009-11-17,192697.0
2009-11-24,198438.0
2009-12-01,229956.0
2009-12-08,194766.0
2009-12-15,212961.0
2009-12-22,214842.0
2009-12-29,236788.0
2010-01-05,263980.0
2010-01-12,273133.0
2010-01-19,181776.0
2010-01-26,143112.0
2010-02-02,130339.0
2010-02-09,87475.0
2010-02-16,89036.0
2010-02-23,89997.0
2010-03-02,113591.0
2010-03-09,110261.0
2010-03-16,87268.0
2010-03-23,67034.0
2010-03-30,36157.0
2010-04-06,18135.0
2010-04-13,17626.0
2010-04-20,47368.0
2010-04-27,38320.0
2010-05-04,97077.0
2010-05-11,116732.0
2010-05-18,110881.0
2010-05-25,122848.0
2010-06-01,123874.0
2010-06-08,80949.0
2010-06-15,76748.0
2010-06-22,94997.0
2010-06-29,9828.0
2010-07-06,73317.0
2010-07-13,150573.0
2010-07-20,195373.0
2010-07-27,190832.0
2010-08-03,259651.0
2010-08-10,310466.0
2010-08-17,347235.0
2010-08-24,357975.0
2010-08-31,404371.0
2010-09-07,432697.0
2010-09-14,444089.0
2010-09-21,465714.0
2010-09-28,469153.0
2010-10-05,444135.0
2010-10-12,432737.0
2010-10-19,431415.0
2010-10-26,430663.0
2010-11-02,433458.0
2010-11-09,435608.0
2010-11-16,409053.0
2010-11-23,392293.0
2010-11-30,414746.0
2010-12-07,421588.0
2010-12-14,441627.0
2010-12-21,462763.0
2010-12-28,480435.0
2011-01-04,456470.0
2011-01-11,460951.0
2011-01-18,479719.0
2011-01-25,481920.0
2011-02-01,498177.0
2011-02-08,492733.0
2011-02-15,483324.0
2011-02-22,482780.0
2011-03-01,478697.0
2011-03-08,457889.0
2011-03-15,419303.0
2011-03-22,389600.0
2011-03-29,388331.0
2011-04-05,418614.0
2011-04-12,449573.0
2011-04-19,458728.0
2011-04-26,473067.0
2011-05-03,446451.0
2011-05-10,421665.0
2011-05-17,415544.0
2011-05-24,439459.0
2011-05-31,463518.0
2011-06-07,458132.0
2011-06-14,460200.0
2011-06-21,404519.0
2011-06-28,321415.0
2011-07-05,292165.0
2011-07-12,306950.0
2011-07-19,329436.0
2011-07-26,330006.0
2011-08-02,353211.0
2011-08-09,361375.0
2011-08-16,373367.0
2011-08-23,369030.0
2011-08-30,384169.0
2011-09-06,392323.0
2011-09-13,369225.0
2011-09-20,351278.0
2011-09-27,308792.0
2011-10-04,271670.0
2011-10-11,235319.0
2011-10-18,241663.0
2011-10-25,264833.0
2011-11-01,269273.0
2011-11-08,272574.0
2011-11-15,262196.0
2011-11-22,227780.0
2011-11-29,164308.0
2011-12-06,146058.0
2011-12-13,141958.0
2011-12-20,134277.0
2011-12-27,154807.0
2012-01-03,190729.0
2012-01-10,223418.0
2012-01-17,198928.0
2012-01-24,179454.0
2012-01-31,212164.0
2012-02-07,228588.0
2012-02-14,225841.0
2012-02-21,213645.0
2012-02-28,249104.0
2012-03-06,282892.0
2012-03-13,287427.0
2012-03-20,311712.0
2012-03-27,269133.0
2012-04-03,245866.0
2012-04-10,239269.0
2012-04-17,210431.0
2012-04-24,147074.0
2012-05-01,151948.0
2012-05-08,158572.0
2012-05-15,125314.0
2012-05-22,146691.0
2012-05-29,106651.0
2012-06-05,93566.0
2012-06-12,94728.0
2012-06-19,105364.0
2012-06-26,127481.0
2012-07-03,182581.0
2012-07-10,194885.0
2012-07-17,219238.0
2012-07-24,264975.0
2012-07-31,281378.0
2012-08-07,291313.0
2012-08-14,316097.0
2012-08-21,343662.0
2012-08-28,337470.0
2012-09-04,348103.0
2012-09-11,331945.0
2012-09-18,326887.0
2012-09-25,317033.0
2012-10-02,318539.0
2012-10-09,316866.0
2012-10-16,327053.0
2012-10-23,333659.0
2012-10-30,308631.0
2012-11-06,304808.0
2012-11-13,276159.0
2012-11-20,314009.0
2012-11-27,330386.0
2012-12-04,359273.0
2012-12-11,322610.0
2012-12-18,284367.0
2012-12-25,243652.0
2013-01-01,234846.0
2013-01-08,220860.0
2013-01-15,228663.0
2013-01-22,232197.0
2013-01-29,243595.0
2013-02-05,254692.0
2013-02-12,217236.0
2013-02-19,179514.0
2013-02-26,138633.0
2013-03-05,159774.0
2013-03-12,177632.0
2013-03-19,230241.0
2013-03-26,273498.0
2013-04-02,200296.0
2013-04-09,148685.0
2013-04-16,144581.0
2013-04-23,117960.0
2013-04-30,126311.0
2013-05-07,132426.0
2013-05-14,142273.0
2013-05-21,123110.0
2013-05-28,152499.0
2013-06-04,135822.0
2013-06-11,132700.0
2013-06-18,115587.0
2013-06-25,108518.0
2013-07-02,32274.0
2013-07-09,-3446.0
2013-07-16,3387.0
2013-07-23,-29910.0
2013-07-30,-58425.0
2013-08-06,-56898.0
2013-08-13,-58882.0
2013-08-20,-41926.0
2013-08-27,-31773.0
2013-09-03,-38268.0
2013-09-10,-43720.0
2013-09-17,-74806.0
2013-09-24,-102276.0
2013-10-01,-115220.0
2013-10-08,-124101.0
2013-10-15,-129060.0
2013-10-22,-125795.0
2013-10-29,-135254.0
2013-11-05,-118338.0
2013-11-12,-71134.0
2013-11-19,-70499.0
2013-11-26,-110067.0
2013-12-03,-99422.0
2013-12-10,-80559.0
2013-12-17,-84761.0
2013-12-24,-77043.0
2013-12-31,-92875.0
2014-01-07,-93965.0
2014-01-14,-66214.0
2014-01-21,-65191.0
2014-01-28,-55582.0
2014-02-04,-1293.0
2014-02-11,35411.0
2014-02-18,53504.0
2014-02-25,126170.0
2014-03-04,198580.0
2014-03-11,234904.0
2014-03-18,242351.0
2014-03-25,258627.0
2014-04-01,308663.0
2014-04-08,318262.0
2014-04-15,307818.0
2014-04-22,290147.0
2014-04-29,322349.0
2014-05-06,325270.0
2014-05-13,312281.0
2014-05-20,254995.0
2014-05-27,221308.0
2014-06-03,217891.0
2014-06-10,184754.0
2014-06-17,174902.0
2014-06-24,137617.0
2014-07-01,120481.0
2014-07-08,123692.0
2014-07-15,103722.0
2014-07-22,86384.0
2014-07-29,65780.0
2014-08-05,77105.0
2014-08-12,70630.0
2014-08-19,78957.0
2014-08-26,67309.0
2014-09-02,78727.0
2014-09-09,70256.0
2014-09-16,81751.0
2014-09-23,85712.0
2014-09-30,96894.0
2014-10-07,86513.0
2014-10-14,103767.0
2014-10-21,126320.0
2014-10-28,155340.0
2014-11-04,187627.0
2014-11-11,210392.0
2014-11-18,222528.0
2014-11-25,245099.0
2014-12-02,240139.0
2014-12-09,265612.0
2014-12-16,268323.0
2014-12-23,271181.0
2014-12-30,286756.0
2015-01-06,270450.0
2015-01-13,243763.0
2015-01-20,230079.0
2015-01-27,216056.0
2015-02-03,175832.0
2015-02-10,166072.0
2015-02-17,150079.0
2015-02-24,163811.0
2015-03-03,147750.0
2015-03-10,128977.0
2015-03-17,62880.0
2015-03-24,96386.0
2015-03-31,104374.0
2015-04-07,89895.0
2015-04-14,46025.0
2015-04-21,27313.0
2015-04-28,375.0
2015-05-05,-30432.0
2015-05-12,-31152.0
2015-05-19,-53038.0
2015-05-26,-54449.0
2015-06-02,-63947.0
2015-06-09,-25240.0
2015-06-16,-65378.0
2015-06-23,-46313.0
2015-06-30,110569.0
2015-07-07,208700.0
2015-07-14,258230.0
2015-07-21,323494.0
2015-07-28,305681.0
2015-08-04,241632.0
2015-08-11,197260.0
2015-08-18,160711.0
2015-08-25,151460.0
2015-09-01,148217.0
2015-09-08,105207.0
2015-09-15,129964.0
2015-09-22,129671.0
2015-09-29,133616.0
2015-10-06,177337.0
2015-10-13,146480.0
2015-10-20,100184.0
2015-10-27,104254.0
2015-11-03,101068.0
2015-11-10,45043.0
2015-11-17,18650.0
2015-11-24,-20047.0
2015-12-01,971.0
2015-12-08,21221.0
2015-12-15,47047.0
2015-12-22,11337.0
2015-12-29,-39574.0
2016-01-05,-61762.0
2016-01-12,-83309.0
2016-01-19,-57805.0
2016-01-26,678.0
2016-02-02,25730.0
2016-02-09,-14999.0
2016-02-16,-40944.0
2016-02-23,-24800.0
2016-03-01,-76825.0
2016-03-08,-100176.0
2016-03-15,-74233.0
2016-03-22,-43300.0
2016-03-29,-1718.0
2016-04-05,-85542.0
2016-04-12,-55454.0
2016-04-19,64963.0
2016-04-26,168314.0
2016-05-03,164314.0
2016-05-10,128002.0
2016-05-17,145372.0
2016-05-24,183168.0
2016-05-31,248848.0
2016-06-07,327515.0
2016-06-14,362525.0
2016-06-21,328885.0
2016-06-28,289115.0
2016-07-05,217037.0
2016-07-12,148765.0
2016-07-19,130624.0
2016-07-26,72060.0
2016-08-02,39216.0
2016-08-09,5412.0
2016-08-16,-3926.0
2016-08-23,2199.0
2016-08-30,-46272.0
2016-09-06,-61230.0
2016-09-13,-36671.0
2016-09-20,-35026.0
2016-09-27,-46070.0
2016-10-04,-25104.0
2016-10-11,-636.0
2016-10-18,52533.0
2016-10-25,62012.0
2016-11-01,77970.0
2016-11-08,113435.0
2016-11-15,57298.0
2016-11-22,83335.0
2016-11-29,79956.0
2016-12-06,71613.0
2016-12-13,71299.0
2016-12-20,46021.0
2016-12-27,9854.0
2017-01-03,26024.0
2017-01-10,43021.0
2017-01-17,66801.0
2017-01-24,106737.0
2017-01-31,97023.0
2017-02-07,117182.0
2017-02-14,170416.0
2017-02-21,172938.0
2017-02-28,194447.0
2017-03-07,198890.0
2017-03-14,112805.0
2017-03-21,63649.0
2017-03-28,-22752.0
2017-04-04,-14541.0
2017-04-11,-25764.0
2017-04-18,-36742.0
2017-04-25,-83268.0
2017-05-02,-76717.0
2017-05-09,-99807.0
2017-05-16,-97301.0
2017-05-23,-66670.0
2017-05-30,-99501.0
2017-06-06,-32459.0
2017-06-13,85258.0
2017-06-20,41900.0
2017-06-27,-31008.0
2017-07-04,43480.0
2017-07-11,175745.0
2017-07-18,177147.0
2017-07-25,172065.0
2017-08-01,148195.0
2017-08-08,137764.0
2017-08-15,103259.0
2017-08-22,70508.0
2017-08-29,2376.0
2017-09-05,-14000.0
2017-09-12,-24614.0
2017-09-19,-38025.0
2017-09-26,-32927.0
2017-10-03,-47103.0
2017-10-10,-61660.0
2017-10-17,-64177.0
2017-10-24,-70556.0
2017-10-31,-91759.0
2017-11-07,-87000.0
2017-11-14,-125113.0
2017-11-21,-92637.0
2017-11-28,-91852.0
2017-12-05,-53708.0
2017-12-12,-75849.0
2017-12-19,-92972.0
2017-12-26,-74657.0
2018-01-02,-69731.0
2018-01-09,-86714.0
2018-01-16,-92247.0
2018-01-23,-77025.0
2018-01-30,13754.0
2018-02-06,48070.0
2018-02-13,133972.0
2018-02-20,165932.0
2018-02-27,214492.0
2018-03-06,320384.0
2018-03-13,415450.0
2018-03-20,378601.0
2018-03-27,301735.0
2018-04-03,367317.0
2018-04-10,382304.0
2018-04-17,340060.0
2018-04-24,333416.0
2018-05-01,393707.0
2018-05-08,412153.0
2018-05-15,394310.0
2018-05-22,400338.0
2018-05-29,392609.0
2018-06-05,330039.0
2018-06-12,286650.0
2018-06-19,264922.0
2018-06-26,181349.0
2018-07-03,148352.0
2018-07-10,109320.0
2018-07-17,90805.0
2018-07-24,71375.0
2018-07-31,110573.0
2018-08-07,121315.0
2018-08-14,122706.0
2018-08-21,133944.0
2018-08-28,65370.0
2018-09-04,71885.0
2018-09-11,69208.0
2018-09-18,-14515.0
2018-09-25,9497.0
2018-10-02,56165.0
2018-10-09,65935.0
2018-10-16,109611.0
2018-10-23,123280.0
2018-10-30,122464.0
2018-11-06,130340.0
2018-11-13,116992.0
2018-11-20,99095.0
2018-11-27,42022.0
2018-12-04,123729.0
2018-12-11,171710.0
2018-12-18,203128.0
2018-12-25,183789.0
2019-01-01,159953.0
2019-01-08,174337.0
2019-01-15,134858.0
2019-01-22,148002.0
2019-01-29,114872.0
2019-02-05,128217.0
2019-02-12,98302.0
2019-02-19,35832.0
2019-02-26,14943.0
2019-03-05,-46317.0
2019-03-12,-102317.0
2019-03-19,-100695.0
2019-03-26,-61848.0
2019-04-02,-105111.0
2019-04-09,-129238.0
2019-04-16,-154491.0
2019-04-23,-173142.0
2019-04-30,-208292.0
2019-05-07,-191048.0
2019-05-14,-183889.0
2019-05-21,3245.0
2019-05-28,109994.0
2019-06-04,224015.0
2019-06-11,239375.0
2019-06-18,270346.0
2019-06-25,307201.0
2019-07-02,300799.0
2019-07-09,303206.0
2019-07-16,318221.0
2019-07-23,287036.0
2019-07-30,241659.0
2019-08-06,221620.0
2019-08-13,161639.0
2019-08-20,94084.0
2019-08-27,38944.0
2019-09-03,21012.0
2019-09-10,-7478.0
2019-09-17,-38740.0
2019-09-24,-41921.0
2019-10-01,-14006.0
2019-10-08,-4262.0
2019-10-15,-4247.0
2019-10-22,-11379.0
2019-10-29,-8053.0
2019-11-05,-25987.0
2019-11-12,-31986.0
2019-11-19,-26494.0
2019-11-26,-37462.0
2019-12-03,-1936.0
2019-12-10,-17821.0
2019-12-17,2668.0
2019-12-24,26634.0
2019-12-31,36249.0
2020-01-07,40231.0
2020-01-14,35915.0
2020-01-21,48023.0
2020-01-28,73420.0
2020-02-04,52619.0
2020-02-11,38221.0
2020-02-18,43773.0
2020-02-25,-7132.0
2020-03-03,5565.0
2020-03-10,14852.0
2020-03-17,-18310.0
2020-03-24,-33526.0
2020-03-31,-38936.0
2020-04-07,-55775.0
2020-04-14,-73294.0
2020-04-21,-98477.0
2020-04-28,-118448.0
2020-05-05,-153090.0
2020-05-12,-177571.0
2020-05-19,-199046.0
2020-05-26,-220075.0
2020-06-02,-219438.0
2020-06-09,-235013.0
2020-06-16,-214658.0
2020-06-23,-221976.0
2020-06-30,-157444.0
2020-07-07,-107239.0
2020-07-14,-99689.0
2020-07-21,-98854.0
2020-07-28,-102419.0
2020-08-04,-148441.0
2020-08-11,-149902.0
2020-08-18,-77166.0
2020-08-25,-17387.0
2020-09-01,61251.0
2020-09-08,83689.0
2020-09-15,111834.0
2020-09-22,156894.0
2020-09-29,181892.0
2020-10-06,225674.0
2020-10-13,259987.0
2020-10-20,329908.0
2020-10-27,411013.0
2020-11-03,406203.0
2020-11-10,422659.0
2020-11-17,411500.0
2020-11-24,451339.0
2020-12-01,434952.0
2020-12-08,434765.0
2020-12-15,414234.0
2020-12-22,436455.0
2020-12-29,510548.0
2021-01-05,521097.0
2021-01-12,542123.0
2021-01-19,528651.0
2021-01-26,547677.0
2021-02-02,528514.0
2021-02-09,522432.0
2021-02-16,514459.0
2021-02-23,529834.0
2021-03-02,503765.0
2021-03-09,503398.0
2021-03-16,509084.0
2021-03-23,538700.0
2021-03-30,535345.0
2021-04-06,536152.0
2021-04-13,543286.0
2021-04-20,522745.0
2021-04-27,521563.0
2021-05-04,536146.0
2021-05-11,500856.0
2021-05-18,459478.0
2021-05-25,428426.0
2021-06-01,452376.0
2021-06-08,428428.0
2021-06-15,401376.0
2021-06-22,388411.0
2021-06-29,352967.0
2021-07-06,326814.0
2021-07-13,312979.0
2021-07-20,311529.0
2021-07-27,306677.0
2021-08-03,318043.0
2021-08-10,321559.0
2021-08-17,345846.0
2021-08-24,330967.0
2021-08-31,304172.0
2021-09-07,267777.0
2021-09-14,258634.0
2021-09-21,265501.0
2021-09-28,278546.0
2021-10-05,297005.0
2021-10-12,279288.0
2021-10-19,277029.0
2021-10-26,307810.0
2021-11-02,383109.0
2021-11-09,375298.0
2021-11-16,399186.0
2021-11-23,417089.0
2021-11-30,394912.0
2021-12-07,410814.0
2021-12-14,426621.0
2021-12-21,445320.0
2021-12-28,458176.0
2022-01-04,445481.0
2022-01-11,407492.0
2022-01-18,388138.0
2022-01-25,439098.0
2022-02-01,455220.0
2022-02-08,419602.0
2022-02-15,414492.0
2022-02-22,451742.0
2022-03-01,460938.0
2022-03-08,498033.0
2022-03-15,507206.0
2022-03-22,519356.0
2022-03-29,482092.0
2022-04-05,487073.0
2022-04-12,495581.0
2022-04-19,500612.0
2022-04-26,497625.0
2022-05-03,501865.0
2022-05-10,470908.0
2022-05-17,473743.0
2022-05-24,427848.0
2022-05-31,404200.0
2022-06-07,391264.0
2022-06-14,399775.0
2022-06-21,380169.0
2022-06-28,328102.0
2022-07-05,260705.0
2022-07-12,247156.0
2022-07-19,209940.0
2022-07-26,186528.0
2022-08-02,201355.0
2022-08-09,210786.0
2022-08-16,220129.0
2022-08-23,263243.0
2022-08-30,283397.0
2022-09-06,286547.0
2022-09-13,294569.0
2022-09-20,305677.0
2022-09-27,296622.0
2022-10-04,304962.0
2022-10-11,325121.0
2022-10-18,312419.0
2022-10-25,329784.0
2022-11-01,340788.0
2022-11-08,301554.0
2022-11-15,252908.0
2022-11-22,248765.0
2022-11-29,270242.0
2022-12-06,198375.0
2022-12-13,212230.0
2022-12-20,199980.0
2022-12-27,235133.0
2023-01-03,267532.0
2023-01-10,233795.0
2023-01-17,271873.0
2023-01-24,277369.0
2023-01-31,296812.0
2023-02-07,282350.0
2023-02-14,304712.0
2023-02-21,283023.0
2023-02-28,143131.0
2023-03-07,103272.0
2023-03-14,43777.0
2023-03-21,59476.0
2023-03-28,71528.0
2023-04-04,85690.0
2023-04-11,103309.0
2023-04-18,105636.0
2023-04-25,24648.0
2023-05-02,-60633.0
2023-05-09,-59093.0
2023-05-16,-48459.0
2023-05-23,-62267.0
2023-05-30,-20407.0
2023-06-06,-14771.0
2023-06-13,45092.0
2023-06-20,118773.0
2023-06-27,113438.0
2023-07-04,46403.0
2023-07-11,7811.0
2023-07-18,19870.0
2023-07-25,70476.0
2023-08-01,80074.0
2023-08-08,25727.0
2023-08-15,-26966.0
2023-08-22,-51550.0
2023-08-29,-35813.0
2023-09-05,-45632.0
2023-09-12,-87988.0
2023-09-19,-101233.0
2023-09-26,-118540.0
2023-10-03,-107544.0
2023-10-10,-64784.0
2023-10-17,-62554.0
2023-10-24,-48280.0
2023-10-31,-87696.0
2023-11-07,-106041.0
2023-11-14,-109200.0
