DATE,BR_SOY_BEGINNING_INVENTORY
2022-07-31,161.37
2022-08-31,107.5
2022-09-30,44.36
2022-10-31,152.16
2022-11-30,105.64
2022-12-31,89.02
2023-01-31,34.65
2023-02-28,310.29
2023-03-31,837.9
2023-04-30,414.3
2023-05-31,479.78
2023-06-30,472.44
2023-07-31,249.28
2023-08-31,218.11
2023-09-30,187.58
2023-10-31,278.71
2023-11-30,361.57
2023-12-31,181.33
2024-01-31,260.26
2024-02-29,599.74
2024-03-31,257.84
2024-04-30,184.82
2024-05-31,297.25
2024-06-30,415.83
2024-07-31,317.54
2024-08-31,259.34
2024-09-30,333.19
2024-10-31,373.04
2024-11-30,251.33
2024-12-31,134.75
2025-01-31,122.96
