DATE,GLOBAL_RICE_PRICE
2005-03-03,6.42
2005-03-04,6.46
2005-03-07,6.5
2005-03-08,6.85
2005-03-09,6.8
2005-03-10,6.85
2005-03-11,6.97
2005-03-14,6.93
2005-03-15,7.02
2005-03-16,6.92
2005-03-17,6.92
2005-03-18,6.84
2005-03-21,6.84
2005-03-22,7.085
2005-03-23,7.18
2005-03-24,7.21
2005-03-28,7.165
2005-03-29,7.12
2005-03-30,7.045
2005-03-31,7.07
2005-04-01,6.995
2005-04-04,6.8950000000000005
2005-04-05,6.875
2005-04-06,6.965
2005-04-07,7.04
2005-04-08,7.15
2005-04-11,7.415
2005-04-12,7.35
2005-04-13,7.24
2005-04-14,7.35
2005-04-15,7.38
2005-04-18,7.285
2005-04-19,7.31
2005-04-20,7.39
2005-04-21,7.45
2005-04-22,7.395
2005-04-25,7.21
2005-04-26,7.3
2005-04-27,7.2
2005-04-28,7.21
2005-04-29,7.42
2005-05-02,7.38
2005-05-03,7.6
2005-05-04,7.65
2005-05-05,7.74
2005-05-06,7.7
2005-05-09,7.63
2005-05-10,7.6
2005-05-11,7.54
2005-05-12,7.62
2005-05-13,7.6
2005-05-16,7.6
2005-05-17,7.35
2005-05-18,7.3
2005-05-19,7.24
2005-05-20,7.465
2005-05-23,7.51
2005-05-24,7.445
2005-05-25,7.47
2005-05-26,7.455
2005-05-27,7.43
2005-05-31,7.34
2005-06-01,7.44
2005-06-02,7.475
2005-06-03,7.525
2005-06-06,7.375
2005-06-07,7.2
2005-06-08,7.2
2005-06-09,7.275
2005-06-10,7.22
2005-06-13,7.14
2005-06-14,7.06
2005-06-15,7.02
2005-06-16,7.09
2005-06-17,7.1
2005-06-20,7.02
2005-06-21,6.875
2005-06-22,6.745
2005-06-23,6.75
2005-06-24,6.81
2005-06-27,6.57
2005-06-28,6.51
2005-06-29,6.39
2005-06-30,6.4
2005-07-01,6.33
2005-07-05,6.32
2005-07-06,6.26
2005-07-07,6.18
2005-07-08,6.22
2005-07-11,6.29
2005-07-12,6.35
2005-07-13,6.28
2005-07-14,6.26
2005-07-15,6.46
2005-07-18,6.38
2005-07-19,6.35
2005-07-20,6.28
2005-07-21,6.63
2005-07-22,6.62
2005-07-25,6.78
2005-07-26,6.8
2005-07-27,6.745
2005-07-28,6.78
2005-07-29,6.73
2005-08-01,6.59
2005-08-02,6.495
2005-08-03,6.69
2005-08-04,6.88
2005-08-05,6.8
2005-08-08,6.86
2005-08-09,6.92
2005-08-10,6.875
2005-08-11,6.81
2005-08-12,6.66
2005-08-15,6.69
2005-08-16,6.78
2005-08-17,6.81
2005-08-18,6.76
2005-08-19,6.68
2005-08-22,6.75
2005-08-23,6.92
2005-08-24,7.0
2005-08-25,6.825
2005-08-26,6.87
2005-08-29,6.85
2005-08-30,6.77
2005-08-31,6.74
2005-09-01,6.8
2005-09-02,6.67
2005-09-06,6.72
2005-09-07,6.6
2005-09-08,6.505
2005-09-09,6.52
2005-09-12,6.38
2005-09-13,6.46
2005-09-14,6.55
2005-09-15,6.555
2005-09-16,6.57
2005-09-19,6.54
2005-09-20,6.565
2005-09-21,6.735
2005-09-22,7.08
2005-09-23,7.015
2005-09-26,7.04
2005-09-27,7.105
2005-09-28,7.31
2005-09-29,7.345
2005-09-30,7.26
2005-10-03,7.28
2005-10-04,7.335
2005-10-05,7.35
2005-10-06,7.38
2005-10-07,7.435
2005-10-10,7.3
2005-10-11,7.27
2005-10-12,7.395
2005-10-13,7.45
2005-10-14,7.335
2005-10-17,7.42
2005-10-18,7.255
2005-10-19,7.35
2005-10-20,7.31
2005-10-21,7.27
2005-10-24,7.18
2005-10-25,7.24
2005-10-26,7.06
2005-10-27,7.14
2005-10-28,7.1
2005-10-31,7.12
2005-11-01,7.29
2005-11-02,7.37
2005-11-03,7.45
2005-11-04,7.52
2005-11-07,7.5
2005-11-08,7.49
2005-11-09,7.32
2005-11-10,7.47
2005-11-11,7.47
2005-11-14,7.43
2005-11-15,7.33
2005-11-16,7.25
2005-11-17,7.33
2005-11-18,7.3
2005-11-21,7.44
2005-11-22,7.49
2005-11-23,7.58
2005-11-24,7.58
2005-11-25,7.665
2005-11-28,7.64
2005-11-29,7.585
2005-11-30,7.535
2005-12-01,7.46
2005-12-02,7.4
2005-12-05,7.675
2005-12-06,7.725
2005-12-07,7.68
2005-12-08,7.7
2005-12-09,7.84
2005-12-12,7.855
2005-12-13,7.82
2005-12-14,7.695
2005-12-15,7.75
2005-12-16,7.84
2005-12-19,7.86
2005-12-20,7.86
2005-12-21,7.79
2005-12-22,7.78
2005-12-23,7.83
2005-12-27,7.9
2005-12-28,7.99
2005-12-29,7.92
2005-12-30,7.935
2006-01-03,8.05
2006-01-04,8.05
2006-01-05,8.04
2006-01-06,8.15
2006-01-09,8.12
2006-01-10,8.26
2006-01-11,8.23
2006-01-12,8.25
2006-01-13,8.25
2006-01-17,8.25
2006-01-18,8.04
2006-01-19,8.15
2006-01-20,8.15
2006-01-23,8.44
2006-01-24,8.465
2006-01-25,8.475
2006-01-26,8.33
2006-01-27,8.375
2006-01-30,8.575
2006-01-31,8.495
2006-02-01,8.4
2006-02-02,8.585
2006-02-03,8.65
2006-02-06,8.64
2006-02-07,8.525
2006-02-08,8.56
2006-02-09,8.42
2006-02-10,8.37
2006-02-13,8.285
2006-02-14,8.28
2006-02-15,8.32
2006-02-16,8.26
2006-02-17,8.22
2006-02-21,8.08
2006-02-22,8.11
2006-02-23,8.19
2006-02-24,8.28
2006-02-27,8.24
2006-02-28,8.22
2006-03-01,8.09
2006-03-02,8.2
2006-03-03,8.29
2006-03-06,8.29
2006-03-07,8.39
2006-03-08,8.29
2006-03-09,8.42
2006-03-10,8.48
2006-03-13,8.475
2006-03-14,8.29
2006-03-15,8.27
2006-03-16,8.18
2006-03-17,8.06
2006-03-20,7.88
2006-03-21,8.02
2006-03-22,8.02
2006-03-23,8.37
2006-03-24,8.475
2006-03-27,8.4
2006-03-28,8.325
2006-03-29,8.315
2006-03-30,8.36
2006-03-31,8.56
2006-04-03,8.47
2006-04-04,8.4
2006-04-05,8.47
2006-04-06,8.495
2006-04-07,8.42
2006-04-10,8.34
2006-04-11,8.36
2006-04-12,8.32
2006-04-13,8.33
2006-04-17,8.4
2006-04-18,8.3
2006-04-19,8.335
2006-04-20,8.34
2006-04-21,8.31
2006-04-24,8.31
2006-04-25,8.24
2006-04-26,8.175
2006-04-27,8.14
2006-04-28,8.22
2006-05-01,8.29
2006-05-02,8.23
2006-05-03,8.23
2006-05-04,8.23
2006-05-05,8.25
2006-05-08,8.15
2006-05-09,8.25
2006-05-10,8.33
2006-05-11,8.37
2006-05-12,8.48
2006-05-15,8.65
2006-05-16,8.61
2006-05-17,8.67
2006-05-18,8.66
2006-05-19,8.61
2006-05-22,9.0
2006-05-23,9.215
2006-05-24,9.145
2006-05-25,9.22
2006-05-26,9.195
2006-05-30,9.275
2006-05-31,9.12
2006-06-01,8.915
2006-06-02,9.14
2006-06-05,9.07
2006-06-06,9.035
2006-06-07,9.1
2006-06-08,9.1
2006-06-09,8.99
2006-06-12,9.05
2006-06-13,8.835
2006-06-14,8.625
2006-06-15,8.66
2006-06-16,8.85
2006-06-19,8.94
2006-06-20,9.14
2006-06-21,9.09
2006-06-22,8.96
2006-06-23,9.005
2006-06-26,8.9
2006-06-27,8.73
2006-06-28,8.765
2006-06-29,8.84
2006-06-30,9.2
2006-07-03,9.33
2006-07-05,9.18
2006-07-06,9.23
2006-07-07,9.25
2006-07-10,9.25
2006-07-11,9.26
2006-07-12,9.26
2006-07-13,9.18
2006-07-14,9.35
2006-07-17,9.3
2006-07-18,9.26
2006-07-19,9.3
2006-07-20,9.25
2006-07-21,9.45
2006-07-24,9.415
2006-07-25,9.38
2006-07-26,9.165
2006-07-27,9.195
2006-07-28,9.18
2006-07-31,9.21
2006-08-01,9.17
2006-08-02,9.205
2006-08-03,9.18
2006-08-04,9.165
2006-08-07,9.11
2006-08-08,9.25
2006-08-09,9.71
2006-08-10,9.615
2006-08-11,9.615
2006-08-14,9.7
2006-08-15,9.87
2006-08-16,9.86
2006-08-17,9.72
2006-08-18,9.83
2006-08-21,9.55
2006-08-22,9.05
2006-08-23,9.15
2006-08-24,8.97
2006-08-25,8.99
2006-08-28,9.025
2006-08-29,8.93
2006-08-30,8.47
2006-08-31,8.49
2006-09-01,8.73
2006-09-05,8.75
2006-09-06,8.75
2006-09-07,8.64
2006-09-08,8.69
2006-09-11,8.845
2006-09-12,8.9
2006-09-13,9.14
2006-09-14,9.15
2006-09-15,9.26
2006-09-18,9.29
2006-09-19,9.485
2006-09-20,9.425
2006-09-21,9.58
2006-09-22,9.53
2006-09-25,9.56
2006-09-26,9.665
2006-09-27,9.77
2006-09-28,9.665
2006-09-29,9.665
2006-10-02,9.645
2006-10-03,9.7
2006-10-04,9.755
2006-10-05,9.73
2006-10-06,9.67
2006-10-09,9.85
2006-10-10,9.71
2006-10-11,9.82
2006-10-12,9.81
2006-10-13,9.73
2006-10-16,9.49
2006-10-17,9.53
2006-10-18,9.63
2006-10-19,9.58
2006-10-20,9.63
2006-10-23,9.56
2006-10-24,9.34
2006-10-25,9.38
2006-10-26,9.41
2006-10-27,9.4
2006-10-30,9.305
2006-10-31,9.49
2006-11-01,9.94
2006-11-02,9.83
2006-11-03,9.77
2006-11-06,9.89
2006-11-07,9.89
2006-11-08,9.88
2006-11-09,9.75
2006-11-10,9.75
2006-11-13,9.82
2006-11-14,9.92
2006-11-15,9.9
2006-11-16,9.9
2006-11-17,9.78
2006-11-20,9.82
2006-11-21,9.88
2006-11-22,9.89
2006-11-24,9.87
2006-11-27,9.87
2006-11-28,9.88
2006-11-29,9.88
2006-11-30,9.98
2006-12-01,10.075
2006-12-04,10.04
2006-12-05,9.93
2006-12-06,9.85
2006-12-07,9.91
2006-12-08,9.82
2006-12-11,9.905
2006-12-12,9.82
2006-12-13,9.83
2006-12-14,9.87
2006-12-15,9.885
2006-12-18,9.9
2006-12-19,9.9
2006-12-20,9.96
2006-12-21,9.99
2006-12-22,10.01
2006-12-26,10.11
2006-12-27,10.175
2006-12-28,10.15
2006-12-29,10.13
2007-01-02,10.13
2007-01-03,10.16
2007-01-04,10.18
2007-01-05,10.21
2007-01-08,10.35
2007-01-09,10.39
2007-01-10,10.37
2007-01-11,10.45
2007-01-12,10.52
