DATE,BR_CORN_PRICE
2005-06-13,19.64
2005-06-14,19.56
2005-06-15,19.76
2005-06-16,19.83
2005-06-17,19.7
2005-06-20,19.72
2005-06-21,19.72
2005-06-22,19.76
2005-06-23,19.72
2005-06-24,19.69
2005-06-27,19.73
2005-06-28,19.64
2005-06-29,19.66
2005-06-30,19.7
2005-07-01,19.65
2005-07-04,19.59
2005-07-05,19.57
2005-07-06,19.54
2005-07-07,19.56
2005-07-08,19.57
2005-07-11,19.56
2005-07-12,19.48
2005-07-13,19.5
2005-07-14,19.43
2005-07-15,19.32
2005-07-18,19.37
2005-07-19,19.29
2005-07-20,19.0
2005-07-21,18.94
2005-07-22,18.92
2005-07-25,18.88
2005-07-26,18.86
2005-07-27,18.81
2005-07-28,18.88
2005-07-29,18.83
2005-08-01,18.86
2005-08-02,18.83
2005-08-03,18.71
2005-08-04,18.82
2005-08-05,18.82
2005-08-08,18.76
2005-08-09,18.75
2005-08-10,18.76
2005-08-11,18.71
2005-08-12,18.68
2005-08-15,18.65
2005-08-16,18.57
2005-08-17,18.48
2005-08-18,18.48
2005-08-19,18.47
2005-08-22,18.5
2005-08-23,18.48
2005-08-24,18.54
2005-08-25,18.58
2005-08-26,18.6
2005-08-29,18.59
2005-08-30,18.55
2005-08-31,18.61
2005-09-01,18.58
2005-09-02,18.55
2005-09-05,18.51
2005-09-06,18.53
2005-09-08,18.46
2005-09-09,18.37
2005-09-12,18.33
2005-09-13,18.38
2005-09-14,18.34
2005-09-15,18.35
2005-09-16,18.34
2005-09-19,18.27
2005-09-20,18.38
2005-09-21,18.38
2005-09-22,18.32
2005-09-23,18.34
2005-09-26,18.27
2005-09-27,18.31
2005-09-28,18.26
2005-09-29,18.13
2005-09-30,18.18
2005-10-03,18.09
2005-10-04,18.06
2005-10-05,18.1
2005-10-06,18.1
2005-10-07,18.03
2005-10-10,18.09
2005-10-11,18.04
2005-10-13,18.06
2005-10-14,17.94
2005-10-17,18.01
2005-10-18,17.91
2005-10-19,17.81
2005-10-20,17.65
2005-10-21,17.53
2005-10-24,17.46
2005-10-25,17.45
2005-10-26,17.51
2005-10-27,17.41
2005-10-28,17.3
2005-10-31,16.98
2005-11-01,16.94
2005-11-03,16.79
2005-11-04,16.81
2005-11-07,16.69
2005-11-08,16.82
2005-11-09,16.71
2005-11-10,16.68
2005-11-11,16.48
2005-11-14,16.44
2005-11-16,16.53
2005-11-17,16.53
2005-11-18,16.57
2005-11-21,16.44
2005-11-22,16.41
2005-11-23,16.36
2005-11-24,16.29
2005-11-25,16.21
2005-11-28,16.14
2005-11-29,16.08
2005-11-30,16.02
2005-12-01,16.03
2005-12-02,16.0
2005-12-05,16.12
2005-12-06,16.16
2005-12-07,16.08
2005-12-08,16.3
2005-12-09,16.3
2005-12-12,16.21
2005-12-13,16.26
2005-12-14,16.57
2005-12-15,16.83
2005-12-16,16.74
2005-12-19,17.01
2005-12-20,17.13
2005-12-21,17.16
2005-12-22,17.28
2005-12-23,17.35
2005-12-26,17.35
2005-12-27,17.5
2005-12-28,17.51
2005-12-29,17.55
2006-01-02,17.6
2006-01-03,17.64
2006-01-04,17.71
2006-01-05,17.87
2006-01-06,17.94
2006-01-09,18.03
2006-01-10,18.06
2006-01-11,17.79
2006-01-12,17.65
2006-01-13,17.79
2006-01-16,17.79
2006-01-17,17.62
2006-01-18,17.75
2006-01-19,17.6
2006-01-20,17.5
2006-01-23,17.33
2006-01-24,17.19
2006-01-25,17.24
2006-01-26,17.11
2006-01-27,17.06
2006-01-30,17.01
2006-01-31,16.91
2006-02-01,16.99
2006-02-02,17.07
2006-02-03,16.95
2006-02-06,16.73
2006-02-07,16.69
2006-02-08,16.58
2006-02-09,16.54
2006-02-10,16.52
2006-02-13,16.51
2006-02-14,16.33
2006-02-15,16.32
2006-02-16,16.3
2006-02-17,16.33
2006-02-20,16.29
2006-02-21,16.33
2006-02-22,16.32
2006-02-23,16.32
2006-02-24,16.29
2006-03-01,16.26
2006-03-02,16.06
2006-03-03,15.94
2006-03-06,15.86
2006-03-07,15.76
2006-03-08,15.5
2006-03-09,15.42
2006-03-10,15.41
2006-03-13,15.21
2006-03-14,15.08
2006-03-15,14.62
2006-03-16,14.19
2006-03-17,14.3
2006-03-20,14.32
2006-03-21,14.09
2006-03-22,13.74
2006-03-23,13.77
2006-03-24,13.7
2006-03-27,13.5
2006-03-28,13.5
2006-03-29,13.44
2006-03-30,13.32
2006-03-31,13.33
2006-04-03,13.34
2006-04-04,13.38
2006-04-05,13.47
2006-04-06,13.43
2006-04-07,13.45
2006-04-10,13.49
2006-04-11,13.89
2006-04-12,14.06
2006-04-13,14.11
2006-04-17,14.3
2006-04-18,14.85
2006-04-19,15.34
2006-04-20,15.28
2006-04-24,15.47
2006-04-25,15.62
2006-04-26,15.61
2006-04-27,15.41
2006-04-28,15.42
2006-05-02,15.37
2006-05-03,15.3
2006-05-04,15.21
2006-05-05,15.19
2006-05-08,15.14
2006-05-09,15.07
2006-05-10,15.06
2006-05-11,15.01
2006-05-12,15.02
2006-05-15,15.05
2006-05-16,15.0
2006-05-17,15.09
2006-05-18,15.12
2006-05-19,15.05
2006-05-22,15.1
2006-05-23,15.29
2006-05-24,15.48
2006-05-25,15.58
2006-05-26,15.6
2006-05-29,15.59
2006-05-30,15.57
2006-05-31,15.69
2006-06-01,15.73
2006-06-02,15.99
2006-06-05,16.04
2006-06-06,16.06
2006-06-07,16.19
2006-06-08,16.32
2006-06-09,16.39
2006-06-12,16.28
2006-06-13,16.31
2006-06-14,16.56
2006-06-16,16.56
2006-06-19,16.6
2006-06-20,16.58
2006-06-21,16.79
2006-06-22,16.78
2006-06-23,16.78
2006-06-26,16.67
2006-06-27,16.74
2006-06-28,16.81
2006-06-29,16.85
2006-06-30,16.84
2006-07-03,16.86
2006-07-04,16.86
2006-07-05,16.87
2006-07-06,16.87
2006-07-07,16.84
2006-07-10,16.87
2006-07-11,16.92
2006-07-12,16.96
2006-07-13,16.93
2006-07-14,16.87
2006-07-17,16.86
2006-07-18,16.87
2006-07-19,16.78
2006-07-20,16.59
2006-07-21,16.51
2006-07-24,16.53
2006-07-25,16.44
2006-07-26,16.35
2006-07-27,16.3
2006-07-28,16.2
2006-07-31,16.21
2006-08-01,16.24
2006-08-02,16.36
2006-08-03,16.34
2006-08-04,16.36
2006-08-07,16.36
2006-08-08,16.3
2006-08-09,16.69
2006-08-10,16.81
2006-08-11,16.78
2006-08-14,16.91
2006-08-15,16.95
2006-08-16,17.02
2006-08-17,17.03
2006-08-18,17.05
2006-08-21,17.13
2006-08-22,17.24
2006-08-23,17.17
2006-08-24,17.17
2006-08-25,17.15
2006-08-28,17.2
2006-08-29,17.15
2006-08-30,17.21
2006-08-31,17.13
2006-09-01,17.16
2006-09-04,17.17
2006-09-05,17.19
2006-09-06,17.19
2006-09-08,17.28
2006-09-11,17.34
2006-09-12,17.37
2006-09-13,17.62
2006-09-14,17.66
2006-09-15,17.83
2006-09-18,18.17
2006-09-19,18.19
2006-09-20,18.37
2006-09-21,18.43
2006-09-22,18.46
2006-09-25,18.4
2006-09-26,18.47
2006-09-27,18.71
2006-09-28,18.91
2006-09-29,18.93
2006-10-02,19.39
2006-10-03,19.73
2006-10-04,19.85
2006-10-05,19.95
2006-10-06,20.66
2006-10-09,20.96
2006-10-10,21.0
2006-10-11,21.18
2006-10-13,21.4
2006-10-16,21.51
2006-10-17,21.53
2006-10-18,21.52
2006-10-19,21.91
2006-10-20,22.02
2006-10-23,21.61
2006-10-24,21.6
2006-10-25,21.43
2006-10-26,21.49
2006-10-27,21.45
2006-10-30,21.38
2006-10-31,21.34
2006-11-01,21.33
2006-11-03,21.26
2006-11-06,21.58
2006-11-07,22.14
2006-11-08,22.36
2006-11-09,22.64
2006-11-10,22.55
2006-11-13,22.62
2006-11-14,22.56
2006-11-16,22.61
2006-11-17,22.63
2006-11-20,22.95
2006-11-21,23.04
2006-11-22,23.29
2006-11-23,23.58
2006-11-24,23.86
2006-11-27,24.1
2006-11-28,24.34
2006-11-29,24.44
2006-11-30,24.77
2006-12-01,24.87
2006-12-04,24.9
2006-12-05,24.95
2006-12-06,25.05
2006-12-07,25.0
2006-12-08,25.06
2006-12-11,25.12
2006-12-12,25.13
2006-12-13,25.11
2006-12-14,25.22
2006-12-15,25.12
2006-12-18,25.03
2006-12-19,25.01
2006-12-20,24.95
2006-12-21,24.86
2006-12-22,24.78
2006-12-26,24.65
2006-12-27,24.68
2006-12-28,24.74
2007-01-02,24.8
2007-01-03,24.8
2007-01-04,24.91
2007-01-05,25.05
2007-01-08,25.15
2007-01-09,25.32
2007-01-10,25.35
2007-01-11,25.33
2007-01-12,25.43
2007-01-15,25.3
2007-01-16,24.82
2007-01-17,25.01
2007-01-18,25.12
2007-01-19,25.14
2007-01-22,25.17
2007-01-23,25.2
2007-01-24,24.89
2007-01-25,24.86
2007-01-26,24.82
2007-01-29,24.81
2007-01-30,24.67
2007-01-31,24.56
2007-02-01,24.51
2007-02-02,23.94
2007-02-05,23.64
2007-02-06,23.08
2007-02-07,22.71
2007-02-08,22.69
2007-02-09,22.54
2007-02-12,22.3
2007-02-13,21.86
2007-02-14,21.37
2007-02-15,21.39
2007-02-16,21.3
2007-02-21,21.3
2007-02-22,20.87
2007-02-23,20.82
2007-02-26,20.84
2007-02-27,20.69
2007-02-28,20.57
2007-03-01,20.53
2007-03-02,20.36
2007-03-05,20.35
2007-03-06,20.38
2007-03-07,20.41
2007-03-08,20.3
2007-03-09,20.21
2007-03-12,20.14
2007-03-13,20.08
2007-03-14,19.99
2007-03-15,20.14
2007-03-16,20.14
2007-03-19,20.13
2007-03-20,20.13
2007-03-21,20.19
2007-03-22,20.25
2007-03-23,20.29
2007-03-26,20.15
2007-03-27,20.13
2007-03-28,20.01
2007-03-29,20.05
2007-03-30,19.95
2007-04-02,19.8
2007-04-03,19.8
2007-04-04,19.64
2007-04-05,19.56
2007-04-09,19.48
2007-04-10,19.44
2007-04-11,19.3
2007-04-12,19.2
2007-04-13,19.22
2007-04-16,19.17
2007-04-17,19.14
2007-04-18,19.17
2007-04-19,19.02
2007-04-20,19.0
2007-04-23,18.95
2007-04-24,18.92
2007-04-25,18.81
2007-04-26,18.85
2007-04-27,18.92
2007-04-30,18.73
2007-05-02,18.68
2007-05-03,18.72
2007-05-04,18.75
2007-05-07,18.69
2007-05-08,18.7
2007-05-09,18.76
2007-05-10,18.7
2007-05-11,18.62
2007-05-14,18.63
2007-05-15,18.6
2007-05-16,18.7
2007-05-17,18.68
2007-05-18,18.76
2007-05-21,18.85
2007-05-22,18.9
2007-05-23,19.14
2007-05-24,19.22
2007-05-25,19.26
2007-05-28,19.39
2007-05-29,19.51
2007-05-30,19.57
2007-05-31,19.67
2007-06-01,19.67
2007-06-04,19.61
2007-06-05,19.68
2007-06-06,19.7
2007-06-08,19.81
2007-06-11,19.84
2007-06-12,19.81
2007-06-13,19.79
2007-06-14,19.75
2007-06-15,19.86
2007-06-18,19.86
2007-06-19,19.72
2007-06-20,19.6
2007-06-21,19.52
2007-06-22,19.49
2007-06-25,19.38
2007-06-26,19.21
2007-06-27,19.23
2007-06-28,19.07
2007-06-29,19.01
2007-07-02,19.01
2007-07-03,18.92
2007-07-04,18.85
2007-07-05,18.77
2007-07-06,18.74
2007-07-10,18.64
2007-07-11,18.69
2007-07-12,18.72
2007-07-13,18.65
2007-07-16,18.66
2007-07-17,18.74
2007-07-18,18.83
2007-07-19,18.96
2007-07-20,19.02
2007-07-23,19.16
2007-07-24,19.25
2007-07-25,19.26
2007-07-26,19.33
2007-07-27,19.37
2007-07-30,19.39
2007-07-31,19.41
2007-08-01,19.59
2007-08-02,19.79
2007-08-03,20.09
2007-08-06,20.26
2007-08-07,20.53
2007-08-08,20.83
2007-08-09,20.74
2007-08-10,21.03
2007-08-13,21.47
2007-08-14,21.81
2007-08-15,22.14
2007-08-16,22.49
2007-08-17,23.17
2007-08-20,23.24
2007-08-21,23.42
2007-08-22,23.44
2007-08-23,23.35
2007-08-24,23.34
2007-08-27,23.33
2007-08-28,23.51
2007-08-29,23.71
2007-08-30,23.9
2007-08-31,23.88
2007-09-03,24.26
2007-09-04,24.87
2007-09-05,25.45
2007-09-06,25.86
2007-09-10,26.44
2007-09-11,26.73
2007-09-12,26.84
2007-09-13,27.2
2007-09-14,27.49
2007-09-17,27.56
2007-09-18,27.63
2007-09-19,27.53
2007-09-20,27.79
2007-09-21,27.67
2007-09-24,28.16
2007-09-25,28.04
2007-09-26,27.71
2007-09-27,27.58
2007-09-28,27.32
2007-10-01,27.1
2007-10-02,26.97
2007-10-03,26.91
2007-10-04,26.78
2007-10-05,26.8
2007-10-08,26.72
2007-10-09,26.75
2007-10-10,26.52
2007-10-11,26.56
2007-10-15,26.69
2007-10-16,26.82
2007-10-17,26.88
2007-10-18,27.16
2007-10-19,27.22
2007-10-22,27.33
2007-10-23,27.79
2007-10-24,28.04
2007-10-25,28.25
2007-10-26,28.17
2007-10-29,28.5
2007-10-30,28.89
2007-10-31,29.13
2007-11-01,29.36
2007-11-05,29.39
2007-11-06,29.99
2007-11-07,30.37
2007-11-08,30.71
2007-11-09,30.68
2007-11-12,30.87
2007-11-13,31.03
2007-11-14,31.08
2007-11-16,31.16
2007-11-19,31.69
2007-11-20,31.67
2007-11-21,32.08
2007-11-22,32.42
2007-11-23,32.75
2007-11-26,32.92
2007-11-27,33.82
2007-11-28,33.9
2007-11-29,33.96
2007-11-30,34.51
2007-12-03,34.47
2007-12-04,34.52
2007-12-05,34.58
2007-12-06,34.62
2007-12-07,34.55
2007-12-10,34.54
2007-12-11,34.46
2007-12-12,34.33
2007-12-13,33.93
2007-12-14,33.76
2007-12-17,33.61
2007-12-18,33.32
2007-12-19,33.26
2007-12-20,33.16
2007-12-21,33.03
2007-12-26,32.74
2007-12-27,32.7
2007-12-28,32.73
2008-01-02,32.78
2008-01-03,32.92
2008-01-04,32.95
2008-01-07,33.08
2008-01-08,32.77
2008-01-09,32.78
2008-01-10,32.63
2008-01-11,32.53
2008-01-14,32.19
2008-01-15,31.94
2008-01-16,31.76
2008-01-17,30.74
2008-01-18,30.32
2008-01-21,29.9
2008-01-22,29.58
2008-01-23,29.25
2008-01-24,28.94
2008-01-25,28.82
2008-01-28,28.81
2008-01-29,28.74
2008-01-30,28.54
2008-01-31,28.41
2008-02-01,28.26
2008-02-06,28.04
2008-02-07,27.69
2008-02-08,27.62
2008-02-11,27.56
2008-02-12,27.57
2008-02-13,27.66
2008-02-14,27.67
2008-02-15,27.62
2008-02-18,27.6
2008-02-19,27.69
2008-02-20,27.72
2008-02-21,27.77
2008-02-22,27.74
2008-02-25,27.64
2008-02-26,27.69
2008-02-27,28.0
2008-02-28,28.11
2008-02-29,28.43
2008-03-03,28.4
2008-03-04,28.74
2008-03-05,28.52
2008-03-06,28.28
2008-03-07,27.58
2008-03-10,27.67
2008-03-11,27.42
2008-03-12,27.04
2008-03-13,27.04
2008-03-14,27.04
2008-03-17,27.37
2008-03-18,27.17
2008-03-19,27.11
2008-03-20,26.89
2008-03-24,26.65
2008-03-25,26.28
2008-03-26,26.26
2008-03-27,26.18
2008-03-28,26.09
2008-03-31,26.07
2008-04-01,25.86
2008-04-02,25.72
2008-04-03,25.58
2008-04-04,25.59
2008-04-07,25.61
2008-04-08,25.7
2008-04-09,25.98
2008-04-10,25.99
2008-04-11,26.21
2008-04-14,26.47
2008-04-15,26.95
2008-04-16,27.01
2008-04-17,27.31
2008-04-18,27.35
2008-04-22,27.34
2008-04-23,27.28
2008-04-24,27.24
2008-04-25,27.41
2008-04-28,27.5
2008-04-29,27.52
2008-04-30,27.39
2008-05-02,27.66
2008-05-05,27.74
2008-05-06,28.06
2008-05-07,28.17
2008-05-08,28.21
2008-05-09,28.26
2008-05-12,28.37
2008-05-13,28.36
2008-05-14,28.12
2008-05-15,27.89
2008-05-16,27.84
2008-05-19,27.69
2008-05-20,27.31
2008-05-21,27.11
2008-05-23,27.04
2008-05-26,26.63
2008-05-27,26.41
2008-05-28,26.27
2008-05-29,25.76
2008-05-30,25.78
2008-06-02,25.62
2008-06-03,25.62
2008-06-04,25.58
2008-06-05,25.52
2008-06-06,25.18
2008-06-09,25.11
2008-06-10,24.96
2008-06-11,25.15
2008-06-12,25.54
2008-06-13,25.85
2008-06-16,26.31
2008-06-17,27.02
2008-06-18,27.43
2008-06-19,28.18
2008-06-20,28.46
2008-06-23,28.62
2008-06-24,28.7
2008-06-25,28.79
2008-06-26,28.85
2008-06-27,29.01
2008-06-30,29.0
2008-07-01,29.07
2008-07-02,29.17
2008-07-03,29.19
2008-07-04,29.17
2008-07-07,29.03
2008-07-08,29.03
2008-07-10,28.68
2008-07-11,28.67
2008-07-14,28.32
2008-07-15,28.2
2008-07-16,28.2
2008-07-17,28.04
2008-07-18,27.77
2008-07-21,27.6
2008-07-22,27.18
2008-07-23,26.89
2008-07-24,26.78
2008-07-25,26.32
2008-07-28,26.02
2008-07-29,25.93
2008-07-30,25.75
2008-07-31,25.67
2008-08-01,25.53
2008-08-04,25.48
2008-08-05,25.34
2008-08-06,25.16
2008-08-07,25.0
2008-08-08,24.76
2008-08-11,24.7
2008-08-12,24.53
2008-08-13,24.44
2008-08-14,24.26
2008-08-15,24.05
2008-08-18,24.06
2008-08-19,23.96
2008-08-20,24.15
2008-08-21,24.18
2008-08-22,24.2
2008-08-25,24.21
2008-08-26,24.29
2008-08-27,24.51
2008-08-28,24.52
2008-08-29,24.53
2008-09-01,24.58
2008-09-02,24.41
2008-09-03,24.32
2008-09-04,24.31
2008-09-05,24.29
2008-09-08,24.3
2008-09-09,24.16
2008-09-10,24.1
2008-09-11,24.12
2008-09-12,23.79
2008-09-15,23.96
2008-09-16,23.87
2008-09-17,23.56
2008-09-18,23.4
2008-09-19,23.47
2008-09-22,23.31
2008-09-23,23.37
2008-09-24,23.27
2008-09-25,23.17
2008-09-26,23.24
2008-09-29,23.17
2008-09-30,22.99
2008-10-01,23.01
2008-10-02,22.95
2008-10-03,22.93
2008-10-06,22.86
2008-10-07,22.81
2008-10-08,22.7
2008-10-09,22.6
2008-10-10,22.5
2008-10-13,22.29
2008-10-14,22.35
2008-10-15,22.42
2008-10-16,22.41
2008-10-17,22.47
2008-10-20,22.39
2008-10-21,22.35
2008-10-22,22.21
2008-10-23,22.11
2008-10-24,22.1
2008-10-27,21.98
2008-10-28,21.73
2008-10-29,21.54
2008-10-30,21.37
2008-10-31,21.36
2008-11-03,21.07
2008-11-04,21.01
2008-11-05,20.92
2008-11-06,20.84
2008-11-07,20.8
2008-11-10,20.7
2008-11-11,20.57
2008-11-12,20.59
2008-11-13,20.48
2008-11-14,20.4
2008-11-17,20.34
2008-11-18,20.29
2008-11-19,20.3
2008-11-20,20.33
2008-11-21,20.39
2008-11-24,20.34
2008-11-25,20.2
2008-11-26,20.14
2008-11-27,20.19
2008-11-28,20.22
2008-12-01,20.26
2008-12-02,20.33
2008-12-03,20.37
2008-12-04,20.4
2008-12-05,20.41
2008-12-08,20.46
2008-12-09,20.58
2008-12-10,20.63
2008-12-11,20.6
2008-12-12,20.76
2008-12-15,20.79
2008-12-16,20.76
2008-12-17,20.81
2008-12-18,20.93
2008-12-19,21.05
2008-12-23,21.08
2008-12-26,21.08
2008-12-29,21.31
2008-12-30,21.29
2009-01-02,21.29
2009-01-06,22.83
2009-01-07,23.58
2009-01-08,24.11
2009-01-09,24.26
2009-01-12,24.29
2009-01-13,24.32
2009-01-14,24.24
2009-01-15,23.92
2009-01-16,23.89
2009-01-19,24.02
2009-01-20,23.91
2009-01-21,23.82
2009-01-22,24.0
2009-01-23,24.16
2009-01-27,23.97
2009-01-28,23.71
2009-01-29,23.73
2009-02-02,23.38
2009-02-03,23.39
2009-02-04,23.42
2009-02-05,23.07
2009-02-06,22.94
2009-02-11,22.38
2009-02-13,22.2
2009-02-16,22.12
2009-02-17,21.96
2009-02-18,21.51
2009-02-19,21.56
2009-02-26,21.32
2009-03-03,20.88
2009-03-04,20.73
2009-03-05,20.62
2009-03-06,20.6
2009-03-09,20.55
2009-03-11,20.43
2009-03-13,20.38
2009-03-16,20.58
2009-03-18,20.62
2009-03-20,20.4
2009-03-23,20.42
2009-03-24,20.5
2009-03-25,20.67
2009-03-26,20.77
2009-03-27,20.79
2009-03-30,20.82
2009-03-31,20.99
2009-04-01,21.01
2009-04-02,21.03
2009-04-03,21.01
2009-04-06,21.01
2009-04-07,21.04
2009-04-08,21.09
2009-04-09,21.12
2009-04-13,20.96
2009-04-14,20.97
2009-04-15,21.03
2009-04-16,21.1
2009-04-17,21.18
2009-04-20,21.24
2009-04-22,21.27
2009-04-23,21.52
2009-04-27,21.71
2009-04-28,21.85
2009-04-30,22.04
2009-05-05,22.24
2009-05-07,22.42
2009-05-08,22.44
2009-05-11,22.37
2009-05-12,22.27
2009-05-13,22.24
2009-05-15,22.1
2009-05-18,22.09
2009-05-19,22.14
2009-05-22,22.22
2009-05-25,22.26
2009-05-26,22.29
2009-05-27,22.3
2009-05-28,22.31
2009-05-29,22.26
2009-06-01,22.25
2009-06-03,22.27
2009-06-04,22.33
2009-06-05,22.44
2009-06-08,22.49
2009-06-09,22.53
2009-06-15,22.45
2009-06-16,22.44
2009-06-17,22.43
2009-06-18,22.39
2009-06-23,22.07
2009-06-24,21.94
2009-06-25,21.92
2009-06-26,21.88
2009-06-29,21.73
2009-06-30,21.66
2009-07-01,21.56
2009-07-02,21.46
2009-07-03,21.46
2009-07-06,21.37
2009-07-07,21.26
2009-07-08,21.04
2009-07-13,20.64
2009-07-14,20.46
2009-07-15,20.42
2009-07-16,20.39
2009-07-17,20.32
2009-07-20,20.32
2009-07-21,20.27
2009-07-22,20.2
2009-07-23,20.19
2009-07-24,20.12
2009-07-27,20.08
2009-07-28,20.03
2009-07-30,19.91
2009-07-31,19.82
2009-08-03,19.67
2009-08-04,19.67
2009-08-05,19.5
2009-08-06,19.51
2009-08-07,19.57
2009-08-10,19.57
2009-08-11,19.4
2009-08-13,19.43
2009-08-14,19.34
2009-08-17,19.38
2009-08-19,19.29
2009-08-20,19.4
2009-08-24,19.32
2009-08-25,19.32
2009-08-26,19.29
2009-08-27,19.3
2009-08-31,19.29
2009-09-01,19.27
2009-09-02,19.19
2009-09-03,19.17
2009-09-04,19.13
2009-09-08,19.1
2009-09-09,19.08
2009-09-10,19.11
2009-09-11,18.95
2009-09-14,19.0
2009-09-15,18.92
2009-09-16,18.97
2009-09-17,18.79
2009-09-18,18.9
2009-09-21,19.0
2009-09-22,19.05
2009-09-23,19.23
2009-09-24,19.19
2009-09-25,19.27
2009-09-28,19.39
2009-09-29,19.43
2009-09-30,19.48
2009-10-01,19.64
2009-10-02,19.69
2009-10-05,19.95
2009-10-06,20.15
2009-10-09,20.73
2009-10-14,20.78
2009-10-15,20.7
2009-10-16,20.78
2009-10-19,20.73
2009-10-20,20.79
2009-10-21,20.73
2009-10-22,20.75
2009-10-23,20.81
2009-10-26,20.88
2009-10-27,20.91
