watershed_desc,begin_code,location_desc,domain_desc,state_ansi,Value,region_desc,zip_5,short_desc,congr_district_code,end_code,agg_level_desc,sector_desc,commodity_desc,state_name,county_ansi,CV (%),reference_period_desc,country_name,country_code,group_desc,unit_desc,asd_code,watershed_code,util_practice_desc,prodn_practice_desc,week_ending,asd_desc,source_desc,domaincat_desc,class_desc,county_code,county_name,freq_desc,state_fips_code,load_time,state_alpha,year,statisticcat_desc
,02,US TOTAL,TOTAL,,"239,730,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,02,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #02,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-01-13,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-02-21 15:00:00.000,US,2024,EGGS SET
,03,US TOTAL,TOTAL,,"239,229,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,03,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #03,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-01-20,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-02-28 15:00:00.000,US,2024,EGGS SET
,04,US TOTAL,TOTAL,,"239,609,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,04,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #04,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-01-27,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-03-06 15:00:00.000,US,2024,EGGS SET
,05,US TOTAL,TOTAL,,"242,086,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,05,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #05,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-02-03,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-03-13 15:00:00.000,US,2024,EGGS SET
,06,US TOTAL,TOTAL,,"242,114,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,06,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #06,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-02-10,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-03-20 15:00:00.000,US,2024,EGGS SET
,07,US TOTAL,TOTAL,,"243,330,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,07,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #07,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-02-17,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-03-27 15:00:00.000,US,2024,EGGS SET
,08,US TOTAL,TOTAL,,"244,457,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,08,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #08,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-02-24,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-04-03 15:00:00.000,US,2024,EGGS SET
,09,US TOTAL,TOTAL,,"244,264,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,09,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #09,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-03-02,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-04-10 15:00:00.000,US,2024,EGGS SET
,10,US TOTAL,TOTAL,,"244,472,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,10,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #10,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-03-09,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-04-17 15:00:00.000,US,2024,EGGS SET
,11,US TOTAL,TOTAL,,"246,437,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,11,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #11,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-03-16,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-04-24 15:00:00.000,US,2024,EGGS SET
,12,US TOTAL,TOTAL,,"246,220,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,12,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #12,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-03-23,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-05-01 15:00:00.000,US,2024,EGGS SET
,13,US TOTAL,TOTAL,,"245,697,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,13,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #13,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-03-30,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-05-08 15:00:00.000,US,2024,EGGS SET
,14,US TOTAL,TOTAL,,"245,384,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,14,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #14,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-04-06,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-05-15 15:00:00.000,US,2024,EGGS SET
,15,US TOTAL,TOTAL,,"247,098,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,15,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #15,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-04-13,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-05-22 15:00:00.000,US,2024,EGGS SET
,16,US TOTAL,TOTAL,,"245,946,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,16,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #16,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-04-20,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-05-29 15:00:00.000,US,2024,EGGS SET
,17,US TOTAL,TOTAL,,"245,414,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,17,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #17,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-04-27,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-06-05 15:00:00.000,US,2024,EGGS SET
,18,US TOTAL,TOTAL,,"245,539,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,18,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #18,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-05-04,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-06-12 15:00:00.000,US,2024,EGGS SET
,19,US TOTAL,TOTAL,,"244,203,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,19,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #19,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-05-11,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-06-20 15:00:00.000,US,2024,EGGS SET
,20,US TOTAL,TOTAL,,"245,773,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,20,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #20,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-05-18,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-06-26 15:00:00.000,US,2024,EGGS SET
,21,US TOTAL,TOTAL,,"246,184,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,21,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #21,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-05-25,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-07-03 15:00:00.000,US,2024,EGGS SET
,22,US TOTAL,TOTAL,,"246,133,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,22,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #22,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-06-01,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-07-10 15:00:00.000,US,2024,EGGS SET
,23,US TOTAL,TOTAL,,"245,634,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,23,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #23,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-06-08,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-07-17 15:00:00.000,US,2024,EGGS SET
,24,US TOTAL,TOTAL,,"245,935,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,24,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #24,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-06-15,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-07-24 15:00:00.000,US,2024,EGGS SET
,25,US TOTAL,TOTAL,,"244,015,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,25,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #25,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-06-22,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-07-31 15:00:00.000,US,2024,EGGS SET
,26,US TOTAL,TOTAL,,"245,549,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,26,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #26,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-06-29,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-08-07 15:00:00.000,US,2024,EGGS SET
,27,US TOTAL,TOTAL,,"247,513,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,27,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #27,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-07-06,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-08-14 15:00:00.000,US,2024,EGGS SET
,28,US TOTAL,TOTAL,,"245,765,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,28,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #28,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-07-13,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-08-21 15:00:00.000,US,2024,EGGS SET
,29,US TOTAL,TOTAL,,"249,019,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,29,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #29,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-07-20,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-08-28 15:00:00.000,US,2024,EGGS SET
,30,US TOTAL,TOTAL,,"248,393,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,30,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #30,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-07-27,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-09-04 15:00:00.000,US,2024,EGGS SET
,31,US TOTAL,TOTAL,,"249,606,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,31,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #31,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-08-03,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-09-11 15:00:00.000,US,2024,EGGS SET
,32,US TOTAL,TOTAL,,"248,586,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,32,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #32,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-08-10,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-09-18 15:00:00.000,US,2024,EGGS SET
,33,US TOTAL,TOTAL,,"248,069,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,33,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #33,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-08-17,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-09-25 15:00:00.000,US,2024,EGGS SET
,34,US TOTAL,TOTAL,,"247,583,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,34,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #34,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-08-24,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-10-02 15:00:00.000,US,2024,EGGS SET
,35,US TOTAL,TOTAL,,"246,842,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,35,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #35,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-08-31,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-10-09 15:00:00.000,US,2024,EGGS SET
,36,US TOTAL,TOTAL,,"243,568,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,36,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #36,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-09-07,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-10-16 15:00:00.000,US,2024,EGGS SET
,37,US TOTAL,TOTAL,,"236,164,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,37,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #37,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-09-14,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-10-23 15:00:00.000,US,2024,EGGS SET
,38,US TOTAL,TOTAL,,"239,382,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,38,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #38,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-09-21,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-10-30 15:00:00.000,US,2024,EGGS SET
,39,US TOTAL,TOTAL,,"244,612,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,39,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #39,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-09-28,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-11-06 15:00:00.000,US,2024,EGGS SET
,40,US TOTAL,TOTAL,,"236,814,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,40,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #40,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-10-05,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-11-13 15:00:00.000,US,2024,EGGS SET
,41,US TOTAL,TOTAL,,"240,375,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,41,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #41,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-10-12,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-11-20 15:00:00.000,US,2024,EGGS SET
,42,US TOTAL,TOTAL,,"237,502,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,42,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #42,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-10-19,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-11-27 15:00:00.000,US,2024,EGGS SET
,43,US TOTAL,TOTAL,,"243,485,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,43,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #43,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-10-26,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-12-04 15:00:00.000,US,2024,EGGS SET
,44,US TOTAL,TOTAL,,"241,334,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,44,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #44,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-11-02,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-12-11 15:00:00.000,US,2024,EGGS SET
,45,US TOTAL,TOTAL,,"241,102,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,45,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #45,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-11-09,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-12-18 15:00:00.000,US,2024,EGGS SET
,46,US TOTAL,TOTAL,,"248,629,000",,,"CHICKENS, BROILERS - EGGS SET, MEASURED IN EGGS",,46,NATIONAL,ANIMALS & PRODUCTS,CHICKENS,US TOTAL,,,WEEK #46,UNITED STATES,9000,POULTRY,EGGS,,00000000,ALL UTILIZATION PRACTICES,ALL PRODUCTION PRACTICES,2024-11-16,,SURVEY,NOT SPECIFIED,BROILERS,,,WEEKLY,99,2024-12-26 15:00:00.000,US,2024,EGGS SET
