DATE,BR_SOY_OIL_BEGINNING_INVENTORY
2010-07-31,477.6
2010-08-31,497.68
2010-09-30,425.38
2010-10-31,406.52
2010-11-30,473.11
2010-12-31,471.47
2011-01-31,360.76
2011-02-28,253.52
2011-03-31,247.44
2011-04-30,307.46
2011-05-31,366.85
2011-06-30,394.13
2011-07-31,388.12
2011-08-31,419.7
2011-09-30,399.98
2011-10-31,399.02
2011-11-30,518.77
2011-12-31,421.06
2012-01-31,391.19
2012-02-29,341.69
2012-03-31,342.88
2012-04-30,388.69
2012-05-31,432.69
2012-06-30,402.27
2012-07-31,410.56
2012-08-31,390.64
2012-09-30,373.18
2012-10-31,380.32
2012-11-30,371.94
2012-12-31,349.1
2013-01-31,314.48
2013-02-28,224.64
2013-03-31,245.33
2013-04-30,271.37
2013-05-31,306.59
2013-06-30,330.34
2013-07-31,390.94
2013-08-31,412.82
2013-09-30,390.2
2013-10-31,390.45
2013-11-30,322.29
2013-12-31,309.3
2014-01-31,288.43
2014-02-28,197.41
2014-03-31,212.51
2014-04-30,260.53
2014-05-31,294.13
2014-06-30,362.06
2014-07-31,385.72
2014-08-31,390.84
2014-09-30,370.1
2014-10-31,398.13
2014-11-30,374.12
2014-12-31,338.85
2015-01-31,327.59
2015-02-28,219.71
2015-03-31,215.67
2015-04-30,264.39
2015-05-31,267.98
2015-06-30,333.49
2015-07-31,393.52
2015-08-31,364.47
2015-09-30,344.85
2015-10-31,328.1
2015-11-30,292.29
2015-12-31,295.17
2016-01-31,241.66
2016-02-29,196.13
2016-03-31,280.28
2016-04-30,324.21
2016-05-31,375.38
2016-06-30,399.87
2016-07-31,418.11
2016-08-31,429.28
2016-09-30,357.17
2016-10-31,295.93
2016-11-30,328.37
2016-12-31,334.35
2017-01-31,355.78
2017-02-28,288.54
2017-03-31,291.36
2017-04-30,290.15
2017-05-31,302.27
2017-06-30,367.72
2017-07-31,423.6
2017-08-31,406.52
2017-09-30,338.88
2017-10-31,313.74
2017-11-30,328.44
2017-12-31,377.97
2018-01-31,410.59
2018-02-28,363.46
2018-03-31,396.15
2018-04-30,396.75
2018-05-31,394.34
2018-06-30,462.66
2018-07-31,467.16
2018-08-31,422.58
2018-09-30,409.17
2018-10-31,454.71
2018-11-30,375.52
2018-12-31,408.29
2019-01-31,406.77
2019-02-28,294.88
2019-03-31,320.63
2019-04-30,354.59
2019-05-31,397.33
2019-06-30,388.34
2019-07-31,477.88
2019-08-31,421.32
2019-09-30,380.69
2019-10-31,337.92
2019-11-30,315.92
2019-12-31,321.98
2020-01-31,296.16
2020-02-29,265.75
2020-03-31,274.46
2020-04-30,258.09
2020-05-31,331.5
2020-06-30,396.03
2020-07-31,358.84
2020-08-31,384.41
2020-09-30,357.6
2020-10-31,375.0
2020-11-30,392.44
2020-12-31,367.81
2021-01-31,412.11
2021-02-28,334.21
2021-03-31,299.16
2021-04-30,323.25
2021-05-31,350.03
2021-06-30,403.32
2021-07-31,501.76
2021-08-31,491.23
2021-09-30,474.76
2021-10-31,508.48
2021-11-30,515.88
2021-12-31,497.61
2022-01-31,489.64
2022-02-28,515.19
2022-03-31,496.3
2022-04-30,586.31
2022-05-31,595.6
2022-06-30,554.84
2022-07-31,529.87
2022-08-31,592.0
2022-09-30,567.56
2022-10-31,567.6
2022-11-30,568.34
2022-12-31,557.73
2023-01-31,520.24
2023-02-28,402.99
2023-03-31,376.34
2023-04-30,406.47
2023-05-31,435.31
2023-06-30,389.29
2023-07-31,342.39
2023-08-31,360.2
2023-09-30,385.36
2023-10-31,355.58
2023-11-30,378.69
2023-12-31,300.42
2024-01-31,312.28
2024-02-29,253.79
2024-03-31,242.24
2024-04-30,279.52
2024-05-31,297.33
2024-06-30,345.56
2024-07-31,359.52
2024-08-31,331.05
2024-09-30,323.04
2024-10-31,345.22
2024-11-30,349.71
2024-12-31,343.15
2025-01-31,422.38
