DATE,US_ETHANOL_PRICE
2008-06-04,2.46
2008-06-05,2.46
2008-06-06,2.33
2008-06-09,2.33
2008-06-10,2.33
2008-06-11,2.33
2008-06-12,2.33
2008-06-13,2.5
2008-06-16,2.38
2008-06-17,2.38
2008-06-18,2.5
2008-06-19,2.5
2008-06-20,2.74
2008-06-23,2.74
2008-06-24,2.74
2008-06-25,2.74
2008-06-26,2.74
2008-06-27,2.79
2008-06-30,2.79
2008-07-01,2.79
2008-07-02,2.79
2008-07-03,2.82
2008-07-07,2.82
2008-07-08,2.82
2008-07-09,2.82
2008-07-10,2.82
2008-07-11,2.73
2008-07-14,2.73
2008-07-15,2.73
2008-07-16,2.73
2008-07-17,2.73
2008-07-18,2.57
2008-07-21,2.57
2008-07-22,2.57
2008-07-23,2.57
2008-07-24,2.57
2008-07-25,2.4
2008-07-28,2.4
2008-07-29,2.4
2008-07-30,2.4
2008-07-31,2.28
2008-08-01,2.29
2008-08-04,2.31
2008-08-11,2.24
2008-08-12,2.24
2008-08-13,2.24
2008-08-14,2.24
2008-08-15,2.08
2008-08-18,2.08
2008-08-19,2.08
2008-08-20,2.08
2008-08-22,2.25
2008-08-25,2.2
2008-08-26,2.2
2008-08-27,2.2
2008-08-28,2.2
2008-08-29,2.25
2008-09-02,2.25
2008-09-03,2.25
2008-09-04,2.25
2008-09-05,2.17
2008-09-08,2.17
2008-09-09,2.17
2008-09-10,2.17
2008-09-11,2.17
2008-09-12,2.13
2008-09-15,2.13
2008-09-16,2.13
2008-09-17,2.13
2008-09-18,2.13
2008-09-19,2.09
2008-09-22,2.09
2008-09-23,2.09
2008-09-24,2.09
2008-09-25,2.09
2008-09-26,2.15
2008-09-29,2.15
2008-09-30,2.15
2008-10-01,2.15
2008-10-02,2.15
2008-10-03,2.08
2008-10-06,2.08
2008-10-07,2.08
2008-10-08,2.08
2008-10-09,2.08
2008-10-10,1.88
2008-10-13,1.88
2008-10-14,1.88
2008-10-15,1.88
2008-10-16,1.88
2008-10-17,1.69
2008-10-20,1.69
2008-10-21,1.69
2008-10-22,1.69
2008-10-23,1.69
2008-10-24,1.67
2008-10-27,1.67
2008-10-28,1.67
2008-10-29,1.67
2008-10-30,1.67
2008-10-31,1.7
2008-11-03,1.66
2008-11-04,1.66
2008-11-05,1.66
2008-11-06,1.66
2008-11-07,1.69
2008-11-10,1.69
2008-11-11,1.69
2008-11-12,1.69
2008-11-13,1.69
2008-11-14,1.69
2008-11-17,1.63
2008-11-18,1.63
2008-11-19,1.63
2008-11-20,1.63
2008-11-21,1.63
2008-11-24,1.63
2008-11-25,1.63
2008-11-26,1.63
2008-11-28,1.59
2008-12-01,1.59
2008-12-02,1.59
2008-12-03,1.59
2008-12-04,1.59
2008-12-05,1.48
2008-12-08,1.51
2008-12-09,1.51
2008-12-10,1.51
2008-12-11,1.51
2008-12-15,1.42
2008-12-16,1.42
2008-12-18,1.42
2008-12-19,1.49
2008-12-22,1.49
2008-12-23,1.49
2008-12-24,1.46
2008-12-26,1.46
2008-12-29,1.48
2008-12-30,1.48
2008-12-31,1.48
2009-01-02,1.53
2009-01-06,1.53
2009-01-07,1.53
2009-01-08,1.53
2009-01-09,1.57
2009-01-12,1.57
2009-01-13,1.57
2009-01-14,1.57
2009-01-15,1.57
2009-01-16,1.49
2009-01-20,1.49
2009-01-21,1.49
2009-01-22,1.49
2009-01-26,1.5
2009-01-27,1.5
2009-01-28,1.5
2009-01-29,1.5
2009-01-30,1.5
2009-02-02,1.5
2009-02-03,1.5
2009-02-04,1.5
2009-02-05,1.5
2009-02-06,1.47
2009-02-09,1.47
2009-02-10,1.47
2009-02-11,1.47
2009-02-12,1.47
2009-02-13,1.52
2009-02-17,1.52
2009-02-18,1.52
2009-02-19,1.52
2009-02-20,1.48
2009-02-23,1.48
2009-02-24,1.48
2009-02-25,1.48
2009-02-26,1.6
2009-02-27,1.51
2009-03-02,1.51
2009-03-03,1.51
2009-03-04,1.51
2009-03-05,1.51
2009-03-06,1.43
2009-03-09,1.43
2009-03-10,1.43
2009-03-11,1.43
2009-03-12,1.43
2009-03-13,1.42
2009-03-16,1.42
2009-03-17,1.42
2009-03-18,1.42
2009-03-19,1.42
2009-03-20,1.48
2009-03-23,1.48
2009-03-24,1.48
2009-03-25,1.48
2009-03-26,1.48
2009-03-27,1.51
2009-03-30,1.51
2009-03-31,1.51
2009-04-01,1.51
2009-04-02,1.51
2009-04-03,1.51
2009-04-06,1.51
2009-04-07,1.51
2009-04-08,1.51
2009-04-09,1.51
2009-04-13,1.52
2009-04-14,1.52
2009-04-15,1.52
2009-04-16,1.52
2009-04-17,1.5
2009-04-20,1.5
2009-04-21,1.5
2009-04-22,1.5
2009-04-23,1.5
2009-04-24,1.48
2009-04-27,1.48
2009-04-28,1.48
2009-04-29,1.48
2009-04-30,1.48
2009-05-01,1.49
2009-05-04,1.48
2009-05-05,1.48
2009-05-06,1.49
2009-05-07,1.49
2009-05-08,1.53
2009-05-11,1.53
2009-05-12,1.53
2009-05-13,1.53
2009-05-14,1.53
2009-05-15,1.61
2009-05-18,1.61
2009-05-19,1.61
2009-05-20,1.61
2009-05-21,1.61
2009-05-22,1.6
2009-05-27,1.6
2009-05-28,1.6
2009-05-29,1.63
2009-06-01,1.63
2009-06-02,1.63
2009-06-03,1.63
2009-06-04,1.63
2009-06-05,1.69
2009-06-08,1.69
2009-06-09,1.69
2009-06-10,1.69
2009-06-11,1.69
2009-06-12,1.71
2009-06-15,1.71
2009-06-16,1.71
2009-06-17,1.71
2009-06-18,1.71
2009-06-19,1.67
2009-06-22,1.67
2009-06-23,1.67
2009-06-24,1.67
2009-06-25,1.67
2009-06-26,1.65
2009-06-29,1.65
2009-06-30,1.65
2009-07-01,1.65
2009-07-02,1.67
2009-07-06,1.67
2009-07-07,1.67
2009-07-08,1.67
2009-07-09,1.67
2009-07-10,1.59
2009-07-13,1.59
2009-07-14,1.59
2009-07-15,1.59
2009-07-16,1.59
2009-07-17,1.54
2009-07-20,1.54
2009-07-21,1.54
2009-07-22,1.54
2009-07-23,1.54
2009-07-24,1.55
2009-07-27,1.55
2009-07-28,1.55
2009-07-29,1.55
2009-07-30,1.55
2009-07-31,1.55
2009-08-03,1.55
2009-08-04,1.55
2009-08-05,1.55
2009-08-06,1.55
2009-08-07,1.56
2009-08-10,1.56
2009-08-11,1.56
2009-08-12,1.56
2009-08-13,1.56
2009-08-14,1.51
2009-08-17,1.51
2009-08-18,1.51
2009-08-19,1.51
2009-08-20,1.51
2009-08-21,1.54
2009-08-24,1.54
2009-08-25,1.54
2009-08-26,1.54
2009-08-27,1.54
2009-08-28,1.54
2009-08-31,1.54
2009-09-01,1.54
2009-09-02,1.54
2009-09-03,1.54
2009-09-04,1.53
2009-09-08,1.53
2009-09-09,1.53
2009-09-10,1.53
2009-09-11,1.52
2009-09-14,1.52
2009-09-15,1.52
2009-09-16,1.52
2009-09-17,1.52
2009-09-18,1.55
2009-09-21,1.55
2009-09-22,1.55
2009-09-23,1.55
2009-09-24,1.55
2009-09-25,1.57
2009-09-28,1.57
2009-09-29,1.57
2009-09-30,1.57
2009-10-01,1.57
2009-10-02,1.64
2009-10-05,1.64
2009-10-06,1.64
2009-10-07,1.64
2009-10-08,1.64
2009-10-09,1.77
2009-10-12,1.77
2009-10-13,1.82
2009-10-14,1.77
2009-10-15,1.77
2009-10-16,1.86
2009-10-19,1.86
2009-10-20,1.86
2009-10-21,1.86
2009-10-22,1.86
2009-10-23,1.95
2009-10-26,1.95
2009-10-27,1.95
2009-10-28,1.95
2009-10-29,1.95
2009-10-30,1.94
2009-11-02,1.94
2009-11-03,1.94
2009-11-04,1.94
2009-11-05,1.94
2009-11-06,1.93
2009-11-09,1.93
2009-11-12,1.93
2009-11-20,1.93
2009-11-23,1.93
2009-11-25,2.08
2009-11-27,2.05
2009-11-30,2.05
2009-12-01,2.05
2009-12-02,2.04
2009-12-03,2.05
2009-12-04,2.06
2009-12-07,2.06
2009-12-08,2.06
2009-12-09,2.06
2009-12-10,2.06
2009-12-11,1.99
2009-12-14,1.99
2009-12-15,1.99
2009-12-16,1.99
2009-12-17,1.99
2009-12-18,1.87
2009-12-21,1.87
2009-12-22,1.87
2009-12-23,1.87
2009-12-24,1.87
2009-12-28,1.87
2009-12-29,1.87
2009-12-30,1.87
2009-12-31,1.87
2010-01-04,1.87
2010-01-05,1.87
2010-01-06,1.87
2010-01-07,1.87
2010-01-08,1.88
2010-01-11,1.88
2010-01-12,1.88
2010-01-13,1.88
2010-01-14,1.88
2010-01-15,1.8
2010-01-18,1.8
2010-01-19,1.8
2010-01-20,1.8
2010-01-21,1.8
2010-01-22,1.75
2010-01-25,1.75
2010-01-26,1.75
2010-01-27,1.75
2010-01-28,1.75
2010-01-29,1.73
2010-02-01,1.73
2010-02-02,1.73
2010-02-03,1.73
2010-02-04,1.73
2010-02-05,1.72
2010-02-08,1.72
2010-02-09,1.72
2010-02-10,1.72
2010-02-11,1.72
2010-02-12,1.7
2010-02-15,1.7
2010-02-16,1.7
2010-02-17,1.7
2010-02-18,1.7
2010-02-19,1.64
2010-02-22,1.64
2010-02-23,1.64
2010-02-24,1.64
2010-02-25,1.64
2010-02-26,1.62
2010-03-01,1.62
2010-03-02,1.62
2010-03-03,1.62
2010-03-04,1.62
2010-03-05,1.56
2010-03-08,1.56
2010-03-09,1.56
2010-03-10,1.56
2010-03-11,1.56
2010-03-12,1.51
2010-03-15,1.51
2010-03-16,1.51
2010-03-17,1.51
2010-03-18,1.51
2010-03-19,1.46
2010-03-22,1.46
2010-03-23,1.46
2010-03-24,1.46
2010-03-25,1.46
2010-03-26,1.44
2010-03-29,1.44
2010-03-30,1.44
2010-03-31,1.44
2010-04-01,1.44
2010-04-02,1.46
2010-04-05,1.46
2010-04-06,1.46
2010-04-07,1.46
2010-04-08,1.46
2010-04-09,1.43
2010-04-12,1.43
2010-04-13,1.43
2010-04-14,1.43
2010-04-15,1.43
2010-04-16,1.43
2010-04-19,1.43
2010-04-20,1.43
2010-04-21,1.43
2010-04-22,1.43
2010-04-23,1.44
2010-04-26,1.44
2010-04-27,1.44
2010-04-28,1.44
2010-04-29,1.44
2010-04-30,1.47
2010-05-03,1.47
2010-05-04,1.47
2010-05-05,1.47
2010-05-06,1.47
2010-05-07,1.51
2010-05-10,1.51
2010-05-11,1.51
2010-05-12,1.51
2010-05-13,1.51
2010-05-14,1.52
2010-05-17,1.52
2010-05-18,1.52
2010-05-19,1.52
2010-05-20,1.52
2010-05-21,1.53
2010-05-24,1.53
2010-05-25,1.53
2010-05-26,1.53
2010-05-27,1.53
2010-05-28,1.52
2010-06-01,1.52
2010-06-02,1.52
2010-06-03,1.52
2010-06-04,1.54
2010-06-07,1.54
2010-06-08,1.54
2010-06-09,1.54
2010-06-10,1.54
2010-06-11,1.51
2010-06-14,1.51
2010-06-15,1.51
2010-06-16,1.51
2010-06-17,1.51
2010-06-18,1.54
2010-06-21,1.54
2010-06-22,1.54
2010-06-23,1.54
2010-06-24,1.54
2010-06-25,1.51
2010-06-28,1.51
2010-06-29,1.51
2010-06-30,1.51
2010-07-01,1.51
2010-07-02,1.46
2010-07-06,1.46
2010-07-07,1.46
2010-07-08,1.46
2010-07-09,1.51
2010-07-12,1.51
2010-07-13,1.51
2010-07-14,1.51
2010-07-15,1.51
2010-07-16,1.53
2010-07-19,1.53
2010-07-20,1.53
2010-07-21,1.53
2010-07-22,1.53
2010-07-23,1.53
2010-07-26,1.53
2010-07-27,1.53
2010-07-28,1.53
2010-07-29,1.53
2010-07-30,1.54
2010-08-02,1.54
2010-08-03,1.54
2010-08-04,1.54
2010-08-05,1.54
2010-08-06,1.64
2010-08-09,1.64
2010-08-10,1.64
2010-08-11,1.64
2010-08-12,1.64
2010-08-13,1.68
2010-08-16,1.68
2010-08-17,1.68
2010-08-18,1.68
2010-08-19,1.68
2010-08-20,1.78
2010-08-23,1.78
2010-08-24,1.78
2010-08-25,1.78
2010-08-26,1.78
2010-08-27,1.87
2010-08-30,1.87
2010-08-31,1.87
2010-09-01,1.87
2010-09-02,1.87
2010-09-03,1.87
2010-09-07,1.87
2010-09-08,1.87
2010-09-09,1.87
2010-09-10,1.94
2010-09-13,1.94
2010-09-14,1.94
2010-09-15,1.94
2010-09-16,1.94
2010-09-17,2.1
2010-09-20,2.1
2010-09-21,2.1
2010-09-22,2.1
2010-09-23,2.1
2010-09-24,2.17
2010-09-27,2.17
2010-09-28,2.17
2010-09-29,2.17
2010-09-30,2.17
2010-10-01,2.0
2010-10-04,2.0
2010-10-05,2.0
2010-10-06,2.0
2010-10-07,2.0
2010-10-08,1.95
2010-10-11,1.95
2010-10-12,1.95
2010-10-13,1.95
2010-10-14,1.95
2010-10-15,2.19
2010-10-18,2.19
2010-10-19,2.19
2010-10-20,2.19
2010-10-21,2.19
2010-10-22,2.27
2010-10-25,2.27
2010-10-26,2.27
2010-10-27,2.27
2010-10-28,2.27
2010-10-29,2.33
2010-11-01,2.33
2010-11-02,2.33
2010-11-03,2.33
2010-11-04,2.33
2010-11-05,2.38
2010-11-08,2.38
2010-11-09,2.38
2010-11-10,2.38
2010-11-11,2.38
2010-11-12,2.42
2010-11-15,2.42
2010-11-16,2.42
2010-11-17,2.42
2010-11-18,2.42
2010-11-19,2.31
2010-11-22,2.31
2010-11-23,2.31
2010-11-24,2.31
2010-11-26,2.15
2010-11-29,2.15
2010-11-30,2.15
2010-12-01,2.15
2010-12-02,2.15
2010-12-03,2.1
2010-12-06,2.1
2010-12-07,2.1
2010-12-08,2.1
2010-12-09,2.1
2010-12-10,1.99
2010-12-13,1.99
2010-12-14,1.99
2010-12-15,1.99
2010-12-16,1.99
2010-12-17,2.08
2010-12-20,2.08
2010-12-21,2.08
2010-12-22,2.08
2010-12-23,2.2
2010-12-27,2.2
2010-12-28,2.2
2010-12-29,2.2
2010-12-30,2.28
2011-01-03,2.28
2011-01-04,2.28
2011-01-05,2.28
2011-01-06,2.28
2011-01-07,2.28
2011-01-10,2.28
2011-01-11,2.28
2011-01-12,2.28
2011-01-13,2.28
2011-01-14,2.3
2011-01-17,2.3
2011-01-18,2.3
2011-01-19,2.3
2011-01-20,2.3
2011-01-21,2.25
2011-01-24,2.25
2011-01-25,2.25
2011-01-26,2.25
2011-01-27,2.25
2011-01-28,2.21
2011-01-31,2.21
2011-02-01,2.21
2011-02-02,2.21
2011-02-03,2.21
2011-02-04,2.25
2011-02-07,2.25
2011-02-08,2.25
2011-02-09,2.25
2011-02-10,2.25
2011-02-11,2.31
2011-02-14,2.31
2011-02-15,2.31
2011-02-16,2.31
2011-02-17,2.31
2011-02-18,2.85
2011-02-21,2.35
2011-02-23,2.35
2011-02-24,2.35
2011-02-25,2.37
2011-02-28,2.37
2011-03-01,2.37
2011-03-02,2.37
2011-03-03,2.37
2011-03-04,2.49
2011-03-07,2.49
2011-03-08,2.49
2011-03-09,2.49
2011-03-10,2.49
2011-03-11,2.5
2011-03-14,2.5
2011-03-15,2.5
2011-03-16,2.5
2011-03-17,2.5
2011-03-18,2.36
2011-03-21,2.36
2011-03-22,2.36
2011-03-23,2.36
2011-03-24,2.36
2011-03-25,2.44
2011-03-28,2.44
2011-03-29,2.44
2011-03-30,2.44
2011-03-31,2.44
2011-04-01,2.46
2011-04-04,2.46
2011-04-05,2.46
2011-04-06,2.46
2011-04-07,2.46
2011-04-08,2.61
2011-04-11,2.61
2011-04-12,2.61
2011-04-13,2.61
2011-04-14,2.61
2011-04-15,2.61
2011-04-18,2.61
2011-04-19,2.61
2011-04-20,2.61
2011-04-21,2.61
2011-04-22,2.58
2011-04-26,2.58
2011-04-27,2.58
2011-04-28,2.58
2011-04-29,2.59
2011-05-02,2.59
2011-05-03,2.59
2011-05-04,2.59
2011-05-05,2.59
2011-05-06,2.59
2011-05-09,2.59
2011-05-10,2.59
2011-05-11,2.59
2011-05-12,2.59
2011-05-13,2.48
2011-05-16,2.48
2011-05-17,2.48
2011-05-18,2.48
2011-05-19,2.48
2011-05-20,2.53
2011-05-23,2.53
2011-05-24,2.53
2011-05-25,2.53
2011-05-26,2.53
2011-05-27,2.57
2011-05-31,2.57
2011-06-01,2.57
2011-06-02,2.57
2011-06-03,2.57
2011-06-06,2.57
2011-06-07,2.57
2011-06-08,2.57
2011-06-09,2.57
2011-06-10,2.6
2011-06-13,2.6
2011-06-14,2.6
2011-06-15,2.6
2011-06-16,2.6
2011-06-17,2.64
2011-06-20,2.64
2011-06-21,2.64
2011-06-22,2.64
2011-06-23,2.64
2011-06-24,2.61
2011-06-27,2.61
2011-06-28,2.61
2011-06-29,2.61
2011-06-30,2.61
2011-07-01,2.63
2011-07-05,2.63
2011-07-06,2.63
2011-07-07,2.63
2011-07-08,2.6
2011-07-11,2.6
2011-07-12,2.6
2011-07-13,2.6
2011-07-14,2.6
2011-07-15,2.77
2011-07-18,2.77
2011-07-19,2.77
2011-07-20,2.77
2011-07-21,2.77
2011-07-22,2.82
2011-07-25,2.82
2011-07-26,2.82
2011-07-27,2.82
2011-07-28,2.82
2011-07-29,2.94
2011-08-01,2.94
2011-08-02,2.94
2011-08-03,2.94
2011-08-04,2.94
2011-08-05,2.93
2011-08-08,2.93
2011-08-09,2.93
2011-08-10,2.93
2011-08-11,2.93
2011-08-12,2.71
2011-08-15,2.71
2011-08-16,2.71
2011-08-17,2.71
2011-08-18,2.71
2011-08-19,2.76
2011-08-22,2.76
2011-08-23,2.76
2011-08-24,2.76
2011-08-25,2.76
2011-08-26,2.84
2011-08-29,2.84
2011-08-30,2.84
2011-08-31,2.84
2011-09-01,2.84
2011-09-02,2.85
2011-09-06,2.85
2011-09-07,2.85
2011-09-08,2.85
2011-09-09,2.81
2011-09-12,2.81
2011-09-13,2.81
2011-09-14,2.81
2011-09-15,2.81
2011-09-16,2.73
2011-09-19,2.73
2011-09-20,2.73
2011-09-21,2.73
2011-09-22,2.73
2011-09-23,2.64
2011-09-26,2.64
2011-09-27,2.64
2011-09-28,2.64
2011-09-29,2.64
2011-09-30,2.57
2011-10-03,2.57
2011-10-04,2.57
2011-10-05,2.57
2011-10-06,2.57
2011-10-07,2.47
2011-10-10,2.47
2011-10-11,2.47
2011-10-12,2.47
2011-10-13,2.47
2011-10-14,2.59
2011-10-17,2.59
2011-10-18,2.59
2011-10-19,2.59
2011-10-20,2.59
2011-10-21,2.71
2011-10-24,2.71
2011-10-25,2.71
2011-10-26,2.71
2011-10-27,2.71
2011-10-28,2.72
2011-10-31,2.72
2011-11-01,2.72
2011-11-02,2.72
2011-11-03,2.72
2011-11-04,2.8
2011-11-07,2.8
2011-11-08,2.8
2011-11-09,2.8
2011-11-10,2.8
2011-11-11,2.8
2011-11-14,2.8
2011-11-15,2.8
2011-11-16,2.8
2011-11-17,2.8
2011-11-18,2.85
2011-11-21,2.85
2011-11-22,2.85
2011-11-23,2.94
2011-11-25,2.94
2011-11-28,2.94
2011-11-29,2.94
2011-11-30,2.94
2011-12-01,2.94
2011-12-02,2.7
2011-12-05,2.7
2011-12-06,2.7
2011-12-07,2.7
2011-12-08,2.7
2011-12-09,2.23
2011-12-12,2.23
2011-12-13,2.23
2011-12-14,2.23
2011-12-15,2.23
2011-12-16,2.15
2011-12-19,2.15
2011-12-20,2.15
2011-12-21,2.15
2011-12-22,2.15
2011-12-23,2.09
2011-12-27,2.09
2011-12-28,2.09
2011-12-29,2.09
2011-12-30,2.15
2012-01-03,2.15
2012-01-04,2.15
2012-01-05,2.15
2012-01-06,2.14
2012-01-09,2.14
2012-01-10,2.14
2012-01-11,2.14
2012-01-12,2.14
2012-01-13,2.13
2012-01-17,2.13
2012-01-18,2.13
2012-01-19,2.13
2012-01-20,2.12
2012-01-23,2.12
2012-01-24,2.12
2012-01-25,2.12
2012-01-26,2.12
2012-01-27,2.11
2012-01-30,2.11
2012-01-31,2.11
2012-02-01,2.11
2012-02-02,2.11
2012-02-03,2.1
2012-02-06,2.1
2012-02-07,2.1
2012-02-08,2.1
2012-02-09,2.1
2012-02-10,2.09
2012-02-13,2.09
2012-02-14,2.09
2012-02-15,2.09
2012-02-16,2.09
2012-02-17,2.09
2012-02-21,2.09
2012-02-22,2.09
2012-02-23,2.09
2012-02-24,2.08
2012-02-27,2.08
2012-02-28,2.08
2012-02-29,2.08
2012-03-01,2.08
2012-03-02,2.1
2012-03-05,2.1
2012-03-06,2.1
2012-03-07,2.1
2012-03-08,2.1
2012-03-09,2.2
2012-03-12,2.2
2012-03-13,2.2
2012-03-14,2.2
2012-03-15,2.2
2012-03-16,2.21
2012-03-19,2.21
2012-03-20,2.21
2012-03-21,2.21
2012-03-22,2.21
2012-03-23,2.24
2012-03-26,2.24
2012-03-27,2.24
2012-03-28,2.24
2012-03-29,2.24
2012-03-30,2.19
2012-04-02,2.19
2012-04-03,2.19
2012-04-04,2.19
2012-04-05,2.19
2012-04-06,2.18
2012-04-10,2.18
2012-04-11,2.18
2012-04-12,2.18
2012-04-13,2.17
2012-04-16,2.17
2012-04-17,2.17
2012-04-18,2.17
2012-04-19,2.17
2012-04-20,2.1
2012-04-23,2.1
2012-04-24,2.1
2012-04-25,2.1
2012-04-26,2.1
2012-04-27,2.1
2012-04-30,2.1
2012-05-01,2.1
2012-05-02,2.1
2012-05-03,2.1
2012-05-04,2.15
2012-05-07,2.15
2012-05-08,2.15
2012-05-09,2.15
2012-05-10,2.15
2012-05-11,2.11
2012-05-14,2.11
2012-05-15,2.11
2012-05-16,2.11
2012-05-17,2.11
2012-05-18,2.08
2012-05-21,2.08
2012-05-22,2.08
2012-05-23,2.08
2012-05-24,2.08
2012-05-25,2.1
2012-05-29,2.1
2012-05-30,2.1
2012-05-31,2.1
2012-06-01,2.02
2012-06-04,2.02
2012-06-05,2.02
2012-06-06,2.02
2012-06-07,2.02
2012-06-08,1.98
2012-06-11,1.98
2012-06-12,1.98
2012-06-13,1.98
2012-06-14,1.98
2012-06-15,1.98
2012-06-18,1.98
2012-06-19,1.98
2012-06-20,1.98
2012-06-21,1.98
2012-06-22,2.01
2012-06-25,2.01
2012-06-26,2.01
2012-06-27,2.01
2012-06-28,2.01
2012-06-29,2.12
2012-07-02,2.12
2012-07-03,2.12
2012-07-05,2.12
2012-07-06,2.24
2012-07-09,2.24
2012-07-10,2.24
2012-07-11,2.24
2012-07-12,2.24
2012-07-13,2.43
2012-07-16,2.43
2012-07-17,2.43
2012-07-18,2.43
2012-07-19,2.43
2012-07-20,2.61
2012-07-23,2.61
2012-07-24,2.61
2012-07-25,2.61
2012-07-26,2.61
2012-07-27,2.56
2012-07-30,2.56
2012-07-31,2.56
2012-08-01,2.56
2012-08-02,2.56
2012-08-03,2.53
2012-08-06,2.53
2012-08-07,2.53
2012-08-08,2.53
2012-08-09,2.53
2012-08-10,2.51
2012-08-13,2.51
2012-08-14,2.51
2012-08-15,2.51
2012-08-16,2.51
2012-08-17,2.53
2012-08-20,2.53
2012-08-21,2.53
2012-08-22,2.53
2012-08-23,2.53
2012-08-24,2.56
2012-08-27,2.56
2012-08-28,2.56
2012-08-29,2.56
2012-08-30,2.56
2012-08-31,2.54
2012-09-04,2.54
2012-09-05,2.54
2012-09-06,2.54
2012-09-07,2.49
2012-09-10,2.49
2012-09-11,2.49
2012-09-12,2.49
2012-09-13,2.49
2012-09-14,2.4
2012-09-17,2.4
2012-09-18,2.4
2012-09-19,2.4
2012-09-20,2.4
2012-09-21,2.28
2012-09-24,2.28
2012-09-25,2.28
2012-09-26,2.28
2012-09-27,2.28
2012-09-28,2.17
2012-10-01,2.17
2012-10-02,2.17
2012-10-03,2.17
2012-10-04,2.17
2012-10-05,2.28
2012-10-08,2.28
2012-10-09,2.28
2012-10-10,2.28
2012-10-11,2.28
2012-10-12,2.35
2012-10-15,2.35
2012-10-16,2.35
2012-10-17,2.35
2012-10-18,2.35
2012-10-19,2.34
2012-10-22,2.34
2012-10-23,2.34
2012-10-24,2.34
2012-10-25,2.34
2012-10-26,2.34
2012-10-29,2.34
2012-10-30,2.34
2012-10-31,2.34
2012-11-01,2.34
2012-11-02,2.32
