DATE,GT_INTEREST_RATE
2003-10-10,1.64
2003-11-03,4.03
2003-11-04,0.74
2003-11-05,0.97
2003-11-07,1.16
2003-11-10,1.66
2003-11-12,3.02
2003-11-13,2.75
2003-12-03,9.8
2003-12-04,1.0
2003-12-09,2.21
2003-12-10,1.55
2003-12-12,3.58
2004-01-05,2.31
2004-01-07,3.32
2004-01-13,2.2
2004-02-02,2.63
2004-02-03,1.88
2004-02-04,2.63
2004-02-05,1.88
2004-02-09,2.1
2004-02-10,3.62
2004-02-12,2.47
2004-02-13,4.34
2004-03-03,3.04
2004-03-04,1.98
2004-03-09,2.41
2004-03-10,2.86
2004-03-12,2.76
2004-04-05,3.03
2004-04-06,2.68
2004-04-08,3.59
2004-05-03,1.72
2004-05-04,1.73
2004-05-05,2.23
2004-05-07,3.74
2004-05-10,2.45
2004-05-11,2.36
2004-06-01,1.99
2004-06-02,1.8
2004-06-04,2.11
2004-06-07,3.73
2004-06-08,3.85
2004-06-09,3.24
2004-06-10,3.72
2004-07-01,3.54
2004-07-05,2.86
2004-07-06,2.41
2004-07-07,3.35
2004-07-09,2.94
2004-07-12,3.53
2004-08-03,1.84
2004-08-04,2.39
2004-08-06,3.01
2004-08-09,2.76
2004-08-10,2.81
2004-08-11,1.84
2004-08-12,3.43
2004-09-01,1.93
2004-09-02,1.91
2004-09-03,2.99
2004-09-06,3.13
2004-09-07,3.8
2004-09-08,3.12
2004-09-09,2.57
2004-10-05,2.61
2004-10-06,2.92
2004-10-08,4.83
2004-10-11,2.58
2004-10-12,3.09
2004-11-03,2.05
2004-11-04,2.5
2004-11-09,4.23
2004-11-11,3.29
2004-11-12,2.93
2004-12-02,1.65
2004-12-03,1.94
2004-12-06,2.72
2004-12-08,3.63
2004-12-09,3.25
2005-01-03,4.0
2005-01-04,2.55
2005-01-05,2.55
2005-01-06,2.55
2005-01-07,2.55
2005-01-10,2.55
2005-01-11,2.55
2005-01-12,2.55
2005-01-13,2.55
2005-01-14,2.55
2005-01-17,2.55
2005-01-18,2.55
2005-01-19,2.55
2005-01-20,2.55
2005-01-21,2.55
2005-01-24,2.55
2005-01-25,2.55
2005-01-26,2.55
2005-01-27,2.55
2005-01-28,2.55
2005-01-31,2.55
2005-02-01,2.55
2005-02-02,2.55
2005-02-03,2.55
2005-02-04,2.55
2005-02-07,2.55
2005-02-08,2.55
2005-02-09,2.55
2005-02-10,2.55
2005-02-11,2.55
2005-02-14,2.55
2005-02-15,2.55
2005-02-16,2.55
2005-02-17,2.55
2005-02-18,2.55
2005-02-21,2.75
2005-02-22,2.75
2005-02-23,2.75
2005-02-24,2.75
2005-02-25,2.75
2005-02-28,2.75
2005-03-01,2.75
2005-03-02,2.75
2005-03-03,2.75
2005-03-04,2.75
2005-03-07,2.75
2005-03-08,2.75
2005-03-09,2.75
2005-03-10,2.75
2005-03-11,2.75
2005-03-14,2.75
2005-03-15,2.75
2005-03-16,2.75
2005-03-17,2.75
2005-03-18,2.75
2005-03-21,2.75
2005-03-22,2.75
2005-03-23,2.75
2005-03-24,2.75
2005-03-25,2.75
2005-03-28,2.75
2005-03-29,2.75
2005-03-30,2.75
2005-03-31,2.75
2005-04-01,2.75
2005-04-04,2.75
2005-04-05,2.75
2005-04-06,2.75
2005-04-07,2.75
2005-04-08,2.75
2005-04-11,2.75
2005-04-12,2.75
2005-04-13,2.75
2005-04-14,2.75
2005-04-15,2.75
2005-04-18,2.75
2005-04-19,2.75
2005-04-20,2.75
2005-04-21,2.75
2005-04-22,2.75
2005-04-25,2.75
2005-04-26,2.75
2005-04-27,2.75
2005-04-28,2.75
2005-04-29,2.75
2005-05-02,2.75
2005-05-03,2.75
2005-05-04,2.75
2005-05-05,2.75
2005-05-06,2.75
2005-05-09,2.75
2005-05-10,2.75
2005-05-11,2.75
2005-05-12,2.75
2005-05-13,2.75
2005-05-16,2.75
2005-05-17,2.75
2005-05-18,2.75
2005-05-19,2.75
2005-05-20,2.75
2005-05-23,3.0
2005-05-24,3.0
2005-05-25,3.0
2005-05-26,3.0
2005-05-27,3.0
2005-05-30,3.0
2005-05-31,3.0
2005-06-01,3.0
2005-06-02,3.0
2005-06-03,3.0
2005-06-06,3.0
2005-06-07,3.0
2005-06-08,3.0
2005-06-09,3.0
2005-06-10,3.0
2005-06-13,3.0
2005-06-14,3.0
2005-06-15,3.0
2005-06-16,3.0
2005-06-17,3.0
2005-06-20,3.0
2005-06-21,3.0
2005-06-22,3.0
2005-06-23,3.0
2005-06-24,3.0
2005-06-27,3.0
2005-06-28,3.0
2005-06-29,3.0
2005-06-30,3.0
2005-07-01,3.0
2005-07-04,3.0
2005-07-05,3.0
2005-07-06,3.0
2005-07-07,3.0
2005-07-08,3.0
2005-07-11,3.0
2005-07-12,3.0
2005-07-13,3.0
2005-07-14,3.0
2005-07-15,3.0
2005-07-18,3.0
2005-07-19,3.0
2005-07-20,3.0
2005-07-21,3.0
2005-07-22,3.0
2005-07-25,3.25
2005-07-26,3.25
2005-07-27,3.25
2005-07-28,3.25
2005-07-29,3.25
2005-08-01,3.25
2005-08-02,3.25
2005-08-03,3.25
2005-08-04,3.25
2005-08-05,3.25
2005-08-08,3.25
2005-08-09,3.25
2005-08-10,3.25
2005-08-11,3.25
2005-08-12,3.25
2005-08-15,3.25
2005-08-16,3.25
2005-08-17,3.25
2005-08-18,3.25
2005-08-19,3.25
2005-08-22,3.25
2005-08-23,3.25
2005-08-24,3.25
2005-08-25,3.25
2005-08-26,3.25
2005-08-29,3.5
2005-08-30,3.5
2005-08-31,3.5
2005-09-01,3.5
2005-09-02,3.5
2005-09-05,3.5
2005-09-06,3.5
2005-09-07,3.5
2005-09-08,3.5
2005-09-09,3.5
2005-09-12,3.5
2005-09-13,3.5
2005-09-14,3.5
2005-09-15,3.5
2005-09-16,3.5
2005-09-19,3.75
2005-09-20,3.75
2005-09-21,3.75
2005-09-22,3.75
2005-09-23,3.75
2005-09-26,3.75
2005-09-27,3.75
2005-09-28,3.75
2005-09-29,3.75
2005-09-30,3.75
2005-10-03,3.75
2005-10-04,3.75
2005-10-05,3.75
2005-10-06,3.75
2005-10-07,3.75
2005-10-10,3.75
2005-10-11,3.75
2005-10-12,3.75
2005-10-13,3.75
2005-10-14,3.75
2005-10-17,3.75
2005-10-18,3.75
2005-10-19,3.75
2005-10-20,3.75
2005-10-21,3.75
2005-10-24,3.75
2005-10-25,3.75
2005-10-26,3.75
2005-10-27,3.75
2005-10-28,3.75
2005-10-31,3.75
2005-11-01,3.75
2005-11-02,3.75
2005-11-03,3.75
2005-11-04,3.75
2005-11-07,3.75
2005-11-08,3.75
2005-11-09,3.75
2005-11-10,3.75
2005-11-11,3.75
2005-11-14,3.75
2005-11-15,3.75
2005-11-16,3.75
2005-11-17,3.75
2005-11-18,3.75
2005-11-21,4.0
2005-11-22,4.0
2005-11-23,4.0
2005-11-24,4.0
2005-11-25,4.0
2005-11-28,4.0
2005-11-29,4.0
2005-11-30,4.0
2005-12-01,4.0
2005-12-02,4.0
2005-12-05,4.0
2005-12-06,4.0
2005-12-07,4.0
2005-12-08,4.0
2005-12-09,4.0
2005-12-12,4.0
2005-12-13,4.0
2005-12-14,4.0
2005-12-15,4.0
2005-12-16,4.0
2005-12-19,4.25
2005-12-20,4.25
2005-12-21,4.25
2005-12-22,4.25
2005-12-23,4.25
2005-12-26,4.25
2005-12-27,4.25
2005-12-28,4.25
2005-12-29,4.25
2005-12-30,4.25
2006-01-02,4.25
2006-01-03,4.25
2006-01-04,4.25
2006-01-05,4.25
2006-01-06,4.25
2006-01-09,4.25
2006-01-10,4.25
2006-01-11,4.25
2006-01-12,4.25
2006-01-13,4.25
2006-01-16,4.25
2006-01-17,4.25
2006-01-18,4.25
2006-01-19,4.25
2006-01-20,4.25
2006-01-23,4.25
2006-01-24,4.25
2006-01-25,4.25
2006-01-26,4.25
2006-01-27,4.25
2006-01-30,4.25
2006-01-31,4.25
2006-02-01,4.25
2006-02-02,4.25
2006-02-03,4.25
2006-02-06,4.25
2006-02-07,4.25
2006-02-08,4.25
2006-02-09,4.25
2006-02-10,4.25
2006-02-13,4.25
2006-02-14,4.25
2006-02-15,4.25
2006-02-16,4.25
2006-02-17,4.25
2006-02-20,4.25
2006-02-21,4.25
2006-02-22,4.25
2006-02-23,4.25
2006-02-24,4.25
2006-02-27,4.25
2006-02-28,4.25
2006-03-01,4.25
2006-03-02,4.25
2006-03-03,4.25
2006-03-06,4.25
2006-03-07,4.25
2006-03-08,4.25
2006-03-09,4.25
2006-03-10,4.25
2006-03-13,4.25
2006-03-14,4.25
2006-03-15,4.25
2006-03-16,4.25
2006-03-17,4.25
2006-03-20,4.25
2006-03-21,4.25
2006-03-22,4.25
2006-03-23,4.25
2006-03-24,4.25
2006-03-27,4.25
2006-03-28,4.25
2006-03-29,4.25
2006-03-30,4.25
2006-03-31,4.25
2006-04-03,4.25
2006-04-04,4.25
2006-04-05,4.25
2006-04-06,4.25
2006-04-07,4.25
2006-04-10,4.25
2006-04-11,4.25
2006-04-12,4.25
2006-04-13,4.25
2006-04-14,4.25
2006-04-17,4.25
2006-04-18,4.25
2006-04-19,4.25
2006-04-20,4.25
2006-04-21,4.25
2006-04-24,4.25
2006-04-25,4.25
2006-04-26,4.25
2006-04-27,4.25
2006-04-28,4.25
2006-05-01,4.25
2006-05-02,4.5
2006-05-03,4.5
2006-05-04,4.5
2006-05-05,4.5
2006-05-08,4.5
2006-05-09,4.5
2006-05-10,4.5
2006-05-11,4.5
2006-05-12,4.5
2006-05-15,4.5
2006-05-16,4.5
2006-05-17,4.5
2006-05-18,4.5
2006-05-19,4.5
2006-05-22,4.5
2006-05-23,4.5
2006-05-24,4.5
2006-05-25,4.5
2006-05-26,4.5
2006-05-29,4.5
2006-05-30,4.5
2006-05-31,4.5
2006-06-01,4.5
2006-06-02,4.5
2006-06-05,4.5
2006-06-06,4.5
2006-06-07,4.5
2006-06-08,4.5
2006-06-09,4.5
2006-06-12,4.5
2006-06-13,4.5
2006-06-14,4.5
2006-06-15,4.5
2006-06-16,4.5
2006-06-19,4.5
2006-06-20,4.5
2006-06-21,4.5
2006-06-22,4.75
2006-06-23,4.75
2006-06-26,4.75
2006-06-27,4.75
2006-06-28,4.75
2006-06-29,4.75
2006-06-30,4.75
2006-07-03,4.75
2006-07-04,4.75
2006-07-05,4.75
2006-07-06,4.75
2006-07-07,4.75
2006-07-10,4.75
2006-07-11,4.75
2006-07-12,4.75
2006-07-13,4.75
2006-07-14,4.75
2006-07-17,4.75
2006-07-18,4.75
2006-07-19,4.75
2006-07-20,4.75
2006-07-21,4.75
2006-07-24,4.75
2006-07-25,4.75
2006-07-26,4.75
2006-07-27,5.0
2006-07-28,5.0
2006-07-31,5.0
2006-08-01,5.0
2006-08-02,5.0
2006-08-03,5.0
2006-08-04,5.0
2006-08-07,5.0
2006-08-08,5.0
2006-08-09,5.0
2006-08-10,5.0
2006-08-11,5.0
2006-08-14,5.0
2006-08-15,5.0
2006-08-16,5.0
2006-08-17,5.0
2006-08-18,5.0
2006-08-21,5.0
2006-08-22,5.0
2006-08-23,5.0
2006-08-24,5.0
2006-08-25,5.0
2006-08-28,5.0
2006-08-29,5.0
2006-08-30,5.0
2006-08-31,5.0
2006-09-01,5.0
2006-09-04,5.0
2006-09-05,5.0
2006-09-06,5.0
2006-09-07,5.0
2006-09-08,5.0
2006-09-11,5.0
2006-09-12,5.0
2006-09-13,5.0
2006-09-14,5.0
2006-09-15,5.0
2006-09-18,5.0
2006-09-19,5.0
2006-09-20,5.0
2006-09-21,5.0
2006-09-22,5.0
2006-09-25,5.0
2006-09-26,5.0
2006-09-27,5.0
2006-09-28,5.0
2006-09-29,5.0
2006-10-02,5.0
2006-10-03,5.0
2006-10-04,5.0
2006-10-05,5.0
2006-10-06,5.0
2006-10-09,5.0
2006-10-10,5.0
2006-10-11,5.0
2006-10-12,5.0
2006-10-13,5.0
2006-10-16,5.0
2006-10-17,5.0
2006-10-18,5.0
2006-10-19,5.0
2006-10-20,5.0
2006-10-23,5.0
2006-10-24,5.0
2006-10-25,5.0
2006-10-26,5.0
2006-10-27,5.0
2006-10-30,5.0
2006-10-31,5.0
2006-11-01,5.0
2006-11-02,5.0
2006-11-03,5.0
2006-11-06,5.0
2006-11-07,5.0
2006-11-08,5.0
2006-11-09,5.0
2006-11-10,5.0
2006-11-13,5.0
2006-11-14,5.0
2006-11-15,5.0
2006-11-16,5.0
2006-11-17,5.0
2006-11-20,5.0
2006-11-21,5.0
2006-11-22,5.0
2006-11-23,5.0
2006-11-24,5.0
2006-11-27,5.0
2006-11-28,5.0
2006-11-29,5.0
2006-11-30,5.0
2006-12-01,5.0
2006-12-04,5.0
2006-12-05,5.0
2006-12-06,5.0
2006-12-07,5.0
2006-12-08,5.0
2006-12-11,5.0
2006-12-12,5.0
2006-12-13,5.0
2006-12-14,5.0
2006-12-15,5.0
2006-12-18,5.0
2006-12-19,5.0
2006-12-20,5.0
2006-12-21,5.0
2006-12-22,5.0
2006-12-25,5.0
2006-12-26,5.0
2006-12-27,5.0
2006-12-28,5.0
2006-12-29,5.0
2007-01-01,5.0
2007-01-02,5.0
2007-01-03,5.0
2007-01-04,5.0
2007-01-05,5.0
2007-01-08,5.0
2007-01-09,5.0
2007-01-10,5.0
2007-01-11,5.0
2007-01-12,5.0
2007-01-15,5.0
2007-01-16,5.0
2007-01-17,5.0
2007-01-18,5.0
2007-01-19,5.0
2007-01-22,5.0
2007-01-23,5.0
2007-01-24,5.0
2007-01-25,5.0
2007-01-26,5.0
2007-01-29,5.0
2007-01-30,5.0
2007-01-31,5.0
2007-02-01,5.0
2007-02-02,5.0
2007-02-05,5.0
2007-02-06,5.0
2007-02-07,5.0
2007-02-08,5.0
2007-02-09,5.0
2007-02-12,5.0
2007-02-13,5.0
2007-02-14,5.0
2007-02-15,5.0
2007-02-16,5.0
2007-02-19,5.0
2007-02-20,5.0
2007-02-21,5.0
2007-02-22,5.0
2007-02-23,5.0
2007-02-26,5.0
2007-02-27,5.0
2007-02-28,5.0
2007-03-01,5.0
2007-03-02,5.0
2007-03-05,5.0
2007-03-06,5.0
2007-03-07,5.0
2007-03-08,5.0
2007-03-09,5.0
2007-03-12,5.0
2007-03-13,5.0
2007-03-14,5.0
2007-03-15,5.0
2007-03-16,5.0
2007-03-19,5.0
2007-03-20,5.0
2007-03-21,5.0
2007-03-22,5.0
2007-03-23,5.0
2007-03-26,5.0
2007-03-27,5.0
2007-03-28,5.0
2007-03-29,5.25
2007-03-30,5.25
2007-04-02,5.25
2007-04-03,5.25
2007-04-04,5.25
2007-04-05,5.25
2007-04-06,5.25
2007-04-09,5.25
2007-04-10,5.25
2007-04-11,5.25
2007-04-12,5.25
2007-04-13,5.25
2007-04-16,5.25
2007-04-17,5.25
2007-04-18,5.25
2007-04-19,5.25
2007-04-20,5.25
2007-04-23,5.25
2007-04-24,5.25
2007-04-25,5.25
2007-04-26,5.5
2007-04-27,5.5
2007-04-30,5.5
2007-05-01,5.5
2007-05-02,5.5
2007-05-03,5.5
2007-05-04,5.5
2007-05-07,5.5
2007-05-08,5.5
2007-05-09,5.5
2007-05-10,5.5
2007-05-11,5.5
2007-05-14,5.5
2007-05-15,5.5
2007-05-16,5.5
2007-05-17,5.5
2007-05-18,5.5
2007-05-21,5.5
2007-05-22,5.5
2007-05-23,5.5
2007-05-24,5.5
2007-05-25,5.5
2007-05-28,5.5
2007-05-29,5.5
2007-05-30,5.5
2007-05-31,5.5
2007-06-01,5.5
2007-06-04,5.5
2007-06-05,5.5
2007-06-06,5.5
2007-06-07,5.5
2007-06-08,5.5
2007-06-11,5.5
2007-06-12,5.5
2007-06-13,5.5
2007-06-14,5.5
2007-06-15,5.5
2007-06-18,5.5
2007-06-19,5.5
2007-06-20,5.5
2007-06-21,5.5
2007-06-22,5.5
2007-06-25,5.5
2007-06-26,5.5
2007-06-27,5.5
2007-06-28,5.5
2007-06-29,5.5
2007-07-02,5.5
2007-07-03,5.5
2007-07-04,5.5
2007-07-05,5.5
2007-07-06,5.5
2007-07-09,5.5
2007-07-10,5.5
2007-07-11,5.5
2007-07-12,5.5
2007-07-13,5.5
2007-07-16,5.5
2007-07-17,5.5
2007-07-18,5.5
2007-07-19,5.5
2007-07-20,5.5
2007-07-23,5.5
2007-07-24,5.5
2007-07-25,5.5
2007-07-26,5.5
2007-07-27,5.5
2007-07-30,5.5
2007-07-31,5.5
2007-08-01,5.5
2007-08-02,5.5
2007-08-03,5.5
2007-08-06,5.5
2007-08-07,5.5
2007-08-08,5.5
2007-08-09,5.5
2007-08-10,5.5
2007-08-13,5.5
2007-08-14,5.5
2007-08-15,5.5
2007-08-16,5.5
2007-08-17,5.5
2007-08-20,5.5
2007-08-21,5.5
2007-08-22,5.5
2007-08-23,5.5
2007-08-24,5.5
2007-08-27,5.5
2007-08-28,5.5
2007-08-29,5.5
2007-08-30,5.5
2007-08-31,5.5
2007-09-03,5.5
2007-09-04,5.5
2007-09-05,5.5
2007-09-06,5.5
2007-09-07,5.5
2007-09-10,5.5
2007-09-11,5.5
2007-09-12,5.5
2007-09-13,5.5
2007-09-14,5.5
2007-09-17,5.5
2007-09-18,5.5
2007-09-19,5.5
2007-09-20,5.5
2007-09-21,5.5
2007-09-24,5.5
2007-09-25,5.5
2007-09-26,5.5
2007-09-27,5.75
2007-09-28,5.75
2007-10-01,5.75
2007-10-02,5.75
2007-10-03,5.75
2007-10-04,5.75
2007-10-05,5.75
2007-10-08,5.75
2007-10-09,5.75
2007-10-10,5.75
2007-10-11,5.75
2007-10-12,5.75
2007-10-15,5.75
2007-10-16,5.75
2007-10-17,5.75
2007-10-18,5.75
2007-10-19,5.75
2007-10-22,5.75
2007-10-23,5.75
2007-10-24,5.75
2007-10-25,5.75
2007-10-26,5.75
2007-10-29,5.75
2007-10-30,5.75
2007-10-31,5.75
2007-11-01,5.75
2007-11-02,6.0
2007-11-05,6.0
2007-11-06,6.0
2007-11-07,6.0
2007-11-08,6.0
2007-11-09,6.0
2007-11-12,6.0
2007-11-13,6.0
2007-11-14,6.0
2007-11-15,6.0
2007-11-16,6.0
2007-11-19,6.0
2007-11-20,6.0
2007-11-21,6.0
2007-11-22,6.0
2007-11-23,6.0
2007-11-26,6.0
2007-11-27,6.0
2007-11-28,6.0
2007-11-29,6.25
2007-11-30,6.25
2007-12-03,6.25
2007-12-04,6.25
2007-12-05,6.25
2007-12-06,6.25
2007-12-07,6.25
2007-12-10,6.25
2007-12-11,6.25
2007-12-12,6.25
2007-12-13,6.25
2007-12-14,6.25
2007-12-17,6.25
2007-12-18,6.25
2007-12-19,6.25
2007-12-20,6.25
2007-12-21,6.25
2007-12-24,6.25
2007-12-25,6.25
2007-12-26,6.25
2007-12-27,6.25
2007-12-28,6.25
2007-12-31,6.25
2008-01-01,7.25
2008-01-02,6.5
2008-01-03,6.5
2008-01-04,6.5
2008-01-07,6.5
2008-01-08,6.5
2008-01-09,6.5
2008-01-10,6.5
2008-01-11,6.5
2008-01-14,6.5
2008-01-15,6.5
2008-01-16,6.5
2008-01-17,6.5
2008-01-18,6.5
2008-01-21,6.5
2008-01-22,6.5
2008-01-23,6.5
2008-01-24,6.5
2008-01-25,6.5
2008-01-28,6.5
2008-01-29,6.5
2008-01-30,7.25
2008-01-31,6.5
2008-02-01,6.5
2008-02-04,6.5
2008-02-05,6.5
2008-02-06,6.5
2008-02-07,6.5
2008-02-08,6.5
2008-02-11,6.5
2008-02-12,6.5
2008-02-13,6.5
2008-02-14,6.5
2008-02-15,6.5
2008-02-18,6.5
2008-02-19,6.5
2008-02-20,6.5
2008-02-21,6.5
2008-02-22,6.5
2008-02-25,6.5
2008-02-26,6.5
2008-02-27,6.5
2008-02-28,6.5
2008-02-29,6.5
2008-03-03,6.5
2008-03-04,6.5
2008-03-05,6.5
2008-03-06,6.5
2008-03-07,6.5
2008-03-10,6.5
2008-03-11,6.5
2008-03-12,6.5
2008-03-13,6.5
2008-03-14,6.5
2008-03-17,6.5
2008-03-18,6.5
2008-03-19,6.5
2008-03-20,6.5
2008-03-21,6.5
2008-03-24,6.5
2008-03-25,6.5
2008-03-26,6.5
2008-03-27,6.75
2008-03-28,6.75
2008-03-31,6.75
2008-04-01,6.75
2008-04-02,6.75
2008-04-03,6.75
2008-04-04,6.75
2008-04-07,6.75
2008-04-08,6.75
2008-04-09,6.75
2008-04-10,6.75
2008-04-11,6.75
2008-04-14,6.75
2008-04-15,6.75
2008-04-16,6.75
2008-04-17,6.75
2008-04-18,6.75
2008-04-21,6.75
2008-04-22,6.75
2008-04-23,6.75
2008-04-24,6.75
2008-04-25,6.75
2008-04-28,6.75
2008-04-29,6.75
2008-04-30,6.75
2008-05-01,6.75
2008-05-02,6.75
2008-05-05,6.75
2008-05-06,6.75
2008-05-07,6.75
2008-05-08,6.75
2008-05-09,6.75
2008-05-12,6.75
2008-05-13,6.75
2008-05-14,6.75
2008-05-15,6.75
2008-05-16,6.75
2008-05-19,6.75
2008-05-20,6.75
2008-05-21,6.75
2008-05-22,6.75
2008-05-23,6.75
2008-05-26,6.75
2008-05-27,6.75
2008-05-28,6.75
2008-05-29,6.75
2008-05-30,6.75
2008-06-02,6.75
2008-06-03,6.75
2008-06-04,6.75
2008-06-05,6.75
2008-06-06,6.75
2008-06-09,6.75
2008-06-10,6.75
2008-06-11,6.75
2008-06-12,6.75
2008-06-13,6.75
2008-06-16,6.75
2008-06-17,6.75
2008-06-18,6.75
2008-06-19,6.75
2008-06-20,6.75
2008-06-23,6.75
2008-06-24,6.75
2008-06-25,6.75
2008-06-26,6.75
2008-06-27,6.75
2008-06-30,6.75
2008-07-01,6.75
2008-07-02,6.75
2008-07-03,6.75
2008-07-04,6.75
2008-07-07,6.75
2008-07-08,6.75
2008-07-09,6.75
2008-07-10,6.75
2008-07-11,6.75
2008-07-14,6.75
2008-07-15,6.75
2008-07-16,6.75
2008-07-17,6.75
2008-07-18,6.75
2008-07-21,6.75
2008-07-22,6.75
2008-07-23,6.75
2008-07-24,7.25
2008-07-25,7.25
2008-07-28,7.25
2008-07-29,7.25
2008-07-30,7.25
2008-07-31,7.25
2008-08-01,7.25
2008-08-04,7.25
2008-08-05,7.25
2008-08-06,7.25
2008-08-07,7.25
2008-08-08,7.25
2008-08-11,7.25
2008-08-12,7.25
2008-08-13,7.25
2008-08-14,7.25
2008-08-15,7.25
2008-08-18,7.25
2008-08-19,7.25
2008-08-20,7.25
2008-08-21,7.25
2008-08-22,7.25
2008-08-25,7.25
2008-08-26,7.25
2008-08-27,7.25
2008-08-28,7.25
2008-08-29,7.25
2008-09-01,7.25
2008-09-02,7.25
2008-09-03,7.25
2008-09-04,7.25
2008-09-05,7.25
2008-09-08,7.25
2008-09-09,7.25
2008-09-10,7.25
2008-09-11,7.25
2008-09-12,7.25
2008-09-15,7.25
2008-09-16,7.25
2008-09-17,7.25
2008-09-18,7.25
2008-09-19,7.25
2008-09-22,7.25
2008-09-23,7.25
2008-09-24,7.25
2008-09-25,7.25
2008-09-26,7.25
2008-09-29,7.25
2008-09-30,7.25
2008-10-01,7.25
2008-10-02,7.25
2008-10-03,7.25
2008-10-06,7.25
2008-10-07,7.25
2008-10-08,7.25
2008-10-09,7.25
2008-10-10,7.25
2008-10-13,7.25
2008-10-14,7.25
2008-10-15,7.25
2008-10-16,7.25
2008-10-17,7.25
2008-10-20,7.25
2008-10-21,7.25
2008-10-22,7.25
2008-10-23,7.25
2008-10-24,7.25
2008-10-27,7.25
2008-10-28,7.25
2008-10-29,7.25
2008-10-30,7.25
2008-10-31,7.25
2008-11-03,7.25
2008-11-04,7.25
2008-11-05,7.25
2008-11-06,7.25
2008-11-07,7.25
2008-11-10,7.25
2008-11-11,7.25
2008-11-12,7.25
2008-11-13,7.25
2008-11-14,7.25
2008-11-17,7.25
2008-11-18,7.25
2008-11-19,7.25
2008-11-20,7.25
2008-11-21,7.25
2008-11-24,7.25
2008-11-25,7.25
2008-11-26,7.25
2008-11-27,7.25
2008-11-28,7.25
2008-12-01,7.25
2008-12-02,7.25
2008-12-03,7.25
2008-12-04,7.25
2008-12-05,7.25
2008-12-08,7.25
2008-12-09,7.25
2008-12-10,7.25
2008-12-11,7.25
2008-12-12,7.25
2008-12-15,7.25
2008-12-16,7.25
2008-12-17,7.25
2008-12-18,7.25
2008-12-19,7.25
2008-12-22,7.25
2008-12-23,7.25
2008-12-24,7.25
2008-12-25,7.25
2008-12-26,7.25
2008-12-29,7.25
2008-12-30,7.25
2008-12-31,7.25
2009-01-01,7.25
2009-01-02,7.25
2009-01-05,7.25
2009-01-06,7.25
2009-01-07,7.25
2009-01-08,7.25
2009-01-09,7.25
2009-01-12,7.25
2009-01-13,7.25
2009-01-14,7.25
2009-01-15,7.25
2009-01-16,7.25
2009-01-19,7.25
2009-01-20,7.25
2009-01-21,7.25
2009-01-22,7.25
