DATE,BR_SOY_OIL_ENDING_INVENTORY
2011-04-30,366.85
2011-05-31,394.13
2011-06-30,388.12
2011-07-31,419.7
2011-08-31,399.98
2011-09-30,399.02
2011-10-31,518.77
2011-11-30,421.06
2011-12-31,390.63
2012-01-31,341.69
2012-02-29,342.88
2012-03-31,388.69
2012-04-30,432.69
2012-05-31,402.27
2012-06-30,410.56
2012-07-31,390.64
2012-08-31,373.18
2012-09-30,380.32
2012-10-31,371.94
2012-11-30,349.1
2012-12-31,314.12
2013-01-31,224.64
2013-02-28,245.33
2013-03-31,271.37
2013-04-30,306.59
2013-05-31,330.34
2013-06-30,390.94
2013-07-31,412.82
2013-08-31,390.2
2013-09-30,390.45
2013-10-31,322.29
2013-11-30,309.3
2013-12-31,288.43
2014-01-31,197.41
2014-02-28,212.51
2014-03-31,260.53
2014-04-30,294.13
2014-05-31,362.06
2014-06-30,385.72
2014-07-31,390.84
2014-08-31,370.1
2014-09-30,398.13
2014-10-31,374.12
2014-11-30,338.85
2014-12-31,327.59
2015-01-31,219.71
2015-02-28,215.67
2015-03-31,264.39
2015-04-30,267.98
2015-05-31,333.49
2015-06-30,393.52
2015-07-31,364.47
2015-08-31,344.85
2015-09-30,328.1
2015-10-31,292.29
2015-11-30,295.17
2015-12-31,241.66
2016-01-31,196.13
2016-02-29,280.28
2016-03-31,324.21
2016-04-30,375.38
2016-05-31,399.87
2016-06-30,418.11
2016-07-31,429.28
2016-08-31,357.17
2016-09-30,295.93
2016-10-31,328.37
2016-11-30,334.35
2016-12-31,355.78
2017-01-31,288.54
2017-02-28,291.36
2017-03-31,290.15
2017-04-30,302.27
2017-05-31,367.72
2017-06-30,423.6
2017-07-31,406.52
2017-08-31,338.88
2017-09-30,313.74
2017-10-31,328.44
2017-11-30,377.97
2017-12-31,410.59
2018-01-31,363.46
2018-02-28,396.15
2018-03-31,396.75
2018-04-30,394.34
2018-05-31,462.66
2018-06-30,467.16
2018-07-31,422.58
2018-08-31,409.17
2018-09-30,454.71
2018-10-31,375.52
2018-11-30,408.29
2018-12-31,406.77
2019-01-31,294.88
2019-02-28,320.63
2019-03-31,354.59
2019-04-30,397.33
2019-05-31,388.34
2019-06-30,477.88
2019-07-31,421.32
2019-08-31,380.69
2019-09-30,337.92
2019-10-31,315.92
2019-11-30,321.98
2019-12-31,296.16
2020-01-31,265.75
2020-02-29,274.46
2020-03-31,258.09
2020-04-30,331.5
2020-05-31,396.03
2020-06-30,358.84
2020-07-31,384.41
2020-08-31,357.6
2020-09-30,375.0
2020-10-31,392.44
2020-11-30,367.81
2020-12-31,412.11
2021-01-31,334.21
2021-02-28,299.16
2021-03-31,323.25
2021-04-30,350.03
2021-05-31,403.32
2021-06-30,501.76
2021-07-31,491.23
2021-08-31,474.76
2021-09-30,508.48
2021-10-31,515.88
2021-11-30,497.61
2021-12-31,489.64
2022-01-31,515.19
2022-02-28,496.3
2022-03-31,586.31
2022-04-30,595.6
2022-05-31,554.84
2022-06-30,529.87
2022-07-31,592.0
2022-08-31,567.56
2022-09-30,567.6
2022-10-31,568.34
2022-11-30,557.73
2022-12-31,519.66
2023-01-31,402.99
2023-02-28,376.34
2023-03-31,406.47
2023-04-30,435.31
2023-05-31,389.29
2023-06-30,342.39
2023-07-31,360.2
2023-08-31,385.36
2023-09-30,355.58
2023-10-31,378.69
2023-11-30,300.42
2023-12-31,312.28
2024-01-31,253.79
2024-02-29,242.24
2024-03-31,279.52
2024-04-30,297.33
2024-05-31,345.56
2024-06-30,359.52
2024-07-31,331.05
2024-08-31,323.04
2024-09-30,345.22
2024-10-31,349.71
2024-11-30,343.15
2024-12-31,466.01
2025-01-31,345.45
