DATE,GT_CPI
2020-02-29,79.87
2020-03-31,80.25
2020-04-30,80.83
2020-05-31,80.98
2020-06-30,82.12
2020-07-31,82.46
2020-08-31,82.79
2020-09-30,82.92
2020-10-31,83.8
2020-11-30,84.27
2020-12-31,84.26
2021-01-31,84.39
2021-02-28,84.66
2021-03-31,84.94
2021-04-30,85.03
2021-05-31,85.17
2021-06-30,85.33
2021-07-31,85.61
2021-08-31,85.79
2021-09-30,85.97
2021-10-31,86.28
2021-11-30,86.7
2021-12-31,86.85
2022-01-31,86.81
2022-02-28,87.18
2022-03-31,88.48
2022-04-30,88.96
2022-05-31,90.12
2022-06-30,91.77
2022-07-31,92.76
2022-08-31,93.4
2022-09-30,93.73
2022-10-31,94.65
2022-11-30,94.65
2022-12-31,94.87
2023-01-31,95.23
2023-02-28,95.83
2023-03-31,96.19
2023-04-30,96.36
2023-05-31,96.01
2023-06-30,96.3
2023-07-31,96.97
2023-08-31,97.58
2023-09-30,98.13
2023-10-31,99.37
2023-11-30,98.72
2023-12-31,98.83
2024-01-31,98.86
2024-02-29,98.99
2024-03-31,99.3
2024-04-30,99.59
2024-05-31,99.62
2024-06-30,99.78
2024-07-31,100.64
2024-08-31,100.58
2024-09-30,100.2
2024-10-31,100.53
2024-11-30,100.36
2024-12-31,100.51
2025-01-31,101.02
2025-02-28,100.77
2025-03-31,100.86
