DATE,BR_SOY_MEAL_DOMESTIC_CONSUMPTION
2010-08-31,1210.44
2010-09-30,1213.14
2010-10-31,1086.32
2010-11-30,1087.74
2010-12-31,976.13
2011-01-31,930.45
2011-02-28,853.53
2011-03-31,1080.09
2011-04-30,1237.92
2011-05-31,1229.43
2011-06-30,1337.81
2011-07-31,1216.91
2011-08-31,1164.18
2011-09-30,1291.95
2011-10-31,1179.31
2011-11-30,1113.71
2011-12-31,1123.13
2012-01-31,1000.05
2012-02-29,1092.59
2012-03-31,1360.92
2012-04-30,1277.34
2012-05-31,1283.61
2012-06-30,1296.74
2012-07-31,1225.09
2012-08-31,1173.47
2012-09-30,1017.58
2012-10-31,1126.0
2012-11-30,1124.18
2012-12-31,1073.48
2013-01-31,954.4
2013-02-28,1054.2
2013-03-31,1182.39
2013-04-30,1359.26
2013-05-31,1324.91
2013-06-30,1329.41
2013-07-31,1228.4
2013-08-31,1217.28
2013-09-30,1263.36
2013-10-31,1236.97
2013-11-30,1182.43
2013-12-31,1016.75
2014-01-31,1146.5
2014-02-28,1036.5
2014-03-31,1223.23
2014-04-30,1193.35
2014-05-31,1310.07
2014-06-30,1270.46
2014-07-31,1333.73
2014-08-31,1270.95
2014-09-30,1306.59
2014-10-31,1366.58
2014-11-30,1176.05
2014-12-31,1165.25
2015-01-31,1303.8
2015-02-28,1130.29
2015-03-31,1347.19
2015-04-30,1277.64
2015-05-31,1436.89
2015-06-30,1412.1
2015-07-31,1521.4
2015-08-31,1335.14
2015-09-30,1336.33
2015-10-31,1403.88
2015-11-30,1275.34
2015-12-31,1236.58
2016-01-31,1156.11
2016-02-29,1283.58
2016-03-31,1371.69
2016-04-30,1345.24
2016-05-31,1370.55
2016-06-30,1376.58
2016-07-31,1305.22
2016-08-31,1338.79
2016-09-30,1331.09
2016-10-31,1358.21
2016-11-30,1322.39
2016-12-31,1277.3
2017-01-31,1219.99
2017-02-28,1255.13
2017-03-31,1458.15
2017-04-30,1296.12
2017-05-31,1431.69
2017-06-30,1402.32
2017-07-31,1495.68
2017-08-31,1524.81
2017-09-30,1450.72
2017-10-31,1229.52
2017-11-30,1405.5
2017-12-31,1115.44
2018-01-31,1483.12
2018-02-28,1140.78
2018-03-31,1363.1
2018-04-30,1356.77
2018-05-31,1101.17
2018-06-30,1580.18
2018-07-31,1504.27
2018-08-31,1595.73
2018-09-30,1358.94
2018-10-31,1551.3
2018-11-30,1399.68
2018-12-31,1306.33
2019-01-31,1341.0
2019-02-28,1721.39
2019-03-31,1337.71
2019-04-30,1631.96
2019-05-31,1370.62
2019-06-30,1263.22
2019-07-31,1665.69
2019-08-31,1374.95
2019-09-30,1267.84
2019-10-31,1732.81
2019-11-30,1331.85
2019-12-31,1207.4
2020-01-31,1432.72
2020-02-29,1415.02
2020-03-31,1527.67
2020-04-30,1539.15
2020-05-31,1482.72
2020-06-30,1570.13
2020-07-31,1733.04
2020-08-31,1696.46
2020-09-30,1739.45
2020-10-31,1772.07
2020-11-30,1481.9
2020-12-31,1562.15
2021-01-31,1346.26
2021-02-28,1355.9
2021-03-31,1547.11
2021-04-30,1664.91
2021-05-31,1625.35
2021-06-30,1627.14
2021-07-31,1868.27
2021-08-31,1661.75
2021-09-30,1674.15
2021-10-31,1657.27
2021-11-30,1587.6
2021-12-31,1697.82
2022-01-31,1098.76
2022-02-28,1409.03
2022-03-31,1494.24
2022-04-30,1597.12
2022-05-31,1728.74
2022-06-30,1673.42
2022-07-31,1626.98
2022-08-31,1770.2
2022-09-30,1497.72
2022-10-31,1602.13
2022-11-30,1682.66
2022-12-31,1480.14
2023-01-31,1458.06
2023-02-28,1494.25
2023-03-31,1973.48
2023-04-30,1709.76
2023-05-31,1765.87
2023-06-30,1756.15
2023-07-31,1831.95
2023-08-31,1794.78
2023-09-30,1755.71
2023-10-31,1629.44
2023-11-30,1675.28
2023-12-31,1666.68
2024-01-31,1532.21
2024-02-29,1467.18
2024-03-31,1573.36
2024-04-30,1577.03
2024-05-31,1456.22
2024-06-30,1567.29
2024-07-31,1657.03
2024-08-31,1545.3
2024-09-30,1483.5
2024-10-31,1587.99
2024-11-30,1582.01
2024-12-31,1552.03
2025-01-31,1706.99
