DATE,US_CATTLE_ON_FEED
2016-01-31,10.709
2016-02-29,10.77
2016-03-31,10.853
2016-04-30,10.783
2016-05-31,10.804
2016-06-30,10.356
2016-07-31,10.165
2016-08-31,10.135
2016-09-30,10.256
2016-10-31,10.665
2016-11-30,10.652
2016-12-31,10.605
2017-01-31,10.782
2017-02-28,10.772
2017-03-31,10.919
2017-04-30,10.998
2017-05-31,11.096
2017-06-30,10.821
2017-07-31,10.604
2017-08-31,10.504
2017-09-30,10.813
2017-10-31,11.332
2017-11-30,11.516
2017-12-31,11.489
2018-01-31,11.63
2018-02-28,11.715
2018-03-31,11.729
2018-04-30,11.558
2018-05-31,11.553
2018-06-30,11.287
2018-07-31,11.093
2018-08-31,11.125
2018-09-30,11.4
2018-10-31,11.692
2018-11-30,11.739
2018-12-31,11.68
2019-01-31,11.676
2019-02-28,11.785
2019-03-31,11.953
2019-04-30,11.807
2019-05-31,11.728
2019-06-30,11.48
2019-07-31,11.112
2019-08-31,10.982
2019-09-30,11.288
2019-10-31,11.816
2019-11-30,12.031
2019-12-31,11.968
2020-01-31,11.938
2020-02-29,11.821
2020-03-31,11.307
2020-04-30,11.21
2020-05-31,11.691
2020-06-30,11.458
2020-07-31,11.304
2020-08-31,11.419
2020-09-30,11.752
2020-10-31,12.008
2020-11-30,12.071
2020-12-31,12.002
2021-01-31,12.151
2021-02-28,12.045
2021-03-31,11.942
2021-04-30,11.776
2021-05-31,11.749
2021-06-30,11.35
2021-07-31,11.129
2021-08-31,11.289
2021-09-30,11.605
2021-10-31,12.003
2021-11-30,12.04
2021-12-31,12.092
2022-01-31,12.259
2022-02-28,12.243
2022-03-31,12.195
2022-04-30,12.072
2022-05-31,11.951
2022-06-30,11.455
2022-07-31,11.339
2022-08-31,11.392
2022-09-30,11.559
2022-10-31,11.786
2022-11-30,11.738
2022-12-31,11.727
2023-01-31,11.754
2023-02-28,11.685
2023-03-31,11.647
2023-04-30,11.654
2023-05-31,11.59
2023-06-30,11.243
2023-07-31,11.064
2023-08-31,11.127
2023-09-30,11.604
2023-10-31,11.956
2023-11-30,12.016
2023-12-31,11.93
2024-01-31,11.797
2024-02-29,11.838
2024-03-31,11.826
2024-04-30,11.554
2024-05-31,11.583
2024-06-30,11.304
2024-07-31,11.095
2024-08-31,11.198
2024-09-30,11.6
2024-10-31,11.966
2024-11-30,11.982
2024-12-31,11.823
2025-01-31,11.716
2025-02-28,11.577
