DATE,BR_ETHANOL_ANHYDROUS_OTHERS
2015-06-01,239.0
2015-06-16,278.0
2015-07-01,317.0
2015-07-16,217.0
2015-08-01,336.0
2015-08-16,347.0
2015-09-01,356.0
2015-09-16,265.0
2015-10-01,320.0
2015-10-16,241.0
2015-11-01,308.0
2015-11-16,241.0
2015-12-01,163.0
2015-12-16,128.0
2016-01-01,20.0
2016-01-16,8.0
2016-02-01,9.0
2016-02-16,-9.0
2016-03-01,4.0
2016-03-16,17.0
2016-04-01,35.0
2016-04-16,123.0
2016-05-01,187.0
2016-05-16,238.0
2016-06-01,239.0
2016-06-16,254.0
2016-07-01,347.0
2016-07-16,367.0
2016-08-01,402.0
2016-08-16,371.0
2016-09-01,312.0
2016-09-16,329.0
2016-10-01,347.0
2016-10-16,273.0
2016-11-01,269.0
2016-11-16,199.0
2016-12-01,119.0
2016-12-16,40.0
2017-01-01,-6.0
2017-01-16,6.0
2017-02-01,-16.0
2017-02-16,-19.0
2017-03-01,-13.0
2017-03-16,-29.0
2017-04-01,-10.0
2017-04-16,69.0
2017-05-01,141.0
2017-05-16,263.0
2017-06-01,244.0
2017-06-16,292.0
2017-07-01,365.0
2017-07-16,377.0
2017-08-01,421.0
2017-08-16,383.0
2017-09-01,340.0
2017-09-16,386.0
2017-10-01,381.0
2017-10-16,283.0
2017-11-01,258.0
2017-11-16,180.0
2017-12-01,117.0
2017-12-16,41.0
2018-01-01,29.0
2018-01-16,32.0
2018-02-01,37.0
2018-02-16,-28.0
2018-03-01,-5.0
2018-03-16,10.0
2018-04-01,21.0
2018-04-16,60.0
2018-05-01,195.0
2018-05-16,279.0
2018-06-01,198.0
2018-06-16,286.0
2018-07-01,322.0
2018-07-16,340.0
2018-08-01,364.0
2018-08-16,268.0
2018-09-01,319.0
2018-09-16,297.0
2018-10-01,202.0
2018-10-16,195.0
2018-11-01,182.0
2018-11-16,166.0
2018-12-01,120.0
2018-12-16,52.0
2019-01-01,30.0
2019-01-16,31.0
2019-02-01,20.0
2019-02-16,34.0
2019-03-01,9.0
2019-03-16,23.0
2019-04-01,55.0
2019-04-16,34.0
2019-05-01,131.0
2019-05-16,208.0
2019-06-01,291.0
2019-06-16,308.0
2019-07-01,343.0
2019-07-16,315.0
2019-08-01,350.0
2019-08-16,312.0
2019-09-01,311.0
2019-09-16,278.0
2019-10-01,253.0
2019-10-16,284.0
2019-11-01,257.0
2019-11-16,160.0
2019-12-01,135.0
2019-12-16,66.0
2020-01-01,44.0
2020-01-16,30.0
2020-02-01,42.0
2020-02-16,40.0
2020-03-01,11.0
2020-03-16,8.0
2020-04-01,31.0
2020-04-16,59.0
2020-05-01,167.0
2020-05-16,198.0
2020-06-01,230.0
2020-06-16,244.0
2020-07-01,278.0
2020-07-16,307.0
2020-08-01,335.0
2020-08-16,343.0
2020-09-01,302.0
2020-09-16,363.0
2020-10-01,338.0
2020-10-16,337.0
2020-11-01,273.0
2020-11-16,233.0
2020-12-01,185.0
2020-12-16,94.0
2021-01-01,54.0
2021-01-16,40.0
2021-02-01,37.0
2021-02-16,46.0
2021-03-01,18.0
2021-03-16,-2.0
2021-04-01,18.0
2021-04-16,77.0
2021-05-01,177.0
2021-05-16,258.0
2021-06-01,345.0
2021-06-16,308.0
2021-07-01,377.0
2021-07-16,396.0
2021-08-01,452.0
2021-08-16,442.0
2021-09-01,455.0
2021-09-16,410.0
2021-10-01,397.0
2021-10-16,297.0
2021-11-01,285.0
2021-11-16,218.0
2021-12-01,145.0
2021-12-16,80.0
2022-01-01,127.0
2022-01-16,106.0
2022-02-01,96.0
2022-02-16,94.0
2022-03-01,56.0
2022-03-16,101.0
2022-04-01,146.0
2022-04-16,38.0
2022-05-01,83.0
2022-05-16,273.0
2022-06-01,372.0
2022-06-16,348.0
2022-07-01,423.0
2022-07-16,462.0
2022-08-01,489.0
2022-08-16,419.0
2022-09-01,441.0
2022-09-16,441.0
2022-10-01,336.0
2022-10-16,334.0
2022-11-01,384.0
2022-11-16,331.0
2022-12-01,324.0
2022-12-16,221.0
2023-01-01,127.0
2023-01-16,106.0
2023-02-01,96.0
2023-02-16,94.0
2023-03-01,56.0
2023-03-16,101.0
2023-04-01,142.0
2023-04-16,180.0
2023-05-01,182.0
2023-05-16,413.0
2023-06-01,433.0
2023-06-16,477.0
2023-07-01,474.0
2023-07-16,498.0
2023-08-01,482.0
2023-08-16,468.0
2023-09-01,420.0
2023-09-16,429.0
2023-10-01,404.0
2023-10-16,368.0
2023-11-01,336.0
2023-11-16,302.0
2023-12-01,198.0
2023-12-16,159.0
2024-01-01,123.0
2024-01-16,119.0
2024-02-01,98.0
2024-02-16,85.0
2024-03-01,77.0
2024-03-16,59.0
2024-04-01,63.0
2024-04-16,76.0
2024-05-01,195.0
2024-05-16,350.0
2024-06-01,418.0
2024-06-16,468.0
2024-07-01,440.0
2024-07-16,410.0
2024-08-01,464.0
2024-08-16,428.0
2024-09-01,475.0
2024-09-16,435.0
2024-10-01,408.0
2024-10-16,383.0
2024-11-01,347.0
2024-11-16,291.0
2025-01-01,158.0
2025-01-16,132.0
2025-02-01,166.0
2025-02-16,111.0
2025-03-01,71.0
2025-03-16,71.0
