DATE,BR_CATTLE_PRICE
2003-03-19,56.43
2003-03-20,56.37
2003-03-21,56.06
2003-03-24,56.15
2003-03-25,55.84
2003-03-26,55.83
2003-03-27,55.78
2003-03-28,55.79
2003-03-31,55.84
2003-04-01,55.88
2003-04-02,55.83
2003-04-03,55.84
2003-04-04,55.83
2003-04-07,55.86
2003-04-08,55.62
2003-04-09,55.6
2003-04-10,55.32
2003-04-11,55.15
2003-04-14,55.12
2003-04-15,55.2
2003-04-16,55.04
2003-04-17,55.05
2003-04-22,55.05
2003-04-23,54.9
2003-04-24,54.78
2003-04-25,54.67
2003-04-28,53.93
2003-04-29,53.61
2003-04-30,53.32
2003-05-02,52.74
2003-05-05,51.88
2003-05-06,51.88
2003-05-07,51.86
2003-05-08,51.91
2003-05-09,51.83
2003-05-12,51.9
2003-05-13,51.94
2003-05-14,52.01
2003-05-15,51.99
2003-05-16,52.01
2003-05-19,52.13
2003-05-20,52.19
2003-05-21,52.16
2003-05-22,52.14
2003-05-23,52.06
2003-05-26,52.04
2003-05-27,51.91
2003-05-28,51.99
2003-05-29,51.94
2003-05-30,51.96
2003-06-02,52.02
2003-06-03,52.05
2003-06-04,52.03
2003-06-05,52.0
2003-06-06,51.92
2003-06-09,52.03
2003-06-10,52.11
2003-06-11,52.16
2003-06-12,52.21
2003-06-13,52.28
2003-06-16,52.3
2003-06-17,52.85
2003-06-18,52.86
2003-06-20,52.88
2003-06-23,53.06
2003-06-24,53.24
2003-06-25,53.7
2003-06-26,53.87
2003-06-27,53.98
2003-06-30,54.22
2003-07-01,54.64
2003-07-02,54.68
2003-07-03,54.86
2003-07-04,54.96
2003-07-07,55.05
2003-07-08,55.06
2003-07-10,55.11
2003-07-11,55.12
2003-07-14,55.11
2003-07-15,55.12
2003-07-16,54.94
2003-07-17,54.87
2003-07-18,54.72
2003-07-21,54.74
2003-07-22,54.55
2003-07-23,54.69
2003-07-24,54.47
2003-07-25,54.76
2003-07-28,54.82
2003-07-29,54.91
2003-07-30,54.94
2003-07-31,55.13
2003-08-01,55.14
2003-08-04,55.45
2003-08-05,55.48
2003-08-06,55.68
2003-08-07,55.9
2003-08-08,56.19
2003-08-11,56.24
2003-08-12,56.3
2003-08-13,56.58
2003-08-14,56.87
2003-08-15,57.08
2003-08-18,57.24
2003-08-19,57.5
2003-08-20,57.76
2003-08-21,58.17
2003-08-22,58.37
2003-08-25,58.55
2003-08-26,58.58
2003-08-27,58.59
2003-08-28,58.54
2003-08-29,58.58
2003-09-01,58.68
2003-09-02,58.97
2003-09-03,59.14
2003-09-04,59.2
2003-09-05,59.24
2003-09-08,59.23
2003-09-09,59.23
2003-09-10,59.19
2003-09-11,59.09
2003-09-12,59.01
2003-09-15,58.99
2003-09-16,58.94
2003-09-17,58.91
2003-09-18,58.9
2003-09-19,58.94
2003-09-22,58.97
2003-09-23,59.01
2003-09-24,58.97
2003-09-25,58.99
2003-09-26,58.97
2003-09-29,58.97
2003-09-30,58.98
2003-10-01,59.0
2003-10-02,59.06
2003-10-03,58.94
2003-10-06,58.99
2003-10-07,59.03
2003-10-08,59.0
2003-10-09,59.01
2003-10-10,59.05
2003-10-13,59.09
2003-10-14,59.12
2003-10-15,59.07
2003-10-16,59.12
2003-10-17,59.12
2003-10-20,59.15
2003-10-21,59.14
2003-10-22,59.23
2003-10-23,59.33
2003-10-24,59.51
2003-10-27,59.56
2003-10-28,59.7
2003-10-29,59.74
2003-10-30,59.91
2003-10-31,60.0
2003-11-03,60.17
2003-11-04,60.29
2003-11-05,60.31
2003-11-06,60.45
2003-11-07,60.48
2003-11-10,60.56
2003-11-11,60.52
2003-11-12,60.51
2003-11-13,60.58
2003-11-14,60.56
2003-11-17,60.42
2003-11-18,60.3
2003-11-19,60.35
2003-11-20,60.28
2003-11-21,60.22
2003-11-24,60.22
2003-11-25,60.11
2003-11-26,60.14
2003-11-27,60.13
2003-11-28,60.11
2003-12-01,60.27
2003-12-02,60.19
2003-12-03,60.17
2003-12-04,60.06
2003-12-05,60.03
2003-12-08,60.12
2003-12-09,60.09
2003-12-10,60.07
2003-12-11,60.04
2003-12-12,59.97
2003-12-15,59.98
2003-12-16,60.04
2003-12-17,60.06
2003-12-18,59.98
2003-12-19,60.06
2003-12-22,60.05
2003-12-23,60.09
2003-12-26,60.14
2003-12-29,60.3
2003-12-30,60.37
2004-01-02,60.47
2004-01-05,60.53
2004-01-06,60.68
2004-01-07,60.74
2004-01-08,60.81
2004-01-09,60.98
2004-01-12,60.98
2004-01-13,60.94
2004-01-14,60.92
2004-01-15,60.77
2004-01-16,60.65
2004-01-19,60.5
2004-01-20,60.21
2004-01-21,59.94
2004-01-22,59.56
2004-01-23,59.42
2004-01-26,59.21
2004-01-27,59.09
2004-01-28,59.07
2004-01-29,59.09
2004-01-30,59.11
2004-02-02,59.23
2004-02-03,59.02
2004-02-04,58.89
2004-02-05,58.82
2004-02-06,58.82
2004-02-09,58.79
2004-02-10,58.73
2004-02-11,58.66
2004-02-12,58.6
2004-02-13,58.54
2004-02-16,58.48
2004-02-17,58.4
2004-02-18,58.34
2004-02-19,58.24
2004-02-20,58.25
2004-02-25,58.25
2004-02-26,58.28
2004-02-27,58.3
2004-03-01,58.32
2004-03-02,58.31
2004-03-03,58.32
2004-03-04,58.29
2004-03-05,58.26
2004-03-08,58.21
2004-03-09,58.18
2004-03-10,58.12
2004-03-11,58.07
2004-03-12,58.02
2004-03-15,58.02
2004-03-16,57.93
2004-03-17,57.79
2004-03-18,57.75
2004-03-19,57.77
2004-03-22,57.89
2004-03-23,57.83
2004-03-24,57.92
2004-03-25,57.87
2004-03-26,57.89
2004-03-29,57.95
2004-03-30,57.91
2004-03-31,57.85
2004-04-01,57.88
2004-04-02,57.84
2004-04-05,57.88
2004-04-06,57.85
2004-04-07,57.84
2004-04-08,57.81
2004-04-12,57.9
2004-04-13,57.95
2004-04-14,57.98
2004-04-15,57.96
2004-04-16,57.99
2004-04-19,58.09
2004-04-20,58.1
2004-04-22,58.16
2004-04-23,58.2
2004-04-26,58.34
2004-04-27,58.39
2004-04-28,58.62
2004-04-29,58.7
2004-04-30,58.67
2004-05-03,58.73
2004-05-04,58.81
2004-05-05,58.79
2004-05-06,58.86
2004-05-07,58.89
2004-05-10,58.95
2004-05-11,59.06
2004-05-12,59.23
2004-05-13,59.42
2004-05-14,59.48
2004-05-17,59.53
2004-05-18,59.61
2004-05-19,59.75
2004-05-20,59.72
2004-05-21,59.76
2004-05-24,59.76
2004-05-25,59.75
2004-05-26,59.81
2004-05-27,59.85
2004-05-28,60.05
2004-05-31,60.15
2004-06-01,60.37
2004-06-02,60.46
2004-06-03,60.63
2004-06-04,60.66
2004-06-07,60.73
2004-06-08,60.71
2004-06-09,60.7
2004-06-11,60.68
2004-06-14,60.77
2004-06-15,60.7
2004-06-16,60.65
2004-06-17,60.73
2004-06-18,60.56
2004-06-21,60.54
2004-06-22,60.54
2004-06-23,60.52
2004-06-24,60.33
2004-06-25,60.19
2004-06-28,60.03
2004-06-29,59.89
2004-06-30,59.89
2004-07-01,59.94
2004-07-02,60.11
2004-07-05,60.09
2004-07-06,60.01
2004-07-07,59.95
2004-07-08,59.94
2004-07-12,59.97
2004-07-13,59.97
2004-07-14,60.06
2004-07-15,60.06
2004-07-16,60.19
2004-07-19,60.24
2004-07-20,60.27
2004-07-21,60.3
2004-07-22,60.4
2004-07-23,60.44
2004-07-26,60.67
2004-07-27,60.86
2004-07-28,61.01
2004-07-29,61.21
2004-07-30,61.32
2004-08-02,61.37
2004-08-03,61.61
2004-08-04,61.66
2004-08-05,61.74
2004-08-06,61.75
2004-08-09,61.8
2004-08-10,61.8
2004-08-11,61.8
2004-08-12,61.79
2004-08-13,61.75
2004-08-16,61.71
2004-08-17,61.69
2004-08-18,61.67
2004-08-19,61.65
2004-08-20,61.62
2004-08-23,61.56
2004-08-24,61.48
2004-08-25,61.34
2004-08-26,61.3
2004-08-27,61.26
2004-08-30,61.24
2004-08-31,61.23
2004-09-01,61.22
2004-09-02,61.11
2004-09-03,61.07
2004-09-06,61.02
2004-09-08,61.0
2004-09-09,60.89
2004-09-10,60.82
2004-09-13,60.73
2004-09-14,60.4
2004-09-15,60.17
2004-09-16,59.95
2004-09-17,59.89
2004-09-20,59.66
2004-09-21,59.45
2004-09-22,59.3
2004-09-23,59.14
2004-09-24,58.93
2004-09-27,58.89
2004-09-28,58.82
2004-09-29,58.77
2004-09-30,58.77
2004-10-01,58.79
2004-10-04,58.8
2004-10-05,58.91
2004-10-06,58.95
2004-10-07,58.99
2004-10-08,59.07
2004-10-11,59.12
2004-10-13,59.18
2004-10-14,59.6
2004-10-15,59.65
2004-10-18,59.68
2004-10-19,59.7
2004-10-20,59.91
2004-10-21,59.99
2004-10-22,60.1
2004-10-25,60.12
2004-10-26,60.29
2004-10-27,60.46
2004-10-28,60.68
2004-10-29,60.73
2004-11-01,60.75
2004-11-03,60.93
2004-11-04,60.98
2004-11-05,61.11
2004-11-08,61.15
2004-11-09,61.32
2004-11-10,61.41
2004-11-11,61.48
2004-11-12,61.61
2004-11-16,61.66
2004-11-17,61.83
2004-11-18,61.84
2004-11-19,62.08
2004-11-22,62.09
2004-11-23,62.09
2004-11-24,62.22
2004-11-25,62.4
2004-11-26,62.51
2004-11-29,62.59
2004-11-30,62.67
2004-12-01,62.76
2004-12-02,62.68
2004-12-03,62.63
2004-12-06,62.1
2004-12-07,61.94
2004-12-08,61.68
2004-12-09,61.63
2004-12-10,61.4
2004-12-13,61.14
2004-12-14,60.86
2004-12-15,60.81
2004-12-16,60.76
2004-12-17,60.6
2004-12-20,60.59
2004-12-21,60.41
2004-12-22,60.41
2004-12-23,60.41
2004-12-27,60.41
2004-12-28,60.51
2004-12-29,60.56
2004-12-30,60.57
2005-01-03,60.57
2005-01-04,60.6
2005-01-05,60.6
2005-01-06,60.64
2005-01-07,60.66
2005-01-10,60.59
2005-01-11,60.47
2005-01-12,60.26
2005-01-13,60.08
2005-01-14,59.95
2005-01-17,59.67
2005-01-18,59.49
2005-01-19,59.41
2005-01-20,59.03
2005-01-21,58.85
2005-01-24,58.43
2005-01-25,58.32
2005-01-26,58.31
2005-01-27,58.31
2005-01-28,58.3
2005-01-31,58.3
2005-02-01,58.27
2005-02-02,58.15
2005-02-03,58.08
2005-02-04,58.03
2005-02-09,58.04
2005-02-10,58.04
2005-02-11,58.07
2005-02-14,58.09
2005-02-15,58.14
2005-02-16,58.17
2005-02-17,58.24
2005-02-18,58.25
2005-02-21,58.38
2005-02-22,58.4
2005-02-23,58.47
2005-02-24,58.45
2005-02-25,58.43
2005-02-28,58.37
2005-03-01,58.13
2005-03-02,57.82
2005-03-03,57.73
2005-03-04,57.71
2005-03-07,57.71
2005-03-08,57.67
2005-03-09,57.61
2005-03-10,57.56
2005-03-11,57.48
2005-03-14,57.35
2005-03-15,57.33
2005-03-16,57.24
2005-03-17,57.14
2005-03-18,57.07
2005-03-21,56.98
2005-03-22,56.63
2005-03-23,56.6
2005-03-24,56.55
2005-03-28,56.43
2005-03-29,56.44
2005-03-30,56.41
2005-03-31,56.42
2005-04-01,56.41
2005-04-04,56.46
2005-04-05,56.55
2005-04-06,56.51
2005-04-07,56.48
2005-04-08,56.46
2005-04-11,56.32
2005-04-12,56.18
2005-04-13,55.67
2005-04-14,55.28
2005-04-15,55.27
2005-04-18,55.15
2005-04-19,54.72
2005-04-20,54.58
2005-04-22,54.5
2005-04-25,54.34
2005-04-26,54.31
2005-04-27,54.23
2005-04-28,54.23
2005-04-29,54.25
2005-05-02,54.26
2005-05-03,54.27
2005-05-04,54.28
2005-05-05,54.3
2005-05-06,54.29
2005-05-09,54.3
2005-05-10,54.33
2005-05-11,54.36
2005-05-12,54.44
2005-05-13,54.46
2005-05-16,54.5
2005-05-17,54.52
2005-05-18,54.48
2005-05-19,54.4
2005-05-20,54.3
2005-05-23,54.01
2005-05-24,53.91
2005-05-25,53.87
2005-05-27,53.88
2005-05-30,53.85
2005-05-31,53.85
2005-06-01,53.85
2005-06-02,53.88
2005-06-03,53.9
2005-06-06,53.9
2005-06-07,53.89
2005-06-08,53.89
2005-06-09,53.91
2005-06-10,53.93
2005-06-13,53.94
2005-06-14,53.95
2005-06-15,53.93
2005-06-16,53.92
2005-06-17,53.87
2005-06-20,53.83
2005-06-21,53.73
2005-06-22,53.65
2005-06-23,53.62
2005-06-24,53.57
2005-06-27,53.56
2005-06-28,53.51
2005-06-29,53.48
2005-06-30,53.45
2005-07-01,53.42
2005-07-04,53.34
2005-07-05,53.28
2005-07-06,53.21
2005-07-07,53.1
2005-07-08,53.03
2005-07-11,52.85
2005-07-12,52.78
2005-07-13,52.65
2005-07-14,52.59
2005-07-15,52.55
2005-07-18,52.54
2005-07-19,52.46
2005-07-20,52.35
2005-07-21,52.17
2005-07-22,52.15
2005-07-25,52.06
2005-07-26,52.04
2005-07-27,52.04
2005-07-28,52.05
2005-07-29,52.06
2005-08-01,52.1
2005-08-02,52.16
2005-08-03,52.25
2005-08-04,52.2
2005-08-05,52.16
2005-08-08,52.13
2005-08-09,52.01
2005-08-10,52.0
2005-08-11,51.91
2005-08-12,51.9
2005-08-15,51.88
2005-08-16,51.78
2005-08-17,51.6
2005-08-18,51.19
2005-08-19,50.9
2005-08-22,50.82
2005-08-23,50.71
2005-08-24,50.57
2005-08-25,50.29
2005-08-26,50.18
2005-08-29,49.86
2005-08-30,49.76
2005-08-31,49.43
2005-09-01,49.36
2005-09-02,49.35
2005-09-05,49.31
2005-09-06,49.29
2005-09-08,49.23
2005-09-09,49.09
2005-09-12,49.07
2005-09-13,49.1
2005-09-14,49.15
2005-09-15,49.26
2005-09-16,49.42
2005-09-19,49.48
2005-09-20,49.61
2005-09-21,49.77
2005-09-22,50.15
2005-09-23,50.53
2005-09-26,50.85
2005-09-27,51.26
2005-09-28,51.86
2005-09-29,52.44
2005-09-30,52.94
2005-10-03,53.78
2005-10-04,54.66
2005-10-05,55.47
2005-10-06,56.4
2005-10-07,57.58
2005-10-10,58.4
2005-10-11,58.43
2005-10-13,57.84
2005-10-14,56.91
2005-10-17,56.42
2005-10-18,56.27
2005-10-19,56.18
2005-10-20,55.68
2005-10-21,55.42
2005-10-24,53.48
2005-10-25,52.55
2005-10-26,52.4
2005-10-27,53.31
2005-10-28,53.97
2005-10-31,54.32
2005-11-01,54.45
2005-11-03,55.08
2005-11-04,55.72
2005-11-07,56.41
2005-11-08,57.06
2005-11-09,57.93
2005-11-10,58.26
2005-11-11,58.31
2005-11-14,58.03
2005-11-16,57.82
2005-11-17,57.33
2005-11-18,56.53
2005-11-21,55.75
2005-11-22,55.65
2005-11-23,55.03
2005-11-24,54.85
2005-11-25,54.45
2005-11-28,54.12
2005-11-29,53.89
2005-11-30,53.6
2005-12-01,53.58
2005-12-02,53.59
2005-12-05,53.54
2005-12-06,52.81
2005-12-07,52.41
2005-12-08,51.89
2005-12-09,50.92
2005-12-12,50.81
2005-12-13,50.61
2005-12-14,50.59
2005-12-15,50.5
2005-12-16,50.6
2005-12-19,50.95
2005-12-20,51.02
2005-12-21,51.4
2005-12-22,51.58
2005-12-23,51.8
2005-12-26,51.92
2005-12-27,51.99
2005-12-28,51.99
2005-12-29,51.97
2006-01-02,51.4
2006-01-03,51.4
2006-01-04,51.3
2006-01-05,51.26
2006-01-06,50.82
2006-01-09,50.37
2006-01-10,50.03
2006-01-11,49.83
2006-01-12,49.72
2006-01-13,49.67
2006-01-16,49.53
2006-01-17,49.46
2006-01-18,49.03
2006-01-19,48.68
2006-01-20,48.61
2006-01-23,48.41
2006-01-24,48.43
2006-01-25,48.45
2006-01-26,48.58
2006-01-27,48.84
2006-01-30,48.89
2006-01-31,49.41
2006-02-01,49.79
2006-02-02,50.15
2006-02-03,50.44
2006-02-06,50.87
2006-02-07,51.3
2006-02-08,51.21
2006-02-09,50.94
2006-02-10,50.84
2006-02-13,50.85
2006-02-14,50.77
2006-02-15,50.41
2006-02-16,50.56
2006-02-17,50.52
2006-02-20,50.29
2006-02-21,50.25
2006-02-22,50.12
2006-02-23,50.13
2006-02-24,50.13
2006-03-01,50.16
2006-03-02,50.12
2006-03-03,50.13
2006-03-06,50.1
2006-03-07,50.1
2006-03-08,50.14
2006-03-09,50.15
2006-03-10,50.15
2006-03-13,50.13
2006-03-14,49.92
2006-03-15,49.79
2006-03-16,49.6
2006-03-17,49.56
2006-03-20,49.57
2006-03-21,49.49
2006-03-22,49.23
2006-03-23,49.0
2006-03-24,48.94
2006-03-27,48.81
2006-03-28,48.84
2006-03-29,48.87
2006-03-30,48.94
2006-03-31,48.96
2006-04-03,49.49
2006-04-04,49.54
2006-04-05,49.6
2006-04-06,49.87
2006-04-07,50.0
2006-04-10,50.24
2006-04-11,50.27
2006-04-12,50.44
2006-04-13,50.7
2006-04-17,50.82
2006-04-18,50.91
2006-04-19,50.82
2006-04-20,50.75
2006-04-24,50.66
2006-04-25,50.4
2006-04-26,50.16
2006-04-27,50.0
2006-04-28,49.97
2006-05-02,49.8
2006-05-03,49.72
2006-05-04,49.58
2006-05-05,49.53
2006-05-08,49.38
2006-05-09,49.22
2006-05-10,49.15
2006-05-11,49.07
2006-05-12,48.91
2006-05-15,48.88
2006-05-16,48.81
2006-05-17,48.44
2006-05-18,48.36
2006-05-19,48.37
2006-05-22,48.32
2006-05-23,48.26
2006-05-24,48.25
2006-05-25,48.26
2006-05-26,48.4
2006-05-29,48.53
2006-05-30,48.7
2006-05-31,48.77
2006-06-01,48.9
2006-06-02,49.03
2006-06-05,49.1
2006-06-06,49.07
2006-06-07,49.0
2006-06-08,48.82
2006-06-09,48.75
2006-06-12,48.74
2006-06-13,48.75
2006-06-14,48.75
2006-06-16,48.77
2006-06-19,48.8
2006-06-20,48.78
2006-06-21,48.78
2006-06-22,48.77
2006-06-23,48.77
2006-06-26,48.75
2006-06-27,48.76
2006-06-28,48.77
2006-06-29,48.77
2006-06-30,48.78
2006-07-03,48.77
2006-07-04,48.77
2006-07-05,48.86
2006-07-06,48.85
2006-07-07,48.89
2006-07-10,49.08
2006-07-11,49.12
2006-07-12,49.19
2006-07-13,49.3
2006-07-14,49.63
2006-07-17,50.01
2006-07-18,50.28
2006-07-19,50.49
2006-07-20,50.57
2006-07-21,51.25
2006-07-24,51.33
2006-07-25,51.61
2006-07-26,51.88
2006-07-27,52.87
2006-07-28,53.63
2006-07-31,54.22
2006-08-01,55.12
2006-08-02,55.17
2006-08-03,55.28
2006-08-04,56.05
2006-08-07,56.2
2006-08-08,56.25
2006-08-09,56.06
2006-08-10,56.06
2006-08-11,56.11
2006-08-14,56.06
2006-08-15,56.02
2006-08-16,55.9
2006-08-17,55.75
2006-08-18,55.66
2006-08-21,55.66
2006-08-22,55.65
2006-08-23,55.67
2006-08-24,55.71
2006-08-25,55.84
2006-08-28,55.96
2006-08-29,56.23
2006-08-30,56.48
2006-08-31,56.74
2006-09-01,56.74
2006-09-04,56.74
2006-09-05,56.79
2006-09-06,56.85
2006-09-08,56.94
2006-09-11,57.3
2006-09-12,58.23
2006-09-13,58.66
2006-09-14,58.74
2006-09-15,59.14
2006-09-18,59.3
2006-09-19,59.39
2006-09-20,59.72
2006-09-21,60.29
2006-09-22,60.46
2006-09-25,60.59
2006-09-26,60.73
2006-09-27,60.95
2006-09-28,61.13
2006-09-29,61.6
2006-10-02,61.81
2006-10-03,62.41
2006-10-04,62.88
2006-10-05,63.01
2006-10-06,63.01
2006-10-09,63.03
2006-10-10,63.05
2006-10-11,63.06
2006-10-13,63.1
2006-10-16,63.15
2006-10-17,63.07
2006-10-18,62.19
2006-10-19,61.9
2006-10-20,61.54
2006-10-23,60.49
2006-10-24,59.66
2006-10-25,59.49
2006-10-26,59.35
2006-10-27,59.24
2006-10-30,58.88
2006-10-31,58.3
2006-11-01,57.79
2006-11-03,57.69
2006-11-06,56.95
2006-11-07,56.6
2006-11-08,56.45
2006-11-09,55.99
2006-11-10,55.78
2006-11-13,55.6
2006-11-14,55.56
2006-11-16,55.29
2006-11-17,55.26
2006-11-20,55.13
2006-11-21,55.06
2006-11-22,54.91
2006-11-23,53.7
2006-11-24,53.28
2006-11-27,52.6
2006-11-28,52.35
2006-11-29,52.49
2006-11-30,52.59
2006-12-01,52.87
2006-12-04,53.41
2006-12-05,53.94
2006-12-06,54.33
2006-12-07,54.83
2006-12-08,54.95
2006-12-11,54.97
2006-12-12,54.31
2006-12-13,54.0
2006-12-14,53.8
2006-12-15,53.36
2006-12-18,52.91
2006-12-19,52.67
2006-12-20,52.52
2006-12-21,52.52
2006-12-22,52.59
2006-12-26,52.69
2006-12-27,52.71
2006-12-28,52.79
2007-01-02,53.03
2007-01-03,53.09
2007-01-04,53.15
2007-01-05,53.24
2007-01-08,53.28
2007-01-09,53.33
2007-01-10,53.31
2007-01-11,53.39
2007-01-12,53.41
2007-01-15,53.56
2007-01-16,53.58
2007-01-17,53.62
2007-01-18,53.72
2007-01-19,53.75
2007-01-22,53.77
2007-01-23,53.79
2007-01-24,53.8
2007-01-25,53.83
2007-01-26,53.87
2007-01-29,53.96
2007-01-30,53.97
2007-01-31,54.04
