DATE,BR_ETHANOL_ANHYDROUS
2015-06-01,604.0
2015-06-16,637.0
2015-07-01,788.0
2015-07-16,528.0
2015-08-01,892.0
2015-08-16,893.0
2015-09-01,919.0
2015-09-16,597.0
2015-10-01,799.0
2015-10-16,667.0
2015-11-01,781.0
2015-11-16,553.0
2015-12-01,426.0
2015-12-16,374.0
2016-01-01,51.0
2016-01-16,19.0
2016-02-01,9.0
2016-02-16,-17.0
2016-03-01,2.0
2016-03-16,18.0
2016-04-01,79.0
2016-04-16,387.0
2016-05-01,541.0
2016-05-16,652.0
2016-06-01,574.0
2016-06-16,437.0
2016-07-01,837.0
2016-07-16,848.0
2016-08-01,915.0
2016-08-16,819.0
2016-09-01,734.0
2016-09-16,705.0
2016-10-01,809.0
2016-10-16,665.0
2016-11-01,626.0
2016-11-16,459.0
2016-12-01,362.0
2016-12-16,123.0
2017-01-01,6.0
2017-01-16,2.0
2017-02-01,-49.0
2017-02-16,-69.0
2017-03-01,-34.0
2017-03-16,-70.0
2017-04-01,-17.0
2017-04-16,162.0
2017-05-01,334.0
2017-05-16,643.0
2017-06-01,554.0
2017-06-16,694.0
2017-07-01,834.0
2017-07-16,846.0
2017-08-01,940.0
2017-08-16,863.0
2017-09-01,756.0
2017-09-16,887.0
2017-10-01,896.0
2017-10-16,686.0
2017-11-01,647.0
2017-11-16,465.0
2017-12-01,301.0
2017-12-16,143.0
2018-01-01,41.0
2018-01-16,36.0
2018-02-01,40.0
2018-02-16,-45.0
2018-03-01,-35.0
2018-03-16,-5.0
2018-04-01,39.0
2018-04-16,137.0
2018-05-01,446.0
2018-05-16,658.0
2018-06-01,547.0
2018-06-16,701.0
2018-07-01,799.0
2018-07-16,791.0
2018-08-01,864.0
2018-08-16,632.0
2018-09-01,776.0
2018-09-16,697.0
2018-10-01,494.0
2018-10-16,456.0
2018-11-01,407.0
2018-11-16,358.0
2018-12-01,221.0
2018-12-16,89.0
2019-01-01,53.0
2019-01-16,27.0
2019-02-01,7.0
2019-02-16,-1.0
2019-03-01,-15.0
2019-03-16,-3.0
2019-04-01,79.0
2019-04-16,74.0
2019-05-01,319.0
2019-05-16,561.0
2019-06-01,725.0
2019-06-16,738.0
2019-07-01,815.0
2019-07-16,724.0
2019-08-01,837.0
2019-08-16,732.0
2019-09-01,801.0
2019-09-16,684.0
2019-10-01,615.0
2019-10-16,689.0
2019-11-01,643.0
2019-11-16,427.0
2019-12-01,297.0
2019-12-16,117.0
2020-01-01,40.0
2020-01-16,31.0
2020-02-01,44.0
2020-02-16,40.0
2020-03-01,8.0
2020-03-16,-24.0
2020-04-01,4.0
2020-04-16,179.0
2020-05-01,437.0
2020-05-16,504.0
2020-06-01,545.0
2020-06-16,564.0
2020-07-01,596.0
2020-07-16,673.0
2020-08-01,740.0
2020-08-16,719.0
2020-09-01,661.0
2020-09-16,750.0
2020-10-01,783.0
2020-10-16,762.0
2020-11-01,638.0
2020-11-16,501.0
2020-12-01,352.0
2020-12-16,142.0
2021-01-01,61.0
2021-01-16,34.0
2021-02-01,32.0
2021-02-16,30.0
2021-03-01,5.0
2021-03-16,-6.0
2021-04-01,1.0
2021-04-16,108.0
2021-05-01,340.0
2021-05-16,603.0
2021-06-01,802.0
2021-06-16,711.0
2021-07-01,859.0
2021-07-16,889.0
2021-08-01,979.0
2021-08-16,922.0
2021-09-01,955.0
2021-09-16,883.0
2021-10-01,843.0
2021-10-16,589.0
2021-11-01,527.0
2021-11-16,387.0
2021-12-01,237.0
2021-12-16,115.0
2022-01-01,146.0
2022-01-16,112.0
2022-02-01,111.0
2022-02-16,90.0
2022-03-01,55.0
2022-03-16,100.0
2022-04-01,162.0
2022-04-16,12.0
2022-05-01,231.0
2022-05-16,591.0
2022-06-01,779.0
2022-06-16,749.0
2022-07-01,860.0
2022-07-16,949.0
2022-08-01,1004.0
2022-08-16,852.0
2022-09-01,947.0
2022-09-16,903.0
2022-10-01,694.0
2022-10-16,710.0
2022-11-01,796.0
2022-11-16,672.0
2022-12-01,500.0
2022-12-16,270.0
2023-01-01,145.0
2023-01-16,112.0
2023-02-01,110.0
2023-02-16,90.0
2023-03-01,55.0
2023-03-16,100.0
2023-04-01,158.0
2023-04-16,287.0
2023-05-01,350.0
2023-05-16,839.0
2023-06-01,920.0
2023-06-16,884.0
2023-07-01,879.0
2023-07-16,965.0
2023-08-01,984.0
2023-08-16,923.0
2023-09-01,890.0
2023-09-16,868.0
2023-10-01,833.0
2023-10-16,697.0
2023-11-01,707.0
2023-11-16,639.0
2023-12-01,469.0
2023-12-16,351.0
2024-01-01,172.0
2024-01-16,123.0
2024-02-01,94.0
2024-02-16,73.0
2024-03-01,27.0
2024-03-16,31.0
2024-04-01,99.0
2024-04-16,148.0
2024-05-01,420.0
2024-05-16,737.0
2024-06-01,837.0
2024-06-16,928.0
2024-07-01,888.0
2024-07-16,836.0
2024-08-01,947.0
2024-08-16,829.0
2024-09-01,891.0
2024-09-16,839.0
2024-10-01,794.0
2024-10-16,722.0
2024-11-01,650.0
2024-11-16,450.0
2025-01-01,184.0
2025-01-16,138.0
2025-02-01,164.0
2025-02-16,117.0
2025-03-01,60.0
2025-03-16,75.0
