DATE,BR_SOY_EXPORTS
2011-03-31,2650.15
2011-04-30,3707.8
2011-05-31,3590.25
2011-06-30,2477.5
2011-07-31,2019.52
2011-08-31,2130.23
2011-09-30,1256.59
2011-10-31,1133.74
2011-11-30,1201.29
2011-12-31,1144.04
2012-01-31,688.17
2012-02-29,1895.15
2012-03-31,3146.17
2012-04-30,3548.89
2012-05-31,3405.52
2012-06-30,2567.27
2012-07-31,2053.92
2012-08-31,1249.54
2012-09-30,484.19
2012-10-31,225.42
2012-11-30,37.83
2012-12-31,24.0
2013-01-31,16.0
2013-02-28,1739.26
2013-03-31,3485.1
2013-04-30,5137.98
2013-05-31,4496.44
2013-06-30,3974.68
2013-07-31,3027.6
2013-08-31,2014.83
2013-09-30,1383.67
2013-10-31,503.87
2013-11-30,158.32
2013-12-31,115.05
2014-01-31,201.75
2014-02-28,3261.77
2014-03-31,4952.21
2014-04-30,5574.42
2014-05-31,4858.94
2014-06-30,4678.12
2014-07-31,3437.89
2014-08-31,1911.98
2014-09-30,961.64
2014-10-31,239.15
2014-11-30,72.38
2014-12-31,0.0
2015-01-31,128.12
2015-02-28,2035.54
2015-03-31,4939.24
2015-04-30,6554.22
2015-05-31,5569.66
2015-06-30,5587.42
2015-07-31,4196.6
2015-08-31,3054.97
2015-09-30,2070.64
2015-10-31,1227.99
2015-11-30,582.65
2015-12-31,166.22
2016-01-31,193.63
2016-02-29,3207.45
2016-03-31,6583.58
2016-04-30,7436.86
2016-05-31,6162.77
2016-06-30,4799.62
2016-07-31,3331.33
2016-08-31,1602.69
2016-09-30,829.34
2016-10-31,507.31
2016-11-30,165.07
2016-12-31,605.59
2017-01-31,1336.18
2017-02-28,4570.51
2017-03-31,7244.28
2017-04-30,7730.38
2017-05-31,6898.86
2017-06-30,6563.92
2017-07-31,4464.03
2017-08-31,4057.67
2017-09-30,2143.74
2017-10-31,2108.19
2017-11-30,1723.67
2017-12-31,1854.84
2018-01-31,1344.6
2018-02-28,4695.54
2018-03-31,8159.49
2018-04-30,8765.2
2018-05-31,7633.67
2018-06-30,7139.29
2018-07-31,5752.73
2018-08-31,4503.39
2018-09-30,3473.01
2018-10-31,3440.51
2018-11-30,3166.17
2018-12-31,2232.87
2019-01-31,2006.8
2019-02-28,4232.49
2019-03-31,6596.23
2019-04-30,6721.59
2019-05-31,6849.48
2019-06-30,5199.4
2019-07-31,3769.57
2019-08-31,3700.3
2019-09-30,3531.63
2019-10-31,3832.69
2019-11-30,3469.22
2019-12-31,2259.85
2020-01-31,1362.61
2020-02-29,4849.43
2020-03-31,9198.25
2020-04-30,10430.3
2020-05-31,10037.66
2020-06-30,8171.72
2020-07-31,5296.49
2020-08-31,4313.63
2020-09-30,3200.17
2020-10-31,1900.57
2020-11-30,716.97
2020-12-31,33.62
2021-01-31,123.89
2021-02-28,3416.74
2021-03-31,8292.04
2021-04-30,10693.59
2021-05-31,10001.36
2021-06-30,7068.45
2021-07-31,5788.48
2021-08-31,4054.68
2021-09-30,3375.89
2021-10-31,2602.93
2021-11-30,1694.08
2021-12-31,2059.92
2022-01-31,1993.45
2022-02-28,5521.65
2022-03-31,7399.41
2022-04-30,7660.55
2022-05-31,6897.78
2022-06-30,6278.26
2022-07-31,4589.58
2022-08-31,3109.28
2022-09-30,2820.66
2022-10-31,2545.89
2022-11-30,1503.84
2022-12-31,1300.44
2023-01-31,762.73
2023-02-28,5299.52
2023-03-31,10893.62
2023-04-30,10766.82
2023-05-31,11077.69
2023-06-30,10271.33
2023-07-31,7857.32
2023-08-31,5635.14
2023-09-30,5027.93
2023-10-31,4711.42
2023-11-30,3343.99
2023-12-31,3351.52
2024-01-31,2147.2
2024-02-29,6155.89
2024-03-31,8871.64
2024-04-30,8606.91
2024-05-31,8789.5
2024-06-30,8805.72
2024-07-31,6232.12
2024-08-31,5696.08
2024-09-30,3971.39
2024-10-31,3499.35
2024-11-30,2017.05
2024-12-31,1429.41
2025-01-31,870.41
