Year,Quarter,Av_Calf_Price_Arroba,Av_Calf_Price_PV_Arroba,Av_Cattle_Price,Av_Cattle_Price_PV_Arroba,Av_Cattle_to_Calf,Month,Date,Cattle_Slaughter_Heads,Female_Calves_Slaughter_Heads,Male_Calves_Slaughter_Heads,Cows_Slaughter_heads,Total_Slaughter_Heads,Adult_Slaughter_Heads,Calves_Slaughter_Heads,Percentage_of_Females_Slaughtered,Percentage_of_Calves_Slaughtered,Quarter_Text
2003,2,32.320625952473875,107.16214410089187,53.24327868852459,176.54364894858145,1.6473428128548802,6,2003-06-01,2735720.0,220930.0,489549.0,1672236.0,5118435.0,4407956.0,710479.0,0.3793676706391806,0.1388078582613631,2003Q2
2003,3,31.63478627924824,104.06839588255343,56.99323076923077,187.46257523430816,1.8017935429679175,9,2003-09-01,2819112.0,255585.0,574960.0,1632417.0,5282074.0,4451529.0,830545.0,0.36670928123797464,0.15723842566385854,2003Q3
2003,4,31.613850765009527,102.65634646835755,59.867619047619044,194.39813131689854,1.8937069740542347,12,2003-12-01,3216154.0,291425.0,659390.0,1731602.0,5898571.0,4947756.0,950815.0,0.349977242208387,0.1611941265096241,2003Q4
2004,1,31.257748960700173,99.6801430668519,58.91580645161291,187.89204653603537,1.884785337692839,3,2004-03-01,2946294.0,324736.0,548460.0,2144997.0,5964487.0,5091291.0,873196.0,0.421307090873415,0.146399179007348,2004Q1
2004,2,31.24849857484102,98.20942507948864,59.36112903225806,186.55161657168014,1.899575283661112,6,2004-06-01,3178249.0,401986.0,581707.0,2255722.0,6417664.0,5433971.0,983693.0,0.415114839589685,0.15327898126171766,2004Q2
2004,3,31.34159210193282,96.4505227517519,60.65359375,186.65238679565311,1.9352461933763505,9,2004-09-01,3405271.0,451193.0,676057.0,2389331.0,6921852.0,5794602.0,1127250.0,0.41233737882256627,0.16285381426820453,2004Q3
2004,4,31.081874692946396,94.09270154110972,60.85737704918033,184.21827165925671,1.957982680927576,12,2004-12-01,3348547.0,360670.0,751394.0,2140483.0,6601094.0,5489030.0,1112064.0,0.3899565132637278,0.16846662083587963,2004Q4
2005,1,30.711522043991337,91.15939967014187,58.31016393442623,173.08847082389195,1.8985051100608252,3,2005-03-01,2918582.0,410909.0,569125.0,2541242.0,6439858.0,5459824.0,980034.0,0.46544394105011444,0.15218254812450835,2005Q1
2005,2,29.809256199524828,86.91475820623744,54.443174603174604,158.74115916300127,1.826368112056064,6,2005-06-01,3352746.0,504063.0,667495.0,2787149.0,7311453.0,6139895.0,1171558.0,0.45394082472094394,0.16023600233770224,2005Q2
2005,3,28.574898596996743,82.80092691848463,51.30815384615385,148.6782537117783,1.7954041060529211,9,2005-09-01,3586433.0,509801.0,753543.0,2538225.0,7388002.0,6124658.0,1263344.0,0.41442722189549197,0.17099941229035942,2005Q3
2005,4,27.937212587490677,79.72448894658848,54.36409836065574,155.1494823468756,1.9457304311875177,12,2005-12-01,3314227.0,434523.0,693457.0,2413385.0,6855592.0,5727612.0,1127980.0,0.4213597219923417,0.1645342955065004,2005Q4
2006,1,27.36741430452177,76.9902714429153,49.87920634920635,140.32027207656608,1.822552857820545,3,2006-03-01,3135987.0,434476.0,602218.0,2902011.0,7074692.0,6037998.0,1036694.0,0.480624703751144,0.14653556649533295,2006Q1
2006,2,29.057554860858026,81.23684295708898,49.25836065573771,137.71166326592785,1.6972835321366295,6,2006-06-01,3407847.0,518980.0,663116.0,2931670.0,7521613.0,6339517.0,1182096.0,0.46244374768614077,0.15715990705716978,2006Q2
2006,3,29.590352814898345,82.57607931755895,55.070625,153.67403906505942,1.8605409622521456,9,2006-09-01,3957617.0,482166.0,715803.0,2776768.0,7932354.0,6734385.0,1197969.0,0.41232688656796423,0.15102313890681127,2006Q3
2006,4,30.033328012704782,83.11214784212179,56.831,157.29406882748316,1.8915135209785305,12,2006-12-01,3945407.0,475497.0,758028.0,2644758.0,7823690.0,6590165.0,1233525.0,0.40131893511012245,0.1576653727333266,2006Q4
2007,1,30.639775638536566,83.69414210424962,54.85967741935484,149.85722825387094,1.7911846288957114,3,2007-03-01,3733561.0,502208.0,633825.0,3081031.0,7950625.0,6814592.0,1136033.0,0.45212259222562406,0.14288599952833897,2007Q1
2007,2,33.65719200993571,91.09601481921533,56.23370967741935,152.20397468226193,1.6711629458320498,6,2007-06-01,3743164.0,499442.0,612154.0,2879677.0,7734437.0,6622841.0,1111596.0,0.4348099252269532,0.14372035094474234,2007Q2
2007,3,36.37593677956582,97.58417463106005,62.50650793650794,167.69108683530467,1.719159548602658,9,2007-09-01,4212794.0,417036.0,617566.0,2370435.0,7617831.0,6583229.0,1034602.0,0.36007178240343757,0.13581319932143415,2007Q3
2007,4,38.35832160843522,101.83550398791343,69.84466666666667,185.39016391041167,1.8197229793798864,12,2007-12-01,4106104.0,371792.0,643924.0,2260331.0,7382151.0,6366435.0,1015716.0,0.35503873046689394,0.13759079162699328,2007Q4
2008,1,40.56272759587787,105.90975629659087,75.20229508196722,196.36170575457874,1.8543744045097121,3,2008-03-01,3419655.0,467264.0,522262.0,2837361.0,7246542.0,6257016.0,989526.0,0.45346871416023227,0.13655147517257196,2008Q1
2008,2,50.402090602411334,129.1575166968789,83.13516129032259,213.082858308176,1.6563995059499204,6,2008-06-01,3865712.0,467912.0,579627.0,2700413.0,7613664.0,6566125.0,1047539.0,0.4112643301795199,0.13758671252106738,2008Q2
2008,3,59.568311449696075,150.38983422014275,91.20615384615384,230.26810650904125,1.531054651854366,9,2008-09-01,4060970.0,381930.0,609254.0,2088610.0,7140764.0,6149580.0,991184.0,0.3396345766702767,0.13880643583795796,2008Q3
2008,4,56.08677660363583,140.15495508991248,87.30174603174603,218.16100041399812,1.5562601679565184,12,2008-12-01,3795283.0,338206.0,629077.0,1922777.0,6685343.0,5718060.0,967283.0,0.3362638727120737,0.1446871162781027,2008Q4
2009,1,50.93357094264486,125.7089687094155,80.94852459016393,199.80669422323774,1.5892363481918819,3,2009-03-01,3308886.0,395681.0,474375.0,2308640.0,6487582.0,5617526.0,870056.0,0.4109709505572382,0.13411098310587827,2009Q1
2009,2,51.03866601881808,124.42579287848005,80.13000000000001,195.33782738965067,1.5709493779493913,6,2009-06-01,3670717.0,462872.0,490767.0,2273830.0,6898186.0,5944547.0,953639.0,0.3825068588069032,0.13824489510720644,2009Q2
2009,3,48.32211519578267,116.85641862037845,78.89046875,190.78020255977452,1.6339558893152133,9,2009-09-01,4069539.0,471355.0,629774.0,2030600.0,7201268.0,6100139.0,1101129.0,0.33287766065658503,0.15290765459638497,2009Q3
2009,4,47.852136190738634,114.70211081660999,75.43533333333333,180.82716063404763,1.579590168996133,12,2009-12-01,4324188.0,401986.0,599373.0,2142945.0,7468492.0,6467133.0,1001359.0,0.33135935197250466,0.13407780312277232,2009Q4
2010,1,49.61560029739057,116.73683821454873,77.34901639344262,181.9839667630138,1.56145846986404,3,2010-03-01,3803915.0,457982.0,514036.0,2303284.0,7079217.0,6107199.0,972018.0,0.3771424510647189,0.13730586306366932,2010Q1
2010,2,55.97787459832418,129.83327512021629,81.75709677419354,189.6285770155286,1.4628152114647504,6,2010-06-01,4241874.0,484794.0,586325.0,2278182.0,7591175.0,6520056.0,1071119.0,0.34941141609826665,0.14110055426202137,2010Q2
2010,3,53.97144545004244,124.77288283376276,88.878125,205.46255381433443,1.6481184275664327,9,2010-09-01,4319698.0,435070.0,614698.0,2029146.0,7398612.0,6348844.0,1049768.0,0.31960873507051046,0.14188715396887958,2010Q3
2010,4,59.33258393227233,134.66593551391776,106.15524590163935,240.93961189415225,1.7892327247521271,12,2010-12-01,3994794.0,419680.0,614243.0,2160500.0,7189217.0,6155294.0,1033923.0,0.35099866878820085,0.1438158008027856,2010Q4
2011,1,58.73454570260744,130.28473657336258,104.27709677419355,231.30188974730245,1.777209784098241,3,2011-03-01,3572159.0,493869.0,441319.0,2589040.0,7096387.0,6161199.0,935188.0,0.4202169090788984,0.13178368090691783,2011Q1
2011,2,60.61705650532121,131.89434536899296,100.50032258064518,218.68068800691557,1.6594589896117031,6,2011-06-01,3581534.0,518865.0,435315.0,2527168.0,7062882.0,6108702.0,954180.0,0.4136996697498094,0.13509782550522578,2011Q2
2011,3,58.76426803664243,126.80786930903623,99.73369230769231,215.22187286489242,1.6978805993298993,9,2011-09-01,3997953.0,448297.0,543160.0,2288076.0,7277486.0,6286029.0,991457.0,0.3639938663980074,0.136236194751869,2011Q3
2011,4,58.435065013976725,124.31974510842825,102.55245901639344,218.15982273105203,1.757379688196496,12,2011-12-01,4054135.0,436405.0,595968.0,2276835.0,7363343.0,6330970.0,1032373.0,0.35963446359720547,0.14020438814272268,2011Q4
2012,1,55.74004102025167,116.91215106278588,96.64666666666666,202.712427265679,1.735574559377332,3,2012-03-01,3589752.0,533415.0,346567.0,2750268.0,7220002.0,6340020.0,879982.0,0.43379484607304075,0.12188112967281726,2012Q1
2012,2,54.84280948181171,113.65150599447067,93.76645161290323,194.31859220180493,1.7105285590324877,6,2012-06-01,3882960.0,655216.0,387728.0,2732343.0,7658247.0,6615303.0,1042944.0,0.4130336887063223,0.13618573545616902,2012Q2
2012,3,53.5718357145445,109.86684599540149,92.37,189.41736543648543,1.7245408728894642,9,2012-09-01,4323096.0,610575.0,483802.0,2635452.0,8052925.0,6958548.0,1094377.0,0.37873590869819396,0.13589807430219455,2012Q3
2012,4,55.453774553515736,111.76567215440886,96.48649999999999,194.46863946273004,1.741480870712899,12,2012-12-01,4315644.0,639027.0,735328.0,2497567.0,8187566.0,6813211.0,1374355.0,0.3665770809094273,0.16785879955044025,2012Q4
2013,1,56.98875826379317,112.41506432088333,97.90866666666666,193.11402762848587,1.7197340815666045,3,2013-03-01,3929004.0,786861.0,376268.0,3035675.0,8127808.0,6964679.0,1163129.0,0.43586718066977675,0.1431048814145216,2013Q1
2013,2,60.620428960324006,117.89693920800049,98.96285714285715,192.4768144854436,1.635127229065271,6,2013-06-01,4245495.0,868928.0,408194.0,3014132.0,8536749.0,7259627.0,1277122.0,0.4151910284095863,0.14960285232703924,2013Q2
2013,3,63.071647851425574,121.92274805490047,103.53876923076922,200.14522507714605,1.642187156441619,9,2013-09-01,4798081.0,743948.0,574680.0,2742616.0,8859325.0,7540697.0,1318628.0,0.36370855373183675,0.1488406848151524,2013Q3
2013,4,66.98257238399053,127.54335594838655,110.00790322580644,209.46677229266132,1.6431328186720595,12,2013-12-01,4994132.0,676634.0,619719.0,2597703.0,8888188.0,7591835.0,1296353.0,0.3421706346357633,0.14585121286813466,2013Q4
2014,1,72.31181664636469,134.80465399808585,118.70508196721312,221.28027508944785,1.642416606189555,3,2014-03-01,3993691.0,863763.0,447977.0,3067441.0,8372872.0,7061132.0,1311740.0,0.43441207443792296,0.156665478703126,2014Q1
2014,2,80.34302167035166,146.85786042206112,122.65754098360655,224.2096848399837,1.5274447390774184,6,2014-06-01,4317627.0,882370.0,438998.0,2899909.0,8538904.0,7217536.0,1321368.0,0.401786565387412,0.15474679185993892,2014Q2
2014,3,79.869452520695,144.84032316785252,123.73261538461539,224.37222052186215,1.5497068912195402,9,2014-09-01,4627826.0,719751.0,561864.0,2561439.0,8470880.0,7189265.0,1281615.0,0.3562866301353476,0.15129655950739473,2014Q3
2014,4,93.96639749522436,167.90331778263734,139.78015873015872,249.8200887850947,1.492688319268363,12,2014-12-01,4780410.0,678093.0,565254.0,2501305.0,8525062.0,7281715.0,1243347.0,0.34350492981392433,0.1458460947263492,2014Q4
2015,1,101.62578512984304,175.85786726824583,143.9827868852459,249.21231447583142,1.4189083561589202,3,2015-03-01,3967926.0,738649.0,363654.0,2669421.0,7739650.0,6637347.0,1102303.0,0.40218192600145813,0.14242284857842408,2015Q1
2015,2,106.48770514844458,179.3760249889433,147.80016393442622,248.95335759088547,1.3887867016471174,6,2015-06-01,4063150.0,728617.0,370781.0,2470490.0,7633038.0,6533640.0,1099398.0,0.3781184760715313,0.14403151143751675,2015Q2
2015,3,99.12583772973227,164.15526106370962,142.3975,235.79749756342156,1.4375945003224015,9,2015-09-01,4325232.0,597977.0,497702.0,2164544.0,7585455.0,6489776.0,1095679.0,0.33353138844853814,0.1444447300788153,2015Q3
2015,4,101.09467059659369,163.70406490712438,147.63475409836065,239.10150645976933,1.461752997382619,12,2015-12-01,4571111.0,535527.0,560052.0,2026969.0,7693659.0,6598080.0,1095579.0,0.3072058841359911,0.14240025454728367,2015Q4
2016,1,107.44236068837263,168.82464126399327,153.18704918032788,240.7143909776657,1.4272702550564054,3,2016-03-01,3893668.0,615981.0,454638.0,2355450.0,7319737.0,6249118.0,1070619.0,0.37692519168305033,0.14626468136765022,2016Q1
2016,2,97.67732410115991,150.74219782071407,156.13555555555556,240.9281332577259,1.6011959935470803,6,2016-06-01,4164778.0,728722.0,371384.0,2389478.0,7654362.0,6554256.0,1100106.0,0.3645689152208885,0.14372275573065396,2016Q2
2016,3,92.90577236480448,141.47842072827976,152.06215384615385,231.5783999378023,1.6387389744271343,9,2016-09-01,4280487.0,582736.0,358134.0,2100239.0,7321596.0,6380726.0,940870.0,0.3291536104198801,0.12850613445483744,2016Q3
2016,4,93.28524334657479,141.1027778360845,150.1649180327869,227.13373887358645,1.612422334442042,12,2016-12-01,4334389.0,613028.0,385288.0,2073648.0,7406353.0,6408037.0,998316.0,0.323601127771266,0.13479184694545346,2016Q4
2017,1,87.34550822326176,130.89475724695018,145.57063492063494,218.1299296509096,1.6711857160308605,3,2017-03-01,3755566.0,763004.0,306041.0,2573509.0,7398120.0,6329075.0,1069045.0,0.40661692269407457,0.14450225192346164,2017Q1
2017,2,79.72270359034844,118.7980803807582,133.73147540983607,199.2762700463931,1.6787038058400525,6,2017-06-01,3928179.0,716238.0,328658.0,2450331.0,7423406.0,6378510.0,1044896.0,0.38415413631083123,0.14075695172808816,2017Q2
2017,3,81.23292090025564,120.60750014947797,133.73859375,198.56172048801537,1.6480752451003804,9,2017-09-01,4535953.0,650882.0,403537.0,2396049.0,7986421.0,6932002.0,1054419.0,0.3456503619012228,0.13202647343534732,2017Q3
2017,4,88.61312759013593,130.38268657677966,142.26333333333332,209.30967248014423,1.6062235071235949,12,2017-12-01,4647858.0,634546.0,451535.0,2324777.0,8058716.0,6972635.0,1086081.0,0.33341441219854473,0.13477097344043393,2017Q4
2018,1,88.6189484291857,129.18754296091132,145.51147540983607,212.1318683525874,1.6434242183264791,3,2018-03-01,3790460.0,842746.0,351176.0,2788623.0,7773005.0,6579083.0,1193922.0,0.42386195766188084,0.1535985117724741,2018Q1
2018,2,87.46790992032791,126.15709939653753,140.75873015873015,203.02477773557138,1.6100340376150635,6,2018-06-01,3987161.0,871888.0,335421.0,2573407.0,7767877.0,6560568.0,1207309.0,0.392253689009854,0.1554232900443712,2018Q2
2018,3,91.46142942305542,130.0904515493965,145.24761904761905,206.59378299468827,1.5889131815860826,9,2018-09-01,4678163.0,824549.0,413631.0,2400531.0,8316874.0,7078694.0,1238180.0,0.33912060614570994,0.14887564726843283,2018Q3
2018,4,97.13656584637349,137.25084697111828,148.28583333333333,209.5227748136572,1.5286845485924145,12,2018-12-01,4734265.0,719645.0,413925.0,2317097.0,8184932.0,7051362.0,1133570.0,0.32860275787854887,0.13849473642542173,2018Q4
2019,1,93.85280460735174,131.47703246426312,151.8360655737705,212.71544793884198,1.6198998825831021,3,2019-03-01,3893871.0,990814.0,343110.0,2699548.0,7927343.0,6593419.0,1333924.0,0.4094306762546108,0.16826873770946962,2019Q1
2019,2,93.0674569549855,128.66562955412877,153.43064516129033,212.11958153308558,1.6489877621405897,6,2019-06-01,4096062.0,990042.0,338944.0,2513823.0,7938871.0,6609885.0,1328986.0,0.3803126680721374,0.16740239260721076,2019Q2
2019,3,101.57544411381257,140.00444101131598,155.23153846153846,213.9619834627588,1.5307683939494112,9,2019-09-01,4892194.0,871808.0,437242.0,2297485.0,8498729.0,7189679.0,1309050.0,0.319553209538284,0.15402891420587714,2019Q3
2019,4,120.16155516465126,164.25003609063523,190.40967741935484,260.24222413104366,1.5812375043149776,12,2019-12-01,4768561.0,779151.0,446799.0,2086396.0,8080907.0,6854957.0,1225950.0,0.3043631054140821,0.15170945538662925,2019Q4
2020,1,137.97410057276375,186.10381204870643,196.80483870967743,265.46809203230197,1.431764517158914,3,2020-03-01,3881463.0,885949.0,324062.0,2245256.0,7336730.0,6126719.0,1210011.0,0.3664695573601466,0.16492510968783095,2020Q1
2020,2,137.0340117838179,185.4785475332859,203.6516393442623,275.6534977929201,1.487725854059429,6,2020-06-01,4127744.0,870454.0,343375.0,2062004.0,7403577.0,6189748.0,1213829.0,0.33313214043608885,0.1639516952413678,2020Q2
2020,3,156.04548027071007,209.58657839285172,232.4269230769231,312.1477328981018,1.492196518228684,9,2020-09-01,4738166.0,772770.0,389529.0,1873315.0,7773780.0,6611481.0,1162299.0,0.28334271852252163,0.14951529371811398,2020Q3
2020,4,191.45421757009788,251.01270080886923,271.91065573770493,356.61814119507903,1.4257940981742998,12,2020-12-01,4710857.0,607446.0,466027.0,1588619.0,7372949.0,6299476.0,1073473.0,0.2521827212295118,0.1455961515534693,2020Q4
2021,1,214.5310751054226,274.6177410901766,300.42786885245897,384.65923265371066,1.4067566911492873,3,2021-03-01,3895159.0,650994.0,274110.0,1777060.0,6597323.0,5672219.0,925104.0,0.31329185280046484,0.1402241484917443,2021Q1
2021,2,224.22841220564013,281.76715858742386,314.5798387096774,395.2520100314819,1.4054191506943443,6,2021-06-01,4267946.0,733505.0,257849.0,1867195.0,7126495.0,6135141.0,991354.0,0.3043442685343336,0.13910821518853236,2021Q2
2021,3,215.1507350976061,263.53985717775515,311.984375,382.26734094499494,1.4520609905219524,9,2021-09-01,4429445.0,659193.0,282972.0,1647934.0,7019544.0,6077379.0,942165.0,0.27115866889328444,0.13422025704233778,2021Q3
2021,4,210.56342927018375,249.84551033811147,296.44754098360653,351.5971418876067,1.4072982574206372,12,2021-12-01,4497501.0,553156.0,458257.0,1452577.0,6961491.0,5950078.0,1011413.0,0.2441273879098728,0.14528683582295804,2021Q4
2022,1,202.118868500965,233.81224060095076,341.23790322580646,394.6625457882781,1.6903177193767243,3,2022-03-01,3939275.0,764922.0,303375.0,2003659.0,7011231.0,5942934.0,1068297.0,0.33714979839924186,0.1523693913379833,2022Q1
2022,2,185.85879507062094,208.67735316932425,325.025,364.9105032680463,1.7498190480967324,6,2022-06-01,4155671.0,827256.0,320219.0,2125669.0,7428815.0,6281340.0,1147475.0,0.3384101163127613,0.15446272386645785,2022Q2
2022,3,178.658845597456,201.44137262668934,313.7053846153846,353.6763916868688,1.7605732319324205,9,2022-09-01,4777910.0,804152.0,381733.0,1999332.0,7963127.0,6777242.0,1185885.0,0.2950067298762535,0.1489220252295361,2022Q3
2022,4,178.7866076860058,200.05315354218564,290.7508196721311,325.3361710440699,1.6279580768874098,12,2022-12-01,4499645.0,732100.0,379333.0,1933333.0,7544411.0,6432978.0,1111433.0,0.3005346823819388,0.14731872375457805,2022Q4
2023,1,172.5119543224973,189.47671106859394,285.5190476190476,313.5714285908987,1.6581559243314328,3,2023-03-01,3712012.0,891033.0,402367.0,2461109.0,7466521.0,6173121.0,1293400.0,0.39868147732727094,0.17322659375095845,2023Q1
2023,2,163.06255056411388,176.44253233429006,265.1393442622951,286.8938646469801,1.6271294680920483,6,2023-06-01,4373132.0,1149600.0,373863.0,2581568.0,8478163.0,6954700.0,1523463.0,0.37119760737343094,0.17969258198975416,2023Q2
2023,3,150.96283006007414,162.74671233097507,227.9,245.7100937572501,1.5078012039308244,9,2023-09-01,5049792.0,1085332.0,418387.0,2444409.0,8997920.0,7494201.0,1503719.0,0.32617339727076977,0.16711851183384605,2023Q3
2023,4,154.0214329534463,164.62413421986452,240.265,256.7922473701356,1.560612256980226,12,2023-12-01,5148909.0,1050675.0,421423.0,2538195.0,9159202.0,7687104.0,1472098.0,0.33018871606264205,0.16072339053118384,2023Q4
2024,1,151.1010264252197,159.1525665203673,240.4483606557377,253.2663039712176,1.5917494886184458,3,2024-03-01,4631596.0,1334996.0,377026.0,3008545.0,9352163.0,7640141.0,1712022.0,0.39378134513486074,0.18306160831456852,2024Q1
2024,2,149.08777691602364,155.22378965785455,226.19920634920635,235.5119604523863,1.5178077336508753,6,2024-06-01,5106564.0,1448207.0,355105.0,3074655.0,9984531.0,8181219.0,1803312.0,0.37581868912200006,0.18061058651628203,2024Q2
2024,3,147.8709017923014,152.7013026418478,239.53636363636363,247.3532754368529,1.61946905307655,9,2024-09-01,5731277.0,1320552.0,419672.0,2904958.0,10376459.0,8636235.0,1740224.0,0.33636856801603937,0.16770884942541575,2024Q3
2024,4,194.0331206903152,197.85269163134495,318.83032786885246,325.1314446757233,1.6475783151456282,12,2024-12-01,5325215.0,1181658.0,425783.0,2629080.0,9561736.0,7954295.0,1607441.0,0.3305233210485656,0.16811183659536302,2024Q4
