DATE,US_WHEAT_NET_LONG
2004-06-22,-2668.0
2004-06-29,-10660.0
2004-07-06,-13001.0
2004-07-13,-15616.0
2004-07-20,-20216.0
2004-07-27,-18217.0
2004-08-03,-17153.0
2004-08-10,-20456.0
2004-08-17,-17083.0
2004-08-24,-16582.0
2004-08-31,-21122.0
2004-09-07,-22328.0
2004-09-14,-16648.0
2004-09-21,-9027.0
2004-09-28,-20774.0
2004-10-05,-27684.0
2004-10-12,-25595.0
2004-10-19,-20036.0
2004-10-26,-23313.0
2004-11-02,-26475.0
2004-11-09,-32179.0
2004-11-16,-31249.0
2004-11-23,-24586.0
2004-11-30,-37261.0
2004-12-07,-38740.0
2004-12-14,-38804.0
2004-12-21,-30411.0
2004-12-28,-29622.0
2005-01-04,-38848.0
2005-01-11,-29413.0
2005-01-18,-40405.0
2005-01-25,-40645.0
2005-02-01,-41489.0
2005-02-08,-41939.0
2005-02-15,-34151.0
2005-02-22,-15217.0
2005-03-01,4836.0
2005-03-08,16250.0
2005-03-15,14643.0
2005-03-22,15783.0
2005-03-29,9523.0
2005-04-05,2174.0
2005-04-12,-7032.0
2005-04-19,-15716.0
2005-04-26,-11164.0
2005-05-03,-17374.0
2005-05-10,-22145.0
2005-05-17,-36282.0
2005-05-24,-22377.0
2005-05-31,-22645.0
2005-06-07,-27075.0
2005-06-14,-31758.0
2005-06-21,-21878.0
2005-06-28,-12126.0
2005-07-05,-14228.0
2005-07-12,-21332.0
2005-07-19,-16477.0
2005-07-26,-25014.0
2005-08-02,-25280.0
2005-08-09,-36616.0
2005-08-16,-42244.0
2005-08-23,-40704.0
2005-08-30,-45259.0
2005-09-06,-46654.0
2005-09-13,-40754.0
2005-09-20,-44381.0
2005-09-27,-36855.0
2005-10-04,-15125.0
2005-10-11,-14936.0
2005-10-18,-14212.0
2005-10-25,-30732.0
2005-11-01,-39771.0
2005-11-08,-46079.0
2005-11-15,-50499.0
2005-11-22,-53628.0
2005-11-29,-53700.0
2005-12-06,-58011.0
2005-12-13,-57131.0
2005-12-20,-45223.0
2005-12-27,-31934.0
2006-01-03,-18369.0
2006-01-10,-18625.0
2006-01-17,-23368.0
2006-01-24,-27077.0
2006-01-31,-15519.0
2006-02-07,-3127.0
2006-02-14,-622.0
2006-02-21,-7981.0
2006-02-28,-1301.0
2006-03-07,3284.0
2006-03-14,-2968.0
2006-03-21,-11740.0
2006-03-28,-11689.0
2006-04-04,-16596.0
2006-04-11,-8716.0
2006-04-18,-8106.0
2006-04-25,-14452.0
2006-05-02,-12638.0
2006-05-09,-4075.0
2006-05-16,14764.0
2006-05-23,16249.0
2006-05-30,21527.0
2006-06-06,11721.0
2006-06-13,4560.0
2006-06-20,-3623.0
2006-06-27,139.0
2006-07-04,-6431.0
2006-07-11,1693.0
2006-07-18,6825.0
2006-07-25,13192.0
2006-08-01,3513.0
2006-08-08,4871.0
2006-08-15,-2756.0
2006-08-22,-19361.0
2006-08-29,-19780.0
2006-09-05,-9743.0
2006-09-12,-9779.0
2006-09-19,-18362.0
2006-09-26,-11264.0
2006-10-03,6259.0
2006-10-10,8529.0
2006-10-17,13897.0
2006-10-24,21890.0
2006-10-31,20375.0
2006-11-07,19454.0
2006-11-14,20900.0
2006-11-21,19633.0
2006-11-28,19920.0
2006-12-05,26830.0
2006-12-12,17553.0
2006-12-19,13904.0
2006-12-26,22167.0
2007-01-02,13902.0
2007-01-09,6866.0
2007-01-16,4705.0
2007-01-23,10544.0
2007-01-30,1706.0
2007-02-06,-3027.0
2007-02-13,1353.0
2007-02-20,1838.0
2007-02-27,15764.0
2007-03-06,3963.0
2007-03-13,6027.0
2007-03-20,-6340.0
2007-03-27,-7049.0
2007-04-03,-21412.0
2007-04-10,-14701.0
2007-04-17,-206.0
2007-04-24,4693.0
2007-05-01,2217.0
2007-05-08,2437.0
2007-05-15,1716.0
2007-05-22,-5489.0
2007-05-29,-196.0
2007-06-05,14071.0
2007-06-12,23704.0
2007-06-19,33036.0
2007-06-26,34002.0
2007-07-03,18872.0
2007-07-10,21769.0
2007-07-17,21796.0
2007-07-24,23213.0
2007-07-31,22939.0
2007-08-07,32204.0
2007-08-14,34364.0
2007-08-21,25962.0
2007-08-28,27976.0
2007-09-04,31901.0
2007-09-11,21575.0
2007-09-18,22470.0
2007-09-25,29047.0
2007-10-02,13887.0
2007-10-09,10585.0
2007-10-16,10594.0
2007-10-23,12669.0
2007-10-30,7826.0
2007-11-06,8344.0
2007-11-13,6044.0
2007-11-20,3985.0
2007-11-27,10540.0
2007-12-04,10956.0
2007-12-11,9780.0
2007-12-18,5900.0
2007-12-25,6290.0
2008-01-01,11566.0
2008-01-08,14790.0
2008-01-15,28749.0
2008-01-22,24156.0
2008-01-29,19101.0
2008-02-05,24701.0
2008-02-12,19717.0
2008-02-19,20108.0
2008-02-26,30524.0
2008-03-04,25769.0
2008-03-11,27797.0
2008-03-18,28659.0
2008-03-25,30999.0
2008-04-01,31072.0
2008-04-08,27771.0
2008-04-15,25005.0
2008-04-22,25824.0
2008-04-29,19519.0
2008-05-06,13051.0
2008-05-13,6083.0
2008-05-20,6230.0
2008-05-27,-961.0
2008-06-03,2003.0
2008-06-10,-2382.0
2008-06-17,-2407.0
2008-06-24,3590.0
2008-07-01,5824.0
2008-07-08,-6183.0
2008-07-15,-5345.0
2008-07-22,3000.0
2008-07-29,2067.0
2008-08-05,6035.0
2008-08-12,5573.0
2008-08-19,6658.0
2008-08-26,6432.0
2008-09-02,985.0
2008-09-09,-3641.0
2008-09-16,-10776.0
2008-09-23,-9195.0
2008-09-30,-8569.0
2008-10-07,-12517.0
2008-10-14,-14138.0
2008-10-21,-17010.0
2008-10-28,-13144.0
2008-11-04,-1266.0
2008-11-11,-8269.0
2008-11-18,-67.0
2008-11-25,-5212.0
2008-12-02,-14985.0
2008-12-09,-17679.0
2008-12-16,-6659.0
2008-12-23,-7105.0
2008-12-30,-4802.0
2009-01-06,-4880.0
2009-01-13,-9046.0
2009-01-20,-16863.0
2009-01-27,-12466.0
2009-02-03,-10091.0
2009-02-10,-14835.0
2009-02-17,-17255.0
2009-02-24,-11740.0
2009-03-03,-18651.0
2009-03-10,-14962.0
2009-03-17,-6214.0
2009-03-24,-2358.0
2009-03-31,-11664.0
2009-04-07,-6505.0
2009-04-14,-8596.0
2009-04-21,-20541.0
2009-04-28,-16945.0
2009-05-05,-3780.0
2009-05-12,5102.0
2009-05-19,6218.0
2009-05-26,9671.0
2009-06-02,15546.0
2009-06-09,7473.0
2009-06-16,755.0
2009-06-23,-5413.0
2009-06-30,-9505.0
2009-07-07,-23550.0
2009-07-14,-25413.0
2009-07-21,-21349.0
2009-07-28,-22092.0
2009-08-04,-21641.0
2009-08-11,-26628.0
2009-08-18,-28426.0
2009-08-25,-28277.0
2009-09-01,-37736.0
2009-09-08,-37955.0
2009-09-15,-36183.0
2009-09-22,-34777.0
2009-09-29,-28960.0
2009-10-06,-31534.0
2009-10-13,-20555.0
2009-10-20,-15681.0
2009-10-27,-18645.0
2009-11-03,-22532.0
2009-11-10,-24292.0
2009-11-17,-17073.0
2009-11-24,-6084.0
2009-12-01,-1693.0
2009-12-08,-967.0
2009-12-15,-7112.0
2009-12-22,-24796.0
2009-12-29,-25868.0
2010-01-05,-20626.0
2010-01-12,-23549.0
2010-01-19,-35842.0
2010-01-26,-48827.0
2010-02-02,-52881.0
2010-02-09,-60457.0
2010-02-16,-51195.0
2010-02-23,-42044.0
2010-03-02,-38955.0
2010-03-09,-37526.0
2010-03-16,-43775.0
2010-03-23,-48124.0
2010-03-30,-56716.0
2010-04-06,-55427.0
2010-04-13,-50655.0
2010-04-20,-44406.0
2010-04-27,-40221.0
2010-05-04,-33745.0
2010-05-11,-36893.0
2010-05-18,-48027.0
2010-05-25,-52877.0
2010-06-01,-54877.0
2010-06-08,-47337.0
2010-06-15,-55617.0
2010-06-22,-48883.0
2010-06-29,-47119.0
2010-07-06,-35217.0
2010-07-13,-16927.0
2010-07-20,2335.0
2010-07-27,7212.0
2010-08-03,20542.0
2010-08-10,26957.0
2010-08-17,33443.0
2010-08-24,36743.0
2010-08-31,25870.0
2010-09-07,31637.0
2010-09-14,32778.0
2010-09-21,22861.0
2010-09-28,10299.0
2010-10-05,4008.0
2010-10-12,-3592.0
2010-10-19,-2230.0
2010-10-26,1429.0
2010-11-02,8861.0
2010-11-09,8501.0
2010-11-16,-4792.0
2010-11-23,-6501.0
2010-11-30,-19372.0
2010-12-07,8488.0
2010-12-14,17957.0
2010-12-21,20967.0
2010-12-28,27611.0
2011-01-04,26552.0
2011-01-11,25693.0
2011-01-18,25422.0
2011-01-25,34391.0
2011-02-01,35280.0
2011-02-08,42635.0
2011-02-15,34193.0
2011-02-22,19420.0
2011-03-01,20618.0
2011-03-08,19550.0
2011-03-15,21267.0
2011-03-22,10406.0
2011-03-29,10865.0
2011-04-05,21162.0
2011-04-12,21571.0
2011-04-19,19966.0
2011-04-26,22171.0
2011-05-03,12627.0
2011-05-10,10162.0
2011-05-17,-4005.0
2011-05-24,13118.0
2011-05-31,15997.0
2011-06-07,2331.0
2011-06-14,-6218.0
2011-06-21,-26928.0
2011-06-28,-27790.0
2011-07-05,-35704.0
2011-07-12,-32720.0
2011-07-19,-26671.0
2011-07-26,-36164.0
2011-08-02,-41372.0
2011-08-09,-39525.0
2011-08-16,-32493.0
2011-08-23,-29433.0
2011-08-30,-14440.0
2011-09-06,-11891.0
2011-09-13,-30206.0
2011-09-20,-40181.0
2011-09-27,-50077.0
2011-10-04,-43517.0
2011-10-11,-48175.0
2011-10-18,-52572.0
2011-10-25,-46610.0
2011-11-01,-51784.0
2011-11-08,-42639.0
2011-11-15,-49254.0
2011-11-22,-56320.0
2011-11-29,-52111.0
2011-12-06,-47678.0
2011-12-13,-52091.0
2011-12-20,-53701.0
2011-12-27,-44741.0
2012-01-03,-44093.0
2012-01-10,-55309.0
2012-01-17,-62545.0
2012-01-24,-59383.0
2012-01-31,-41861.0
2012-02-07,-41682.0
2012-02-14,-52893.0
2012-02-21,-56672.0
2012-02-28,-50197.0
2012-03-06,-30544.0
2012-03-13,-41165.0
2012-03-20,-38388.0
2012-03-27,-38114.0
2012-04-03,-41801.0
2012-04-10,-51425.0
2012-04-17,-59174.0
2012-04-24,-53771.0
2012-05-01,-39453.0
2012-05-08,-58884.0
2012-05-15,-60753.0
2012-05-22,-6132.0
2012-05-29,632.0
2012-06-05,-13625.0
2012-06-12,-13468.0
2012-06-19,-16881.0
2012-06-26,20115.0
2012-07-03,26095.0
2012-07-10,36868.0
2012-07-17,50831.0
2012-07-24,57118.0
2012-07-31,54917.0
2012-08-07,57118.0
2012-08-14,55535.0
2012-08-21,59501.0
2012-08-28,53570.0
2012-09-04,55569.0
2012-09-11,50625.0
2012-09-18,55928.0
2012-09-25,59279.0
2012-10-02,54145.0
2012-10-09,46242.0
2012-10-16,39899.0
2012-10-23,49132.0
2012-10-30,42987.0
2012-11-06,45763.0
2012-11-13,49680.0
2012-11-20,33175.0
2012-11-27,32659.0
2012-12-04,26827.0
2012-12-11,7038.0
2012-12-18,-10102.0
2012-12-25,-19559.0
2013-01-01,-23453.0
2013-01-08,-20883.0
2013-01-15,-12834.0
2013-01-22,-16632.0
2013-01-29,-7424.0
2013-02-05,-16653.0
2013-02-12,-20822.0
2013-02-19,-30385.0
2013-02-26,-43767.0
2013-03-05,-42206.0
2013-03-12,-33098.0
2013-03-19,-25060.0
2013-03-26,-17057.0
2013-04-02,-22286.0
2013-04-09,-21181.0
2013-04-16,-27359.0
2013-04-23,-23548.0
2013-04-30,-11481.0
2013-05-07,-16735.0
2013-05-14,-23682.0
2013-05-21,-45102.0
2013-05-28,-39656.0
2013-06-04,-28715.0
2013-06-11,-30633.0
2013-06-18,-43001.0
2013-06-25,-27410.0
2013-07-02,-45530.0
2013-07-09,-48714.0
2013-07-16,-39689.0
2013-07-23,-53280.0
2013-07-30,-44551.0
2013-08-06,-47263.0
2013-08-13,-49063.0
2013-08-20,-50731.0
2013-08-27,-40074.0
2013-09-03,-46731.0
2013-09-10,-53578.0
2013-09-17,-55828.0
2013-09-24,-41395.0
2013-10-01,-9103.0
2013-10-08,7186.0
2013-10-15,7604.0
2013-10-22,10216.0
2013-10-29,1226.0
2013-11-05,-23284.0
2013-11-12,-48201.0
2013-11-19,-55079.0
2013-11-26,-59257.0
2013-12-03,-54209.0
2013-12-10,-62300.0
2013-12-17,-60619.0
2013-12-24,-58377.0
2013-12-31,-61992.0
2014-01-07,-60369.0
2014-01-14,-50158.0
2014-01-21,-50976.0
2014-01-28,-57742.0
2014-02-04,-48953.0
2014-02-11,-40483.0
2014-02-18,-26974.0
2014-02-25,-18690.0
2014-03-04,-6987.0
2014-03-11,6724.0
2014-03-18,11827.0
2014-03-25,21575.0
2014-04-01,26657.0
2014-04-08,23881.0
2014-04-15,20951.0
2014-04-22,17491.0
2014-04-29,36167.0
2014-05-06,36798.0
2014-05-13,38352.0
2014-05-20,23476.0
2014-05-27,24165.0
2014-06-03,14479.0
2014-06-10,-729.0
2014-06-17,-4786.0
2014-06-24,-33536.0
2014-07-01,-33418.0
2014-07-08,-39650.0
2014-07-15,-42704.0
2014-07-22,-48393.0
2014-07-29,-62690.0
2014-08-05,-55690.0
2014-08-12,-48326.0
2014-08-19,-43103.0
2014-08-26,-39252.0
2014-09-02,-40771.0
2014-09-09,-45397.0
2014-09-16,-47946.0
2014-09-23,-59649.0
2014-09-30,-56180.0
2014-10-07,-58555.0
2014-10-14,-51973.0
2014-10-21,-46741.0
2014-10-28,-34919.0
2014-11-04,-27506.0
2014-11-11,-29247.0
2014-11-18,-20362.0
2014-11-25,-8373.0
2014-12-02,-5138.0
2014-12-09,7001.0
2014-12-16,22153.0
2014-12-23,21896.0
2014-12-30,13534.0
2015-01-06,6978.0
2015-01-13,6434.0
2015-01-20,1368.0
2015-01-27,-78.0
2015-02-03,-19366.0
2015-02-10,-17136.0
2015-02-17,-18170.0
2015-02-24,-23268.0
2015-03-03,-29107.0
2015-03-10,-36788.0
2015-03-17,-32331.0
2015-03-24,-39870.0
2015-03-31,-48777.0
2015-04-07,-43211.0
2015-04-14,-58739.0
2015-04-21,-59831.0
2015-04-28,-69920.0
2015-05-05,-77413.0
2015-05-12,-72527.0
2015-05-19,-52802.0
2015-05-26,-62993.0
2015-06-02,-57754.0
2015-06-09,-21273.0
2015-06-16,-37810.0
2015-06-23,-43555.0
2015-06-30,1907.0
2015-07-07,19678.0
2015-07-14,15727.0
2015-07-21,13293.0
2015-07-28,4353.0
2015-08-04,-9730.0
2015-08-11,-11397.0
2015-08-18,-7633.0
2015-08-25,-14592.0
2015-09-01,-37444.0
2015-09-08,-55151.0
2015-09-15,-51371.0
2015-09-22,-45153.0
2015-09-29,-37006.0
2015-10-06,-25574.0
2015-10-13,-31506.0
2015-10-20,-66927.0
2015-10-27,-44471.0
2015-11-03,-31039.0
2015-11-10,-33083.0
2015-11-17,-46180.0
2015-11-24,-47301.0
2015-12-01,-67807.0
2015-12-08,-68345.0
2015-12-15,-48916.0
2015-12-22,-62774.0
2015-12-29,-75365.0
2016-01-05,-88670.0
2016-01-12,-66758.0
2016-01-19,-67327.0
2016-01-26,-55743.0
2016-02-02,-56007.0
2016-02-09,-81473.0
2016-02-16,-78984.0
2016-02-23,-93606.0
2016-03-01,-102349.0
2016-03-08,-89747.0
2016-03-15,-70723.0
2016-03-22,-84889.0
2016-03-29,-77912.0
2016-04-05,-71518.0
2016-04-12,-105685.0
2016-04-19,-82031.0
2016-04-26,-62183.0
2016-05-03,-60812.0
2016-05-10,-70500.0
2016-05-17,-66121.0
2016-05-24,-78881.0
2016-05-31,-78594.0
2016-06-07,-48894.0
2016-06-14,-44704.0
2016-06-21,-51206.0
2016-06-28,-69828.0
2016-07-05,-83644.0
2016-07-12,-90634.0
2016-07-19,-92121.0
2016-07-26,-103009.0
2016-08-02,-98776.0
2016-08-09,-88221.0
2016-08-16,-74962.0
2016-08-23,-74184.0
2016-08-30,-92187.0
2016-09-06,-100118.0
2016-09-13,-92573.0
2016-09-20,-94675.0
2016-09-27,-93911.0
2016-10-04,-113320.0
2016-10-11,-92537.0
2016-10-18,-63104.0
2016-10-25,-86712.0
2016-11-01,-75379.0
2016-11-08,-78877.0
2016-11-15,-93262.0
2016-11-22,-72660.0
2016-11-29,-91844.0
2016-12-06,-91362.0
2016-12-13,-70271.0
2016-12-20,-83618.0
2016-12-27,-83796.0
2017-01-03,-72444.0
2017-01-10,-47186.0
2017-01-17,-51709.0
2017-01-24,-58258.0
2017-01-31,-64074.0
2017-02-07,-51899.0
2017-02-14,-23043.0
2017-02-21,-8327.0
2017-02-28,-23516.0
2017-03-07,-26482.0
2017-03-14,-57742.0
2017-03-21,-72815.0
2017-03-28,-88705.0
2017-04-04,-86931.0
2017-04-11,-85285.0
2017-04-18,-102882.0
2017-04-25,-130036.0
2017-05-02,-84985.0
2017-05-09,-76293.0
2017-05-16,-89400.0
2017-05-23,-76689.0
2017-05-30,-83735.0
2017-06-06,-76590.0
2017-06-13,-60516.0
2017-06-20,-11083.0
2017-06-27,-9179.0
2017-07-04,14757.0
2017-07-11,27438.0
2017-07-18,22182.0
2017-07-25,20766.0
2017-08-01,15513.0
2017-08-08,-3953.0
2017-08-15,-12828.0
2017-08-22,-27600.0
2017-08-29,-33233.0
2017-09-05,-36031.0
2017-09-12,-31142.0
2017-09-19,-30379.0
2017-09-26,-23377.0
2017-10-03,-19142.0
2017-10-10,-24055.0
2017-10-17,-31614.0
2017-10-24,-32903.0
2017-10-31,-71243.0
2017-11-07,-79046.0
2017-11-14,-66771.0
2017-11-21,-66825.0
2017-11-28,-82289.0
2017-12-05,-74071.0
2017-12-12,-99863.0
2017-12-19,-98684.0
2017-12-26,-94767.0
2018-01-02,-83238.0
2018-01-09,-78378.0
2018-01-16,-95164.0
2018-01-23,-95971.0
2018-01-30,-47294.0
2018-02-06,-48708.0
2018-02-13,-16435.0
2018-02-20,-27458.0
2018-02-27,-15940.0
2018-03-06,8807.0
2018-03-13,1628.0
2018-03-20,-4401.0
2018-03-27,-15216.0
2018-04-03,-16590.0
2018-04-10,5359.0
2018-04-17,1911.0
2018-04-24,-3591.0
2018-05-01,23316.0
2018-05-08,31503.0
2018-05-15,22644.0
2018-05-22,41849.0
2018-05-29,45129.0
2018-06-05,40196.0
2018-06-12,49716.0
2018-06-19,18401.0
2018-06-26,15625.0
2018-07-03,30788.0
2018-07-10,31079.0
2018-07-17,38559.0
2018-07-24,49477.0
2018-07-31,75028.0
2018-08-07,86528.0
2018-08-14,82811.0
2018-08-21,79361.0
2018-08-28,63900.0
2018-09-04,60599.0
2018-09-11,45523.0
2018-09-18,36629.0
2018-09-25,36560.0
2018-10-02,35145.0
2018-10-09,32929.0
2018-10-16,32885.0
2018-10-23,20328.0
2018-10-30,7769.0
2018-11-06,9859.0
2018-11-13,21381.0
2018-11-20,9839.0
2018-11-27,-15569.0
2018-12-04,-2092.0
2018-12-11,1660.0
2018-12-18,17594.0
2018-12-25,10068.0
2019-01-01,-1154.0
2019-01-08,11015.0
2019-01-15,17047.0
2019-01-22,19242.0
2019-01-29,5763.0
2019-02-05,18441.0
2019-02-12,8848.0
2019-02-19,-19177.0
2019-02-26,-43663.0
2019-03-05,-51607.0
2019-03-12,-43650.0
2019-03-19,-42961.0
2019-03-26,-36076.0
2019-04-02,-27404.0
2019-04-09,-26266.0
2019-04-16,-41550.0
2019-04-23,-47073.0
2019-04-30,-55178.0
2019-05-07,-48697.0
2019-05-14,-43405.0
2019-05-21,-16131.0
2019-05-28,-5371.0
2019-06-04,-3685.0
2019-06-11,9710.0
2019-06-18,29303.0
2019-06-25,30204.0
2019-07-02,42059.0
2019-07-09,34080.0
2019-07-16,27969.0
2019-07-23,19284.0
2019-07-30,29858.0
2019-08-06,21460.0
2019-08-13,16315.0
2019-08-20,7757.0
2019-08-27,16754.0
2019-09-03,-64.0
2019-09-10,9329.0
2019-09-17,13003.0
2019-09-24,8811.0
2019-10-01,3724.0
2019-10-08,-3399.0
2019-10-15,-505.0
2019-10-22,21831.0
2019-10-29,16857.0
2019-11-05,11118.0
2019-11-12,11379.0
2019-11-19,13379.0
2019-11-26,20438.0
2019-12-03,27740.0
2019-12-10,24237.0
2019-12-17,40119.0
2019-12-24,28076.0
2019-12-31,34051.0
2020-01-07,34326.0
2020-01-14,38205.0
2020-01-21,47725.0
2020-01-28,41141.0
2020-02-04,48368.0
2020-02-11,41239.0
2020-02-18,62203.0
2020-02-25,42867.0
2020-03-03,26739.0
2020-03-10,32035.0
2020-03-17,14501.0
2020-03-24,34816.0
2020-03-31,44862.0
2020-04-07,35740.0
2020-04-14,33777.0
2020-04-21,33713.0
2020-04-28,20173.0
2020-05-05,10703.0
2020-05-12,4786.0
2020-05-19,-9922.0
2020-05-26,548.0
2020-06-02,4557.0
2020-06-09,1161.0
2020-06-16,1976.0
2020-06-23,-14643.0
2020-06-30,-14624.0
2020-07-07,-14269.0
2020-07-14,16724.0
2020-07-21,18806.0
2020-07-28,16658.0
2020-08-04,13379.0
2020-08-11,3555.0
2020-08-18,5075.0
2020-08-25,18436.0
2020-09-01,42945.0
2020-09-08,35812.0
2020-09-15,28208.0
2020-09-22,26221.0
2020-09-29,26358.0
2020-10-06,37271.0
2020-10-13,42798.0
2020-10-20,46537.0
2020-10-27,43942.0
2020-11-03,41236.0
2020-11-10,33458.0
2020-11-17,18421.0
2020-11-24,31392.0
2020-12-01,11931.0
2020-12-08,13766.0
2020-12-15,24812.0
2020-12-22,20406.0
2020-12-29,27453.0
2021-01-05,35347.0
2021-01-12,30824.0
2021-01-19,39047.0
2021-01-26,36181.0
2021-02-02,32825.0
2021-02-09,27772.0
2021-02-16,31822.0
2021-02-23,27398.0
2021-03-02,29931.0
2021-03-09,26086.0
2021-03-16,17056.0
2021-03-23,15256.0
2021-03-30,3084.0
2021-04-06,11204.0
2021-04-13,5516.0
2021-04-20,21025.0
2021-04-27,29704.0
2021-05-04,28040.0
2021-05-11,24323.0
2021-05-18,25748.0
2021-05-25,18411.0
2021-06-01,18795.0
2021-06-08,18617.0
2021-06-15,13948.0
2021-06-22,25806.0
2021-06-29,26446.0
2021-07-06,16597.0
2021-07-13,9120.0
2021-07-20,26769.0
2021-07-27,30188.0
2021-08-03,40977.0
2021-08-10,43632.0
2021-08-17,46794.0
2021-08-24,35048.0
2021-08-31,22805.0
2021-09-07,17540.0
2021-09-14,4574.0
2021-09-21,1842.0
2021-09-28,-3645.0
2021-10-05,7312.0
2021-10-12,-4534.0
2021-10-19,-8566.0
2021-10-26,763.0
2021-11-02,17896.0
2021-11-09,19203.0
2021-11-16,36761.0
2021-11-23,41489.0
2021-11-30,18294.0
2021-12-07,15667.0
2021-12-14,11965.0
2021-12-21,9132.0
2021-12-28,5935.0
2022-01-04,4080.0
2022-01-11,-1466.0
2022-01-18,4840.0
2022-01-25,11661.0
2022-02-01,350.0
2022-02-08,-3578.0
2022-02-15,-5846.0
2022-02-22,-3902.0
2022-03-01,6443.0
2022-03-08,12625.0
2022-03-15,10930.0
2022-03-22,9490.0
2022-03-29,13559.0
2022-04-05,19951.0
2022-04-12,23886.0
2022-04-19,23245.0
2022-04-26,21650.0
2022-05-03,20012.0
2022-05-10,21686.0
2022-05-17,28806.0
2022-05-24,26344.0
2022-05-31,22309.0
2022-06-07,23881.0
2022-06-14,20435.0
2022-06-21,19067.0
2022-06-28,7679.0
2022-07-05,8384.0
2022-07-12,4639.0
2022-07-19,6522.0
2022-07-26,25.0
2022-08-02,-725.0
2022-08-09,-3426.0
2022-08-16,-1908.0
2022-08-23,-8256.0
2022-08-30,-11499.0
2022-09-06,-9759.0
2022-09-13,-8128.0
2022-09-20,-4029.0
2022-09-27,2735.0
2022-10-04,5624.0
2022-10-11,-1990.0
2022-10-18,-3541.0
2022-10-25,-12913.0
2022-11-01,-15766.0
2022-11-08,-17214.0
2022-11-15,-22481.0
2022-11-22,-27518.0
2022-11-29,-33305.0
2022-12-06,-39897.0
2022-12-13,-39918.0
2022-12-20,-36984.0
2022-12-27,-36289.0
2023-01-03,-32291.0
2023-01-10,-39716.0
2023-01-17,-42014.0
2023-01-24,-48320.0
2023-01-31,-40060.0
2023-02-07,-46299.0
2023-02-14,-34124.0
2023-02-21,-47488.0
2023-02-28,-66762.0
2023-03-07,-73265.0
2023-03-14,-65314.0
2023-03-21,-59203.0
2023-03-28,-60545.0
2023-04-04,-60799.0
2023-04-11,-66682.0
2023-04-18,-70536.0
2023-04-25,-83188.0
2023-05-02,-90203.0
